Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_sR{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[CRP (% of baseline)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR{liver}]	[Ab{liver}]	[Ab_R]	[Ab_sR_IL6{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_sR{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
32	0.000660702	3.90412	0.0105899	220.099	0.0002846	0.00013122	303.789	34.068	-5.52012e-29	0.436534	99.5635	0.427419	2.05533e-05	0.000122826	3.21093e-05	0.00125464	1.67201e-06	0.646275	0.900365	9.09964	157.222	0.000172588	407.901	5.58893	0.0149265	13.7152	198.672	2.52429	-7.89938e-29	0.000122909	0.427297	2.39221e-05	0.803133	0.730849	9.26915	158.742	0.000197606	0.0200539	5.58893	0.0149317	99.232	7.84338	-7.89938e-29	4.83936
33	0.00065952	3.90386	0.00988021	220.027	0.000294547	0.000122435	298.683	34.6752	-5.51019e-29	0.469026	99.531	0.428128	1.9992e-05	0.000114595	3.26357e-05	0.00123239	1.62442e-06	0.640815	0.907463	9.09254	157.158	0.000176142	407.765	5.58842	0.0139259	14.1168	200.363	2.58819	-7.88518e-29	0.000114677	0.428021	2.33271e-05	0.796109	0.736937	9.26306	158.688	0.000200334	0.0200442	5.58842	0.013931	100.113	8.02229	-7.88518e-29	4.93547
34	0.000658416	3.90361	0.00921778	219.953	0.000304542	0.000114233	293.796	35.2743	-5.50029e-29	0.502508	99.4975	0.428798	1.94589e-05	0.000106913	3.31749e-05	0.00121162	1.57932e-06	0.635343	0.914701	9.0853	157.092	0.000179805	407.625	5.58794	0.012992	14.5218	201.912	2.65197	-7.871e-29	0.000106994	0.428703	2.27605e-05	0.789089	0.74313	9.25687	158.633	0.000203213	0.0200352	5.58794	0.0129969	100.923	8.2034	-7.871e-29	5.02967
35	0.000657386	3.90338	0.00859952	219.877	0.000314582	0.000106578	289.116	35.8655	-5.49039e-29	0.536959	99.463	0.429429	1.89523e-05	9.97436e-05	3.37266e-05	0.00119223	1.53658e-06	0.629863	0.922078	9.07792	157.025	0.000183571	407.481	5.58749	0.0121203	14.9299	203.329	2.71563	-7.85684e-29	9.98234e-05	0.429345	2.22209e-05	0.782077	0.749426	9.25057	158.577	0.000206233	0.0200267	5.58749	0.0121252	101.666	8.38658	-7.85684e-29	5.12205
36	0.000656424	3.90316	0.00802256	219.798	0.000324663	9.94327e-05	284.633	36.4492	-5.48052e-29	0.572361	99.4276	0.430023	1.84708e-05	9.30538e-05	3.42903e-05	0.00117412	1.49606e-06	0.624381	0.92959	9.07041	156.957	0.000187436	407.334	5.58707	0.0113069	15.3411	204.619	2.77919	-7.84271e-29	9.31328e-05	0.429949	2.17066e-05	0.775076	0.755824	9.24418	158.52	0.000209387	0.0200188	5.58707	0.0113118	102.345	8.57171	-7.84271e-29	5.21269
37	0.000655527	3.90296	0.00748421	219.718	0.000334779	9.27651e-05	280.336	37.0258	-5.47066e-29	0.608695	99.3913	0.430583	1.80129e-05	8.68121e-05	3.48658e-05	0.00115723	1.4576e-06	0.618898	0.937235	9.06277	156.888	0.000191398	407.182	5.58667	0.010548	15.755	205.79	2.84262	-7.82861e-29	8.68906e-05	0.430517	2.12163e-05	0.768091	0.762323	9.23768	158.462	0.000212669	0.0200114	5.58667	0.0105528	102.963	8.75867	-7.82861e-29	5.30164
38	0.00065469	3.90276	0.00698195	219.636	0.000344927	8.6544e-05	276.216	37.5955	-5.46083e-29	0.645943	99.3541	0.43111	1.75773e-05	8.09894e-05	3.54528e-05	0.00114146	1.4211e-06	0.61342	0.945011	9.05499	156.817	0.000195451	407.027	5.5863	0.00983995	16.1714	206.849	2.90595	-7.81453e-29	8.10674e-05	0.431051	2.07486e-05	0.761125	0.768921	9.23108	158.403	0.000216072	0.0200046	5.5863	0.00984474	103.525	8.94734	-7.81453e-29	5.38898
39	0.000653909	3.90258	0.00651341	219.551	0.000355104	8.07401e-05	272.263	38.1586	-5.45101e-29	0.68409	99.3159	0.431605	1.71626e-05	7.5558e-05	3.60509e-05	0.00112676	1.38642e-06	0.607949	0.952915	9.04708	156.745	0.000199595	406.868	5.58595	0.00917951	16.5902	207.8	2.96916	-7.80048e-29	7.56355e-05	0.431552	2.03021e-05	0.754181	0.775618	9.22438	158.343	0.000219591	0.0199982	5.58595	0.00918426	104.032	9.13763	-7.80048e-29	5.47476
40	0.00065318	3.90241	0.00607639	219.465	0.000365306	7.53261e-05	268.469	38.7155	-5.4412e-29	0.723118	99.2769	0.432071	1.67676e-05	7.04922e-05	3.66599e-05	0.00111303	1.35346e-06	0.602488	0.960947	9.03905	156.672	0.000203825	406.706	5.58562	0.0085635	17.0111	208.651	3.03225	-7.78645e-29	7.05694e-05	0.432023	1.98757e-05	0.747261	0.782412	9.21759	158.282	0.000223222	0.0199922	5.58562	0.00856823	104.488	9.32942	-7.78645e-29	5.55906
41	0.0006525	3.90225	0.00566879	219.377	0.00037553	7.02762e-05	264.826	39.2664	-5.43142e-29	0.763014	99.237	0.432508	1.63912e-05	6.57678e-05	3.72797e-05	0.00110023	1.32211e-06	0.59704	0.969103	9.0309	156.598	0.000208139	406.54	5.58531	0.00798899	17.434	209.406	3.09523	-7.77245e-29	6.58447e-05	0.432465	1.94682e-05	0.74037	0.789303	9.2107	158.221	0.000226959	0.0199866	5.58531	0.0079937	104.895	9.52262	-7.77245e-29	5.64192
42	0.000651866	3.9021	0.00528868	219.287	0.000385774	6.55665e-05	261.325	39.8115	-5.42165e-29	0.803763	99.1962	0.432919	1.60322e-05	6.13622e-05	3.791e-05	0.00108829	1.29228e-06	0.591608	0.977383	9.02262	156.522	0.000212536	406.37	5.58503	0.00745324	17.8588	210.07	3.1581	-7.75847e-29	6.14389e-05	0.432879	1.90785e-05	0.733508	0.796289	9.20371	158.158	0.0002308	0.0199814	5.58502	0.00745794	105.257	9.71715	-7.75847e-29	5.72339
43	0.000651274	3.90196	0.00493422	219.195	0.000396034	6.11745e-05	257.959	40.3511	-5.4119e-29	0.845352	99.1546	0.433304	1.56897e-05	5.72542e-05	3.85506e-05	0.00107715	1.26386e-06	0.586194	0.985785	9.01422	156.446	0.000217012	406.197	5.58476	0.00695368	18.2852	210.649	3.22085	-7.74451e-29	5.73307e-05	0.433268	1.87055e-05	0.726678	0.80337	9.19663	158.095	0.00023474	0.0199765	5.58475	0.00695836	105.575	9.91291	-7.74451e-29	5.80353
44	0.000650723	3.90183	0.00460373	219.101	0.000406309	5.7079e-05	254.722	40.8854	-5.40217e-29	0.887769	99.1122	0.433665	1.53627e-05	5.34241e-05	3.92014e-05	0.00106677	1.23678e-06	0.5808	0.994307	9.00569	156.368	0.000221567	406.021	5.5845	0.00648789	18.7131	211.147	3.2835	-7.73059e-29	5.35004e-05	0.433632	1.83483e-05	0.719883	0.810545	9.18945	158.031	0.000238776	0.019972	5.5845	0.00649256	105.852	10.1098	-7.73059e-29	5.88239
45	0.000650208	3.90171	0.00429559	219.006	0.000416597	5.32604e-05	251.607	41.4146	-5.39245e-29	0.931001	99.069	0.434004	1.50502e-05	4.98532e-05	3.98622e-05	0.00105708	1.21095e-06	0.575429	1.00295	8.99705	156.289	0.000226199	405.842	5.58427	0.00605362	19.1424	211.568	3.34602	-7.71668e-29	4.99294e-05	0.433974	1.8006e-05	0.713125	0.817814	9.18219	157.965	0.000242906	0.0199678	5.58426	0.00605829	106.09	10.3078	-7.71668e-29	5.96001
