Time	[Ctelo]	[Utelo]	[Cdc13]	[Rad17Utelo]	[Rad17]	[Rad24]	[RPA]	[Mec1]	[ssDNA]	[RPAssDNA]	[RPAssDNA1]	[RPAssDNA2]	[Mec1RPAssDNA]	[ExoXI]	[ExoXA]	[Exo1I]	[Exo1A]	[Rad9I]	[Rad9A]	[Rad53I]	[Rad53A]	[Chk1I]	[Chk1A]	[Dun1I]	[Dun1A]	[ATP]	[ADP]	[Rad9Kin]	[recovery]	[G1]	[S]	[G2]	[M]	[G1cyclin]	[Scyclin]	[G2cyclin]	[Mcyclin]	[G1CdkI]	[G1CdkA]	[SCdkI]	[SCdkA]	[G2CdkI]	[G2CdkA]	[MCdkI]	[MCdkA]	[G1Soff]	[G1Son]	[SG2off]	[SG2on]	[G2Moff]	[G2Mon]	[MG1off]	[MG1on]	[sink]	[budscar]
38	63.8366	0.163167	300.163	0.000251711	69.9997	70	3999.96	4000	0.000331651	1.88696e-05	0.0237732	0.00913322	0.00316348	69.9998	0.000170604	176.863	493.137	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	5.94346	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
39	63.8365	0.163242	300.164	0.000259708	69.9997	70	3999.96	4000	0.000331315	1.98572e-05	0.0243023	0.00961929	0.0034733	69.9998	0.000176199	170.772	499.228	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	6.09624	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
40	63.8364	0.163307	300.164	0.000267708	69.9997	70	3999.96	4000	0.000330908	2.08396e-05	0.0248135	0.0101059	0.00379888	69.9998	0.000181796	164.89	505.11	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	6.24883	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
41	63.8364	0.163362	300.164	0.000275712	69.9997	70	3999.96	4000	0.00033044	2.18153e-05	0.0253075	0.0105924	0.00414013	69.9998	0.000187397	159.211	510.789	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	6.40124	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
42	63.8363	0.16341	300.164	0.000283718	69.9997	70	3999.96	4000	0.000329921	2.27832e-05	0.0257847	0.0110782	0.00449693	69.9998	0.000192999	153.727	516.273	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	6.55347	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
43	63.8363	0.163451	300.164	0.000291726	69.9997	70	3999.96	4000	0.000329358	2.3742e-05	0.0262456	0.0115626	0.00486914	69.9998	0.000198603	148.432	521.568	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	6.70551	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
44	63.8362	0.163486	300.164	0.000299736	69.9997	70	3999.96	3999.99	0.000328758	2.46908e-05	0.0266909	0.0120452	0.00525662	69.9998	0.000204208	143.32	526.68	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	6.85737	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
45	63.8362	0.163516	300.164	0.000307747	69.9997	70	3999.95	3999.99	0.000328126	2.56289e-05	0.0271209	0.0125255	0.00565919	69.9998	0.000209815	138.383	531.617	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	7.00905	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
46	63.8361	0.163542	300.164	0.00031576	69.9997	70	3999.95	3999.99	0.000327469	2.65553e-05	0.0275362	0.0130029	0.00607668	69.9998	0.000215423	133.617	536.383	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	7.16055	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
47	63.8361	0.163565	300.164	0.000323774	69.9997	70	3999.95	3999.99	0.00032679	2.74696e-05	0.0279373	0.0134772	0.0065089	69.9998	0.000221032	129.015	540.985	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	7.31187	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
