Time	[NFkB]	[IKKIkBa]	[IKKIkBaNFkB]	[IKK]	[IkBa]	[IKKIkBb]	[IKKIkBbNFkB]	[IkBb]	[IKKIkBe]	[IKKIkBeNFkB]	[IkBe]	[IkBaNFkB]	[IkBbNFkB]	[IkBeNFkB]	[source]	[IkBat]	[sink]	[NFkBn]	[IkBan]	[IkBanNFkBn]	[IkBbn]	[IkBbnNFkBn]	[IkBbt]	[IkBen]	[IkBenNFkBn]	[IkBet]
37	0.00247349	0.0106458	0.0223431	0.0640452	0.174378	0.000343061	0.000986947	0.0206198	0.000360203	0.000932914	0.0146057	0.0531081	0.00844302	0.00568971	1	0.00548753	0	0.00167881	0.190854	0.00337586	0.0215862	0.000564516	0.000636947	0.0154197	0.000403251	0.000454985
38	0.00249775	0.0108367	0.0224851	0.0636607	0.17394	0.000349896	0.00100355	0.0205904	0.00036717	0.000946332	0.0145822	0.0527471	0.00844306	0.00568323	1	0.00548758	0	0.00171153	0.190708	0.00348849	0.0215691	0.000579546	0.000636947	0.0154075	0.000413987	0.000454985
39	0.0025206	0.0110243	0.0226167	0.0632911	0.173503	0.000356646	0.00101985	0.020561	0.000374042	0.000959409	0.0145587	0.0523974	0.00844356	0.00567716	1	0.00548763	0	0.00174293	0.190559	0.00360244	0.0215517	0.00059482	0.000636946	0.0153951	0.000424898	0.000454984
40	0.00254213	0.0112085	0.0227382	0.0629356	0.173066	0.000363315	0.00103587	0.0205314	0.000380819	0.000972158	0.0145351	0.0520585	0.00844451	0.00567146	1	0.00548769	0	0.00177306	0.190407	0.00371755	0.021534	0.000610323	0.000636946	0.0153824	0.000435972	0.000454984
41	0.00256239	0.0113894	0.0228503	0.0625936	0.172631	0.000369904	0.0010516	0.0205017	0.000387504	0.00098459	0.0145114	0.05173	0.00844587	0.00566614	1	0.00548774	0	0.00180195	0.190253	0.00383368	0.021516	0.000626038	0.000636946	0.0153695	0.000447198	0.000454984
42	0.00258144	0.0115672	0.0229533	0.0622645	0.172196	0.000376414	0.00106706	0.0204719	0.0003941	0.000996716	0.0144877	0.0514115	0.00844765	0.00566117	1	0.0054878	0	0.00182963	0.190096	0.00395069	0.0214977	0.000641952	0.000636945	0.0153564	0.000458565	0.000454983
43	0.00259935	0.0117419	0.0230479	0.0619478	0.171763	0.000382849	0.00108226	0.020442	0.000400608	0.00100855	0.014464	0.0511027	0.0084498	0.00565653	1	0.00548786	0	0.00185614	0.189936	0.00406845	0.0214792	0.000658048	0.000636945	0.0153432	0.000470064	0.000454983
44	0.00261617	0.0119136	0.0231343	0.061643	0.17133	0.00038921	0.00109721	0.0204121	0.000407031	0.00102009	0.0144402	0.0508031	0.00845233	0.00565221	1	0.00548792	0	0.00188153	0.189775	0.00418684	0.0214603	0.000674314	0.000636945	0.0153297	0.000481682	0.000454983
45	0.00263196	0.0120824	0.023213	0.0613495	0.170899	0.000395498	0.00111191	0.0203821	0.000413371	0.00103136	0.0144164	0.0505124	0.0084552	0.0056482	1	0.00548798	0	0.00190582	0.18961	0.00430573	0.0214413	0.000690735	0.000636944	0.0153161	0.000493412	0.000454982
46	0.00264676	0.0122483	0.0232845	0.0610669	0.170469	0.000401716	0.00112637	0.0203521	0.000419629	0.00104236	0.0143926	0.0502302	0.00845841	0.00564447	1	0.00548805	0	0.00192906	0.189444	0.00442502	0.021422	0.000707298	0.000636944	0.0153023	0.000505244	0.000454982
47	0.00266064	0.0124114	0.023349	0.0607946	0.17004	0.000407864	0.0011406	0.020322	0.000425808	0.00105311	0.0143688	0.0499564	0.00846194	0.00564103	1	0.00548811	0	0.00195129	0.189276	0.00454459	0.0214025	0.000723992	0.000636944	0.0152883	0.000517169	0.000454981
48	0.00267362	0.0125718	0.023407	0.0605323	0.169612	0.000413946	0.0011546	0.0202918	0.00043191	0.0010636	0.014345	0.0496904	0.00846577	0.00563786	1	0.00548818	0	0.00197254	0.189106	0.00466434	0.0213828	0.000740803	0.000636943	0.0152742	0.000529178	0.000454981
49	0.00268577	0.0127295	0.0234587	0.0602796	0.169186	0.000419962	0.00116839	0.0202617	0.000437936	0.00107386	0.0143212	0.0494321	0.00846989	0.00563494	1	0.00548825	0	0.00199284	0.188934	0.00478418	0.0213629	0.000757721	0.000636943	0.01526	0.000541262	0.000454981
50	0.00269711	0.0128846	0.0235046	0.0600359	0.168761	0.000425914	0.00118196	0.0202315	0.000443888	0.00108388	0.0142974	0.0491813	0.00847428	0.00563226	1	0.00548832	0	0.00201225	0.18876	0.004904	0.0213428	0.000774734	0.000636943	0.0152456	0.000553415	0.00045498
51	0.0027077	0.0130371	0.0235448	0.059801	0.168337	0.000431803	0.00119533	0.0202013	0.000449767	0.00109367	0.0142736	0.0489375	0.00847895	0.00562982	1	0.00548839	0	0.00203079	0.188585	0.00502373	0.0213225	0.000791833	0.000636942	0.0152311	0.000565629	0.00045498
52	0.00271756	0.0131871	0.0235797	0.0595745	0.167915	0.00043763	0.0012085	0.0201712	0.000455575	0.00110325	0.0142499	0.0487005	0.00848386	0.0056276	1	0.00548846	0	0.0020485	0.188408	0.00514327	0.0213021	0.000809006	0.000636942	0.0152165	0.000577896	0.000454979
53	0.00272674	0.0133347	0.0236096	0.0593561	0.167494	0.000443398	0.00122148	0.020141	0.000461314	0.00111262	0.0142261	0.0484702	0.00848902	0.0056256	1	0.00548853	0	0.0020654	0.188229	0.00526256	0.0212815	0.000826244	0.000636942	0.0152017	0.000590209	0.000454979
54	0.00273526	0.0134799	0.0236348	0.0591453	0.167074	0.000449107	0.00123426	0.0201108	0.000466985	0.00112177	0.0142024	0.0482463	0.0084944	0.00562379	1	0.00548861	0	0.00208155	0.188049	0.00538151	0.0212607	0.000843538	0.000636941	0.0151869	0.000602563	0.000454979
55	0.00274316	0.0136227	0.0236554	0.058942	0.166656	0.000454759	0.00124687	0.0200806	0.00047259	0.00113073	0.0141787	0.0480285	0.00850001	0.00562219	1	0.00548868	0	0.00209695	0.187868	0.00550005	0.0212398	0.00086088	0.000636941	0.0151719	0.00061495	0.000454978
56	0.00275048	0.0137633	0.0236717	0.0587457	0.166239	0.000460354	0.00125929	0.0200505	0.00047813	0.0011395	0.014155	0.0478167	0.00850582	0.00562077	1	0.00548876	0	0.00211166	0.187686	0.00561813	0.0212188	0.000878261	0.000636941	0.0151569	0.000627366	0.000454978
57	0.00275723	0.0139016	0.023684	0.0585562	0.165824	0.000465894	0.00127155	0.0200204	0.000483605	0.00114808	0.0141314	0.0476106	0.00851184	0.00561953	1	0.00548884	0	0.00212569	0.187502	0.00573568	0.0211977	0.000895672	0.00063694	0.0151418	0.000639803	0.000454977
58	0.00276346	0.0140377	0.0236924	0.0583733	0.16541	0.000471381	0.00128363	0.0199903	0.000489019	0.00115648	0.0141078	0.0474101	0.00851804	0.00561846	1	0.00548891	0	0.00213908	0.187318	0.00585265	0.0211764	0.000913107	0.00063694	0.0151266	0.000652257	0.000454977
59	0.00276918	0.0141716	0.0236972	0.0581966	0.164998	0.000476814	0.00129556	0.0199602	0.000494371	0.0011647	0.0140842	0.0472149	0.00852443	0.00561756	1	0.00548899	0	0.00215186	0.187132	0.00596897	0.0211551	0.000930559	0.00063694	0.0151113	0.000664722	0.000454977
60	0.00277442	0.0143035	0.0236986	0.0580259	0.164587	0.000482196	0.00130732	0.0199302	0.000499663	0.00117276	0.0140607	0.0470249	0.00853099	0.00561681	1	0.00548907	0	0.00216404	0.186945	0.0060846	0.0211336	0.000948019	0.000636939	0.0150959	0.000677195	0.000454976
61	0.00277921	0.0144333	0.0236967	0.057861	0.164178	0.000487528	0.00131892	0.0199002	0.000504897	0.00118064	0.0140372	0.0468399	0.00853772	0.00561622	1	0.00548915	0	0.00217567	0.186757	0.00619949	0.021112	0.000965483	0.000636939	0.0150805	0.000689669	0.000454976
62	0.00278356	0.014561	0.0236918	0.0577016	0.16377	0.000492809	0.00133038	0.0198702	0.000510072	0.00118837	0.0140138	0.0466598	0.00854461	0.00561576	1	0.00548923	0	0.00218675	0.186569	0.0063136	0.0210904	0.000982944	0.000636939	0.015065	0.000702141	0.000454975
63	0.00278751	0.0146867	0.023684	0.0575476	0.163364	0.000498042	0.00134169	0.0198404	0.000515191	0.00119594	0.0139904	0.0464843	0.00855165	0.00561545	1	0.00548932	0	0.00219732	0.186379	0.00642689	0.0210686	0.0010004	0.000636938	0.0150494	0.000714607	0.000454975
64	0.00279107	0.0148105	0.0236734	0.0573987	0.162959	0.000503227	0.00135285	0.0198105	0.000520254	0.00120336	0.0139671	0.0463134	0.00855883	0.00561527	1	0.0054894	0	0.0022074	0.186189	0.00653932	0.0210468	0.00101783	0.000636938	0.0150338	0.000727062	0.000454975
65	0.00279426	0.0149324	0.0236602	0.0572546	0.162556	0.000508365	0.00136387	0.0197807	0.000525263	0.00121063	0.0139438	0.0461468	0.00856615	0.00561521	1	0.00548948	0	0.00221701	0.185998	0.00665085	0.0210249	0.00103525	0.000636938	0.0150182	0.000739503	0.000454974
66	0.0027971	0.0150524	0.0236446	0.0571153	0.162155	0.000513456	0.00137476	0.019751	0.000530218	0.00121775	0.0139206	0.0459844	0.0085736	0.00561528	1	0.00548957	0	0.00222618	0.185806	0.00676145	0.021003	0.00105264	0.000636937	0.0150025	0.000751926	0.000454974
67	0.0027996	0.0151706	0.0236267	0.0569806	0.161755	0.000518503	0.00138551	0.0197213	0.000535121	0.00122474	0.0138974	0.0458262	0.00858118	0.00561546	1	0.00548965	0	0.00223492	0.185614	0.0068711	0.020981	0.00107	0.000636937	0.0149867	0.000764328	0.000454973
68	0.0028018	0.0152869	0.0236066	0.0568501	0.161356	0.000523505	0.00139613	0.0196917	0.000539972	0.00123159	0.0138743	0.0456719	0.00858888	0.00561576	1	0.00548974	0	0.00224324	0.185421	0.00697976	0.0209589	0.00108733	0.000636937	0.0149709	0.000776706	0.000454973
69	0.00280369	0.0154015	0.0235844	0.0567239	0.160959	0.000528464	0.00140663	0.0196622	0.000544772	0.00123831	0.0138513	0.0455215	0.0085967	0.00561616	1	0.00548982	0	0.00225119	0.185228	0.00708741	0.0209367	0.00110462	0.000636936	0.0149551	0.000789056	0.000454973
70	0.0028053	0.0155143	0.0235604	0.0566017	0.160564	0.000533379	0.001417	0.0196327	0.000549522	0.00124491	0.0138283	0.0453748	0.00860462	0.00561666	1	0.00548991	0	0.00225875	0.185034	0.00719404	0.0209146	0.00112187	0.000636936	0.0149392	0.000801376	0.000454972
71	0.00280665	0.0156254	0.0235345	0.0564833	0.16017	0.000538252	0.00142725	0.0196033	0.000554223	0.00125137	0.0138054	0.0452317	0.00861265	0.00561726	1	0.00549	0	0.00226597	0.184839	0.0072996	0.0208923	0.00113907	0.000636935	0.0149233	0.000813663	0.000454972
72	0.00280774	0.0157349	0.023507	0.0563687	0.159778	0.000543084	0.00143738	0.0195739	0.000558875	0.00125772	0.0137825	0.045092	0.00862078	0.00561796	1	0.00549009	0	0.00227285	0.184645	0.0074041	0.0208701	0.00115623	0.000636935	0.0149073	0.000825915	0.000454971
73	0.0028086	0.0158427	0.0234779	0.0562577	0.159388	0.000547875	0.0014474	0.0195447	0.000563481	0.00126395	0.0137597	0.0449558	0.00862901	0.00561875	1	0.00549017	0	0.00227941	0.184449	0.00750751	0.0208478	0.00117333	0.000636935	0.0148914	0.000838129	0.000454971
74	0.00280923	0.0159488	0.0234472	0.0561501	0.158999	0.000552626	0.0014573	0.0195155	0.000568039	0.00127006	0.013737	0.0448228	0.00863732	0.00561962	1	0.00549026	0	0.00228566	0.184254	0.00760982	0.0208254	0.00119037	0.000636934	0.0148754	0.000850303	0.000454971
75	0.00280964	0.0160534	0.0234152	0.0560458	0.158611	0.000557338	0.00146709	0.0194864	0.000572552	0.00127607	0.0137143	0.044693	0.00864572	0.00562058	1	0.00549035	0	0.00229162	0.184057	0.00771101	0.020803	0.00120735	0.000636934	0.0148594	0.000862435	0.00045497
76	0.00280985	0.0161564	0.0233819	0.0559447	0.158225	0.000562011	0.00147678	0.0194573	0.000577019	0.00128196	0.0136917	0.0445663	0.00865421	0.00562161	1	0.00549044	0	0.0022973	0.183861	0.00781107	0.0207806	0.00122428	0.000636934	0.0148433	0.000874523	0.00045497
77	0.00280987	0.0162578	0.0233473	0.0558467	0.157841	0.000566645	0.00148636	0.0194284	0.000581442	0.00128775	0.0136692	0.0444425	0.00866277	0.00562272	1	0.00549053	0	0.00230271	0.183664	0.00790999	0.0207582	0.00124114	0.000636933	0.0148273	0.000886564	0.00045497
78	0.00280971	0.0163577	0.0233116	0.0557517	0.157458	0.000571242	0.00149583	0.0193995	0.000585821	0.00129343	0.0136467	0.0443217	0.00867141	0.00562391	1	0.00549062	0	0.00230788	0.183467	0.00800777	0.0207358	0.00125793	0.000636933	0.0148112	0.000898558	0.000454969
79	0.00280939	0.0164561	0.0232749	0.0556594	0.157077	0.000575802	0.0015052	0.0193707	0.000590156	0.00129901	0.0136243	0.0442036	0.00868013	0.00562516	1	0.00549071	0	0.0023128	0.18327	0.00810439	0.0207133	0.00127465	0.000636933	0.0147951	0.000910503	0.000454969
80	0.0028089	0.0165531	0.0232371	0.05557	0.156697	0.000580325	0.00151448	0.019342	0.000594449	0.0013045	0.013602	0.0440883	0.00868891	0.00562649	1	0.0054908	0	0.0023175	0.183072	0.00819984	0.0206908	0.0012913	0.000636932	0.014779	0.000922396	0.000454968
81	0.00280826	0.0166486	0.0231985	0.0554831	0.156319	0.000584812	0.00152365	0.0193134	0.0005987	0.00130989	0.0135797	0.0439756	0.00869775	0.00562788	1	0.0054909	0	0.00232198	0.182875	0.00829414	0.0206683	0.00130788	0.000636932	0.0147629	0.000934237	0.000454968
82	0.00280748	0.0167427	0.023159	0.0553989	0.155942	0.000589264	0.00153274	0.0192848	0.00060291	0.00131518	0.0135575	0.0438654	0.00870666	0.00562933	1	0.00549099	0	0.00232625	0.182677	0.00838726	0.0206458	0.00132438	0.000636932	0.0147468	0.000946025	0.000454968
83	0.00280657	0.0168354	0.0231187	0.055317	0.155567	0.000593681	0.00154173	0.0192564	0.000607079	0.00132039	0.0135354	0.0437578	0.00871563	0.00563084	1	0.00549108	0	0.00233033	0.182479	0.00847921	0.0206232	0.00134081	0.000636931	0.0147307	0.000957757	0.000454967
84	0.00280553	0.0169267	0.0230777	0.0552376	0.155193	0.000598063	0.00155062	0.019228	0.000611208	0.0013255	0.0135133	0.0436525	0.00872465	0.0056324	1	0.00549117	0	0.00233422	0.18228	0.00856999	0.0206007	0.00135716	0.000636931	0.0147146	0.000969433	0.000454967
85	0.00280437	0.0170166	0.023036	0.0551604	0.154821	0.000602412	0.00155943	0.0191997	0.000615298	0.00133053	0.0134914	0.0435496	0.00873373	0.00563403	1	0.00549126	0	0.00233794	0.182082	0.0086596	0.0205782	0.00137342	0.000636931	0.0146984	0.000981052	0.000454966
86	0.00280311	0.0171053	0.0229937	0.0550854	0.154451	0.000606727	0.00156815	0.0191715	0.000619348	0.00133548	0.0134694	0.0434489	0.00874286	0.0056357	1	0.00549136	0	0.00234148	0.181883	0.00874802	0.0205556	0.00138961	0.00063693	0.0146823	0.000992613	0.000454966
87	0.00280174	0.0171926	0.0229509	0.0550125	0.154082	0.000611008	0.00157679	0.0191434	0.00062336	0.00134034	0.0134476	0.0433505	0.00875204	0.00563743	1	0.00549145	0	0.00234487	0.181685	0.00883528	0.0205331	0.00140571	0.00063693	0.0146661	0.00100411	0.000454966
