Time	[CC]	[CCPT]	[clkp]	[perp]	[clkm]	[perm]	[PT]	[vrip]	[vrim]	[VRI]	[pdpp]	[pdpm]	[PDP]	[CLK]	[PER]	[timp]	[timm]	[TIM]	[CYC]	[CCbindingPer]	[CCbindingvri]	[CCbindingpdp]	[VRIbindingclkp]	[PDPbindingclkp]	[CCbindingtim]
43	0.0479395	0.491415	0.003185	0.003185	0.232414	0.289188	4.61689	0.003185	0.32656	4.06997	0.003185	0.361785	4.44441	3.18056	4.41622	0.003185	0.289185	4.41604	1	0.0270787	0.0314386	0.0945332	0.541415	0.385361	0.0270787
44	0.0595783	0.501584	0.003185	0.003185	0.237626	0.278455	3.7919	0.003185	0.310457	3.87501	0.003185	0.353819	4.42189	3.25373	4.14122	0.003185	0.278452	4.14104	1	0.0240044	0.0283962	0.0845815	0.53033	0.394391	0.0240044
45	0.0795905	0.511718	0.003185	0.003185	0.243022	0.267927	2.89563	0.003185	0.29506	3.68491	0.003185	0.345285	4.38829	3.33265	3.82495	0.003185	0.267924	3.82478	1	0.0225662	0.0274162	0.0768199	0.519213	0.403303	0.0225662
46	0.11843	0.520451	0.003185	0.003185	0.248442	0.257868	1.97875	0.003185	0.280756	3.50411	0.003185	0.336456	4.34446	3.41769	3.47567	0.003185	0.257866	3.47551	1	0.0231472	0.029086	0.0716414	0.508334	0.411868	0.0231472
47	0.211803	0.523363	0.003185	0.003185	0.253733	0.248659	1.11159	0.003185	0.268135	3.33802	0.003185	0.327722	4.29168	3.51497	3.11037	0.003185	0.248656	3.11022	1	0.0272468	0.0355628	0.0704756	0.498014	0.419831	0.0272468
48	0.50251	0.504336	0.003185	0.003185	0.258723	0.241122	0.450234	0.003185	0.258543	3.19638	0.003185	0.319845	4.232	3.65498	2.78562	0.003185	0.24112	2.78548	1	0.040634	0.0549922	0.0787365	0.488763	0.426818	0.040634
49	1.18815	0.471849	0.003185	0.003185	0.263156	0.237399	0.178401	0.003185	0.255503	3.1035	0.003185	0.314647	4.16932	3.90695	2.61665	0.003185	0.237397	2.61651	1	0.0787507	0.108509	0.111244	0.481717	0.43206	0.0787507
50	1.99391	0.467471	0.003185	0.003185	0.266527	0.240307	0.105575	0.003185	0.263285	3.10384	0.003185	0.314491	4.11094	4.2312	2.58472	0.003185	0.240305	2.58459	1	0.147283	0.201116	0.175536	0.479301	0.433856	0.147283
51	2.61871	0.483296	0.003185	0.003185	0.267967	0.249918	0.0832208	0.003185	0.281152	3.22343	0.003185	0.319446	4.06546	4.50724	2.62118	0.003185	0.249916	2.62106	1	0.228353	0.30458	0.257234	0.484101	0.430141	0.228353
52	2.90433	0.510661	0.003185	0.003185	0.266644	0.263834	0.07933	0.003185	0.304685	3.4416	0.003185	0.327546	4.03824	4.65147	2.6932	0.003185	0.263832	2.69309	1	0.300151	0.389659	0.335672	0.496167	0.420565	0.300151
53	2.77839	0.542898	0.003185	0.003185	0.262403	0.27961	0.0881621	0.003185	0.330021	3.71589	0.003185	0.336905	4.03031	4.6211	2.78114	0.003185	0.279609	2.78103	1	0.348301	0.441438	0.395243	0.512907	0.407006	0.348301
54	2.23897	0.574728	0.003185	0.003185	0.255879	0.295643	0.115772	0.003185	0.3549	4.00953	0.003185	0.346445	4.03999	4.41061	2.87632	0.003185	0.295641	2.87622	1	0.366289	0.456083	0.427664	0.531147	0.392057	0.366289
55	1.36512	0.598017	0.003185	0.003185	0.248097	0.310897	0.197306	0.003185	0.377943	4.29772	0.003185	0.355634	4.06454	4.0478	2.98425	0.003185	0.310895	2.98415	1	0.351721	0.433027	0.429447	0.548551	0.377736	0.351721
56	0.477873	0.577011	0.003185	0.003185	0.240049	0.324388	0.540743	0.003185	0.39776	4.562	0.003185	0.364125	4.10088	3.61857	3.16551	0.003185	0.324386	3.16542	1	0.305993	0.373625	0.401059	0.563772	0.365222	0.305993
57	0.15179	0.51868	0.003185	0.003185	0.232509	0.334965	1.53288	0.003185	0.412576	4.78299	0.003185	0.371561	4.14579	3.32384	3.55415	0.003185	0.334964	3.55406	1	0.247051	0.298762	0.356485	0.576038	0.355163	0.247051
58	0.0799164	0.493375	0.003185	0.003185	0.226034	0.341936	2.77374	0.003185	0.421347	4.94276	0.003185	0.377653	4.19592	3.17569	3.99415	0.003185	0.341934	3.99406	1	0.195169	0.233563	0.3125	0.584847	0.34797	0.195169
59	0.0545404	0.478886	0.003185	0.003185	0.220999	0.345239	3.94696	0.003185	0.424132	5.03318	0.003185	0.382224	4.24803	3.0832	4.36512	0.003185	0.345237	4.36504	1	0.153439	0.181726	0.272977	0.590021	0.343811	0.153439
60	0.0427792	0.469309	0.003185	0.003185	0.217607	0.345152	4.93327	0.003185	0.42157	5.05559	0.003185	0.385162	4.29909	3.02171	4.64768	0.003185	0.34515	4.64761	1	0.120576	0.141397	0.238187	0.591713	0.342578	0.120576
61	0.0367778	0.463701	0.003185	0.003185	0.215896	0.342127	5.67169	0.003185	0.41456	5.01726	0.003185	0.386415	4.34637	2.98634	4.84139	0.003185	0.342125	4.84132	1	0.0949158	0.1103	0.207804	0.590292	0.343966	0.0949158
62	0.0338773	0.461721	0.003185	0.003185	0.21578	0.336684	6.13298	0.003185	0.404067	4.92838	0.003185	0.385993	4.38749	2.97482	4.95008	0.003185	0.336683	4.95001	1	0.0749879	0.0864622	0.181387	0.586221	0.347578	0.0749879
63	0.0330169	0.463	0.003185	0.003185	0.217089	0.329344	6.31204	0.003185	0.391003	4.79989	0.003185	0.383956	4.4205	2.98467	4.97926	0.003185	0.329343	4.9792	1	0.0595897	0.0682943	0.1585	0.579984	0.352989	0.0595897
64	0.0337956	0.467082	0.003185	0.003185	0.219612	0.320589	6.22244	0.003185	0.376177	4.64221	0.003185	0.38041	4.44385	3.01296	4.93521	0.003185	0.320588	4.93515	1	0.0477684	0.0545552	0.138742	0.572039	0.359791	0.0477684
65	0.0361895	0.473467	0.003185	0.003185	0.223123	0.310844	5.89134	0.003185	0.360275	4.46462	0.003185	0.375496	4.45646	3.05659	4.82447	0.003185	0.310843	4.82441	1	0.0387863	0.0442984	0.121767	0.562801	0.367611	0.0387863
66	0.0405071	0.481637	0.003185	0.003185	0.227398	0.300473	5.35489	0.003185	0.34386	4.27503	0.003185	0.369382	4.45764	3.11253	4.65353	0.003185	0.300472	4.65347	1	0.0320874	0.0368238	0.107285	0.552641	0.376115	0.0320874
67	0.0475182	0.491069	0.003185	0.003185	0.232229	0.289784	4.65453	0.003185	0.327394	4.07997	0.003185	0.362253	4.44714	3.17804	4.42865	0.003185	0.289783	4.4286	1	0.0272776	0.0316486	0.0950788	0.541881	0.385009	0.0272776
68	0.0588728	0.501209	0.003185	0.003185	0.237424	0.279044	3.83446	0.003185	0.311266	3.88489	0.003185	0.354317	4.42506	3.25083	4.15591	0.003185	0.279043	4.15586	1	0.0241241	0.0285077	0.0850229	0.53081	0.394032	0.0241241
69	0.0783146	0.511358	0.003185	0.003185	0.24281	0.268497	2.94075	0.003185	0.295825	3.69444	0.003185	0.345799	4.39188	3.32943	3.84158	0.003185	0.268497	3.84153	1	0.0226007	0.0274183	0.0771492	0.519695	0.402949	0.0226007
