Time	[MAPKKK activator (Ras)]	[MAPKKK inactivator]	[Mos]	[Mos-P]	[Mek1]	[Mek1-P]	[Mek1-PP]	[Erk2]	[Erk2-P]	[Erk2-PP]	[MAPK-Pase]	[MAPKK-Pase]	[E1_Mos]	[E2_Mos-P]	[P-Mos_Mek1]	[P-Mos_P-Mek1]	[PP-Mek1_Erk2]	[PP-Mek1_P-Erk2]	[MAPKK-Pase_PP-Mek1]	[MAPKK-Pase_P-Mek1]	[MAPK-Pase_PP-Erk2]	[MAPK-Pase_P-Erk2]	[K_PP_norm]	[KK_PP_norm]	[KKK_P_norm]	[relative maximal K_PP]
82	2.97513e-05	0.000299739	0.00250794	0.00026096	0.0535382	0.21155	0.84185	0.00104022	0.0319577	0.981807	0.0274022	6.64992e-05	2.48714e-07	2.60737e-07	4.65717e-05	0.000184023	0.00291902	0.0896787	0.000186608	4.68928e-05	0.0896788	0.00291903	0.892904	0.778862	0.163879	0.992062
83	2.97511e-05	0.00029974	0.00250964	0.000259862	0.0536034	0.211903	0.841432	0.00104123	0.0319731	0.98179	0.0274022	6.65024e-05	2.48882e-07	2.59641e-07	4.64321e-05	0.000183554	0.00292042	0.0896772	0.000186524	4.69733e-05	0.0896774	0.00292044	0.89289	0.778514	0.16331	0.992046
84	2.9751e-05	0.000299741	0.00251117	0.000258839	0.0536991	0.212278	0.840963	0.00104238	0.0319903	0.981772	0.0274022	6.6507e-05	2.49032e-07	2.58619e-07	4.63317e-05	0.000183154	0.002922	0.0896756	0.000186433	4.70596e-05	0.0896758	0.00292202	0.892873	0.778122	0.162802	0.992027
85	2.97508e-05	0.000299742	0.00251252	0.000257888	0.0538205	0.212668	0.840452	0.00104363	0.0320092	0.981752	0.0274022	6.6513e-05	2.49165e-07	2.5767e-07	4.62657e-05	0.000182816	0.00292372	0.0896739	0.000186337	4.71502e-05	0.089674	0.00292374	0.892855	0.777696	0.162351	0.992007
86	2.97507e-05	0.000299743	0.00251372	0.000257007	0.0539632	0.213067	0.83991	0.00104495	0.0320292	0.981731	0.0274023	6.652e-05	2.49283e-07	2.5679e-07	4.62298e-05	0.000182534	0.00292554	0.089672	0.000186236	4.72438e-05	0.0896722	0.00292557	0.892836	0.777244	0.161951	0.991986
87	2.97506e-05	0.000299744	0.00251478	0.000256193	0.0541235	0.213473	0.839344	0.00104634	0.03205	0.981708	0.0274023	6.65278e-05	2.49387e-07	2.55977e-07	4.62202e-05	0.000182302	0.00292745	0.0896701	0.000186133	4.73393e-05	0.0896702	0.00292748	0.892816	0.776773	0.161599	0.991963
88	2.97505e-05	0.000299745	0.0025157	0.000255443	0.0542978	0.21388	0.838763	0.00104777	0.0320715	0.981686	0.0274023	6.65364e-05	2.49478e-07	2.55228e-07	4.62333e-05	0.000182115	0.00292942	0.0896681	0.000186028	4.74357e-05	0.0896682	0.00292944	0.892795	0.776289	0.161291	0.99194
89	2.97504e-05	0.000299745	0.00251651	0.000254754	0.0544832	0.214285	0.838172	0.00104922	0.0320934	0.981662	0.0274024	6.65455e-05	2.49557e-07	2.5454e-07	4.6266e-05	0.000181968	0.00293142	0.089666	0.000185922	4.75321e-05	0.0896662	0.00293144	0.892774	0.775796	0.161023	0.991917
90	2.97504e-05	0.000299746	0.0025172	0.000254123	0.0546768	0.214686	0.837578	0.00105069	0.0321154	0.981639	0.0274024	6.6555e-05	2.49625e-07	2.5391e-07	4.63153e-05	0.000181856	0.00293344	0.089664	0.000185817	4.76278e-05	0.0896642	0.00293346	0.892752	0.775301	0.160792	0.991893
91	2.97503e-05	0.000299747	0.0025178	0.000253546	0.0548761	0.215079	0.836986	0.00105215	0.0321374	0.981615	0.0274024	6.65648e-05	2.49684e-07	2.53334e-07	4.63786e-05	0.000181776	0.00293545	0.0896619	0.000185713	4.77221e-05	0.0896621	0.00293547	0.892731	0.774807	0.160594	0.99187
92	2.97503e-05	0.000299747	0.0025183	0.000253021	0.0550791	0.215464	0.836398	0.00105361	0.0321593	0.981592	0.0274024	6.65748e-05	2.49734e-07	2.52809e-07	4.64536e-05	0.000181723	0.00293745	0.0896599	0.000185611	4.78145e-05	0.0896601	0.00293747	0.89271	0.774318	0.160426	0.991846
93	2.97502e-05	0.000299748	0.00251872	0.000252544	0.0552837	0.215837	0.83582	0.00105504	0.0321808	0.981569	0.0274025	6.65849e-05	2.49775e-07	2.52333e-07	4.65382e-05	0.000181694	0.00293942	0.0896579	0.00018551	4.79046e-05	0.0896581	0.00293944	0.892689	0.773836	0.160286	0.991823
94	2.97502e-05	0.000299748	0.00251907	0.000252111	0.0554883	0.216198	0.835255	0.00105645	0.0322019	0.981547	0.0274025	6.6595e-05	2.49809e-07	2.51901e-07	4.66305e-05	0.000181687	0.00294135	0.089656	0.000185413	4.7992e-05	0.0896561	0.00294137	0.892669	0.773365	0.16017	0.991801
95	2.97502e-05	0.000299748	0.00251935	0.000251721	0.0556915	0.216546	0.834704	0.00105783	0.0322225	0.981525	0.0274025	6.6605e-05	2.49837e-07	2.51511e-07	4.67287e-05	0.000181697	0.00294323	0.0896541	0.000185318	4.80765e-05	0.0896542	0.00294325	0.892649	0.772905	0.160076	0.991779
96	2.97501e-05	0.000299749	0.00251957	0.00025137	0.055892	0.21688	0.834169	0.00105916	0.0322425	0.981504	0.0274026	6.66149e-05	2.49859e-07	2.51161e-07	4.68315e-05	0.000181723	0.00294506	0.0896522	0.000185227	4.81578e-05	0.0896524	0.00294508	0.89263	0.77246	0.160002	0.991757
97	2.97501e-05	0.000299749	0.00251974	0.000251055	0.0560888	0.217199	0.833653	0.00106045	0.0322618	0.981483	0.0274026	6.66246e-05	2.49876e-07	2.50846e-07	4.69375e-05	0.000181763	0.00294683	0.0896504	0.00018514	4.82357e-05	0.0896506	0.00294685	0.892611	0.77203	0.159945	0.991736
98	2.97501e-05	0.000299749	0.00251987	0.000250774	0.0562809	0.217503	0.833157	0.0010617	0.0322804	0.981463	0.0274026	6.66341e-05	2.49888e-07	2.50565e-07	4.70455e-05	0.000181813	0.00294853	0.0896487	0.000185056	4.83101e-05	0.0896488	0.00294855	0.892593	0.771616	0.159904	0.991717
99	2.97501e-05	0.00029975	0.00251995	0.000250523	0.0564677	0.217792	0.832681	0.00106289	0.0322982	0.981444	0.0274026	6.66433e-05	2.49896e-07	2.50315e-07	4.71545e-05	0.000181873	0.00295016	0.0896471	0.000184976	4.8381e-05	0.0896472	0.00295018	0.892576	0.771219	0.159877	0.991697
100	2.97501e-05	0.00029975	0.00251999	0.000250301	0.0566485	0.218066	0.832226	0.00106404	0.0323153	0.981426	0.0274027	6.66523e-05	2.499e-07	2.50093e-07	4.72636e-05	0.00018194	0.00295173	0.0896455	0.000184899	4.84483e-05	0.0896456	0.00295174	0.89256	0.77084	0.159862	0.991679
