Time	[PII]	[UTP]	[PIIUMP]	[PPi]	[GLN]	[PIIUMP2]	[PIIUMP3]	[UMP]	[GS]	[AMP]	[NH4]	[KG]	[NADPH]	[GLU]	[NADP]	[AZGLU]	[ATP]	[ADP]	[AZglu]	[AZGLN]	[AZgln]	[P_i]
60	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
61	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
62	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
63	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
64	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
65	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
66	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
67	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
68	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
69	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
70	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
71	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
72	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
73	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
74	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
75	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
76	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
77	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
78	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
79	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
80	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
81	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
82	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
