Time	[sumrc1]	[r]	[c1]	[c2]	[ePI3K]	[m3PI]	[eGEF]	[mRas]	[x1]	[x2]	[y]	[yp]	[ypp]	[z]	[zp]	[zpp]	[fGEF]	[w]	[eph]
65	0.225608	0.135365	0.0902431	0.0123741	0.797605	0.799955	0.244454	0.262593	0.271734	1.03846	0.604263	0.264542	0.131194	0.138951	0.165131	0.695918	0.268428	0.644114	4.39877
66	0.224786	0.134871	0.0899143	0.0122589	0.795369	0.797643	0.244352	0.262482	0.271614	1.03799	0.604409	0.264481	0.13111	0.139381	0.165304	0.695314	0.268478	0.6458	4.40397
67	0.224001	0.134401	0.0896004	0.0121495	0.793206	0.795406	0.244253	0.262375	0.271498	1.03753	0.60455	0.264421	0.131029	0.139794	0.16547	0.694735	0.268527	0.647412	4.40891
68	0.223252	0.133951	0.0893006	0.0120458	0.791117	0.793243	0.244158	0.262272	0.271386	1.03708	0.604687	0.264363	0.13095	0.140191	0.165629	0.69418	0.268573	0.648953	4.41361
69	0.222536	0.133521	0.0890143	0.0119473	0.789098	0.791153	0.244066	0.262172	0.271278	1.03665	0.60482	0.264307	0.130873	0.140571	0.165781	0.693648	0.268618	0.650426	4.41808
70	0.221852	0.133111	0.0887408	0.0118537	0.787149	0.789133	0.243977	0.262076	0.271174	1.03624	0.604949	0.264253	0.130799	0.140936	0.165927	0.693138	0.268661	0.651833	4.42233
71	0.221199	0.132719	0.0884795	0.0117647	0.785267	0.787183	0.243892	0.261983	0.271073	1.03583	0.605073	0.2642	0.130727	0.141286	0.166066	0.692649	0.268702	0.653177	4.42638
72	0.220575	0.132345	0.0882298	0.0116802	0.783452	0.785301	0.243809	0.261893	0.270976	1.03544	0.605194	0.264149	0.130657	0.141621	0.166199	0.69218	0.268742	0.654462	4.43022
73	0.219978	0.131987	0.0879913	0.0115997	0.781701	0.783484	0.24373	0.261807	0.270882	1.03506	0.605311	0.2641	0.130589	0.141944	0.166326	0.69173	0.26878	0.65569	4.43389
74	0.219408	0.131645	0.0877633	0.0115233	0.780012	0.781732	0.243653	0.261723	0.270792	1.03469	0.605424	0.264052	0.130524	0.142252	0.166448	0.691299	0.268816	0.656863	4.43737
75	0.218863	0.131318	0.0875454	0.0114505	0.778384	0.780043	0.243579	0.261643	0.270704	1.03433	0.605533	0.264006	0.130461	0.142549	0.166565	0.690886	0.268851	0.657984	4.44069
76	0.218343	0.131006	0.0873371	0.0113812	0.776815	0.778414	0.243508	0.261565	0.27062	1.03398	0.605639	0.263961	0.1304	0.142833	0.166676	0.69049	0.268885	0.659055	4.44385
77	0.217845	0.130707	0.087138	0.0113153	0.775304	0.776845	0.24344	0.261491	0.270539	1.03365	0.605741	0.263918	0.130341	0.143106	0.166783	0.690111	0.268917	0.660079	4.44686
78	0.217369	0.130421	0.0869477	0.0112525	0.773849	0.775332	0.243374	0.261419	0.270461	1.03333	0.60584	0.263876	0.130284	0.143367	0.166886	0.689747	0.268948	0.661056	4.44972
79	0.216914	0.130149	0.0867657	0.0111926	0.772447	0.773876	0.24331	0.26135	0.270386	1.03301	0.605935	0.263836	0.130229	0.143618	0.166984	0.689398	0.268977	0.66199	4.45245
80	0.216479	0.129888	0.0865917	0.0111356	0.771098	0.772474	0.243249	0.261283	0.270314	1.03271	0.606027	0.263797	0.130176	0.143858	0.167077	0.689064	0.269006	0.662882	4.45505
81	0.216063	0.129638	0.0864253	0.0110813	0.769799	0.771124	0.24319	0.261219	0.270244	1.03242	0.606116	0.26376	0.130124	0.144089	0.167167	0.688744	0.269033	0.663734	4.45752
82	0.215665	0.129399	0.0862661	0.0110295	0.76855	0.769824	0.243133	0.261158	0.270177	1.03214	0.606202	0.263723	0.130075	0.14431	0.167253	0.688437	0.269059	0.664548	4.45988
83	0.215285	0.129171	0.0861139	0.0109802	0.767348	0.768574	0.243079	0.261098	0.270112	1.03187	0.606284	0.263689	0.130027	0.144522	0.167335	0.688143	0.269084	0.665326	4.46213
84	0.214921	0.128953	0.0859684	0.0109331	0.766191	0.767371	0.243026	0.261041	0.27005	1.0316	0.606364	0.263655	0.129981	0.144725	0.167413	0.687861	0.269108	0.666069	4.46427
85	0.214573	0.128744	0.0858291	0.0108882	0.765079	0.766214	0.242976	0.260986	0.26999	1.03135	0.606441	0.263623	0.129937	0.14492	0.167489	0.687591	0.269132	0.666778	4.46631
86	0.21424	0.128544	0.085696	0.0108453	0.76401	0.765101	0.242928	0.260933	0.269933	1.03111	0.606515	0.263591	0.129894	0.145107	0.167561	0.687333	0.269154	0.667455	4.46825
87	0.213921	0.128353	0.0855685	0.0108044	0.762982	0.764031	0.242881	0.260883	0.269877	1.03087	0.606586	0.263561	0.129853	0.145286	0.16763	0.687085	0.269175	0.668102	4.4701
88	0.213617	0.12817	0.0854467	0.0107654	0.761995	0.763003	0.242836	0.260834	0.269824	1.03065	0.606655	0.263532	0.129813	0.145457	0.167696	0.686847	0.269195	0.66872	4.47187
89	0.213325	0.127995	0.08533	0.0107282	0.761045	0.762014	0.242793	0.260787	0.269773	1.03043	0.606721	0.263504	0.129775	0.145621	0.167759	0.68662	0.269215	0.66931	4.47355
90	0.213046	0.127828	0.0852184	0.0106927	0.760133	0.761064	0.242752	0.260742	0.269724	1.03022	0.606785	0.263477	0.129738	0.145779	0.167819	0.686402	0.269234	0.669873	4.47516
91	0.212779	0.127668	0.0851117	0.0106587	0.759257	0.760151	0.242712	0.260698	0.269676	1.03002	0.606846	0.263452	0.129703	0.14593	0.167877	0.686193	0.269251	0.670411	4.47668
92	0.212524	0.127514	0.0850095	0.0106263	0.758415	0.759274	0.242674	0.260656	0.269631	1.02982	0.606905	0.263427	0.129668	0.146074	0.167933	0.685993	0.269269	0.670925	4.47814
93	0.212279	0.127368	0.0849118	0.0105954	0.757606	0.758432	0.242637	0.260616	0.269587	1.02964	0.606962	0.263403	0.129636	0.146213	0.167986	0.685802	0.269285	0.671415	4.47953
94	0.212046	0.127227	0.0848182	0.0105658	0.756829	0.757622	0.242601	0.260578	0.269545	1.02945	0.607016	0.26338	0.129604	0.146346	0.168036	0.685618	0.269301	0.671883	4.48085
95	0.211822	0.127093	0.0847287	0.0105376	0.756084	0.756845	0.242568	0.260541	0.269505	1.02928	0.607069	0.263357	0.129574	0.146473	0.168085	0.685442	0.269316	0.67233	4.48212
96	0.211607	0.126964	0.084643	0.0105106	0.755368	0.756099	0.242535	0.260505	0.269466	1.02911	0.607119	0.263336	0.129544	0.146595	0.168131	0.685274	0.269331	0.672757	4.48332
97	0.211402	0.126841	0.084561	0.0104848	0.75468	0.755382	0.242504	0.260471	0.269429	1.02895	0.607168	0.263316	0.129516	0.146711	0.168176	0.685113	0.269344	0.673164	4.48447
98	0.211206	0.126724	0.0844825	0.0104602	0.75402	0.754694	0.242474	0.260438	0.269393	1.0288	0.607215	0.263296	0.129489	0.146823	0.168218	0.684959	0.269358	0.673553	4.48556
99	0.211018	0.126611	0.0844074	0.0104367	0.753387	0.754034	0.242445	0.260407	0.269358	1.02865	0.60726	0.263277	0.129463	0.14693	0.168259	0.684811	0.269371	0.673924	4.48661
100	0.210839	0.126503	0.0843355	0.0104142	0.752779	0.7534	0.242417	0.260376	0.269325	1.02851	0.607303	0.263259	0.129438	0.147032	0.168298	0.68467	0.269383	0.674278	4.4876
