Time	[Dshi]	[Dsha]	[APC_ast/Axin_ast/GSK3beta]	[APC/Axin/GSK3beta]	[GSK3beta]	[APC/Axin]	[APC]	[bCatenin/APC_Ast/Axin_ast/GSK3beta]	[bCatenin_ast/APC_ast/Axin_ast/GSK3beta]	[bCatenin_ast]	[bCatenin]	[Axin]	[TCF]	[bCatenin/TCF]	[bCatenin/APC]	[Rasi]	[Rasa]	[Raf-1]	[Raf-1_ast]	[MEK]	[MEK_ast]	[ERK]	[ERK_ast]	[Raf1/RKIP]	[RKIP]	[RKIP_ast]	[unknown molecule X]	[GSK3beta]
39	100	0	0.0152576	0.00760033	49.1383	0.00154673	96.6017	0.00199959	0.00199959	0.987799	42.7241	0.000800572	6.18777	8.81223	3.43935	200	0	112.558	6.48599	296.114	3.88636	297.89	2.11029	180.96	418.179	0.86188	10.263	49.1383
40	100	0	0.0152576	0.00760034	49.1383	0.00154673	96.6017	0.0019996	0.0019996	0.987802	42.7242	0.000800573	6.18776	8.81224	3.43936	200	0	112.558	6.486	296.114	3.88636	297.89	2.1103	180.96	418.179	0.86188	10.263	49.1383
41	100	0	0.0152576	0.00760034	49.1383	0.00154674	96.6017	0.0019996	0.0019996	0.987805	42.7243	0.000800574	6.18776	8.81224	3.43936	200	0	112.558	6.486	296.114	3.88636	297.89	2.1103	180.96	418.179	0.861881	10.263	49.1383
42	100	0	0.0152576	0.00760035	49.1383	0.00154674	96.6017	0.00199961	0.00199961	0.987808	42.7243	0.000800575	6.18775	8.81225	3.43937	200	0	112.558	6.486	296.114	3.88636	297.89	2.1103	180.96	418.179	0.861882	10.263	49.1383
43	100	0	0.0152576	0.00760036	49.1383	0.00154674	96.6017	0.00199961	0.00199961	0.987811	42.7244	0.000800575	6.18774	8.81226	3.43938	200	0	112.558	6.48601	296.114	3.88637	297.89	2.1103	180.96	418.179	0.861882	10.263	49.1383
44	100	0	0.0152577	0.00760037	49.1383	0.00154674	96.6017	0.00199962	0.00199962	0.987814	42.7245	0.000800576	6.18773	8.81227	3.43938	200	0	112.558	6.48601	296.114	3.88637	297.89	2.1103	180.96	418.179	0.861883	10.263	49.1383
45	100	0	0.0152577	0.00760038	49.1383	0.00154674	96.6017	0.00199963	0.00199963	0.987818	42.7246	0.000800577	6.18773	8.81227	3.43939	200	0	112.558	6.48601	296.114	3.88637	297.89	2.1103	180.96	418.179	0.861884	10.263	49.1383
46	100	0	0.0152577	0.00760039	49.1383	0.00154674	96.6017	0.00199963	0.00199963	0.987821	42.7247	0.000800578	6.18772	8.81228	3.4394	200	0	112.558	6.48602	296.114	3.88638	297.89	2.11031	180.959	418.179	0.861884	10.263	49.1383
47	100	0	0.0152577	0.00760039	49.1383	0.00154675	96.6017	0.00199964	0.00199964	0.987824	42.7248	0.000800579	6.18771	8.81229	3.4394	200	0	112.558	6.48602	296.114	3.88638	297.89	2.11031	180.959	418.179	0.861885	10.263	49.1383
48	100	0	0.0152577	0.0076004	49.1382	0.00154675	96.6017	0.00199964	0.00199964	0.987827	42.7248	0.00080058	6.18771	8.81229	3.43941	200	0	112.558	6.48603	296.114	3.88638	297.89	2.11031	180.959	418.179	0.861886	10.263	49.1382
49	100	0	0.0152577	0.00760041	49.1382	0.00154675	96.6017	0.00199965	0.00199965	0.98783	42.7249	0.000800581	6.1877	8.8123	3.43942	200	0	112.558	6.48603	296.114	3.88638	297.89	2.11031	180.959	418.179	0.861887	10.263	49.1382
50	100	0	0.0152578	0.00760042	49.1382	0.00154675	96.6017	0.00199966	0.00199966	0.987833	42.725	0.000800582	6.18769	8.81231	3.43942	200	0	112.558	6.48603	296.114	3.88639	297.89	2.11031	180.959	418.179	0.861887	10.263	49.1382
51	100	0	0.0152578	0.00760043	49.1382	0.00154675	96.6017	0.00199966	0.00199966	0.987836	42.7251	0.000800583	6.18769	8.81231	3.43943	200	0	112.558	6.48604	296.114	3.88639	297.89	2.11031	180.959	418.179	0.861888	10.263	49.1382
52	100	0	0.0152578	0.00760044	49.1382	0.00154675	96.6017	0.00199967	0.00199967	0.987839	42.7252	0.000800584	6.18768	8.81232	3.43943	200	0	112.558	6.48604	296.114	3.88639	297.89	2.11032	180.959	418.179	0.861889	10.263	49.1382
53	100	0	0.0152578	0.00760044	49.1382	0.00154676	96.6017	0.00199967	0.00199967	0.987842	42.7252	0.000800585	6.18767	8.81233	3.43944	200	0	112.558	6.48605	296.114	3.8864	297.89	2.11032	180.959	418.179	0.86189	10.263	49.1382
54	100	0	0.0152578	0.00760045	49.1382	0.00154676	96.6016	0.00199968	0.00199968	0.987845	42.7253	0.000800586	6.18767	8.81233	3.43945	200	0	112.558	6.48605	296.114	3.8864	297.89	2.11032	180.959	418.179	0.861891	10.263	49.1382
55	100	0	0.0152579	0.00760046	49.1382	0.00154676	96.6016	0.00199969	0.00199969	0.987848	42.7254	0.000800587	6.18766	8.81234	3.43945	200	0	112.558	6.48606	296.114	3.8864	297.89	2.11032	180.959	418.179	0.861892	10.2631	49.1382
56	100	0	0.0152579	0.00760047	49.1382	0.00154676	96.6016	0.00199969	0.00199969	0.98785	42.7255	0.000800587	6.18766	8.81234	3.43946	200	0	112.558	6.48606	296.114	3.88641	297.89	2.11033	180.959	418.179	0.861893	10.2631	49.1382
57	100	0	0.0152579	0.00760048	49.1382	0.00154676	96.6016	0.0019997	0.0019997	0.987853	42.7255	0.000800588	6.18765	8.81235	3.43946	200	0	112.558	6.48607	296.114	3.88641	297.89	2.11033	180.959	418.179	0.861894	10.2631	49.1382
58	100	0	0.0152579	0.00760049	49.1382	0.00154676	96.6016	0.0019997	0.0019997	0.987856	42.7256	0.000800589	6.18764	8.81236	3.43947	200	0	112.558	6.48607	296.114	3.88641	297.89	2.11033	180.959	418.179	0.861895	10.2631	49.1382
59	100	0	0.0152579	0.00760049	49.1382	0.00154677	96.6016	0.00199971	0.00199971	0.987859	42.7257	0.00080059	6.18764	8.81236	3.43947	200	0	112.558	6.48608	296.114	3.88642	297.89	2.11033	180.959	418.179	0.861896	10.2631	49.1382
60	100	0	0.0152579	0.0076005	49.1382	0.00154677	96.6016	0.00199971	0.00199971	0.987862	42.7257	0.000800591	6.18763	8.81237	3.43948	200	0	112.558	6.48608	296.114	3.88642	297.89	2.11033	180.959	418.179	0.861897	10.2631	49.1382
61	100	0	0.015258	0.00760051	49.1382	0.00154677	96.6016	0.00199972	0.00199972	0.987864	42.7258	0.000800592	6.18763	8.81237	3.43948	200	0	112.558	6.48609	296.114	3.88643	297.89	2.11034	180.959	418.179	0.861898	10.2631	49.1382
62	100	0	0.015258	0.00760052	49.1382	0.00154677	96.6016	0.00199972	0.00199972	0.987867	42.7259	0.000800593	6.18762	8.81238	3.43949	200	0	112.558	6.48609	296.114	3.88643	297.89	2.11034	180.959	418.179	0.861899	10.2631	49.1382
63	100	0	0.015258	0.00760053	49.1382	0.00154677	96.6016	0.00199973	0.00199973	0.98787	42.7259	0.000800594	6.18761	8.81239	3.43949	200	0	112.558	6.4861	296.114	3.88643	297.89	2.11034	180.959	418.179	0.8619	10.2631	49.1382
64	100	0	0.015258	0.00760054	49.1382	0.00154677	96.6016	0.00199973	0.00199973	0.987872	42.726	0.000800595	6.18761	8.81239	3.4395	200	0	112.558	6.4861	296.114	3.88644	297.89	2.11034	180.959	418.179	0.861901	10.2631	49.1382
65	100	0	0.015258	0.00760054	49.1382	0.00154678	96.6016	0.00199974	0.00199974	0.987875	42.7261	0.000800596	6.1876	8.8124	3.4395	200	0	112.558	6.48611	296.114	3.88644	297.89	2.11035	180.959	418.179	0.861902	10.2631	49.1382
66	100	0	0.015258	0.00760055	49.1382	0.00154678	96.6016	0.00199975	0.00199975	0.987878	42.7261	0.000800597	6.1876	8.8124	3.43951	200	0	112.558	6.48611	296.114	3.88645	297.89	2.11035	180.959	418.179	0.861903	10.2631	49.1382
67	100	0	0.0152581	0.00760056	49.1382	0.00154678	96.6016	0.00199975	0.00199975	0.98788	42.7262	0.000800598	6.18759	8.81241	3.43951	200	0	112.558	6.48612	296.114	3.88645	297.89	2.11035	180.959	418.179	0.861904	10.2631	49.1382
68	100	0	0.0152581	0.00760057	49.1382	0.00154678	96.6016	0.00199976	0.00199976	0.987883	42.7262	0.000800599	6.18759	8.81241	3.43952	200	0	112.558	6.48612	296.114	3.88645	297.89	2.11035	180.959	418.179	0.861905	10.2631	49.1382
69	100	0	0.0152581	0.00760058	49.1382	0.00154678	96.6016	0.00199976	0.00199976	0.987885	42.7263	0.0008006	6.18758	8.81242	3.43952	200	0	112.558	6.48613	296.114	3.88646	297.89	2.11036	180.959	418.179	0.861906	10.2631	49.1382
70	100	0	0.0152581	0.00760059	49.1382	0.00154678	96.6016	0.00199977	0.00199977	0.987888	42.7264	0.000800601	6.18758	8.81242	3.43953	200	0	112.558	6.48613	296.114	3.88646	297.89	2.11036	180.959	418.179	0.861907	10.2631	49.1382
71	100	0	0.0152581	0.00760059	49.1382	0.00154679	96.6016	0.00199977	0.00199977	0.98789	42.7264	0.000800601	6.18757	8.81243	3.43953	200	0	112.558	6.48614	296.114	3.88647	297.89	2.11036	180.959	418.179	0.861908	10.2631	49.1382
72	100	0	0.0152581	0.0076006	49.1382	0.00154679	96.6016	0.00199978	0.00199978	0.987893	42.7265	0.000800602	6.18757	8.81243	3.43954	200	0	112.558	6.48614	296.114	3.88647	297.89	2.11036	180.959	418.179	0.86191	10.2632	49.1382
73	100	0	0.0152582	0.00760061	49.1382	0.00154679	96.6016	0.00199978	0.00199978	0.987895	42.7265	0.000800603	6.18756	8.81244	3.43954	200	0	112.558	6.48615	296.114	3.88647	297.89	2.11037	180.959	418.179	0.861911	10.2632	49.1382
74	100	0	0.0152582	0.00760062	49.1382	0.00154679	96.6015	0.00199979	0.00199979	0.987898	42.7266	0.000800604	6.18756	8.81244	3.43955	200	0	112.558	6.48616	296.114	3.88648	297.89	2.11037	180.959	418.179	0.861912	10.2632	49.1382
75	100	0	0.0152582	0.00760063	49.1382	0.00154679	96.6015	0.00199979	0.00199979	0.9879	42.7266	0.000800605	6.18755	8.81245	3.43955	200	0	112.558	6.48616	296.114	3.88648	297.89	2.11037	180.959	418.179	0.861913	10.2632	49.1382
76	100	0	0.0152582	0.00760064	49.1382	0.00154679	96.6015	0.00199979	0.00199979	0.987903	42.7267	0.000800606	6.18755	8.81245	3.43955	200	0	112.558	6.48617	296.114	3.88649	297.89	2.11037	180.959	418.179	0.861914	10.2632	49.1382
77	100	0	0.0152582	0.00760064	49.1382	0.0015468	96.6015	0.0019998	0.0019998	0.987905	42.7267	0.000800607	6.18755	8.81245	3.43956	200	0	112.558	6.48617	296.114	3.88649	297.89	2.11038	180.959	418.179	0.861915	10.2632	49.1382
78	100	0	0.0152583	0.00760065	49.1382	0.0015468	96.6015	0.0019998	0.0019998	0.987907	42.7268	0.000800608	6.18754	8.81246	3.43956	200	0	112.558	6.48618	296.114	3.88649	297.89	2.11038	180.959	418.179	0.861916	10.2632	49.1382
79	100	0	0.0152583	0.00760066	49.1382	0.0015468	96.6015	0.00199981	0.00199981	0.98791	42.7268	0.000800609	6.18754	8.81246	3.43957	200	0	112.558	6.48618	296.114	3.8865	297.89	2.11038	180.959	418.179	0.861918	10.2632	49.1382
80	100	0	0.0152583	0.00760067	49.1382	0.0015468	96.6015	0.00199981	0.00199981	0.987912	42.7269	0.00080061	6.18753	8.81247	3.43957	200	0	112.558	6.48619	296.113	3.8865	297.89	2.11038	180.959	418.179	0.861919	10.2632	49.1382
81	100	0	0.0152583	0.00760068	49.1382	0.0015468	96.6015	0.00199982	0.00199982	0.987914	42.7269	0.000800611	6.18753	8.81247	3.43957	200	0	112.558	6.48619	296.113	3.88651	297.89	2.11039	180.959	418.179	0.86192	10.2632	49.1382
82	100	0	0.0152583	0.00760069	49.1382	0.00154681	96.6015	0.00199982	0.00199982	0.987917	42.727	0.000800612	6.18752	8.81248	3.43958	200	0	112.558	6.4862	296.113	3.88651	297.89	2.11039	180.959	418.179	0.861921	10.2632	49.1382
83	100	0	0.0152583	0.00760069	49.1382	0.00154681	96.6015	0.00199983	0.00199983	0.987919	42.727	0.000800613	6.18752	8.81248	3.43958	200	0	112.558	6.48621	296.113	3.88652	297.89	2.11039	180.959	418.179	0.861922	10.2632	49.1382
