Time	[NICD]	[Notch]	[Notch TM]	[Gamma secretase]	[DAPT]	[RBP-jk]	[Complex NICD-RBP]	[Hes-1]	[Shh]	[Ptch1]	[Complex Shh Ptch1]	[smo]	[SAG]	[EGF]	[EGFR]	[Complex EGF-EGFR]	[Erlotinib]	[Wnt]	[Frzzl]	[Complex Wnt-Frzzl]	[Dishevelled]	[FRAT-CK2]	[Complex Dishevelled-FRAT-CK2]	[GSK3B]	[Beta-catenin]	[Complex GSK3B-Bcatenin]	[6 bromoindirubin 3`oxime]
62	0.535196	3.35632	1.64368	5	100	3.89151	2.06854	2.05614	1.79129	1.79129	3.20871	5	0	1.71852	1.71852	2.06331	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.83644	2.03842	1.16356	100
63	0.537534	3.3399	1.6601	5	100	3.87743	2.07026	2.05794	1.79129	1.79129	3.20871	5	0	1.70986	1.70986	2.0649	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.82083	2.04042	1.17917	100
64	0.539837	3.3237	1.6763	5	100	3.86354	2.07188	2.05965	1.79129	1.79129	3.20871	5	0	1.70151	1.70151	2.0664	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.80531	2.04233	1.19469	100
65	0.542105	3.30773	1.69227	5	100	3.84983	2.0734	2.06126	1.79129	1.79129	3.20871	5	0	1.69345	1.69345	2.06781	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.78988	2.04413	1.21012	100
66	0.544339	3.29197	1.70803	5	100	3.83631	2.07483	2.06278	1.79129	1.79129	3.20871	5	0	1.68566	1.68566	2.06914	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.77455	2.04583	1.22545	100
67	0.54654	3.27643	1.72357	5	100	3.82297	2.07616	2.0642	1.79129	1.79129	3.20871	5	0	1.67815	1.67815	2.07038	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.75932	2.04745	1.24068	100
68	0.548708	3.26111	1.73889	5	100	3.80982	2.07741	2.06554	1.79129	1.79129	3.20871	5	0	1.67089	1.67089	2.07155	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.74418	2.04897	1.25582	100
69	0.550844	3.24599	1.75401	5	100	3.79683	2.07857	2.0668	1.79129	1.79129	3.20871	5	0	1.66388	1.66388	2.07264	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.72913	2.05041	1.27087	100
70	0.552949	3.23108	1.76892	5	100	3.78403	2.07965	2.06798	1.79129	1.79129	3.20871	5	0	1.65711	1.65711	2.07365	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.71418	2.05176	1.28582	100
71	0.555023	3.21637	1.78363	5	100	3.77139	2.08066	2.06908	1.79129	1.79129	3.20871	5	0	1.65056	1.65056	2.0746	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.69933	2.05303	1.30067	100
72	0.557066	3.20186	1.79814	5	100	3.75893	2.08159	2.0701	1.79129	1.79129	3.20871	5	0	1.64424	1.64424	2.07548	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.68457	2.05423	1.31543	100
73	0.55908	3.18755	1.81245	5	100	3.74663	2.08245	2.07106	1.79129	1.79129	3.20871	5	0	1.63813	1.63813	2.07629	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.6699	2.05535	1.3301	100
74	0.561064	3.17343	1.82657	5	100	3.7345	2.08324	2.07194	1.79129	1.79129	3.20871	5	0	1.63221	1.63221	2.07704	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.65533	2.05641	1.34467	100
75	0.563019	3.15951	1.84049	5	100	3.72252	2.08396	2.07276	1.79129	1.79129	3.20871	5	0	1.6265	1.6265	2.07773	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.64086	2.05739	1.35914	100
76	0.564946	3.14577	1.85423	5	100	3.71071	2.08462	2.07352	1.79129	1.79129	3.20871	5	0	1.62097	1.62097	2.07836	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.62649	2.05831	1.37351	100
77	0.566846	3.13221	1.86779	5	100	3.69906	2.08522	2.07421	1.79129	1.79129	3.20871	5	0	1.61562	1.61562	2.07893	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.6122	2.05916	1.3878	100
78	0.568718	3.11884	1.88116	5	100	3.68756	2.08576	2.07485	1.79129	1.79129	3.20871	5	0	1.61045	1.61045	2.07945	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.59802	2.05995	1.40198	100
79	0.570563	3.10565	1.89435	5	100	3.67622	2.08624	2.07543	1.79129	1.79129	3.20871	5	0	1.60544	1.60544	2.07992	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.58393	2.06068	1.41607	100
80	0.572381	3.09264	1.90736	5	100	3.66502	2.08667	2.07596	1.79129	1.79129	3.20871	5	0	1.60059	1.60059	2.08033	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.56993	2.06136	1.43007	100
81	0.574174	3.0798	1.9202	5	100	3.65398	2.08705	2.07643	1.79129	1.79129	3.20871	5	0	1.5959	1.5959	2.0807	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.55603	2.06198	1.44397	100
82	0.575941	3.06714	1.93286	5	100	3.64308	2.08737	2.07685	1.79129	1.79129	3.20871	5	0	1.59136	1.59136	2.08102	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.54223	2.06255	1.45777	100
83	0.577683	3.05464	1.94536	5	100	3.63233	2.08765	2.07722	1.79129	1.79129	3.20871	5	0	1.58696	1.58696	2.0813	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.52852	2.06307	1.47148	100
84	0.5794	3.04232	1.95768	5	100	3.62172	2.08788	2.07755	1.79129	1.79129	3.20871	5	0	1.5827	1.5827	2.08153	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.5149	2.06353	1.4851	100
85	0.581092	3.03015	1.96985	5	100	3.61124	2.08806	2.07783	1.79129	1.79129	3.20871	5	0	1.57857	1.57857	2.08172	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.50138	2.06395	1.49862	100
86	0.582761	3.01815	1.98185	5	100	3.60091	2.08821	2.07806	1.79129	1.79129	3.20871	5	0	1.57458	1.57458	2.08187	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.48795	2.06433	1.51205	100
87	0.584405	3.00631	1.99369	5	100	3.59072	2.08831	2.07826	1.79129	1.79129	3.20871	5	0	1.5707	1.5707	2.08198	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.47462	2.06466	1.52538	100
88	0.586027	2.99463	2.00537	5	100	3.58065	2.08836	2.07841	1.79129	1.79129	3.20871	5	0	1.56695	1.56695	2.08205	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.46137	2.06495	1.53863	100
89	0.587626	2.9831	2.0169	5	100	3.57072	2.08839	2.07852	1.79129	1.79129	3.20871	5	0	1.56331	1.56331	2.08209	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.44823	2.06519	1.55177	100
90	0.589202	2.97172	2.02828	5	100	3.56093	2.08837	2.0786	1.79129	1.79129	3.20871	5	0	1.55978	1.55978	2.08209	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.43517	2.0654	1.56483	100
91	0.590755	2.9605	2.0395	5	100	3.55126	2.08832	2.07864	1.79129	1.79129	3.20871	5	0	1.55636	1.55636	2.08206	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.42221	2.06557	1.57779	100
92	0.592287	2.94943	2.05057	5	100	3.54171	2.08823	2.07865	1.79129	1.79129	3.20871	5	0	1.55304	1.55304	2.08199	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.40933	2.06571	1.59067	100
93	0.593797	2.9385	2.0615	5	100	3.53229	2.08811	2.07862	1.79129	1.79129	3.20871	5	0	1.54983	1.54983	2.0819	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.39655	2.0658	1.60345	100
94	0.595286	2.92771	2.07229	5	100	3.523	2.08796	2.07856	1.79129	1.79129	3.20871	5	0	1.5467	1.5467	2.08177	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.38387	2.06587	1.61613	100
95	0.596755	2.91707	2.08293	5	100	3.51383	2.08778	2.07847	1.79129	1.79129	3.20871	5	0	1.54368	1.54368	2.08162	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.37127	2.0659	1.62873	100
96	0.598202	2.90657	2.09343	5	100	3.50477	2.08757	2.07835	1.79129	1.79129	3.20871	5	0	1.54074	1.54074	2.08144	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.35876	2.0659	1.64124	100
97	0.599629	2.89621	2.10379	5	100	3.49584	2.08733	2.0782	1.79129	1.79129	3.20871	5	0	1.53788	1.53788	2.08123	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.34634	2.06587	1.65366	100
98	0.601036	2.88598	2.11402	5	100	3.48702	2.08706	2.07802	1.79129	1.79129	3.20871	5	0	1.53512	1.53512	2.08099	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.33401	2.06581	1.66599	100
99	0.602423	2.87589	2.12411	5	100	3.47831	2.08677	2.07781	1.79129	1.79129	3.20871	5	0	1.53243	1.53243	2.08073	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.32177	2.06572	1.67823	100
100	0.603791	2.86593	2.13407	5	100	3.46972	2.08645	2.07758	1.79129	1.79129	3.20871	5	0	1.52982	1.52982	2.08045	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.30962	2.06561	1.69038	100
