Time	[Gsbg]	[L]	[Gsa_gdp]	[Gsa_gtp]	[b1AR_S464]	[PDEcAMP]	[PDE]	[ATP]	[b1AR]	[Gs]	[A2RC]	[A2R]	[PKAC]	[ARC]	[PKAC_AKAR]	[Propranolol]	[b1ARinhib]	[light_spot]	[AC]	[PKI]	[PKAC_PKI]	[RC]	[b1AR_Gs]	[cAMP]	[GsAC]	[IBMX]	[PDE_IBMX]	[Fsk]	[FskAC]	[b1AR_p]	[L_b1AR]	[AKAR]	[AKARp]	[PP]	[PP_AKARp]	[DMNB_cAMP]	[L_b1AR_Gs]
66	0.0309785	6.28911e-24	0.000581148	0.0272297	8.17805e-25	0.00056315	0.0134369	5000	0.0118362	3.79766	0.000197737	0.179757	0.0048067	0.00594869	0.00224819	6.58186e-29	9.73805e-29	0	0.0465323	0.00729746	0.172703	0.994096	0.00136146	0.0546953	0.00316765	0	0	0	0	2.3284e-06	2.66767e-25	9.8474	0.137459	0.657112	0.0128879	3.01	1.30089e-23
67	0.0309781	6.28505e-24	0.000581148	0.0272293	8.30591e-25	0.000585034	0.013415	5000	0.011836	3.79766	0.000213905	0.180794	0.00517064	0.00618194	0.00241541	6.58192e-29	9.73799e-29	0	0.0465324	0.00679182	0.173208	0.99281	0.00136144	0.0569134	0.00316761	0	0	0	0	2.53559e-06	2.6659e-25	9.83517	0.148508	0.656098	0.0139024	3.01	1.30003e-23
68	0.0309776	6.28101e-24	0.000581148	0.0272289	8.43338e-25	0.000606663	0.0133933	5000	0.0118358	3.79766	0.000230543	0.181787	0.00554304	0.00641282	0.00258605	6.58199e-29	9.73792e-29	0	0.0465324	0.00634226	0.173658	0.99157	0.00136141	0.0591127	0.00316757	0	0	0	0	2.75799e-06	2.66415e-25	9.82256	0.159906	0.655054	0.0149455	3.01	1.29917e-23
69	0.0309771	6.2769e-24	0.000581148	0.0272284	8.56048e-25	0.000627974	0.013372	5000	0.0118356	3.79766	0.00024758	0.18274	0.00592224	0.00664064	0.00275932	6.58206e-29	9.73785e-29	0	0.0465325	0.00594192	0.174058	0.990372	0.00136139	0.0612867	0.00316752	0	0	0	0	2.9959e-06	2.66235e-25	9.80963	0.171598	0.653988	0.0160123	3.01	1.29829e-23
70	0.0309766	6.27254e-24	0.000581147	0.027228	8.68719e-25	0.000648919	0.0133511	5000	0.0118354	3.79766	0.000264951	0.183657	0.00630668	0.00686485	0.00293449	6.58213e-29	9.73777e-29	0	0.0465325	0.00558466	0.174415	0.989214	0.00136136	0.0634301	0.00316747	0	0	0	0	3.24954e-06	2.66046e-25	9.79643	0.183533	0.652902	0.0170976	3.01	1.29737e-23
71	0.030976	6.26858e-24	0.000581147	0.0272275	8.81353e-25	0.000669461	0.0133305	5000	0.0118351	3.79766	0.000282596	0.184541	0.00669493	0.00708503	0.00311088	6.58221e-29	9.73769e-29	0	0.0465326	0.00526508	0.174735	0.988092	0.00136134	0.0655387	0.00316741	0	0	0	0	3.51907e-06	2.65872e-25	9.78303	0.195662	0.651803	0.0181968	3.01	1.29652e-23
72	0.0309754	6.26457e-24	0.000581147	0.0272269	8.9395e-25	0.000689573	0.0133104	5000	0.0118349	3.79766	0.000300457	0.185395	0.00708572	0.00730086	0.00328791	6.5823e-29	9.73761e-29	0	0.0465326	0.00497845	0.175022	0.987004	0.00136131	0.0676096	0.00316735	0	0	0	0	3.80458e-06	2.65696e-25	9.76947	0.207939	0.650694	0.0193057	3.01	1.29567e-23
73	0.0309748	6.26062e-24	0.000581147	0.0272263	9.06509e-25	0.000709236	0.0132908	5000	0.0118346	3.79766	0.000318483	0.186222	0.00747789	0.0075121	0.00346502	6.58239e-29	9.73752e-29	0	0.0465327	0.00472065	0.175279	0.985947	0.00136128	0.0696403	0.00316729	0	0	0	0	4.10612e-06	2.65523e-25	9.75579	0.220322	0.64958	0.0204203	3.01	1.29482e-23
74	0.0309741	6.25675e-24	0.000581146	0.0272257	9.19031e-25	0.000728438	0.0132716	5000	0.0118343	3.79766	0.000336628	0.187024	0.00787041	0.0077186	0.00364177	6.58248e-29	9.73742e-29	0	0.0465328	0.00448812	0.175512	0.984921	0.00136124	0.0716292	0.00316722	0	0	0	0	4.42369e-06	2.65352e-25	9.74205	0.232772	0.648463	0.0215371	3.01	1.29399e-23
75	0.0309734	6.25283e-24	0.000581146	0.0272251	9.31517e-25	0.000747173	0.0132528	5000	0.011834	3.79767	0.000354848	0.187802	0.00826238	0.00792028	0.00381773	6.58258e-29	9.73733e-29	0	0.0465328	0.00427778	0.175722	0.983923	0.00136121	0.0735752	0.00316715	0	0	0	0	4.75725e-06	2.6518e-25	9.72827	0.245256	0.647347	0.0226532	3.01	1.29315e-23
76	0.0309727	6.24895e-24	0.000581146	0.0272244	9.43965e-25	0.00076544	0.0132346	5000	0.0118337	3.79767	0.000373107	0.188559	0.00865301	0.00811708	0.00399256	6.58269e-29	9.73722e-29	0	0.0465329	0.00408696	0.175913	0.982951	0.00136117	0.0754779	0.00316708	0	0	0	0	5.10672e-06	2.65007e-25	9.7145	0.257744	0.646234	0.0237657	3.01	1.29231e-23
77	0.0309719	6.24509e-24	0.000581145	0.0272237	9.56377e-25	0.000783238	0.0132168	5000	0.0118334	3.79767	0.000391371	0.189294	0.00904161	0.00830901	0.00416597	6.5828e-29	9.73711e-29	0	0.046533	0.00391335	0.176087	0.982005	0.00136114	0.0773369	0.003167	0	0	0	0	5.472e-06	2.64837e-25	9.70075	0.270208	0.645128	0.0248723	3.01	1.29148e-23
78	0.0309711	6.24122e-24	0.000581145	0.027223	9.68752e-25	0.000800574	0.0131994	5000	0.011833	3.79767	0.00040961	0.19001	0.00942758	0.00849608	0.00433767	6.58291e-29	9.737e-29	0	0.0465331	0.00375498	0.176245	0.981084	0.0013611	0.0791524	0.00316692	0	0	0	0	5.85295e-06	2.64666e-25	9.68707	0.282625	0.644029	0.025971	3.01	1.29064e-23
79	0.0309702	6.23739e-24	0.000581144	0.0272222	9.81091e-25	0.000817452	0.0131825	5000	0.0118327	3.79767	0.000427796	0.190708	0.00981041	0.00867836	0.00450747	6.58303e-29	9.73688e-29	0	0.0465332	0.00361011	0.17639	0.980186	0.00136106	0.0809246	0.00316684	0	0	0	0	6.2494e-06	2.64495e-25	9.67346	0.294975	0.64294	0.02706	3.01	1.28981e-23
80	0.0309693	6.23357e-24	0.000581144	0.0272214	9.93393e-25	0.000833882	0.0131661	5000	0.0118323	3.79767	0.000445907	0.191388	0.0101896	0.00885592	0.00467518	6.58209e-29	9.73477e-29	0	0.0465332	0.00347724	0.176523	0.979311	0.00136101	0.082654	0.00316675	0	0	0	0	6.66119e-06	2.64324e-25	9.65995	0.307239	0.641862	0.0281379	3.01	1.28898e-23
81	0.0309684	6.22969e-24	0.000581144	0.0272206	1.00566e-24	0.000849872	0.0131501	5000	0.0118319	3.79767	0.000463921	0.19205	0.0105649	0.00902882	0.00484064	6.05545e-29	8.76396e-29	0	0.0465333	0.00335508	0.176645	0.978457	0.00136097	0.0843413	0.00316666	0	0	0	0	7.08811e-06	2.64151e-25	9.64655	0.319403	0.640797	0.0292033	3.01	1.28813e-23
82	0.0309674	6.22583e-24	0.000581143	0.0272197	1.01789e-24	0.000865432	0.0131346	5000	0.0118315	3.79767	0.000481819	0.192697	0.0109359	0.00919718	0.00500374	8.43038e-29	1.32557e-28	0	0.0465334	0.00324249	0.176758	0.977624	0.00136093	0.0859871	0.00316657	0	0	0	0	7.52995e-06	2.63979e-25	9.63329	0.331452	0.639745	0.0302552	3.01	1.2873e-23
83	0.0309665	6.22195e-24	0.000581143	0.0272188	1.03008e-24	0.000880573	0.0131194	5000	0.0118311	3.79767	0.000499585	0.193328	0.0113023	0.0093611	0.00516435	9.2663e-29	1.37793e-28	0	0.0465335	0.00313849	0.176862	0.976811	0.00136088	0.0875924	0.00316647	0	0	0	0	7.9865e-06	2.63805e-25	9.62017	0.343375	0.638707	0.0312927	3.01	1.28645e-23
84	0.0309654	6.21817e-24	0.000581142	0.0272179	1.04224e-24	0.000895305	0.0131047	5000	0.0118307	3.79767	0.000517205	0.193944	0.011664	0.00952067	0.00532242	1.26571e-28	1.95286e-28	0	0.0465336	0.0030422	0.176958	0.976018	0.00136083	0.0891579	0.00316637	0	0	0	0	8.45751e-06	2.63637e-25	9.6072	0.355162	0.637685	0.0323151	3.01	1.28563e-23
85	0.0309644	6.21457e-24	0.000581142	0.027217	1.05436e-24	0.000909639	0.0130904	5000	0.0118303	3.79767	0.000534666	0.194546	0.0120207	0.00967601	0.00547786	1.52459e-28	2.22722e-28	0	0.0465337	0.00295287	0.177047	0.975244	0.00136078	0.0906845	0.00316627	0	0	0	0	8.94276e-06	2.63475e-25	9.59439	0.366806	0.636678	0.0333219	3.01	1.28484e-23
86	0.0309633	6.21094e-24	0.000581141	0.027216	1.06645e-24	0.000923587	0.0130764	5000	0.0118298	3.79768	0.000551957	0.195133	0.0123722	0.00982723	0.00563064	1.59754e-28	2.36465e-28	0	0.0465338	0.00286982	0.17713	0.974488	0.00136073	0.0921732	0.00316616	0	0	0	0	9.44198e-06	2.63309e-25	9.58176	0.3783	0.635687	0.0343125	3.01	1.28403e-23
87	0.0309622	6.20727e-24	0.000581141	0.027215	1.0785e-24	0.000937159	0.0130628	5000	0.0118294	3.79768	0.000569068	0.195707	0.0127185	0.00997444	0.00578072	7.91507e-29	9.62268e-29	0	0.046534	0.00279247	0.177208	0.97375	0.00136068	0.0936248	0.00316605	0	0	0	0	9.95493e-06	2.63144e-25	9.5693	0.389636	0.634713	0.0352866	3.01	1.28323e-23
88	0.030961	6.20363e-24	0.00058114	0.0272139	1.09051e-24	0.000950367	0.0130496	5000	0.0118289	3.79768	0.000585991	0.196267	0.0130595	0.0101178	0.00592808	-9.36535e-29	-1.62245e-28	0	0.0465341	0.00272029	0.17728	0.973029	0.00136062	0.0950404	0.00316594	0	0	0	0	1.04813e-05	2.6298e-25	9.55702	0.400812	0.633756	0.036244	3.01	1.28242e-23
89	0.0309598	6.19996e-24	0.000581139	0.0272129	1.10249e-24	0.000963221	0.0130368	5000	0.0118284	3.79768	0.000602718	0.196815	0.0133951	0.0102573	0.0060727	-1.99265e-28	-2.94469e-28	0	0.0465342	0.00265282	0.177347	0.972325	0.00136057	0.0964207	0.00316582	0	0	0	0	1.1021e-05	2.62813e-25	9.54492	0.411822	0.632816	0.0371844	3.01	1.28161e-23
90	0.0309586	6.19629e-24	0.000581139	0.0272118	1.11443e-24	0.000975731	0.0130243	5000	0.0118279	3.79768	0.000619243	0.19735	0.0137252	0.0103931	0.00621459	-3.24531e-28	-5.05957e-28	0	0.0465343	0.00258964	0.17741	0.971638	0.00136051	0.0977669	0.0031657	0	0	0	0	1.15736e-05	2.62647e-25	9.53301	0.422665	0.631892	0.0381077	3.01	1.2808e-23
91	0.0309574	6.19262e-24	0.000581138	0.0272106	1.12634e-24	0.000987909	0.0130121	5000	0.0118274	3.79768	0.000635561	0.197873	0.0140497	0.0105254	0.00635374	-4.03891e-28	-5.97524e-28	0	0.0465344	0.00253039	0.17747	0.970966	0.00136045	0.0990796	0.00316558	0	0	0	0	1.21388e-05	2.62479e-25	9.5213	0.433337	0.630986	0.0390139	3.01	1.27999e-23
92	0.0309561	6.18895e-24	0.000581138	0.0272095	1.13821e-24	0.000999763	0.0130002	5000	0.0118269	3.79768	0.000651668	0.198384	0.0143688	0.0106542	0.00649016	-4.65114e-28	-6.98672e-28	0	0.0465345	0.00247474	0.177525	0.97031	0.00136039	0.10036	0.00316545	0	0	0	0	1.27165e-05	2.62312e-25	9.50977	0.443837	0.630097	0.0399029	3.01	1.27917e-23
93	0.0309548	6.18531e-24	0.000581137	0.0272083	1.15005e-24	0.0010113	0.0129887	5000	0.0118264	3.79768	0.000667559	0.198884	0.0146823	0.0107797	0.00662388	-5.31931e-28	-7.93005e-28	0	0.0465347	0.00242239	0.177578	0.969669	0.00136033	0.101609	0.00316533	0	0	0	0	1.33063e-05	2.62146e-25	9.49844	0.454164	0.629225	0.0407748	3.01	1.27836e-23
94	0.0309535	6.1817e-24	0.000581136	0.0272071	1.16185e-24	0.00102254	0.0129775	5000	0.0118258	3.79769	0.000683232	0.199372	0.0149903	0.0109018	0.0067549	-5.5178e-28	-8.0638e-28	0	0.0465348	0.00237308	0.177627	0.969043	0.00136027	0.102827	0.0031652	0	0	0	0	1.39081e-05	2.61982e-25	9.4873	0.464317	0.62837	0.0416297	3.01	1.27756e-23
95	0.0309521	6.17809e-24	0.000581136	0.0272059	1.17362e-24	0.00103348	0.0129665	5000	0.0118253	3.79769	0.000698684	0.19985	0.0152929	0.0110208	0.00688327	-5.27592e-28	-7.94084e-28	0	0.0465349	0.00232657	0.177673	0.968431	0.00136021	0.104015	0.00316506	0	0	0	0	1.45214e-05	2.61817e-25	9.47635	0.474295	0.627532	0.0424677	3.01	1.27676e-23
96	0.0309507	6.1745e-24	0.000581135	0.0272047	1.18536e-24	0.00104414	0.0129559	5000	0.0118247	3.79769	0.000713913	0.200316	0.0155899	0.0111368	0.007009	-5.28955e-28	-7.77465e-28	0	0.0465351	0.00228265	0.177717	0.967833	0.00136015	0.105174	0.00316493	0	0	0	0	1.51461e-05	2.61652e-25	9.4656	0.4841	0.626711	0.0432889	3.01	1.27595e-23
97	0.0309493	6.17092e-24	0.000581134	0.0272034	1.19705e-24	0.00105452	0.0129455	5000	0.0118241	3.79769	0.000728917	0.200772	0.0158815	0.0112497	0.00713213	-5.60309e-28	-7.80201e-28	0	0.0465352	0.00224111	0.177759	0.967249	0.00136008	0.106304	0.00316479	0	0	0	0	1.5782e-05	2.61488e-25	9.45504	0.493731	0.625907	0.0440934	3.01	1.27515e-23
98	0.0309479	6.16737e-24	0.000581134	0.0272021	1.20872e-24	0.00106463	0.0129354	5000	0.0118236	3.79769	0.000743696	0.201219	0.0161676	0.0113597	0.00725269	-5.63427e-28	-8.08005e-28	0	0.0465354	0.0022018	0.177798	0.966678	0.00136001	0.107407	0.00316465	0	0	0	0	1.64287e-05	2.61325e-25	9.44468	0.503189	0.625118	0.0448815	3.01	1.27436e-23
99	0.0309464	6.16384e-24	0.000581133	0.0272008	1.22035e-24	0.00107448	0.0129255	5000	0.011823	3.79769	0.000758249	0.201655	0.0164485	0.0114669	0.00737071	-5.34525e-28	-8.53966e-28	0	0.0465355	0.00216454	0.177835	0.96612	0.00135995	0.108484	0.0031645	0	0	0	0	1.70859e-05	2.61162e-25	9.4345	0.512476	0.624347	0.0456534	3.01	1.27357e-23
100	0.0309449	6.16031e-24	0.000581132	0.0271994	1.23194e-24	0.00108408	0.0129159	5000	0.0118224	3.7977	0.000772576	0.202081	0.016724	0.0115714	0.00748624	-5.65734e-28	-8.25118e-28	0	0.0465356	0.00212919	0.177871	0.965575	0.00135988	0.109534	0.00316436	0	0	0	0	1.77536e-05	2.61e-25	9.42451	0.521591	0.623591	0.0464092	3.01	1.27277e-23
