Time	[Akt]	[AktPIP3]	[AktPIP]	[AktPIPP]	[ERK]	[ERKP]	[ERKPP]	[GS]	[HRG]	[MEK]	[MEKP]	[MEKPP]	[PI3K]	[PI3Kstar]	[PIP3]	[R]	[RP]	[RHRG]	[RHRG2]	[RPI3K]	[RPI3Kstar]	[RShGS]	[RShP]	[RShc]	[Raf]	[Rafstar]	[RasGDP]	[RasGTP]	[ShGS]	[ShP]	[Shc]	[P_I]	[internalization]	[E]	[MKP3]	[PP2A]
47	7.61443	0.785782	0.676968	0.92282	977.858	21.7321	0.409997	6.50087	250.023	42.9568	50.3018	26.7414	3.87605	5.55108	0.0476524	0.0225102	12.5937	10.1745	12.0387	0.412808	0.160059	3.4634	4.85101	1.23423	96.4238	3.57621	119.998	0.00165691	0.0357265	989.237	1.17883	797.567	0.147583	7	2.4	11.4
48	7.52633	0.789523	0.700482	0.983668	976.223	23.3045	0.472749	6.82264	250.023	41.6755	50.4793	27.8452	3.77517	5.64193	0.0484387	0.0234674	13.0826	10.4918	12.5044	0.417772	0.165134	3.14612	4.19863	1.06732	96.4381	3.56191	119.999	0.00144302	0.0312411	990.589	0.967352	797.478	0.160426	7	2.4	11.4
49	7.44127	0.791325	0.722397	1.04501	974.526	24.9311	0.542571	7.12815	250.024	40.4343	50.6177	28.948	3.68968	5.71869	0.0491034	0.0243718	13.5184	10.7718	12.9173	0.421997	0.169633	2.84451	3.6333	0.923003	96.4527	3.54726	119.999	0.00125827	0.0273356	991.771	0.800835	797.392	0.173731	7	2.4	11.4
50	7.35903	0.791582	0.742837	1.10655	972.769	26.6108	0.619962	7.41493	250.025	39.2319	50.7192	30.0489	3.61695	5.78383	0.0496676	0.0252134	13.9059	11.0167	13.2822	0.425607	0.173615	2.56114	3.14475	0.798481	96.4677	3.53229	119.999	0.00109809	0.0239268	992.804	0.667968	797.309	0.187447	7	2.4	11.4
51	7.27939	0.790602	0.761928	1.16808	970.952	28.3426	0.705429	7.68146	250.026	38.0673	50.7857	31.147	3.55487	5.8393	0.0501482	0.0259863	14.2495	11.2295	13.6035	0.428699	0.177132	2.29759	2.72319	0.691168	96.483	3.51705	119.999	0.000958882	0.0209472	993.706	0.560771	797.229	0.201528	7	2.4	11.4
52	7.20218	0.78863	0.77979	1.22941	969.075	30.1253	0.799491	7.92705	250.027	36.9392	50.8194	32.2414	3.50173	5.88668	0.0505587	0.0266886	14.5534	11.4137	13.8859	0.431351	0.180234	2.05461	2.3597	0.598728	96.4985	3.50155	119.999	0.000837697	0.0183407	994.495	0.473477	797.152	0.215932	7	2.4	11.4
53	7.12723	0.785859	0.796532	1.29038	967.139	31.9579	0.902671	8.15167	250.027	35.8466	50.8221	33.3314	3.45616	5.92724	0.0509103	0.0273209	14.8216	11.5727	14.1334	0.433629	0.182963	1.83227	2.04634	0.519099	96.5142	3.48582	119.999	0.000732104	0.0160601	995.184	0.401818	797.076	0.230623	7	2.4	11.4
54	7.05442	0.782447	0.812251	1.35088	965.146	33.8389	1.0155	8.35576	250.028	34.7883	50.7956	34.4161	3.41702	5.96203	0.051212	0.027886	15.0578	11.7098	14.3501	0.435588	0.185359	1.63017	1.77613	0.450482	96.5301	3.46989	119.999	0.000640045	0.0140646	995.787	0.342584	797.003	0.245565	7	2.4	11.4
55	6.98362	0.778519	0.827035	1.41083	963.094	35.7672	1.13852	8.54018	250.028	33.7634	50.7417	35.4949	3.38337	5.9919	0.0514711	0.0283878	15.2652	11.8278	14.5394	0.437272	0.18746	1.4475	1.54302	0.391322	96.5462	3.45378	119.999	0.000559759	0.0123189	996.313	0.293319	796.932	0.260729	7	2.4	11.4
56	6.91471	0.77418	0.840962	1.47015	960.986	37.7413	1.27226	8.70602	250.029	32.7708	50.6621	36.5671	3.35441	6.01757	0.0516938	0.0288313	15.4469	11.9295	14.7045	0.43872	0.189298	1.28319	1.34181	0.340279	96.5625	3.4375	120	0.000489731	0.0107921	996.772	0.252121	796.863	0.276087	7	2.4	11.4
