Time	[MAPK]	[MAPK-PY]	[MAPK-PT]	[MAPK-PP]	[MAPKK]	[MKP]	[MAPK-PY_MAPKK]	[MAPK-PT_MAPKK]	[MAPK_MAPKK_Y]	[MAPK_MAPKK_T]	[MAPK-PP_MKP_T]	[MAPK-PP_MKP_Y]	[MAPK-PY_MKP_Y]	[MAPK-PY_MKP_T]	[MAPK-PT_MKP_Y]	[MAPK-PT_MKP_T]	[MAPK_MKP_T]	[MAPK_MKP_Y]
91	433.846	7.47993	7.46447	85.8252	9.88225	4.73294	0.147777	0.147471	84.9113	84.9113	16.5984	16.5984	0.240688	1.86655	1.86581	0.235388	29.5115	28.3503
92	432.725	7.5104	7.49494	86.8933	9.90631	4.71742	0.148741	0.148434	84.8983	84.8983	16.7518	16.7518	0.240888	1.88103	1.8803	0.235586	29.3503	28.1908
93	431.604	7.5404	7.52497	87.9635	9.93052	4.70199	0.1497	0.149394	84.8852	84.8852	16.9046	16.9046	0.241071	1.89542	1.89469	0.235767	29.1898	28.0321
94	430.481	7.56996	7.55454	89.0358	9.95486	4.68662	0.150656	0.150349	84.8721	84.8721	17.0566	17.0566	0.241237	1.90972	1.909	0.235931	29.0301	27.8742
95	429.358	7.59907	7.58367	90.1101	9.97935	4.67133	0.151608	0.151301	84.8589	84.8589	17.2079	17.2079	0.241386	1.92394	1.92321	0.236079	28.8711	27.7171
96	428.233	7.62773	7.61235	91.1866	10.004	4.65612	0.152556	0.152248	84.8456	84.8456	17.3586	17.3586	0.241518	1.93806	1.93734	0.236211	28.7128	27.5608
97	427.108	7.65594	7.64059	92.2651	10.0288	4.64097	0.1535	0.153192	84.8323	84.8323	17.5086	17.5086	0.241634	1.9521	1.95139	0.236327	28.5553	27.4052
98	425.982	7.68372	7.66838	93.3456	10.0537	4.6259	0.15444	0.154132	84.8189	84.8189	17.6579	17.6579	0.241734	1.96605	1.96534	0.236426	28.3985	27.2504
99	424.855	7.71104	7.69573	94.4283	10.0787	4.6109	0.155377	0.155068	84.8054	84.8054	17.8065	17.8065	0.241818	1.97992	1.97921	0.236511	28.2424	27.0963
100	423.726	7.73794	7.72265	95.513	10.104	4.59597	0.156309	0.156	84.7919	84.7919	17.9544	17.9544	0.241886	1.9937	1.993	0.23658	28.087	26.943
