Time	[Ca_c]	[pp-AKT:PI3P]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[sa49_degraded]	[s117]	[s118]
55	117.2	1.723	0.0412617	2.82717	347.524	2.10978	34.7963	7635.43	199987	1.03172	0.0088379	10.9192	0.105634	498779	1220.59	0.644266	0.0832183	0.181327	0.0112099	0.00378399
56	117.2	1.723	0.0412577	2.82718	347.524	2.10958	34.793	7635.43	199987	1.03162	0.00883753	10.9181	0.105629	498757	1242.73	0.644239	0.0832149	0.184615	0.0114132	0.00385274
57	117.2	1.723	0.0412537	2.82718	347.524	2.10937	34.7897	7635.44	199987	1.03152	0.00883716	10.9171	0.105625	498735	1264.87	0.644212	0.0832115	0.187903	0.0116165	0.00392148
58	117.2	1.723	0.0412497	2.82718	347.524	2.10917	34.7864	7635.44	199987	1.03142	0.00883679	10.916	0.105621	498713	1287	0.644185	0.0832082	0.19119	0.0118197	0.00399022
59	117.2	1.723	0.0412457	2.82718	347.524	2.10897	34.7831	7635.44	199987	1.03132	0.00883642	10.9149	0.105617	498691	1309.14	0.644158	0.0832048	0.194477	0.0120229	0.00405896
60	117.2	1.723	0.0412417	2.82718	347.524	2.10876	34.7798	7635.44	199987	1.03122	0.00883605	10.9139	0.105612	498669	1331.27	0.644131	0.0832014	0.197764	0.0122261	0.00412769
61	117.2	1.723	0.0412378	2.82718	347.524	2.10856	34.7765	7635.44	199987	1.03112	0.00883568	10.9128	0.105608	498647	1353.4	0.644104	0.0831981	0.201051	0.0124292	0.00419642
62	117.2	1.723	0.0412338	2.82718	347.524	2.10835	34.7732	7635.44	199987	1.03102	0.00883531	10.9118	0.105604	498624	1375.53	0.644078	0.0831947	0.204337	0.0126324	0.00426515
63	117.2	1.723	0.0412298	2.82718	347.524	2.10815	34.7699	7635.44	199987	1.03092	0.00883494	10.9107	0.105599	498602	1397.65	0.644051	0.0831914	0.207623	0.0128355	0.00433388
64	117.2	1.723	0.0412258	2.82718	347.524	2.10795	34.7666	7635.45	199987	1.03082	0.00883457	10.9096	0.105595	498580	1419.78	0.644024	0.083188	0.210908	0.0130386	0.0044026
65	117.2	1.723	0.0412218	2.82718	347.524	2.10774	34.7633	7635.45	199987	1.03072	0.0088342	10.9086	0.105591	498558	1441.9	0.643997	0.0831846	0.214194	0.0132417	0.00447132
66	117.2	1.723	0.0412178	2.82718	347.524	2.10754	34.7601	7635.45	199987	1.03062	0.00883383	10.9075	0.105586	498536	1464.02	0.64397	0.0831813	0.217479	0.0134448	0.00454004
67	117.2	1.723	0.0412139	2.82718	347.524	2.10733	34.7568	7635.45	199987	1.03052	0.00883347	10.9065	0.105582	498514	1486.14	0.643943	0.0831779	0.220763	0.0136478	0.00460875
68	117.2	1.723	0.0412099	2.82718	347.524	2.10713	34.7535	7635.45	199987	1.03042	0.0088331	10.9054	0.105578	498492	1508.25	0.643916	0.0831745	0.224048	0.0138508	0.00467747
69	117.2	1.723	0.0412059	2.82718	347.524	2.10693	34.7502	7635.45	199987	1.03032	0.00883273	10.9044	0.105574	498470	1530.37	0.643889	0.0831712	0.227332	0.0140539	0.00474617
70	117.2	1.723	0.0412019	2.82718	347.524	2.10672	34.7469	7635.45	199987	1.03022	0.00883236	10.9033	0.105569	498448	1552.48	0.643863	0.0831678	0.230615	0.0142568	0.00481488
71	117.2	1.723	0.0411979	2.82718	347.524	2.10652	34.7436	7635.45	199987	1.03012	0.00883199	10.9022	0.105565	498425	1574.59	0.643836	0.0831645	0.233899	0.0144598	0.00488358
72	117.2	1.723	0.041194	2.82718	347.525	2.10631	34.7403	7635.46	199987	1.03002	0.00883162	10.9012	0.105561	498403	1596.7	0.643809	0.0831611	0.237182	0.0146628	0.00495228
73	117.2	1.723	0.04119	2.82719	347.525	2.10611	34.737	7635.46	199987	1.02992	0.00883125	10.9001	0.105556	498381	1618.81	0.643782	0.0831577	0.240465	0.0148657	0.00502098
74	117.2	1.723	0.041186	2.82719	347.525	2.10591	34.7337	7635.46	199987	1.02982	0.00883088	10.8991	0.105552	498359	1640.91	0.643755	0.0831544	0.243747	0.0150686	0.00508967
75	117.2	1.723	0.041182	2.82719	347.525	2.1057	34.7304	7635.46	199987	1.02972	0.00883051	10.898	0.105548	498337	1663.01	0.643728	0.083151	0.247029	0.0152715	0.00515837
76	117.2	1.723	0.0411781	2.82719	347.525	2.1055	34.7271	7635.46	199987	1.02962	0.00883014	10.8969	0.105544	498315	1685.11	0.643701	0.0831476	0.250311	0.0154744	0.00522705
77	117.2	1.723	0.0411741	2.82719	347.525	2.1053	34.7238	7635.46	199987	1.02952	0.00882977	10.8959	0.105539	498293	1707.21	0.643675	0.0831443	0.253593	0.0156772	0.00529574
78	117.2	1.723	0.0411701	2.82719	347.525	2.10509	34.7205	7635.46	199987	1.02942	0.0088294	10.8948	0.105535	498271	1729.31	0.643648	0.0831409	0.256874	0.01588	0.00536442
79	117.2	1.723	0.0411661	2.82719	347.525	2.10489	34.7172	7635.46	199987	1.02932	0.00882903	10.8938	0.105531	498249	1751.41	0.643621	0.0831376	0.260155	0.0160829	0.0054331
80	117.2	1.723	0.0411621	2.82719	347.525	2.10469	34.714	7635.47	199987	1.02922	0.00882866	10.8927	0.105526	498227	1773.5	0.643594	0.0831342	0.263436	0.0162856	0.00550178
81	117.2	1.723	0.0411582	2.82719	347.525	2.10448	34.7107	7635.47	199987	1.02912	0.00882829	10.8917	0.105522	498204	1795.59	0.643567	0.0831308	0.266716	0.0164884	0.00557046
82	117.2	1.723	0.0411542	2.82719	347.525	2.10428	34.7074	7635.47	199987	1.02902	0.00882793	10.8906	0.105518	498182	1817.68	0.64354	0.0831275	0.269996	0.0166912	0.00563913
83	117.2	1.723	0.0411502	2.82719	347.525	2.10407	34.7041	7635.47	199987	1.02892	0.00882756	10.8896	0.105513	498160	1839.77	0.643513	0.0831241	0.273276	0.0168939	0.0057078
84	117.2	1.723	0.0411462	2.82719	347.525	2.10387	34.7008	7635.47	199987	1.02882	0.00882719	10.8885	0.105509	498138	1861.85	0.643487	0.0831208	0.276555	0.0170966	0.00577646
85	117.2	1.723	0.0411423	2.82719	347.525	2.10367	34.6975	7635.47	199987	1.02872	0.00882682	10.8874	0.105505	498116	1883.94	0.64346	0.0831174	0.279834	0.0172993	0.00584512
86	117.2	1.723	0.0411383	2.82719	347.525	2.10346	34.6942	7635.47	199987	1.02862	0.00882645	10.8864	0.105501	498094	1906.02	0.643433	0.083114	0.283113	0.017502	0.00591378
87	117.2	1.723	0.0411343	2.82719	347.525	2.10326	34.6909	7635.48	199987	1.02852	0.00882608	10.8853	0.105496	498072	1928.1	0.643406	0.0831107	0.286391	0.0177046	0.00598244
88	117.2	1.723	0.0411304	2.82719	347.526	2.10306	34.6876	7635.48	199987	1.02842	0.00882571	10.8843	0.105492	498050	1950.17	0.643379	0.0831073	0.289669	0.0179073	0.0060511
89	117.2	1.723	0.0411264	2.8272	347.526	2.10285	34.6844	7635.48	199987	1.02832	0.00882534	10.8832	0.105488	498028	1972.25	0.643352	0.0831039	0.292947	0.0181099	0.00611975
90	117.2	1.723	0.0411224	2.8272	347.526	2.10265	34.6811	7635.48	199987	1.02822	0.00882497	10.8822	0.105483	498006	1994.32	0.643325	0.0831006	0.296225	0.0183125	0.0061884
91	117.2	1.723	0.0411184	2.8272	347.526	2.10245	34.6778	7635.48	199987	1.02812	0.0088246	10.8811	0.105479	497984	2016.4	0.643298	0.0830972	0.299502	0.0185151	0.00625704
92	117.2	1.723	0.0411145	2.8272	347.526	2.10224	34.6745	7635.48	199987	1.02802	0.00882423	10.88	0.105475	497962	2038.47	0.643272	0.0830939	0.302779	0.0187176	0.00632568
93	117.2	1.723	0.0411105	2.8272	347.526	2.10204	34.6712	7635.48	199987	1.02792	0.00882386	10.879	0.105471	497939	2060.53	0.643245	0.0830905	0.306056	0.0189202	0.00639432
94	117.2	1.723	0.0411065	2.8272	347.526	2.10184	34.6679	7635.48	199987	1.02783	0.00882349	10.8779	0.105466	497917	2082.6	0.643218	0.0830871	0.309332	0.0191227	0.00646296
95	117.2	1.723	0.0411026	2.8272	347.526	2.10163	34.6646	7635.49	199987	1.02773	0.00882312	10.8769	0.105462	497895	2104.66	0.643191	0.0830838	0.312608	0.0193252	0.0065316
96	117.2	1.723	0.0410986	2.8272	347.526	2.10143	34.6614	7635.49	199987	1.02763	0.00882276	10.8758	0.105458	497873	2126.73	0.643164	0.0830804	0.315883	0.0195277	0.00660023
97	117.2	1.723	0.0410946	2.8272	347.526	2.10123	34.6581	7635.49	199987	1.02753	0.00882239	10.8748	0.105453	497851	2148.79	0.643137	0.0830771	0.319159	0.0197301	0.00666886
98	117.2	1.723	0.0410906	2.8272	347.526	2.10102	34.6548	7635.49	199987	1.02743	0.00882202	10.8737	0.105449	497829	2170.85	0.64311	0.0830737	0.322434	0.0199326	0.00673748
99	117.2	1.723	0.0410867	2.8272	347.526	2.10082	34.6515	7635.49	199987	1.02733	0.00882165	10.8727	0.105445	497807	2192.9	0.643084	0.0830703	0.325708	0.020135	0.00680611
100	117.2	1.723	0.0410827	2.8272	347.526	2.10062	34.6482	7635.49	199987	1.02723	0.00882128	10.8716	0.10544	497785	2214.96	0.643057	0.083067	0.328983	0.0203374	0.00687473
