Time	[GA4]	[GID]	[DELLA]	[DELLA_U]	[GA12]	[GA15]	[GA24]	[GA9]	[GA20ox]	[GA3ox]	[ga20ox]	[della]	[ga3ox]	[gid]	[GA4-GID]	[GA9-GA3ox]	[GA24-GA20ox]	[GA15-GA20ox]	[GA12-GA20ox]	[GA4-GID-closed]	[GA12_source]	[GA3ox_source]	[GA20ox_source]	[DELLA_source]	[GID_source]	[ga20ox_source]	[gid_source]	[della_source]	[ga3ox_source]	[GA4-GID-DELLA2]	[GA4-GID-DELLA1]	[GA4_source]	[sa5_degraded]	[sa6_degraded]	[sa7_degraded]	[sa8_degraded]	[sa1_degraded]
80	0.0100802	4.79314	0.00498286	0.0547121	0.00445527	0.00460802	0.00252858	0.000709162	0.000416018	0.0020631	0.00758142	0.669218	0.375721	0.873088	0.0229133	3.97137e-06	0.00125151	5.20357e-06	2.67162e-05	0.00711997	0	0	0	0	0	0	0	0	0	0.00397811	5.02737e-05	0	0	0	0	0	0
81	0.0100912	4.79957	0.00498055	0.0550604	0.00445129	0.004605	0.00252738	0.00070919	0.000416461	0.00206433	0.00758902	0.6691	0.375936	0.874244	0.0229698	3.97389e-06	0.00125227	5.20568e-06	2.67207e-05	0.00713579	0	0	0	0	0	0	0	0	0	0.00398517	5.03624e-05	0	0	0	0	0	0
82	0.0101023	4.80571	0.00497776	0.0554094	0.00444757	0.00460214	0.00252624	0.000709242	0.000416874	0.00206538	0.00759607	0.668997	0.376119	0.875346	0.0230248	3.97621e-06	0.00125297	5.20762e-06	2.67249e-05	0.00715196	0	0	0	0	0	0	0	0	0	0.00399204	5.04487e-05	0	0	0	0	0	0
83	0.0101132	4.81156	0.00497454	0.0557589	0.00444411	0.00459947	0.00252516	0.000709318	0.000417257	0.00206626	0.00760258	0.66891	0.376269	0.876397	0.0230783	3.97832e-06	0.00125361	5.20938e-06	2.67286e-05	0.00716843	0	0	0	0	0	0	0	0	0	0.00399872	5.05325e-05	0	0	0	0	0	0
84	0.010124	4.81713	0.00497091	0.0561089	0.00444091	0.00459698	0.00252415	0.000709414	0.00041761	0.00206697	0.00760854	0.66884	0.376389	0.877397	0.0231303	3.98023e-06	0.00125419	5.21096e-06	2.6732e-05	0.00718513	0	0	0	0	0	0	0	0	0	0.00400519	5.06137e-05	0	0	0	0	0	0
85	0.0101346	4.82244	0.0049669	0.0564596	0.00443797	0.00459467	0.0025232	0.000709529	0.000417933	0.00206751	0.00761395	0.668786	0.37648	0.87835	0.0231807	3.98192e-06	0.00125471	5.21237e-06	2.6735e-05	0.00720204	0	0	0	0	0	0	0	0	0	0.00401145	5.06923e-05	0	0	0	0	0	0
86	0.010145	4.82749	0.00496255	0.0568107	0.0044353	0.00459255	0.00252231	0.000709662	0.000418225	0.0020679	0.00761881	0.668748	0.376543	0.879257	0.0232295	3.98341e-06	0.00125517	5.21361e-06	2.67376e-05	0.00721908	0	0	0	0	0	0	0	0	0	0.00401751	5.07682e-05	0	0	0	0	0	0
87	0.0101552	4.8323	0.00495789	0.0571624	0.00443289	0.00459061	0.0025215	0.000709809	0.000418487	0.00206814	0.00762311	0.668727	0.376579	0.88012	0.0232767	3.9847e-06	0.00125557	5.21467e-06	2.67397e-05	0.00723622	0	0	0	0	0	0	0	0	0	0.00402334	5.08413e-05	0	0	0	0	0	0
88	0.0101652	4.83687	0.00495295	0.0575146	0.00443074	0.00458886	0.00252075	0.000709971	0.000418719	0.00206823	0.00762687	0.668722	0.376589	0.88094	0.0233223	3.98579e-06	0.00125591	5.21557e-06	2.67416e-05	0.00725342	0	0	0	0	0	0	0	0	0	0.00402896	5.09117e-05	0	0	0	0	0	0
89	0.0101749	4.84121	0.00494775	0.0578672	0.00442886	0.0045873	0.00252007	0.000710144	0.00041892	0.00206819	0.00763008	0.668733	0.376574	0.881719	0.0233663	3.98668e-06	0.0012562	5.2163e-06	2.6743e-05	0.00727062	0	0	0	0	0	0	0	0	0	0.00403436	5.09793e-05	0	0	0	0	0	0
90	0.0101843	4.84534	0.00494233	0.0582203	0.00442723	0.00458593	0.00251947	0.000710328	0.000419092	0.00206802	0.00763277	0.66876	0.376537	0.882459	0.0234085	3.98739e-06	0.00125643	5.21687e-06	2.67441e-05	0.0072878	0	0	0	0	0	0	0	0	0	0.00403954	5.10442e-05	0	0	0	0	0	0
91	0.0101934	4.84926	0.0049367	0.0585739	0.00442585	0.00458473	0.00251892	0.00071052	0.000419234	0.00206773	0.00763493	0.668801	0.376477	0.883162	0.0234492	3.9879e-06	0.00125661	5.21729e-06	2.67449e-05	0.00730491	0	0	0	0	0	0	0	0	0	0.0040445	5.11062e-05	0	0	0	0	0	0
92	0.0102023	4.85297	0.00493091	0.0589278	0.00442472	0.00458372	0.00251845	0.000710721	0.000419348	0.00206732	0.00763658	0.668857	0.376397	0.883828	0.0234882	3.98824e-06	0.00125674	5.21755e-06	2.67453e-05	0.00732192	0	0	0	0	0	0	0	0	0	0.00404924	5.11655e-05	0	0	0	0	0	0
93	0.0102107	4.8565	0.00492497	0.0592822	0.00442383	0.00458288	0.00251804	0.000710927	0.000419433	0.0020668	0.00763773	0.668928	0.376297	0.88446	0.0235255	3.9884e-06	0.00125681	5.21766e-06	2.67454e-05	0.00733879	0	0	0	0	0	0	0	0	0	0.00405376	5.1222e-05	0	0	0	0	0	0
94	0.0102189	4.85983	0.00491891	0.059637	0.00442318	0.00458222	0.0025177	0.000711139	0.000419491	0.00206618	0.00763839	0.669012	0.37618	0.885058	0.0235612	3.98839e-06	0.00125683	5.21763e-06	2.67452e-05	0.0073555	0	0	0	0	0	0	0	0	0	0.00405806	5.12758e-05	0	0	0	0	0	0
95	0.0102267	4.863	0.00491275	0.0599921	0.00442276	0.00458173	0.00251743	0.000711354	0.000419523	0.00206547	0.00763859	0.669108	0.376045	0.885625	0.0235953	3.98822e-06	0.00125681	5.21747e-06	2.67447e-05	0.00737201	0	0	0	0	0	0	0	0	0	0.00406216	5.13269e-05	0	0	0	0	0	0
96	0.0102341	4.86599	0.00490651	0.0603475	0.00442256	0.0045814	0.00251721	0.000711572	0.000419529	0.00206467	0.00763833	0.669218	0.375895	0.886161	0.0236277	3.9879e-06	0.00125674	5.21717e-06	2.67439e-05	0.00738829	0	0	0	0	0	0	0	0	0	0.00406603	5.13754e-05	0	0	0	0	0	0
97	0.0102412	4.86882	0.00490022	0.0607033	0.00442258	0.00458123	0.00251706	0.000711791	0.00041951	0.00206379	0.00763763	0.669339	0.37573	0.886668	0.0236585	3.98742e-06	0.00125662	5.21674e-06	2.67428e-05	0.00740433	0	0	0	0	0	0	0	0	0	0.00406971	5.14212e-05	0	0	0	0	0	0
98	0.0102479	4.87149	0.00489389	0.0610594	0.00442281	0.00458122	0.00251697	0.000712011	0.000419467	0.00206283	0.0076365	0.669471	0.375552	0.887147	0.0236878	3.9868e-06	0.00125646	5.21619e-06	2.67414e-05	0.00742009	0	0	0	0	0	0	0	0	0	0.00407318	5.14645e-05	0	0	0	0	0	0
99	0.0102542	4.87402	0.00488754	0.0614158	0.00442323	0.00458135	0.00251694	0.00071223	0.000419401	0.0020618	0.00763498	0.669614	0.375361	0.887599	0.0237155	3.98604e-06	0.00125626	5.21552e-06	2.67398e-05	0.00743556	0	0	0	0	0	0	0	0	0	0.00407645	5.15053e-05	0	0	0	0	0	0
100	0.0102602	4.8764	0.0048812	0.0617725	0.00442386	0.00458163	0.00251696	0.000712448	0.000419313	0.00206071	0.00763307	0.669767	0.37516	0.888026	0.0237416	3.98516e-06	0.00125602	5.21475e-06	2.67379e-05	0.00745071	0	0	0	0	0	0	0	0	0	0.00407952	5.15436e-05	0	0	0	0	0	0
