Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
32	7.83528e-07	3.90007	0.000173556	37.7992	1.03763	2.15647e-06	112.713	0.0348946	-6.77326e-27	0.438624	3.97524e-07	2.00798e-06	0.438821	3.4019e-07	3.61638e-08	0.0132541	9.17057	0.829434	25.2749	1.48794	69.4314	5.58109	0.000243898	-4.61161e-27	0.00971473	71.4046	2.0341e-06	0.438619	4.75231e-07	0.0167923	8.92635	1.07365	31.9954	1.48794	3.11853e-06	5.58109	0.000245488	35.6633	0.043808	-3.14191e-27	1.69319
33	8.1738e-07	3.90006	0.000162264	37.6061	1.03562	2.01656e-06	111.218	0.0359325	-6.71232e-27	0.438636	3.8763e-07	1.87726e-06	0.438821	3.54744e-07	3.55618e-08	0.0131384	9.17672	0.823277	25.1016	1.48525	69.0657	5.58109	0.000227984	-4.64729e-27	0.010231	72.1128	1.90358e-06	0.438633	4.64568e-07	0.0166414	8.93482	1.06518	31.7671	1.48525	3.16168e-06	5.58108	0.000229586	36.0167	0.0448704	-3.14105e-27	1.72909
34	8.51544e-07	3.90006	0.000151759	37.4069	1.03349	1.88642e-06	109.793	0.0369674	-6.65404e-27	0.438648	3.78256e-07	1.75565e-06	0.438821	3.69577e-07	3.5005e-08	0.0130227	9.18296	0.817035	24.9256	1.48241	68.6892	5.58108	0.000213179	-4.68095e-27	0.0107569	72.7752	1.78216e-06	0.438645	4.54432e-07	0.016491	8.94338	1.05662	31.5363	1.4824	3.20508e-06	5.58108	0.000214793	36.347	0.0459195	-3.13958e-27	1.76443
35	8.85996e-07	3.90005	0.000141987	37.2021	1.03125	1.76537e-06	108.434	0.0379996	-6.5983e-27	0.43866	3.69367e-07	1.64252e-06	0.438821	3.84688e-07	3.44908e-08	0.0129072	9.18928	0.810717	24.7474	1.47939	68.3026	5.58107	0.000199406	-4.71269e-27	0.0112921	73.394	1.66923e-06	0.438657	4.44789e-07	0.016341	8.95201	1.04799	31.3031	1.47939	3.24874e-06	5.58107	0.000201032	36.6557	0.0469554	-3.13757e-27	1.79922
36	9.20715e-07	3.90005	0.000132897	36.9919	1.02891	1.65279e-06	107.138	0.0390288	-6.54495e-27	0.43867	3.60931e-07	1.53729e-06	0.438821	4.00075e-07	3.40166e-08	0.0127918	9.19567	0.804331	24.5669	1.47622	67.9063	5.58106	0.000186594	-4.74259e-27	0.0118363	73.9717	1.56419e-06	0.438667	4.35607e-07	0.0161916	8.9607	1.0393	31.0679	1.47622	3.29263e-06	5.58106	0.000188233	36.9438	0.0479785	-3.13503e-27	1.83349
37	9.55677e-07	3.90005	0.000124442	36.7767	1.02645	1.54808e-06	105.902	0.0400553	-6.49387e-27	0.43868	3.52919e-07	1.43942e-06	0.438821	4.15737e-07	3.358e-08	0.0126768	9.20212	0.797884	24.3846	1.47289	67.501	5.58106	0.000174677	-4.77074e-27	0.0123894	74.5104	1.4665e-06	0.438677	4.26857e-07	0.0160428	8.96945	1.03055	30.8309	1.47289	3.33675e-06	5.58105	0.000176327	37.2124	0.048989	-3.13202e-27	1.86726
38	9.90862e-07	3.90004	0.000116579	36.5566	1.02388	1.4507e-06	104.723	0.0410789	-6.44495e-27	0.438689	3.45304e-07	1.34839e-06	0.438821	4.31672e-07	3.31788e-08	0.012562	9.20862	0.791385	24.2005	1.4694	67.0873	5.58105	0.000163594	-4.79724e-27	0.012951	75.0121	1.37566e-06	0.438687	4.18511e-07	0.0158946	8.97824	1.02176	30.5922	1.4694	3.38108e-06	5.58105	0.000165255	37.4625	0.0499872	-3.12856e-27	1.90055
39	1.02625e-06	3.90004	0.000109266	36.3322	1.02121	1.36015e-06	103.597	0.0420998	-6.39807e-27	0.438698	3.38059e-07	1.26374e-06	0.438821	4.47879e-07	3.28108e-08	0.0124477	9.21516	0.784839	24.0149	1.46576	66.6655	5.58104	0.000153286	-4.82215e-27	0.013521	75.4789	1.29119e-06	0.438695	4.10542e-07	0.0157472	8.98707	1.01293	30.3521	1.46576	3.42561e-06	5.58104	0.000154958	37.6952	0.0509734	-3.12468e-27	1.93339
40	1.06182e-06	3.90004	0.000102466	36.1035	1.01843	1.27597e-06	102.522	0.0431178	-6.35312e-27	0.438706	3.31161e-07	1.18503e-06	0.438821	4.64356e-07	3.24742e-08	0.0123337	9.22175	0.778255	23.828	1.46196	66.2364	5.58104	0.000143701	-4.84556e-27	0.014099	75.9126	1.21264e-06	0.438704	4.02928e-07	0.0156005	8.99593	1.00407	30.1109	1.46196	3.47032e-06	5.58104	0.000145383	37.9114	0.0519478	-3.12042e-27	1.96579
41	1.09756e-06	3.90004	9.61433e-05	35.871	1.01556	1.1977e-06	101.496	0.0441332	-6.31001e-27	0.438713	3.24588e-07	1.11184e-06	0.438821	4.81102e-07	3.21671e-08	0.0122203	9.22836	0.771638	23.6399	1.45802	65.8005	5.58103	0.000134787	-4.86755e-27	0.014685	76.3149	1.13962e-06	0.438711	3.95646e-07	0.0154546	9.00482	0.995183	29.8686	1.45802	3.51522e-06	5.58103	0.00013648	38.1119	0.0529107	-3.11579e-27	1.99777
