Time	[Ras2_GDP]	[Cdc25]	[Ras2_GDP_Cdc25]	[Ras2_Cdc25]	[GDP]	[GTP]	[Ras2_GTP_Cdc25]	[Ras2_GTP]	[Ira2]	[Ras2_GTP_Ira2]	[CYR1]	[Ras2_GTP_CYR1]	[ATP]	[cAMP]	[PKA]	[cAMP_PKA]	[IIcAMP_PKA]	[IIIcAMP_PKA]	[IVcAMP_PKA]	[C]	[R_2cAMP]	[R]	[R_C]	[Pde1]	[Pde1f]	[cAMP_Pde1f]	[AMP]	[PPA2]	[Pde2]	[cAMP_Pde2]	[Cdc25f]	[Ira2P]	[Ras2_GTP_Ira2P]
81	18720.6	0.0155197	150.614	5.76831e-05	1.5e+06	5e+06	149.018	585.884	4.67692	118.089	1.19967	198.8	2.4e+07	125516	392.373	392.893	393.745	398.545	453.8	906.695	905.364	1.33138	30.5928	1335.66	0.0390308	64.3033	619404	4000	1150.91	5349.09	0.35177	0.264862	76.9696
82	18804.9	0.0155189	151.15	5.77241e-05	1.5e+06	5e+06	148.482	502.502	5.2916	115.849	1.4668	198.533	2.4e+07	125937	391.853	392.342	393.172	398.057	454.826	908.871	907.539	1.33138	30.629	1334.46	0.0396222	65.499	628987	4000	1147.73	5352.27	0.352598	0.315157	78.5441
83	18892	0.0155179	151.702	5.77664e-05	1.5e+06	5e+06	147.929	416.718	6.14253	113.309	1.84284	198.157	2.4e+07	126328	391.374	391.828	392.633	397.595	455.78	910.916	909.585	1.33138	30.6629	1333.26	0.0402198	66.6961	638584	4000	1144.79	5355.21	0.353368	0.387847	80.1602
84	18981.9	0.0155163	152.268	5.78099e-05	1.5e+06	5e+06	147.362	328.766	7.39298	110.327	2.39441	197.606	2.4e+07	126683	390.946	391.358	392.133	397.16	456.649	912.814	911.482	1.33139	30.6944	1332.06	0.0408262	67.8945	648195	4000	1142.13	5357.87	0.35407	0.501357	81.7787
85	19074.4	0.0155138	152.846	5.78543e-05	1.5e+06	5e+06	146.783	239.345	9.39313	106.641	3.24673	196.753	2.4e+07	126991	390.583	390.943	391.679	396.758	457.409	914.533	913.202	1.33139	30.7229	1330.86	0.0414451	69.094	657819	4000	1139.82	5360.18	0.354683	0.700185	83.266
86	19168.6	0.0155094	153.427	5.78989e-05	1.5e+06	5e+06	146.202	150.56	13.0268	101.729	4.65811	195.342	2.4e+07	127232	390.314	390.601	391.284	396.395	458.021	916.023	914.692	1.3314	30.7476	1329.66	0.0420836	70.2942	667456	4000	1138	5362	0.355165	1.11813	84.126
87	19261.1	0.0154999	153.979	5.79413e-05	1.5e+06	5e+06	145.65	69.8485	21.0743	94.5123	7.2359	192.764	2.4e+07	127367	390.192	390.366	390.971	396.084	458.407	917.191	915.859	1.3314	30.767	1328.46	0.0427555	71.4948	677104	4000	1136.94	5363.06	0.355409	2.28778	82.1257
88	19336.7	0.015477	154.387	5.79727e-05	1.5e+06	5e+06	145.242	22.9878	41.4257	83.9132	12.5405	187.46	2.4e+07	127306	390.341	390.314	390.786	395.847	458.401	917.845	916.514	1.3314	30.778	1327.26	0.0434924	72.6953	686762	4000	1137.26	5362.74	0.355151	5.37766	69.2834
89	19375.3	0.0154512	154.52	5.79831e-05	1.5e+06	5e+06	145.11	16.841	63.3123	74.0559	22.028	177.972	2.4e+07	126870	391.032	390.609	390.828	395.73	457.631	917.568	916.236	1.3314	30.7738	1326.06	0.0443599	73.8945	696426	4000	1140.26	5359.74	0.354458	6.39454	56.2373
90	19396.2	0.0154352	154.541	5.79848e-05	1.5e+06	5e+06	145.091	16.1166	72.0061	67.6578	33.3384	166.662	2.4e+07	125908	392.582	391.525	391.289	395.831	455.599	915.607	914.276	1.33139	30.742	1324.86	0.0454207	75.0906	706091	4000	1147.16	5352.84	0.353351	6.62967	53.7065
91	19413.4	0.0154223	154.549	5.79858e-05	1.5e+06	5e+06	145.085	15.2821	76.6421	63.0269	44.7077	155.292	2.4e+07	124389	395.057	393.255	392.389	396.302	452.055	911.212	909.881	1.33139	30.6699	1323.67	0.0467018	76.2808	715750	4000	1158.38	5341.62	0.351387	6.97251	53.3584
92	19428.8	0.0154109	154.555	5.79867e-05	1.5e+06	5e+06	145.081	14.6733	80.1198	59.4665	55.7023	144.298	2.4e+07	122332	398.355	395.814	394.24	397.28	447.028	904.013	902.682	1.33137	30.5512	1322.49	0.0482197	77.4615	725394	4000	1174.03	5325.97	0.348379	7.23853	53.1753
93	19442.5	0.0154006	154.561	5.79878e-05	1.5e+06	5e+06	145.08	14.2926	82.8328	56.7494	66.153	133.847	2.4e+07	119767	402.396	399.133	396.835	398.815	440.633	893.991	892.66	1.33135	30.3848	1321.32	0.0499918	78.6288	735017	4000	1194.24	5305.76	0.344314	7.40867	53.0091
94	19454.7	0.0153914	154.565	5.79889e-05	1.5e+06	5e+06	145.08	14.0849	84.9292	54.7254	75.9605	124.04	2.4e+07	116733	407.155	403.156	400.123	400.884	432.96	881.272	879.941	1.33132	30.172	1320.17	0.0520385	79.7789	744611	4000	1219.12	5280.88	0.339239	7.49549	52.8499
95	19465.4	0.0153833	154.569	5.79902e-05	1.5e+06	5e+06	145.082	14.0131	86.5232	53.2762	85.0705	114.93	2.4e+07	113271	412.64	407.858	404.056	403.433	424.063	865.988	864.656	1.33128	29.9141	1319.04	0.0543848	80.9084	754166	4000	1248.85	5251.15	0.333206	7.51078	52.6898
96	19474.9	0.0153762	154.573	5.79915e-05	1.5e+06	5e+06	145.085	14.055	87.7036	52.3095	93.4614	106.539	2.4e+07	109426	418.863	413.228	408.601	406.403	413.978	848.24	846.908	1.33124	29.6116	1317.93	0.0570612	82.0138	763675	4000	1283.67	5216.33	0.326252	7.46408	52.5228
97	19483.2	0.01537	154.577	5.7993e-05	1.5e+06	5e+06	145.089	14.1977	88.5383	51.7545	101.134	98.866	2.4e+07	105244	425.831	419.261	413.734	409.741	402.745	828.112	826.781	1.33119	29.2646	1316.85	0.0601045	83.0918	773129	4000	1323.85	5176.15	0.318409	7.36313	52.3441
98	19490.3	0.0153647	154.58	5.79946e-05	1.5e+06	5e+06	145.095	14.4347	89.078	51.5579	108.103	91.8965	2.4e+07	100770	433.548	425.947	419.428	413.39	390.406	805.687	804.356	1.33113	28.8729	1315.8	0.0635598	84.1392	782517	4000	1369.74	5130.26	0.309706	7.21433	52.1497
99	19496.3	0.0153602	154.584	5.79963e-05	1.5e+06	5e+06	145.101	14.7645	89.3599	51.6811	114.394	85.6058	2.4e+07	96049.2	442.024	433.273	425.654	417.291	377.011	781.056	779.725	1.33106	28.4363	1314.78	0.0674818	85.1528	791830	4000	1421.77	5078.23	0.300178	7.02308	51.9359
100	19501.4	0.0153565	154.587	5.79982e-05	1.5e+06	5e+06	145.108	15.1894	89.4099	52.0974	120.035	79.9648	2.4e+07	91127.6	451.27	441.229	432.38	421.376	362.611	754.315	752.984	1.33098	27.9543	1313.8	0.0719369	86.1297	801057	4000	1480.42	5019.58	0.289858	6.79401	51.6987
