Time	[asp]	[ni]	[T]	[Tasp]	[Tni]	[W]	[TW]	[Tasp_W]	[Tni_W]	[TA]	[Tasp_A]	[Tni_A]	[WA]	[TWA]	[Tasp_WA]	[Tni_WA]	[A]	[Ap]	[B]	[Bp]	[Z]	[Y]	[Yp]	[M]	[MYp]	[MYpYp]	[MYpYpYp]	[MYpYpYpYp]	[ATP]
72	0	0	3.12719e-06	1.71595e-18	0	2.81043e-06	7.27698e-07	3.99304e-19	0	3.98129e-07	2.18464e-19	0	7.18883e-07	7.48987e-07	4.10984e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
73	0	0	3.12719e-06	1.60793e-18	0	2.81043e-06	7.27698e-07	3.74168e-19	0	3.98129e-07	2.04711e-19	0	7.18883e-07	7.48987e-07	3.85113e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
74	0	0	3.12719e-06	1.49991e-18	0	2.81043e-06	7.27698e-07	3.49032e-19	0	3.98129e-07	1.90959e-19	0	7.18883e-07	7.48987e-07	3.59242e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
75	0	0	3.12719e-06	1.39189e-18	0	2.81043e-06	7.27698e-07	3.23896e-19	0	3.98129e-07	1.77207e-19	0	7.18883e-07	7.48987e-07	3.33371e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
76	0	0	3.12719e-06	1.28387e-18	0	2.81043e-06	7.27698e-07	2.9876e-19	0	3.98129e-07	1.63455e-19	0	7.18883e-07	7.48987e-07	3.07499e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
77	0	0	3.12719e-06	1.17586e-18	0	2.81043e-06	7.27698e-07	2.73624e-19	0	3.98129e-07	1.49703e-19	0	7.18883e-07	7.48987e-07	2.81628e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
78	0	0	3.12719e-06	1.06784e-18	0	2.81043e-06	7.27698e-07	2.48488e-19	0	3.98129e-07	1.35951e-19	0	7.18883e-07	7.48987e-07	2.55757e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
79	0	0	3.12719e-06	9.59821e-19	0	2.81043e-06	7.27698e-07	2.23352e-19	0	3.98129e-07	1.22198e-19	0	7.18883e-07	7.48987e-07	2.29886e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
80	0	0	3.12719e-06	8.51803e-19	0	2.81043e-06	7.27698e-07	1.98216e-19	0	3.98129e-07	1.08446e-19	0	7.18883e-07	7.48987e-07	2.04014e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
81	0	0	3.12719e-06	7.43786e-19	0	2.81043e-06	7.27698e-07	1.7308e-19	0	3.98129e-07	9.46941e-20	0	7.18883e-07	7.48987e-07	1.78143e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
82	0	0	3.12719e-06	6.35768e-19	0	2.81043e-06	7.27698e-07	1.47944e-19	0	3.98129e-07	8.09419e-20	0	7.18883e-07	7.48987e-07	1.52272e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
83	0	0	3.12719e-06	5.2775e-19	0	2.81043e-06	7.27698e-07	1.22808e-19	0	3.98129e-07	6.71897e-20	0	7.18883e-07	7.48987e-07	1.26401e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
84	0	0	3.12719e-06	4.19732e-19	0	2.81043e-06	7.27698e-07	9.76722e-20	0	3.98129e-07	5.34376e-20	0	7.18883e-07	7.48987e-07	1.00529e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
85	0	0	3.12719e-06	3.11714e-19	0	2.81043e-06	7.27698e-07	7.25363e-20	0	3.98129e-07	3.96854e-20	0	7.18883e-07	7.48987e-07	7.46582e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
86	0	0	3.12719e-06	2.03696e-19	0	2.81043e-06	7.27698e-07	4.74004e-20	0	3.98129e-07	2.59332e-20	0	7.18883e-07	7.48987e-07	4.8787e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
87	0	0	3.12719e-06	1.07741e-19	0	2.81043e-06	7.27698e-07	2.50713e-20	0	3.98129e-07	1.37168e-20	0	7.18883e-07	7.48987e-07	2.58048e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
88	0	0	3.12719e-06	1.05311e-19	0	2.81043e-06	7.27698e-07	2.4506e-20	0	3.98129e-07	1.34074e-20	0	7.18883e-07	7.48987e-07	2.52229e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
89	0	0	3.12719e-06	1.02881e-19	0	2.81043e-06	7.27698e-07	2.39406e-20	0	3.98129e-07	1.30981e-20	0	7.18883e-07	7.48987e-07	2.4641e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
90	0	0	3.12719e-06	1.00452e-19	0	2.81043e-06	7.27698e-07	2.33752e-20	0	3.98129e-07	1.27888e-20	0	7.18883e-07	7.48987e-07	2.40591e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
91	0	0	3.12719e-06	9.80222e-20	0	2.81043e-06	7.27698e-07	2.28099e-20	0	3.98129e-07	1.24795e-20	0	7.18883e-07	7.48987e-07	2.34772e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
92	0	0	3.12719e-06	9.55926e-20	0	2.81043e-06	7.27698e-07	2.22445e-20	0	3.98129e-07	1.21702e-20	0	7.18883e-07	7.48987e-07	2.28953e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
93	0	0	3.12719e-06	9.3163e-20	0	2.81043e-06	7.27698e-07	2.16791e-20	0	3.98129e-07	1.18609e-20	0	7.18883e-07	7.48987e-07	2.23133e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
94	0	0	3.12719e-06	9.07334e-20	0	2.81043e-06	7.27698e-07	2.11138e-20	0	3.98129e-07	1.15515e-20	0	7.18883e-07	7.48987e-07	2.17314e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
95	0	0	3.12719e-06	8.83039e-20	0	2.81043e-06	7.27698e-07	2.05484e-20	0	3.98129e-07	1.12422e-20	0	7.18883e-07	7.48987e-07	2.11495e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
96	0	0	3.12719e-06	8.58743e-20	0	2.81043e-06	7.27698e-07	1.9983e-20	0	3.98129e-07	1.09329e-20	0	7.18883e-07	7.48987e-07	2.05676e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
97	0	0	3.12719e-06	8.34447e-20	0	2.81043e-06	7.27698e-07	1.94177e-20	0	3.98129e-07	1.06236e-20	0	7.18883e-07	7.48987e-07	1.99857e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
98	0	0	3.12719e-06	8.10151e-20	0	2.81043e-06	7.27698e-07	1.88523e-20	0	3.98129e-07	1.03143e-20	0	7.18883e-07	7.48987e-07	1.94038e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
99	0	0	3.12719e-06	7.85855e-20	0	2.81043e-06	7.27698e-07	1.82869e-20	0	3.98129e-07	1.00049e-20	0	7.18883e-07	7.48987e-07	1.88219e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
100	0	0	3.12719e-06	7.61559e-20	0	2.81043e-06	7.27698e-07	1.77216e-20	0	3.98129e-07	9.69563e-21	0	7.18883e-07	7.48987e-07	1.824e-20	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
