Time	[Phosphoenol pyruvate]	[Extracellular Glucose]	[Glucose-6-Phosphate]	[Pyruvate]	[Fructose-6-Phosphate]	[Glucose-1-Phosphate]	[6-Phosphogluconate]	[sedoheptulose-7-phosphate]	[Glyceraldehyde-3-Phosphate]	[Erythrose-4-phosphate]	[Xylulose-5-phosphate]	[Ribose-5-phosphate]	[Dihydroxyacetonephosphate]	[3-Phosphoglycerate]	[2-Phosphoglycerate]	[Ribulose-5-phosphate]
87	1.14111	1.02056	3.53468	4.17682	0.605776	0.571974	0.844131	0.212934	0.452574	0.159754	0.173402	0.49081	0.414221	0.954819	0.175151	0.134264
88	1.14384	1.01007	3.53198	4.17239	0.605329	0.571424	0.843349	0.212731	0.452519	0.159698	0.173313	0.490547	0.413839	0.95688	0.175547	0.134194
89	1.14667	0.999624	3.52937	4.1679	0.604898	0.570903	0.842598	0.212537	0.45246	0.159643	0.173227	0.490291	0.413451	0.959023	0.175958	0.134126
90	1.1496	0.989225	3.52685	4.16336	0.604481	0.570409	0.841875	0.21235	0.452397	0.159588	0.173143	0.490042	0.413056	0.961246	0.176385	0.134059
91	1.15262	0.978873	3.5244	4.15875	0.604078	0.569941	0.84118	0.21217	0.45233	0.159534	0.173061	0.4898	0.412656	0.96355	0.176826	0.133995
92	1.15575	0.968569	3.52204	4.15408	0.603689	0.569497	0.840511	0.211998	0.45226	0.159481	0.172981	0.489564	0.412249	0.965932	0.177282	0.133932
93	1.15898	0.958314	3.51975	4.14935	0.603313	0.569077	0.839866	0.211832	0.452186	0.159427	0.172903	0.489334	0.411836	0.968392	0.177753	0.133871
94	1.1623	0.948107	3.51753	4.14457	0.602951	0.568679	0.839244	0.211674	0.452108	0.159374	0.172827	0.48911	0.411417	0.97093	0.178238	0.133811
95	1.16571	0.93795	3.51539	4.13973	0.6026	0.568304	0.838645	0.211522	0.452027	0.159321	0.172753	0.488892	0.410992	0.973545	0.178737	0.133753
96	1.16923	0.927843	3.51332	4.13483	0.602263	0.567949	0.838067	0.211376	0.451941	0.159269	0.172681	0.488679	0.410561	0.976236	0.179251	0.133696
97	1.17284	0.917786	3.51132	4.12988	0.601937	0.567614	0.83751	0.211237	0.451852	0.159217	0.17261	0.488472	0.410123	0.979003	0.179779	0.133641
98	1.17654	0.90778	3.50939	4.12487	0.601623	0.567299	0.836972	0.211104	0.451759	0.159165	0.172541	0.488269	0.40968	0.981845	0.180322	0.133588
99	1.18034	0.897825	3.50752	4.1198	0.60132	0.567003	0.836454	0.210977	0.451662	0.159113	0.172474	0.488072	0.409231	0.984764	0.180878	0.133535
100	1.18423	0.887921	3.50572	4.11468	0.601029	0.566724	0.835954	0.210856	0.45156	0.159061	0.172408	0.48788	0.408775	0.987757	0.181449	0.133484
