Time	[_2PGA_c]	[ATP_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
60	0.334917	2.18909	4.94683	0.705505	2.85258	2.14988	0.534186	1.32561	3.72832	0.194806	0	1	3.61604	3.49152	0.000347896	0	0.0166066	0.000536028	0.0117808	3.3819	0.01	0.17947	0.0329753	0.01	0.0326177	5	0.508477	0.383959	1.3635	0	3.95453	12.5017	0.130017	0	0.367479	0	0.0531674	20.6514	0.00139285	0.0125205	0.00569894	0.993588	3.14462	1026.45	0.385308	0.0454659
61	0.334977	2.18941	4.94673	0.707456	2.85755	2.15159	0.53525	1.32544	3.72947	0.195215	0	1	3.61605	3.49147	0.000347955	0	0.0166065	0.000536021	0.0117819	3.37825	0.01	0.179753	0.0329296	0.01	0.032572	5	0.508531	0.383954	1.36389	0	3.95449	12.5535	0.130242	0	0.367479	0	0.0532735	20.7251	0.00139284	0.0125207	0.00569961	0.993714	3.14095	1026.75	0.385153	0.0455053
62	0.335036	2.18973	4.94662	0.709379	2.86247	2.15328	0.536305	1.32527	3.7306	0.19562	0	1	3.61605	3.49142	0.000348013	0	0.0166064	0.000536015	0.0117829	3.37467	0.01	0.180032	0.0328848	0.01	0.0325272	5	0.508584	0.38395	1.36426	0	3.95446	12.6048	0.130465	0	0.367479	0	0.0533786	20.7981	0.00139283	0.0125208	0.00570028	0.993837	3.13734	1027.05	0.385002	0.0455443
63	0.335095	2.19004	4.94652	0.711276	2.86732	2.15493	0.537353	1.32511	3.73171	0.196023	0	1	3.61605	3.49136	0.000348071	0	0.0166063	0.000536009	0.011784	3.37117	0.01	0.180307	0.032841	0.01	0.0324834	5	0.508637	0.383945	1.36463	0	3.95442	12.6556	0.130684	0	0.367479	0	0.0534826	20.8704	0.00139282	0.0125209	0.00570094	0.993959	3.13379	1027.34	0.384852	0.0455829
64	0.335152	2.19034	4.94641	0.713145	2.87213	2.15656	0.538393	1.32495	3.73281	0.196422	0	1	3.61606	3.49131	0.000348127	0	0.0166062	0.000536003	0.011785	3.36774	0.01	0.180578	0.0327981	0.01	0.0324405	5	0.508688	0.383941	1.365	0	3.95438	12.706	0.130901	0	0.367479	0	0.0535855	20.9421	0.00139281	0.012521	0.0057016	0.994079	3.1303	1027.63	0.384705	0.0456211
65	0.335209	2.19065	4.94631	0.714988	2.87687	2.15816	0.539425	1.32479	3.7339	0.196819	0	1	3.61606	3.49126	0.000348184	0	0.0166062	0.000535997	0.011786	3.36439	0.01	0.180846	0.0327562	0.01	0.0323986	5	0.50874	0.383936	1.36536	0	3.95434	12.7559	0.131116	0	0.367479	0	0.0536874	21.0132	0.0013928	0.0125211	0.00570224	0.994197	3.12686	1027.92	0.384561	0.045659
66	0.335264	2.19095	4.94621	0.716806	2.88157	2.15973	0.54045	1.32464	3.73497	0.197213	0	1	3.61607	3.49121	0.000348239	0	0.0166061	0.000535991	0.011787	3.3611	0.01	0.18111	0.0327151	0.01	0.0323574	5	0.508791	0.383932	1.36572	0	3.9543	12.8053	0.131328	0	0.367479	0	0.0537883	21.0836	0.00139279	0.0125212	0.00570288	0.994314	3.12347	1028.2	0.384418	0.0456965
67	0.33532	2.19124	4.94611	0.718599	2.88621	2.16127	0.541467	1.32448	3.73603	0.197603	0	1	3.61607	3.49116	0.000348295	0	0.016606	0.000535986	0.011788	3.35789	0.01	0.181371	0.0326748	0.01	0.0323171	5	0.508841	0.383927	1.36608	0	3.95427	12.8543	0.131538	0	0.367479	0	0.0538882	21.1533	0.00139279	0.0125213	0.00570352	0.994429	3.12013	1028.48	0.384278	0.0457337
68	0.335374	2.19153	4.94601	0.720367	2.89079	2.16279	0.542476	1.32433	3.73707	0.197991	0	1	3.61608	3.49111	0.000348349	0	0.0166059	0.00053598	0.011789	3.35474	0.01	0.181628	0.0326353	0.01	0.0322777	5	0.508891	0.383923	1.36642	0	3.95423	12.9029	0.131745	0	0.367479	0	0.053987	21.2225	0.00139278	0.0125214	0.00570414	0.994542	3.11685	1028.76	0.38414	0.0457705
69	0.335428	2.19181	4.94592	0.722111	2.89533	2.16428	0.543479	1.32418	3.7381	0.198377	0	1	3.61608	3.49106	0.000348403	0	0.0166058	0.000535975	0.01179	3.35165	0.01	0.181882	0.0325967	0.01	0.032239	5	0.50894	0.383919	1.36677	0	3.95419	12.951	0.13195	0	0.367479	0	0.0540849	21.291	0.00139277	0.0125215	0.00570476	0.994654	3.11361	1029.03	0.384004	0.0458069
70	0.33548	2.19209	4.94582	0.723832	2.89981	2.16575	0.544473	1.32404	3.73912	0.198759	0	1	3.61609	3.49101	0.000348456	0	0.0166058	0.00053597	0.0117909	3.34863	0.01	0.182133	0.0325588	0.01	0.0322011	5	0.508989	0.383915	1.36711	0	3.95416	12.9987	0.132153	0	0.367478	0	0.0541818	21.3589	0.00139276	0.0125216	0.00570537	0.994764	3.11042	1029.3	0.38387	0.045843
71	0.335533	2.19237	4.94572	0.725529	2.90425	2.16719	0.545461	1.32389	3.74013	0.199138	0	1	3.61609	3.49096	0.000348509	0	0.0166057	0.000535964	0.0117919	3.34567	0.01	0.18238	0.0325217	0.01	0.032164	5	0.509037	0.383911	1.36744	0	3.95412	13.046	0.132353	0	0.367478	0	0.0542777	21.4262	0.00139276	0.0125217	0.00570598	0.994873	3.10728	1029.56	0.383738	0.0458787
72	0.335584	2.19264	4.94563	0.727204	2.90863	2.16861	0.546441	1.32375	3.74112	0.199515	0	1	3.61609	3.49092	0.000348561	0	0.0166056	0.000535959	0.0117928	3.34277	0.01	0.182625	0.0324853	0.01	0.0321276	5	0.509084	0.383907	1.36778	0	3.95409	13.0929	0.132552	0	0.367478	0	0.0543727	21.4929	0.00139275	0.0125218	0.00570658	0.994981	3.10419	1029.82	0.383608	0.0459142
73	0.335635	2.19291	4.94553	0.728856	2.91297	2.17001	0.547414	1.32361	3.7421	0.199889	0	1	3.6161	3.49087	0.000348613	0	0.0166055	0.000535954	0.0117937	3.33993	0.01	0.182866	0.0324497	0.01	0.0320919	5	0.509132	0.383903	1.3681	0	3.95405	13.1393	0.132748	0	0.367478	0	0.0544667	21.559	0.00139274	0.0125218	0.00570717	0.995087	3.10114	1030.08	0.38348	0.0459492
74	0.335685	2.19317	4.94544	0.730486	2.91726	2.17138	0.548381	1.32347	3.74306	0.200261	0	1	3.6161	3.49082	0.000348664	0	0.0166055	0.000535949	0.0117947	3.33714	0.01	0.183104	0.0324147	0.01	0.032057	5	0.509178	0.383899	1.36843	0	3.95402	13.1853	0.132941	0	0.367478	0	0.0545598	21.6245	0.00139273	0.0125219	0.00570776	0.995191	3.09814	1030.33	0.383354	0.045984
75	0.335735	2.19343	4.94535	0.732095	2.9215	2.17273	0.549339	1.32334	3.74402	0.200629	0	1	3.6161	3.49078	0.000348715	0	0.0166054	0.000535944	0.0117956	3.33441	0.01	0.183339	0.0323804	0.01	0.0320227	5	0.509224	0.383896	1.36875	0	3.95398	13.231	0.133133	0	0.367478	0	0.054652	21.6895	0.00139273	0.012522	0.00570834	0.995294	3.09517	1030.59	0.38323	0.0460184
76	0.335784	2.19369	4.94526	0.733683	2.9257	2.17406	0.550291	1.3232	3.74496	0.200995	0	1	3.61611	3.49073	0.000348765	0	0.0166053	0.00053594	0.0117965	3.33173	0.01	0.183572	0.0323467	0.01	0.031989	5	0.50927	0.383892	1.36906	0	3.95395	13.2762	0.133323	0	0.367478	0	0.0547433	21.7539	0.00139272	0.0125221	0.00570892	0.995396	3.09226	1030.83	0.383107	0.0460525
77	0.335832	2.19394	4.94517	0.735251	2.92985	2.17537	0.551236	1.32307	3.74589	0.201358	0	1	3.61611	3.49068	0.000348814	0	0.0166052	0.000535935	0.0117974	3.32911	0.01	0.183801	0.0323138	0.01	0.031956	5	0.509315	0.383889	1.36937	0	3.95391	13.321	0.13351	0	0.367478	0	0.0548337	21.8177	0.00139271	0.0125222	0.00570949	0.995497	3.08938	1031.08	0.382986	0.0460863
78	0.33588	2.19419	4.94508	0.736798	2.93395	2.17666	0.552175	1.32294	3.74682	0.201719	0	1	3.61611	3.49064	0.000348864	0	0.0166052	0.00053593	0.0117983	3.32653	0.01	0.184028	0.0322814	0.01	0.0319236	5	0.50936	0.383885	1.36968	0	3.95388	13.3655	0.133696	0	0.367478	0	0.0549232	21.8809	0.00139271	0.0125223	0.00571005	0.995596	3.08655	1031.32	0.382867	0.0461197
79	0.335927	2.19444	4.94499	0.738325	2.93802	2.17792	0.553106	1.32281	3.74772	0.202077	0	1	3.61612	3.4906	0.000348912	0	0.0166051	0.000535926	0.0117991	3.32401	0.01	0.184251	0.0322496	0.01	0.0318918	5	0.509404	0.383882	1.36999	0	3.95385	13.4096	0.13388	0	0.367478	0	0.0550118	21.9436	0.0013927	0.0125223	0.00571061	0.995694	3.08375	1031.56	0.38275	0.0461529
80	0.335973	2.19468	4.9449	0.739833	2.94204	2.17917	0.55403	1.32269	3.74862	0.202432	0	1	3.61612	3.49055	0.00034896	0	0.016605	0.000535921	0.0118	3.32153	0.01	0.184473	0.0322185	0.01	0.0318607	5	0.509448	0.383878	1.37029	0	3.95381	13.4532	0.134061	0	0.367478	0	0.0550996	22.0058	0.00139269	0.0125224	0.00571116	0.995791	3.08099	1031.8	0.382634	0.0461857
81	0.336019	2.19492	4.94481	0.741322	2.94601	2.1804	0.554948	1.32256	3.74951	0.202785	0	1	3.61613	3.49051	0.000349008	0	0.016605	0.000535917	0.0118009	3.3191	0.01	0.184691	0.0321879	0.01	0.0318301	5	0.509491	0.383875	1.37058	0	3.95378	13.4966	0.134241	0	0.367478	0	0.0551866	22.0674	0.00139269	0.0125225	0.0057117	0.995886	3.07828	1032.03	0.38252	0.0462183
82	0.336065	2.19516	4.94473	0.742792	2.94995	2.18161	0.555859	1.32244	3.75039	0.203135	0	1	3.61613	3.49047	0.000349055	0	0.0166049	0.000535913	0.0118017	3.31671	0.01	0.184907	0.0321578	0.01	0.0318	5	0.509534	0.383872	1.37088	0	3.95375	13.5395	0.134419	0	0.367477	0	0.0552727	22.1285	0.00139268	0.0125226	0.00571224	0.99598	3.0756	1032.26	0.382408	0.0462505
83	0.33611	2.19539	4.94464	0.744243	2.95384	2.1828	0.556764	1.32232	3.75126	0.203483	0	1	3.61613	3.49042	0.000349101	0	0.0166048	0.000535908	0.0118026	3.31437	0.01	0.18512	0.0321284	0.01	0.0317705	5	0.509577	0.383868	1.37117	0	3.95372	13.5821	0.134595	0	0.367477	0	0.055358	22.1891	0.00139268	0.0125226	0.00571278	0.996074	3.07295	1032.49	0.382297	0.0462824
84	0.336154	2.19562	4.94456	0.745676	2.95769	2.18398	0.557662	1.3222	3.75211	0.203828	0	1	3.61613	3.49038	0.000349148	0	0.0166048	0.000535904	0.0118034	3.31207	0.01	0.18533	0.0320994	0.01	0.0317416	5	0.509619	0.383865	1.37146	0	3.95369	13.6243	0.134769	0	0.367477	0	0.0554424	22.2491	0.00139267	0.0125227	0.00571331	0.996166	3.07035	1032.72	0.382187	0.0463141
85	0.336198	2.19584	4.94447	0.747092	2.96151	2.18513	0.558553	1.32208	3.75296	0.204171	0	1	3.61614	3.49034	0.000349193	0	0.0166047	0.0005359	0.0118042	3.30982	0.01	0.185539	0.032071	0.01	0.0317132	5	0.509661	0.383862	1.37174	0	3.95365	13.6661	0.134941	0	0.367477	0	0.0555261	22.3087	0.00139266	0.0125228	0.00571383	0.996256	3.06777	1032.94	0.382079	0.0463454
86	0.336241	2.19607	4.94439	0.74849	2.96528	2.18627	0.559438	1.32196	3.7538	0.204512	0	1	3.61614	3.4903	0.000349238	0	0.0166047	0.000535896	0.011805	3.3076	0.01	0.185744	0.0320431	0.01	0.0316853	5	0.509702	0.383859	1.37202	0	3.95362	13.7076	0.135111	0	0.367477	0	0.0556089	22.3677	0.00139266	0.0125229	0.00571435	0.996346	3.06524	1033.16	0.381973	0.0463765
87	0.336284	2.19629	4.94431	0.74987	2.96901	2.18739	0.560317	1.32184	3.75462	0.204849	0	1	3.61614	3.49026	0.000349283	0	0.0166046	0.000535892	0.0118058	3.30543	0.01	0.185948	0.0320157	0.01	0.0316578	5	0.509742	0.383856	1.3723	0	3.95359	13.7488	0.13528	0	0.367477	0	0.055691	22.4262	0.00139265	0.0125229	0.00571486	0.996435	3.06274	1033.38	0.381868	0.0464073
88	0.336326	2.19651	4.94423	0.751234	2.97271	2.1885	0.561189	1.32173	3.75544	0.205185	0	1	3.61615	3.49022	0.000349327	0	0.0166046	0.000535888	0.0118066	3.30329	0.01	0.186148	0.0319888	0.01	0.0316309	5	0.509783	0.383853	1.37257	0	3.95356	13.7896	0.135447	0	0.367477	0	0.0557723	22.4842	0.00139265	0.012523	0.00571537	0.996522	3.06027	1033.6	0.381764	0.0464378
89	0.336368	2.19672	4.94415	0.752582	2.97637	2.18959	0.562055	1.32162	3.75625	0.205518	0	1	3.61615	3.49018	0.000349371	0	0.0166045	0.000535885	0.0118074	3.3012	0.01	0.186347	0.0319623	0.01	0.0316044	5	0.509823	0.38385	1.37284	0	3.95353	13.83	0.135612	0	0.367477	0	0.0558529	22.5417	0.00139264	0.0125231	0.00571588	0.996609	3.05783	1033.81	0.381662	0.0464681
90	0.336409	2.19693	4.94407	0.753913	2.97999	2.19066	0.562915	1.32151	3.75705	0.205848	0	1	3.61615	3.49014	0.000349415	0	0.0166044	0.000535881	0.0118082	3.29914	0.01	0.186543	0.0319363	0.01	0.0315784	5	0.509862	0.383847	1.37311	0	3.9535	13.8701	0.135776	0	0.367477	0	0.0559327	22.5988	0.00139264	0.0125231	0.00571637	0.996694	3.05542	1034.02	0.381561	0.046498
91	0.33645	2.19714	4.94399	0.755227	2.98357	2.19172	0.563768	1.3214	3.75784	0.206177	0	1	3.61616	3.4901	0.000349458	0	0.0166044	0.000535877	0.011809	3.29711	0.01	0.186737	0.0319108	0.01	0.0315529	5	0.509902	0.383845	1.37338	0	3.95347	13.9099	0.135938	0	0.367477	0	0.0560117	22.6553	0.00139263	0.0125232	0.00571687	0.996779	3.05305	1034.23	0.381461	0.0465277
92	0.33649	2.19735	4.94391	0.756527	2.98712	2.19276	0.564616	1.32129	3.75862	0.206503	0	1	3.61616	3.49006	0.0003495	0	0.0166043	0.000535874	0.0118097	3.29513	0.01	0.186929	0.0318857	0.01	0.0315278	5	0.50994	0.383842	1.37364	0	3.95344	13.9494	0.136098	0	0.367477	0	0.05609	22.7114	0.00139263	0.0125233	0.00571736	0.996862	3.05071	1034.43	0.381363	0.0465571
93	0.33653	2.19755	4.94383	0.757811	2.99064	2.19379	0.565457	1.32118	3.75939	0.206826	0	1	3.61616	3.49002	0.000349543	0	0.0166043	0.00053587	0.0118105	3.29317	0.01	0.187119	0.031861	0.01	0.0315031	5	0.509979	0.383839	1.3739	0	3.95341	13.9885	0.136257	0	0.367477	0	0.0561676	22.767	0.00139262	0.0125233	0.00571784	0.996945	3.0484	1034.64	0.381266	0.0465863
94	0.336569	2.19775	4.94376	0.759079	2.99411	2.19481	0.566292	1.32108	3.76016	0.207147	0	1	3.61616	3.48998	0.000349584	0	0.0166042	0.000535867	0.0118113	3.29126	0.01	0.187306	0.0318368	0.01	0.0314788	5	0.510017	0.383837	1.37416	0	3.95338	14.0273	0.136414	0	0.367477	0	0.0562445	22.8221	0.00139262	0.0125234	0.00571832	0.997026	3.04612	1034.84	0.38117	0.0466152
95	0.336608	2.19795	4.94368	0.760333	2.99756	2.1958	0.567122	1.32097	3.76091	0.207466	0	1	3.61617	3.48995	0.000349626	0	0.0166042	0.000535863	0.011812	3.28937	0.01	0.187491	0.0318129	0.01	0.031455	5	0.510054	0.383834	1.37441	0	3.95336	14.0658	0.136569	0	0.367477	0	0.0563206	22.8768	0.00139261	0.0125234	0.00571879	0.997107	3.04386	1035.04	0.381075	0.0466439
96	0.336647	2.19815	4.9436	0.761572	3.00096	2.19679	0.567945	1.32087	3.76166	0.207783	0	1	3.61617	3.48991	0.000349667	0	0.0166041	0.00053586	0.0118127	3.28752	0.01	0.187675	0.0317895	0.01	0.0314316	5	0.510092	0.383831	1.37466	0	3.95333	14.1039	0.136723	0	0.367476	0	0.0563961	22.9311	0.00139261	0.0125235	0.00571926	0.997186	3.04164	1035.23	0.380982	0.0466723
97	0.336685	2.19834	4.94353	0.762796	3.00434	2.19776	0.568763	1.32077	3.7624	0.208097	0	1	3.61617	3.48987	0.000349707	0	0.0166041	0.000535856	0.0118135	3.2857	0.01	0.187856	0.0317664	0.01	0.0314085	5	0.510129	0.383829	1.37491	0	3.9533	14.1418	0.136876	0	0.367476	0	0.0564708	22.9848	0.0013926	0.0125236	0.00571973	0.997265	3.03944	1035.43	0.38089	0.0467004
98	0.336722	2.19853	4.94346	0.764006	3.00768	2.19872	0.569574	1.32067	3.76313	0.20841	0	1	3.61617	3.48983	0.000349747	0	0.016604	0.000535853	0.0118142	3.2839	0.01	0.188035	0.0317438	0.01	0.0313858	5	0.510165	0.383826	1.37515	0	3.95327	14.1793	0.137027	0	0.367476	0	0.0565449	23.0382	0.0013926	0.0125236	0.00572019	0.997343	3.03727	1035.62	0.380799	0.0467283
99	0.33676	2.19872	4.94338	0.765202	3.01099	2.19966	0.57038	1.32057	3.76385	0.20872	0	1	3.61618	3.4898	0.000349787	0	0.016604	0.00053585	0.0118149	3.28214	0.01	0.188212	0.0317215	0.01	0.0313635	5	0.510201	0.383824	1.3754	0	3.95324	14.2165	0.137176	0	0.367476	0	0.0566183	23.091	0.00139259	0.0125237	0.00572064	0.99742	3.03513	1035.81	0.380709	0.046756
100	0.336796	2.19891	4.94331	0.766385	3.01427	2.2006	0.571181	1.32047	3.76457	0.209027	0	1	3.61618	3.48976	0.000349826	0	0.0166039	0.000535847	0.0118156	3.28041	0.01	0.188388	0.0316996	0.01	0.0313416	5	0.510237	0.383821	1.37564	0	3.95322	14.2535	0.137324	0	0.367476	0	0.056691	23.1435	0.00139259	0.0125237	0.00572109	0.997496	3.03302	1036	0.38062	0.0467834
