Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
54	0.00355503	5	1.1671e-11	5.95733e-10	2.25877e-05	1.21146e-09	0.00155622	0.0209158	5.53637e-10	0	1	3.99854	1.76294e-07	4	6.29376e-11	0	0.00275127	1.79397e-05	0.00178572	0.000356782	0.01	8.0292e-10	4.98687	0.01	4.98687	5	1.76426e-07	0.00145675	4.62903e-05	0	3.99102	2.06252e-19	2.7398e-11	0	0.0511154	0	3.42479e-10	1.48141e-08	8.84156e-05	0.328885	1.75044e-09	0.0148223	5.99998	5.23361	3.89844	0.0089801
55	0.00354275	5	1.09672e-11	5.75406e-10	2.18961e-05	1.1384e-09	0.00147327	0.0208434	5.20248e-10	0	1	3.99857	1.56687e-07	4	5.91412e-11	0	0.00275078	1.79298e-05	0.00178572	0.000356355	0.01	7.7558e-10	4.98687	0.01	4.98687	5	1.65746e-07	0.00142629	4.34863e-05	0	3.99102	1.91823e-19	2.64634e-11	0	0.0501784	0	3.30768e-10	1.4308e-08	8.83713e-05	0.329822	1.64487e-09	0.0147712	5.99998	5.21522	3.89853	0.00897981
56	0.00353119	5	1.03251e-11	5.56408e-10	2.12455e-05	1.07175e-09	0.00139789	0.0207752	4.89791e-10	0	1	3.99859	1.39944e-07	4	5.56783e-11	0	0.00275036	1.79214e-05	0.00178572	0.000356029	0.01	7.50023e-10	4.98687	0.01	4.98687	5	1.56007e-07	0.00140506	4.09605e-05	0	3.99102	1.78853e-19	2.55898e-11	0	0.0495222	0	3.19823e-10	1.38349e-08	8.83335e-05	0.330478	1.54857e-09	0.0147231	5.99998	5.19791	3.8986	0.00897952
57	0.00352029	5	9.73781e-12	5.38611e-10	2.06326e-05	1.01079e-09	0.00132915	0.0207108	4.61932e-10	0	1	3.99861	1.25558e-07	4	5.25109e-11	0	0.00275	1.79142e-05	0.00178572	0.000355776	0.01	7.2608e-10	4.98687	0.01	4.98687	5	1.47101e-07	0.00139021	3.8676e-05	0	3.99102	1.6715e-19	2.47715e-11	0	0.0490615	0	3.09572e-10	1.33918e-08	8.8301e-05	0.330938	1.46048e-09	0.0146778	5.99998	5.18159	3.89867	0.00897924
58	0.00350997	5	9.19924e-12	5.21905e-10	2.00539e-05	9.54887e-10	0.00126624	0.02065	4.36384e-10	0	1	3.99862	1.13126e-07	4	4.96062e-11	0	0.00274969	1.79081e-05	0.00178572	0.000355578	0.01	7.03603e-10	4.98688	0.01	4.98688	5	1.38938e-07	0.00137977	3.66019e-05	0	3.99102	1.56557e-19	2.40033e-11	0	0.0487372	0	2.9995e-10	1.29759e-08	8.82729e-05	0.331263	1.3797e-09	0.0146348	5.99998	5.16617	3.89873	0.00897897
59	0.00350019	5	8.70414e-12	5.06193e-10	1.95069e-05	9.03496e-10	0.0012085	0.0205923	4.12898e-10	0	1	3.99863	1.02325e-07	4	4.6936e-11	0	0.00274942	1.79028e-05	0.00178572	0.000355419	0.01	6.8246e-10	4.98688	0.01	4.98688	5	1.31435e-07	0.00137241	3.47123e-05	0	3.99102	1.46936e-19	2.32808e-11	0	0.0485081	0	2.90902e-10	1.25847e-08	8.82484e-05	0.331492	1.30544e-09	0.0145941	5.99998	5.15155	3.89879	0.00897871
60	0.00349089	5	8.24797e-12	4.91388e-10	1.89889e-05	8.56145e-10	0.00115533	0.0205375	3.91259e-10	0	1	3.99863	9.28945e-08	4	4.44758e-11	0	0.00274918	1.78982e-05	0.00178572	0.00035529	0.01	6.62536e-10	4.98688	0.01	4.98688	5	1.24524e-07	0.0013672	3.2985e-05	0	3.99102	1.38172e-19	2.26e-11	0	0.0483455	0	2.82376e-10	1.22162e-08	8.8227e-05	0.331654	1.23702e-09	0.0145555	5.99998	5.13768	3.89884	0.00897846
61	0.00348205	5	7.82673e-12	4.77414e-10	1.84977e-05	8.1242e-10	0.00110624	0.0204853	3.71277e-10	0	1	3.99864	8.46221e-08	4	4.2204e-11	0	0.00274898	1.78942e-05	0.00178572	0.000355184	0.01	6.43729e-10	4.98689	0.01	4.98689	5	1.18144e-07	0.00136348	3.14012e-05	0	3.99102	1.30166e-19	2.19574e-11	0	0.0482295	0	2.7433e-10	1.18683e-08	8.82083e-05	0.33177	1.17384e-09	0.0145187	5.99998	5.12448	3.89889	0.00897822
62	0.00347362	5	7.43696e-12	4.64203e-10	1.80313e-05	7.71962e-10	0.00106081	0.0204356	3.52787e-10	0	1	3.99864	7.73337e-08	4	4.0102e-11	0	0.00274879	1.78907e-05	0.00178572	0.000355095	0.01	6.25948e-10	4.98689	0.01	4.98689	5	1.12242e-07	0.0013608	2.99448e-05	0	3.99102	1.22834e-19	2.13499e-11	0	0.0481462	0	2.66724e-10	1.15395e-08	8.81918e-05	0.331854	1.11538e-09	0.0144836	5.99998	5.11191	3.89894	0.00897798
63	0.00346557	5	7.07559e-12	4.51693e-10	1.75878e-05	7.34452e-10	0.00101865	0.0203881	3.35645e-10	0	1	3.99864	7.08855e-08	4	3.81532e-11	0	0.00274863	1.78876e-05	0.00178572	0.00035502	0.01	6.0911e-10	4.98689	0.01	4.98689	5	1.06772e-07	0.00135887	2.86018e-05	0	3.99102	1.16101e-19	2.07746e-11	0	0.0480859	0	2.59522e-10	1.12281e-08	8.81771e-05	0.331914	1.06118e-09	0.0144501	5.99998	5.09991	3.89898	0.00897775
64	0.00345788	5	6.73994e-12	4.39832e-10	1.71656e-05	6.99612e-10	0.000979438	0.0203428	3.19723e-10	0	1	3.99864	6.51588e-08	4	3.6343e-11	0	0.00274849	1.78849e-05	0.00178572	0.000354956	0.01	5.93143e-10	4.9869	0.01	4.9869	5	1.01692e-07	0.00135746	2.73604e-05	0	3.99102	1.09905e-19	2.02292e-11	0	0.0480419	0	2.52695e-10	1.09329e-08	8.81641e-05	0.331958	1.01084e-09	0.0144181	5.99998	5.08844	3.89902	0.00897752
65	0.00345051	5	6.42762e-12	4.28569e-10	1.67632e-05	6.67193e-10	0.000942892	0.0202993	3.04907e-10	0	1	3.99864	6.00541e-08	4	3.46587e-11	0	0.00274836	1.78824e-05	0.00178572	0.000354901	0.01	5.7798e-10	4.9869	0.01	4.9869	5	9.69657e-08	0.00135641	2.621e-05	0	3.99102	1.0419e-19	1.97113e-11	0	0.0480093	0	2.46212e-10	1.06526e-08	8.81525e-05	0.331991	9.63994e-10	0.0143874	5.99998	5.07746	3.89906	0.0089773
66	0.00344344	5	6.13651e-12	4.17861e-10	1.63792e-05	6.36976e-10	0.000908759	0.0202576	2.91098e-10	0	1	3.99864	5.54881e-08	4	3.30888e-11	0	0.00274825	1.78802e-05	0.00178572	0.000354852	0.01	5.63564e-10	4.9869	0.01	4.9869	5	9.25617e-08	0.00135563	2.51415e-05	0	3.99102	9.89066e-20	1.92188e-11	0	0.0479849	0	2.40048e-10	1.03861e-08	8.81421e-05	0.332015	9.20332e-10	0.0143579	5.99998	5.06693	3.89909	0.00897709
67	0.00343665	5	5.86474e-12	4.07667e-10	1.60124e-05	6.08766e-10	0.000876817	0.0202176	2.78206e-10	0	1	3.99864	5.13906e-08	4	3.16232e-11	0	0.00274814	1.78783e-05	0.00178572	0.00035481	0.01	5.49839e-10	4.9869	0.01	4.9869	5	8.8451e-08	0.00135504	2.4147e-05	0	3.99102	9.40133e-20	1.875e-11	0	0.0479664	0	2.34182e-10	1.01324e-08	8.81328e-05	0.332034	8.79571e-10	0.0143297	5.99998	5.05683	3.89912	0.00897688
68	0.00343012	5	5.61063e-12	3.97952e-10	1.56617e-05	5.82389e-10	0.000846871	0.0201791	2.66152e-10	0	1	3.99865	4.77023e-08	4	3.02529e-11	0	0.00274805	1.78765e-05	0.00178572	0.000354772	0.01	5.36757e-10	4.9869	0.01	4.9869	5	8.46082e-08	0.00135458	2.32195e-05	0	3.99102	8.94724e-20	1.83033e-11	0	0.0479521	0	2.28591e-10	9.89069e-09	8.81244e-05	0.332048	8.41459e-10	0.0143025	5.99998	5.04712	3.89915	0.00897667
69	0.00342384	5	5.37269e-12	3.88682e-10	1.53261e-05	5.5769e-10	0.000818747	0.0201421	2.54865e-10	0	1	3.99865	4.43725e-08	4	2.89697e-11	0	0.00274797	1.78749e-05	0.00178572	0.000354738	0.01	5.24275e-10	4.9869	0.01	4.9869	5	8.10105e-08	0.00135422	2.23527e-05	0	3.99102	8.52509e-20	1.7877e-11	0	0.0479409	0	2.23257e-10	9.66002e-09	8.81169e-05	0.332059	8.05772e-10	0.0142764	5.99998	5.03778	3.89918	0.00897648
70	0.00341779	5	5.14957e-12	3.79828e-10	1.50045e-05	5.3453e-10	0.00079229	0.0201065	2.44281e-10	0	1	3.99865	4.13582e-08	4	2.77665e-11	0	0.00274789	1.78735e-05	0.00178572	0.000354708	0.01	5.12352e-10	4.98691	0.01	4.98691	5	7.76375e-08	0.00135393	2.15413e-05	0	3.99102	8.13196e-20	1.74698e-11	0	0.0479319	0	2.18162e-10	9.43971e-09	8.811e-05	0.332068	7.72307e-10	0.0142512	5.99998	5.02878	3.89921	0.00897628
71	0.00341195	5	4.94006e-12	3.71363e-10	1.46961e-05	5.12783e-10	0.000767363	0.0200721	2.34342e-10	0	1	3.99865	3.86222e-08	4	2.66367e-11	0	0.00274782	1.78721e-05	0.00178572	0.000354681	0.01	5.00951e-10	4.98691	0.01	4.98691	5	7.44709e-08	0.00135369	2.07803e-05	0	3.99102	7.76526e-20	1.70805e-11	0	0.0479246	0	2.13291e-10	9.22907e-09	8.81038e-05	0.332075	7.40885e-10	0.0142269	5.99999	5.0201	3.89923	0.00897609
72	0.00340632	5	4.74308e-12	3.63261e-10	1.44002e-05	4.92337e-10	0.000743841	0.0200389	2.24998e-10	0	1	3.99865	3.61325e-08	4	2.55745e-11	0	0.00274776	1.7871e-05	0.00178572	0.000354657	0.01	4.90039e-10	4.98691	0.01	4.98691	5	7.14941e-08	0.0013535	2.00655e-05	0	3.99102	7.42266e-20	1.67079e-11	0	0.0479186	0	2.0863e-10	9.02748e-09	8.80981e-05	0.332081	7.11342e-10	0.0142034	5.99999	5.01173	3.89926	0.00897591
73	0.00340087	5	4.55765e-12	3.555e-10	1.41159e-05	4.73089e-10	0.000721614	0.0200068	2.16202e-10	0	1	3.99865	3.38614e-08	4	2.45746e-11	0	0.0027477	1.78699e-05	0.00178572	0.000354634	0.01	4.79586e-10	4.98691	0.01	4.98691	5	6.86923e-08	0.00135333	1.9393e-05	0	3.99102	7.1021e-20	1.6351e-11	0	0.0479135	0	2.04165e-10	8.83438e-09	8.80929e-05	0.332087	6.83532e-10	0.0141807	5.99999	5.00364	3.89928	0.00897572
74	0.00339561	5	4.38289e-12	3.48058e-10	1.38426e-05	4.54949e-10	0.000700582	0.0199757	2.07912e-10	0	1	3.99865	3.17852e-08	4	2.36322e-11	0	0.00274765	1.78689e-05	0.00178572	0.000354614	0.01	4.69563e-10	4.98691	0.01	4.98691	5	6.6052e-08	0.00135319	1.87593e-05	0	3.99102	6.80174e-20	1.60087e-11	0	0.0479091	0	1.99884e-10	8.64923e-09	8.80882e-05	0.332091	6.57321e-10	0.0141588	5.99999	4.99582	3.8993	0.00897555
75	0.00339051	5	4.21799e-12	3.40917e-10	1.35798e-05	4.37833e-10	0.000680654	0.0199457	2.0009e-10	0	1	3.99865	2.98831e-08	4	2.2743e-11	0	0.0027476	1.7868e-05	0.00178572	0.000354596	0.01	4.59943e-10	4.98691	0.01	4.98691	5	6.35611e-08	0.00135307	1.81613e-05	0	3.99102	6.51992e-20	1.56803e-11	0	0.0479054	0	1.95776e-10	8.47157e-09	8.80839e-05	0.332095	6.3259e-10	0.0141376	5.99999	4.98825	3.89932	0.00897537
76	0.00338557	5	4.06223e-12	3.34058e-10	1.33267e-05	4.21664e-10	0.000661749	0.0199166	1.92701e-10	0	1	3.99865	2.81367e-08	4	2.1903e-11	0	0.00274756	1.78671e-05	0.00178572	0.000354579	0.01	4.50705e-10	4.98691	0.01	4.98691	5	6.12085e-08	0.00135297	1.75964e-05	0	3.99102	6.25514e-20	1.53649e-11	0	0.0479021	0	1.91831e-10	8.30094e-09	8.80799e-05	0.332098	6.09228e-10	0.014117	5.99999	4.98092	3.89934	0.0089752
77	0.00338078	5	3.91494e-12	3.27466e-10	1.30828e-05	4.06375e-10	0.000643793	0.0198884	1.85714e-10	0	1	3.99865	2.65301e-08	4	2.11088e-11	0	0.00274752	1.78664e-05	0.00178572	0.000354563	0.01	4.41824e-10	4.98691	0.01	4.98691	5	5.89841e-08	0.00135287	1.70618e-05	0	3.99102	6.00606e-20	1.50617e-11	0	0.0478992	0	1.88039e-10	8.13694e-09	8.80762e-05	0.332101	5.87137e-10	0.0140971	5.99999	4.97381	3.89936	0.00897503
78	0.00337614	5	3.77551e-12	3.21124e-10	1.28478e-05	3.91902e-10	0.000626719	0.019861	1.791e-10	0	1	3.99865	2.50494e-08	4	2.03569e-11	0	0.00274748	1.78657e-05	0.00178572	0.000354549	0.01	4.33281e-10	4.98691	0.01	4.98691	5	5.68788e-08	0.00135279	1.65554e-05	0	3.99103	5.77146e-20	1.47701e-11	0	0.0478966	0	1.84392e-10	7.97918e-09	8.80729e-05	0.332103	5.66226e-10	0.0140777	5.99999	4.96692	3.89937	0.00897487
79	0.00337163	5	3.6434e-12	3.1502e-10	1.2621e-05	3.78189e-10	0.000610464	0.0198345	1.72833e-10	0	1	3.99865	2.36821e-08	4	1.96445e-11	0	0.00274745	1.7865e-05	0.00178572	0.000354536	0.01	4.25057e-10	4.98691	0.01	4.98691	5	5.48842e-08	0.00135271	1.60751e-05	0	3.99103	5.55025e-20	1.44893e-11	0	0.0478942	0	1.80881e-10	7.82733e-09	8.80697e-05	0.332106	5.46412e-10	0.0140589	5.99999	4.96023	3.89939	0.00897471
80	0.00336725	5	3.5181e-12	3.0914e-10	1.24021e-05	3.65184e-10	0.000594976	0.0198087	1.66889e-10	0	1	3.99865	2.24174e-08	4	1.89689e-11	0	0.00274742	1.78644e-05	0.00178572	0.000354523	0.01	4.17135e-10	4.98691	0.01	4.98691	5	5.29927e-08	0.00135265	1.56191e-05	0	3.99103	5.34142e-20	1.42189e-11	0	0.0478921	0	1.77499e-10	7.68106e-09	8.80669e-05	0.332108	5.27621e-10	0.0140407	5.99999	4.95373	3.89941	0.00897455
81	0.00336299	5	3.39916e-12	3.03472e-10	1.21907e-05	3.52837e-10	0.000580201	0.0197836	1.61247e-10	0	1	3.99865	2.12457e-08	4	1.83275e-11	0	0.00274739	1.78638e-05	0.00178572	0.000354512	0.01	4.09498e-10	4.98691	0.01	4.98691	5	5.11973e-08	0.00135258	1.51856e-05	0	3.99103	5.14408e-20	1.39582e-11	0	0.0478902	0	1.7424e-10	7.54006e-09	8.80642e-05	0.33211	5.09782e-10	0.014023	5.99999	4.94742	3.89942	0.00897439
82	0.00335885	5	3.28615e-12	2.98004e-10	1.19863e-05	3.41107e-10	0.000566094	0.0197592	1.55886e-10	0	1	3.99865	2.01583e-08	4	1.77182e-11	0	0.00274736	1.78633e-05	0.00178572	0.000354502	0.01	4.02131e-10	4.98691	0.01	4.98691	5	4.94917e-08	0.00135253	1.47731e-05	0	3.99103	4.9574e-20	1.37068e-11	0	0.0478884	0	1.71096e-10	7.40406e-09	8.80617e-05	0.332112	4.92833e-10	0.0140057	5.99999	4.94128	3.89943	0.00897424
83	0.00335482	5	3.17869e-12	2.92727e-10	1.17887e-05	3.29952e-10	0.000552612	0.0197354	1.50788e-10	0	1	3.99865	1.9148e-08	4	1.71387e-11	0	0.00274734	1.78628e-05	0.00178572	0.000354492	0.01	3.9502e-10	4.98691	0.01	4.98691	5	4.78699e-08	0.00135247	1.43801e-05	0	3.99103	4.78062e-20	1.34641e-11	0	0.0478868	0	1.68061e-10	7.2728e-09	8.80594e-05	0.332113	4.76716e-10	0.0139889	5.99999	4.9353	3.89945	0.00897409
84	0.00335089	5	3.07641e-12	2.8763e-10	1.15975e-05	3.19335e-10	0.000539716	0.0197123	1.45936e-10	0	1	3.99865	1.82072e-08	4	1.65872e-11	0	0.00274731	1.78624e-05	0.00178572	0.000354483	0.01	3.88153e-10	4.98691	0.01	4.98691	5	4.63265e-08	0.00135243	1.40054e-05	0	3.99103	4.61306e-20	1.32297e-11	0	0.0478853	0	1.65131e-10	7.14604e-09	8.80573e-05	0.332115	4.61376e-10	0.0139726	5.99999	4.92948	3.89946	0.00897395
85	0.00334706	5	2.97899e-12	2.82706e-10	1.14124e-05	3.09223e-10	0.000527369	0.0196898	1.41315e-10	0	1	3.99865	1.73304e-08	4	1.60619e-11	0	0.00274729	1.7862e-05	0.00178572	0.000354474	0.01	3.81516e-10	4.98691	0.01	4.98691	5	4.48566e-08	0.00135238	1.36479e-05	0	3.99103	4.45409e-20	1.30032e-11	0	0.047884	0	1.62299e-10	7.02354e-09	8.80553e-05	0.332116	4.46765e-10	0.0139566	5.99999	4.92381	3.89947	0.0089738
86	0.00334333	5	2.88612e-12	2.77944e-10	1.12332e-05	2.99583e-10	0.000515539	0.0196678	1.3691e-10	0	1	3.99865	1.65119e-08	4	1.55611e-11	0	0.00274727	1.78616e-05	0.00178572	0.000354466	0.01	3.75099e-10	4.98691	0.01	4.98691	5	4.34556e-08	0.00135234	1.33063e-05	0	3.99103	4.30314e-20	1.27842e-11	0	0.0478827	0	1.59561e-10	6.90511e-09	8.80534e-05	0.332117	4.32838e-10	0.0139411	5.99999	4.91828	3.89948	0.00897366
87	0.0033397	5	2.79753e-12	2.73337e-10	1.10594e-05	2.90388e-10	0.000504194	0.0196464	1.32707e-10	0	1	3.99865	1.5747e-08	4	1.50834e-11	0	0.00274725	1.78612e-05	0.00178572	0.000354459	0.01	3.68891e-10	4.98691	0.01	4.98691	5	4.21192e-08	0.0013523	1.29797e-05	0	3.99103	4.15967e-20	1.25723e-11	0	0.0478815	0	1.56912e-10	6.79053e-09	8.80517e-05	0.332118	4.19551e-10	0.0139259	5.99999	4.91289	3.8995	0.00897352
88	0.00333615	5	2.71296e-12	2.68878e-10	1.0891e-05	2.81609e-10	0.000493307	0.0196254	1.28696e-10	0	1	3.99865	1.50312e-08	4	1.46274e-11	0	0.00274723	1.78609e-05	0.00178572	0.000354452	0.01	3.62882e-10	4.98692	0.01	4.98692	5	4.08435e-08	0.00135227	1.26672e-05	0	3.99103	4.0232e-20	1.23672e-11	0	0.0478804	0	1.54349e-10	6.67963e-09	8.805e-05	0.33212	4.06867e-10	0.0139111	5.99999	4.90764	3.89951	0.00897338
89	0.00333268	5	2.63217e-12	2.6456e-10	1.07276e-05	2.73223e-10	0.000482851	0.019605	1.24863e-10	0	1	3.99865	1.43605e-08	4	1.41918e-11	0	0.00274722	1.78605e-05	0.00178572	0.000354446	0.01	3.57062e-10	4.98692	0.01	4.98692	5	3.96248e-08	0.00135223	1.2368e-05	0	3.99103	3.89328e-20	1.21686e-11	0	0.0478794	0	1.51866e-10	6.57224e-09	8.80485e-05	0.332121	3.9475e-10	0.0138967	5.99999	4.9025	3.89952	0.00897325
90	0.00332929	5	2.55493e-12	2.60376e-10	1.0569e-05	2.65205e-10	0.000472802	0.0195851	1.21199e-10	0	1	3.99865	1.37313e-08	4	1.37753e-11	0	0.0027472	1.78602e-05	0.00178572	0.00035444	0.01	3.51423e-10	4.98692	0.01	4.98692	5	3.84599e-08	0.0013522	1.20812e-05	0	3.99103	3.76951e-20	1.19762e-11	0	0.0478784	0	1.49461e-10	6.46818e-09	8.80471e-05	0.332122	3.83166e-10	0.0138826	5.99999	4.89749	3.89953	0.00897312
91	0.00332599	5	2.48104e-12	2.5632e-10	1.04151e-05	2.57535e-10	0.000463136	0.0195656	1.17694e-10	0	1	3.99865	1.31404e-08	4	1.33769e-11	0	0.00274718	1.786e-05	0.00178572	0.000354434	0.01	3.45956e-10	4.98692	0.01	4.98692	5	3.73457e-08	0.00135217	1.18061e-05	0	3.99103	3.6515e-20	1.17896e-11	0	0.0478776	0	1.47129e-10	6.36731e-09	8.80457e-05	0.332122	3.72085e-10	0.0138688	5.99999	4.89259	3.89954	0.00897298
92	0.00332275	5	2.41031e-12	2.52386e-10	1.02656e-05	2.50194e-10	0.000453834	0.0195466	1.14339e-10	0	1	3.99865	1.25848e-08	4	1.29955e-11	0	0.00274717	1.78597e-05	0.00178571	0.000354429	0.01	3.40654e-10	4.98692	0.01	4.98692	5	3.62792e-08	0.00135215	1.1542e-05	0	3.99103	3.5389e-20	1.16087e-11	0	0.0478767	0	1.44868e-10	6.26949e-09	8.80445e-05	0.332123	3.61477e-10	0.0138553	5.99999	4.8878	3.89955	0.00897286
93	0.00331959	5	2.34256e-12	2.48569e-10	1.01203e-05	2.43161e-10	0.000444876	0.019528	1.11125e-10	0	1	3.99865	1.20618e-08	4	1.26302e-11	0	0.00274716	1.78595e-05	0.00178571	0.000354424	0.01	3.3551e-10	4.98692	0.01	4.98692	5	3.52577e-08	0.00135212	1.12884e-05	0	3.99103	3.43138e-20	1.14332e-11	0	0.0478759	0	1.42674e-10	6.17457e-09	8.80433e-05	0.332124	3.51316e-10	0.0138422	5.99999	4.88312	3.89956	0.00897273
94	0.0033165	5	2.27763e-12	2.44864e-10	9.97904e-06	2.36421e-10	0.000436244	0.0195097	1.08045e-10	0	1	3.99865	1.15691e-08	4	1.22801e-11	0	0.00274715	1.78592e-05	0.00178571	0.000354419	0.01	3.30516e-10	4.98692	0.01	4.98692	5	3.42787e-08	0.0013521	1.10446e-05	0	3.99103	3.32864e-20	1.12628e-11	0	0.0478752	0	1.40544e-10	6.08244e-09	8.80421e-05	0.332125	3.41578e-10	0.0138293	5.99999	4.87854	3.89956	0.0089726
95	0.00331347	5	2.21536e-12	2.41266e-10	9.8417e-06	2.29958e-10	0.00042792	0.0194919	1.05091e-10	0	1	3.99865	1.11044e-08	4	1.19443e-11	0	0.00274713	1.7859e-05	0.00178571	0.000354414	0.01	3.25666e-10	4.98692	0.01	4.98692	5	3.334e-08	0.00135208	1.08102e-05	0	3.99103	3.23042e-20	1.10973e-11	0	0.0478745	0	1.38476e-10	5.99297e-09	8.80411e-05	0.332125	3.3224e-10	0.0138167	5.99999	4.87406	3.89957	0.00897248
96	0.00331051	5	2.15562e-12	2.3777e-10	9.70808e-06	2.23756e-10	0.00041989	0.0194744	1.02257e-10	0	1	3.99865	1.06658e-08	4	1.16222e-11	0	0.00274712	1.78588e-05	0.00178571	0.00035441	0.01	3.20954e-10	4.98692	0.01	4.98692	5	3.24393e-08	0.00135205	1.05845e-05	0	3.99103	3.13644e-20	1.09365e-11	0	0.0478739	0	1.36467e-10	5.90604e-09	8.80401e-05	0.332126	3.23279e-10	0.0138043	5.99999	4.86968	3.89958	0.00897236
97	0.0033076	5	2.09825e-12	2.34373e-10	9.57804e-06	2.17801e-10	0.000412138	0.0194574	9.95354e-11	0	1	3.99865	1.02512e-08	4	1.13129e-11	0	0.00274711	1.78586e-05	0.00178571	0.000354406	0.01	3.16374e-10	4.98692	0.01	4.98692	5	3.15746e-08	0.00135203	1.03672e-05	0	3.99103	3.04647e-20	1.07803e-11	0	0.0478733	0	1.34514e-10	5.82156e-09	8.80391e-05	0.332127	3.14676e-10	0.0137922	5.99999	4.86538	3.89959	0.00897224
98	0.00330476	5	2.04314e-12	2.3107e-10	9.45144e-06	2.12082e-10	0.00040465	0.0194406	9.69213e-11	0	1	3.99865	9.85942e-09	4	1.10157e-11	0	0.0027471	1.78584e-05	0.00178571	0.000354402	0.01	3.11921e-10	4.98692	0.01	4.98692	5	3.0744e-08	0.00135202	1.01578e-05	0	3.99103	2.96028e-20	1.06283e-11	0	0.0478727	0	1.32615e-10	5.73942e-09	8.80382e-05	0.332127	3.06411e-10	0.0137804	5.99999	4.86117	3.8996	0.00897212
99	0.00330197	5	1.99018e-12	2.27857e-10	9.32815e-06	2.06584e-10	0.000397414	0.0194242	9.4409e-11	0	1	3.99865	9.48814e-09	4	1.07302e-11	0	0.00274709	1.78582e-05	0.00178571	0.000354399	0.01	3.07589e-10	4.98692	0.01	4.98692	5	2.99458e-08	0.001352	9.95592e-06	0	3.99103	2.87767e-20	1.04806e-11	0	0.0478721	0	1.30769e-10	5.65953e-09	8.80374e-05	0.332128	2.98469e-10	0.0137687	5.99999	4.85705	3.8996	0.00897201
100	0.00329924	5	1.93926e-12	2.2473e-10	9.20803e-06	2.01298e-10	0.000390417	0.0194081	9.19932e-11	0	1	3.99865	9.13649e-09	4	1.04556e-11	0	0.00274708	1.78581e-05	0.00178571	0.000354395	0.01	3.03374e-10	4.98692	0.01	4.98692	5	2.91783e-08	0.00135198	9.76116e-06	0	3.99103	2.79844e-20	1.03368e-11	0	0.0478716	0	1.28972e-10	5.58179e-09	8.80366e-05	0.332128	2.90831e-10	0.0137574	5.99999	4.853	3.89961	0.00897189
