Time	[APCC]	[APCCYCdk1Y00YCdk1Y01YInt]	[APCCYCdk1Y10YCdk1Y11YInt]	[APCCYCdk2Y000YCdk2Y002YInt]	[APCCYCdk2Y010YCdk2Y012YInt]	[APCCYCdk2Y100YCdk2Y102YInt]	[APCCYCdk2Y110YCdk2Y112YInt]	[APCCYCyclinAYInt]	[APCCYEmi1]	[Cdk1Y00]	[Cdk1Y01]	[Cdk1Y10]	[Cdk1Y11]	[Cdk1Y11YpRbY10YpRbY20YInt]	[Cdk1Y11YpRbY11YpRbY21YInt]	[Cdk2Y000]	[Cdk2Y001]	[Cdk2Y002]	[Cdk2Y010]	[Cdk2Y011]	[Cdk2Y011YpRbY10YpRbY20YInt]	[Cdk2Y011YpRbY11YpRbY21YInt]	[Cdk2Y012]	[Cdk2Y012YpRbY10YpRbY20YInt]	[Cdk2Y012YpRbY11YpRbY21YInt]	[Cdk2Y100]	[Cdk2Y101]	[Cdk2Y102]	[Cdk2Y110]	[Cdk2Y111]	[Cdk2Y112]	[Cdk4Y00]	[Cdk4Y01]	[Cdk4Y01YpRbY00YpRbY10YInt]	[Cdk4Y01YpRbY01YpRbY11YInt]	[Cdk4Y10]	[Cdk4Y11]	[CyclinA]	[CyclinD]	[CyclinE]	[E2F]	[Emi1]	[p27]	[pRbY00]	[pRbY01]	[pRbY10]	[pRbY11]	[pRbY20]	[pRbY21]	[totalYCyclinYD]	[totalYCyclinYE]	[totalYCyclinYA]	[totalYp27]	[hypophosphorylatedYpRb]	[hyperphosphorylatedYpRb]	[totalYEmi1]	[activeYCdk2]
30	25110.3	64.9724	0	34.3321	55.7007	55.7007	-5.45474	5.46662	4231.11	99116.3	818.733	0	0	0	0	35671.7	2001.81	432.731	2898.66	124.315	109.731	2.76186	-403.9	-5923.32	-151.9	57855.2	3246.68	701.838	3228.27	134.019	-68.88	47656.3	6831.53	-99.1937	-1.47888	39917.2	5695.59	68.8947	14894.3	164.585	258.563	187.189	13310.3	-865.612	-12.8941	75666.3	1901.94	-10506.5	-119.839	27421.4	5671.41	1549.42	124020	77568.3	-10626.4	4418.3	-279.585
31	25128.3	64.6395	0	34.1978	55.3917	55.3917	-5.48368	5.44203	4201.32	99121.4	813.967	0	0	0	0	35716.5	1997.79	430.735	2945.18	127.886	113.86	2.84712	-408.26	-6054.53	-154.274	57833.1	3234.86	697.458	3308.68	137.898	-69.1913	47698.5	6832.38	-107.225	-1.59313	39888.5	5689.4	68.5367	14891.2	164.137	256.696	185.744	13290.5	-930.457	-13.7875	76295.7	1905.26	-10934.4	-121.416	27412.9	5662.57	1533.24	124011	78201	-11055.8	4387.06	-280.374
32	25146.1	64.3131	0	34.0656	55.0891	55.0891	-5.51094	5.41792	4171.76	99126.4	809.296	0	0	0	0	35760.2	1993.88	428.77	2990.8	131.381	117.959	2.93037	-412.45	-6183.09	-156.54	57811.5	3223.38	693.169	3387.23	141.676	-69.4816	47739.7	6833.47	-114.859	-1.69594	39860.2	5683.2	68.1858	14887.8	163.702	254.856	184.312	13271.1	-992.271	-14.5936	76915.6	1908.21	-11358.8	-122.859	27404.5	5654.02	1517.49	124002	78823.8	-11481.7	4356.07	-281.068
33	25163.7	63.9932	0	33.9355	54.7928	54.7928	-5.53658	5.39432	4142.41	99131.3	804.719	0	0	0	0	35802.9	1990.08	426.837	3035.54	134.802	122.027	3.01162	-416.477	-6309.06	-158.703	57790.3	3212.23	688.969	3464	145.354	-69.752	47779.9	6834.77	-122.16	-1.78905	39832.2	5677.04	67.8422	14884.3	163.28	253.044	182.895	13252.2	-1051.52	-15.3254	77526.5	1910.8	-11779.6	-124.173	27396.1	5645.75	1502.14	123993	79437.3	-11903.7	4325.31	-281.675
34	25181.1	63.6797	0	33.8075	54.5026	54.5026	-5.5607	5.37119	4113.3	99136.1	800.235	0	0	0	0	35844.6	1986.4	424.937	3079.43	138.15	126.062	3.09089	-420.35	-6432.52	-160.766	57769.5	3201.4	684.857	3539.04	148.936	-70.0034	47819.3	6836.25	-129.179	-1.87386	39804.6	5670.92	67.5056	14880.7	162.87	251.26	181.491	13233.6	-1108.59	-15.9933	78128.4	1913.07	-12196.3	-125.363	27387.8	5637.76	1487.18	123983	80041.4	-12321.7	4294.79	-282.2
35	25198.3	63.3725	0	33.6817	54.2184	54.2184	-5.58336	5.34855	4084.4	99140.8	795.842	0	0	0	0	35885.5	1982.83	423.07	3122.49	141.425	130.063	3.1682	-424.076	-6553.55	-162.735	57749	3190.88	680.831	3612.39	152.424	-70.2368	47857.8	6837.88	-135.959	-1.95155	39777.3	5664.88	67.1759	14877	162.471	249.505	180.102	13215.3	-1163.78	-16.6061	78721.5	1915.02	-12608.8	-126.436	27379.7	5630.03	1472.61	123973	80636.6	-12735.2	4264.51	-282.65
36	25215.4	63.0717	0	33.558	53.9401	53.9401	-5.60464	5.32637	4055.74	99145.4	791.54	0	0	0	0	35925.5	1979.37	421.237	3164.75	144.631	134.031	3.24358	-427.662	-6672.21	-164.611	57728.9	3180.65	676.889	3684.12	155.821	-70.4535	47895.6	6839.63	-142.531	-2.02309	39750.4	5658.92	66.8531	14873.3	162.084	247.778	178.726	13197.4	-1217.34	-17.1712	79306.1	1916.67	-13016.8	-127.396	27371.8	5622.56	1458.4	123963	81222.7	-13144.2	4234.46	-283.031
37	25232.2	62.7769	0	33.4366	53.6676	53.6676	-5.62464	5.30466	4027.3	99149.9	787.327	0	0	0	0	35964.7	1976.01	419.437	3206.23	147.768	137.963	3.31705	-431.116	-6788.56	-166.4	57709.1	3170.71	673.03	3754.28	159.13	-70.6543	47932.7	6841.48	-148.923	-2.08927	39723.8	5653.04	66.5371	14869.6	161.707	246.081	177.365	13179.8	-1269.45	-17.6944	79882.1	1918.06	-13420	-128.25	27364.1	5615.33	1444.56	123952	81800.1	-13548.3	4204.66	-283.349
38	25248.9	62.4883	0	33.3174	53.4007	53.4007	-5.64341	5.28341	3999.09	99154.3	783.201	0	0	0	0	36003.1	1972.76	417.67	3246.96	150.838	141.86	3.38864	-434.445	-6902.67	-168.105	57689.5	3161.04	669.252	3822.9	162.353	-70.8403	47969	6843.42	-155.155	-2.15076	39697.6	5647.27	66.2276	14865.9	161.341	244.412	176.018	13162.5	-1320.28	-18.1809	80449.6	1919.18	-13818.5	-129.002	27356.6	5608.33	1431.07	123942	82368.7	-13947.5	4175.1	-283.607
39	25265.4	62.2056	0	33.2004	53.1394	53.1394	-5.66105	5.2626	3971.1	99158.6	779.161	0	0	0	0	36040.8	1969.61	415.936	3286.95	153.842	145.72	3.45838	-437.655	-7014.59	-169.73	57670.1	3151.63	665.554	3890.04	165.495	-71.0125	48004.7	6845.43	-161.245	-2.2081	39671.7	5641.6	65.9247	14862.3	160.984	242.772	174.684	13145.6	-1369.95	-18.6347	81008.6	1920.05	-14211.8	-129.658	27349.3	5601.57	1417.91	123931	82928.6	-14341.5	4145.79	-283.813
