Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
30	0.332372	4.95176	0.605626	2.61394	2.0532	0.488558	1.33029	3.67716	0.384221	0.177187	0	1	3.61578	2.18006	3.49415	0.002096	0	0.0166123	0.000536401	0.176573	3.60164	0.01	0.165454	0.0357847	0.914189	0.0354283	5	0.50585	0.01	1.34532	0	3.95637	10.164	0.119216	0	0.367485	0	0.0482437	17.331	0.0013934	0.0125145	0.0058629	0.988563	3.34117	1012.91	0.389645	0.0436318
31	0.332417	4.95177	0.605497	2.6141	2.05306	0.488633	1.3302	3.67803	0.384222	0.177216	0	1	3.61578	2.18024	3.49415	0.00209577	0	0.0166123	0.000536403	0.176549	3.60277	0.01	0.165477	0.0357916	0.914057	0.0354351	5	0.505855	0.01	1.34564	0	3.95637	10.1653	0.119224	0	0.367486	0	0.0482348	17.3287	0.0013934	0.0125145	0.00586293	0.988652	3.34144	1013.14	0.38956	0.0436285
32	0.332452	4.95177	0.605393	2.61424	2.05295	0.488694	1.33013	3.67873	0.384224	0.177239	0	1	3.61578	2.18038	3.49414	0.00209558	0	0.0166123	0.000536404	0.176529	3.60368	0.01	0.165495	0.0357971	0.913949	0.0354407	5	0.505858	0.01	1.34589	0	3.95637	10.1663	0.11923	0	0.367486	0	0.0482276	17.3269	0.0013934	0.0125145	0.00586295	0.988724	3.34166	1013.33	0.389492	0.0436258
33	0.332481	4.95178	0.605308	2.61435	2.05286	0.488744	1.33007	3.67931	0.384225	0.177258	0	1	3.61578	2.18049	3.49414	0.00209543	0	0.0166123	0.000536405	0.176513	3.60441	0.01	0.16551	0.0358016	0.913862	0.0354452	5	0.505861	0.01	1.3461	0	3.95638	10.1671	0.119235	0	0.367486	0	0.0482217	17.3254	0.00139341	0.0125144	0.00586297	0.988782	3.34183	1013.48	0.389436	0.0436237
34	0.332505	4.95178	0.605239	2.61443	2.05279	0.488784	1.33002	3.67977	0.384225	0.177274	0	1	3.61577	2.18059	3.49414	0.00209531	0	0.0166123	0.000536405	0.1765	3.60502	0.01	0.165522	0.0358053	0.913791	0.0354488	5	0.505864	0.01	1.34627	0	3.95638	10.1678	0.119239	0	0.367486	0	0.0482169	17.3242	0.00139341	0.0125144	0.00586299	0.98883	3.34197	1013.6	0.389391	0.0436219
35	0.332524	4.95179	0.605183	2.61451	2.05273	0.488817	1.32998	3.68015	0.384226	0.177286	0	1	3.61577	2.18066	3.49413	0.00209521	0	0.0166123	0.000536406	0.17649	3.6055	0.01	0.165532	0.0358082	0.913733	0.0354518	5	0.505866	0.01	1.34641	0	3.95638	10.1683	0.119243	0	0.367486	0	0.0482131	17.3232	0.00139341	0.0125144	0.00586301	0.988868	3.34209	1013.7	0.389354	0.0436205
36	0.33254	4.95179	0.605137	2.61456	2.05268	0.488844	1.32995	3.68045	0.384227	0.177296	0	1	3.61577	2.18072	3.49413	0.00209512	0	0.0166124	0.000536406	0.176481	3.6059	0.01	0.165541	0.0358107	0.913687	0.0354542	5	0.505867	0.01	1.34652	0	3.95638	10.1688	0.119245	0	0.367486	0	0.0482099	17.3224	0.00139341	0.0125144	0.00586302	0.9889	3.34218	1013.78	0.389324	0.0436193
37	0.332552	4.95179	0.6051	2.61461	2.05264	0.488865	1.32992	3.6807	0.384227	0.177305	0	1	3.61577	2.18077	3.49413	0.00209506	0	0.0166124	0.000536407	0.176475	3.60622	0.01	0.165547	0.0358126	0.913649	0.0354562	5	0.505869	0.01	1.34661	0	3.95638	10.1691	0.119248	0	0.367486	0	0.0482074	17.3218	0.00139341	0.0125144	0.00586303	0.988925	3.34226	1013.84	0.3893	0.0436184
38	0.332563	4.95179	0.60507	2.61465	2.05261	0.488883	1.3299	3.6809	0.384228	0.177311	0	1	3.61577	2.18082	3.49413	0.002095	0	0.0166124	0.000536407	0.176469	3.60648	0.01	0.165552	0.0358142	0.913618	0.0354578	5	0.50587	0.01	1.34668	0	3.95638	10.1694	0.119249	0	0.367486	0	0.0482053	17.3213	0.00139341	0.0125144	0.00586303	0.988946	3.34232	1013.9	0.389281	0.0436176
39	0.332571	4.9518	0.605046	2.61468	2.05258	0.488897	1.32989	3.68107	0.384228	0.177317	0	1	3.61577	2.18085	3.49413	0.00209496	0	0.0166124	0.000536407	0.176464	3.6067	0.01	0.165557	0.0358155	0.913593	0.035459	5	0.505871	0.01	1.34674	0	3.95638	10.1697	0.119251	0	0.367486	0	0.0482036	17.3208	0.00139341	0.0125144	0.00586304	0.988962	3.34237	1013.94	0.389265	0.043617
40	0.332578	4.9518	0.605026	2.61471	2.05256	0.488909	1.32987	3.6812	0.384228	0.177321	0	1	3.61577	2.18088	3.49413	0.00209492	0	0.0166124	0.000536407	0.176461	3.60687	0.01	0.16556	0.0358166	0.913572	0.0354601	5	0.505871	0.01	1.34679	0	3.95638	10.1699	0.119252	0	0.367486	0	0.0482023	17.3205	0.00139341	0.0125144	0.00586304	0.988976	3.34241	1013.98	0.389252	0.0436165
41	0.332583	4.9518	0.60501	2.61473	2.05255	0.488918	1.32986	3.68131	0.384228	0.177325	0	1	3.61577	2.1809	3.49413	0.0020949	0	0.0166124	0.000536407	0.176458	3.60701	0.01	0.165563	0.0358174	0.913556	0.0354609	5	0.505872	0.01	1.34683	0	3.95638	10.17	0.119253	0	0.367486	0	0.0482012	17.3202	0.00139341	0.0125143	0.00586305	0.988987	3.34244	1014	0.389241	0.0436161
42	0.332588	4.9518	0.604997	2.61474	2.05253	0.488926	1.32985	3.6814	0.384228	0.177328	0	1	3.61577	2.18091	3.49413	0.00209487	0	0.0166124	0.000536408	0.176455	3.60712	0.01	0.165565	0.0358181	0.913543	0.0354616	5	0.505872	0.01	1.34686	0	3.95638	10.1701	0.119254	0	0.367486	0	0.0482002	17.32	0.00139341	0.0125143	0.00586305	0.988996	3.34247	1014.03	0.389233	0.0436157
43	0.332591	4.9518	0.604986	2.61476	2.05252	0.488932	1.32985	3.68147	0.384229	0.17733	0	1	3.61577	2.18093	3.49413	0.00209485	0	0.0166124	0.000536408	0.176453	3.60721	0.01	0.165567	0.0358187	0.913532	0.0354622	5	0.505873	0.01	1.34689	0	3.95638	10.1702	0.119254	0	0.367486	0	0.0481995	17.3198	0.00139341	0.0125143	0.00586305	0.989003	3.34249	1014.05	0.389226	0.0436155
44	0.332594	4.9518	0.604978	2.61477	2.05251	0.488937	1.32984	3.68153	0.384229	0.177332	0	1	3.61577	2.18094	3.49413	0.00209484	0	0.0166124	0.000536408	0.176452	3.60729	0.01	0.165569	0.0358191	0.913523	0.0354627	5	0.505873	0.01	1.34691	0	3.95638	10.1703	0.119255	0	0.367486	0	0.0481989	17.3196	0.00139341	0.0125143	0.00586306	0.989009	3.34251	1014.06	0.38922	0.0436152
45	0.332596	4.9518	0.604971	2.61478	2.0525	0.488941	1.32983	3.68157	0.384229	0.177334	0	1	3.61577	2.18095	3.49413	0.00209483	0	0.0166124	0.000536408	0.17645	3.60735	0.01	0.16557	0.0358195	0.913516	0.035463	5	0.505873	0.01	1.34693	0	3.95638	10.1704	0.119255	0	0.367486	0	0.0481984	17.3195	0.00139341	0.0125143	0.00586306	0.989014	3.34253	1014.07	0.389216	0.0436151
46	0.332598	4.9518	0.604965	2.61478	2.0525	0.488945	1.32983	3.68161	0.384229	0.177335	0	1	3.61577	2.18096	3.49413	0.00209482	0	0.0166124	0.000536408	0.176449	3.6074	0.01	0.165571	0.0358198	0.91351	0.0354633	5	0.505873	0.01	1.34694	0	3.95639	10.1704	0.119256	0	0.367486	0	0.048198	17.3194	0.00139341	0.0125143	0.00586306	0.989018	3.34254	1014.08	0.389212	0.0436149
47	0.3326	4.9518	0.60496	2.61479	2.05249	0.488947	1.32983	3.68164	0.384229	0.177336	0	1	3.61577	2.18096	3.49413	0.00209481	0	0.0166124	0.000536408	0.176448	3.60744	0.01	0.165572	0.03582	0.913505	0.0354636	5	0.505874	0.01	1.34695	0	3.95639	10.1705	0.119256	0	0.367486	0	0.0481977	17.3193	0.00139341	0.0125143	0.00586306	0.989021	3.34255	1014.09	0.389209	0.0436148
