Time	[Clb2T]	[Clb5T]	[Cln]	[Cdc20]	[Cdh1]	[Sic1T]	[Trim2]	[Trim5]	[Swi5]	[Mcm]	[MBF]	[Pds1T]	[Esp1T]	[PoloT]	[Polo]	[Net1dep]	[Net1pp]	[RENT]	[RENTp]	[Cdc14n]	[Tem1]	[Cdc15]	[MEN]	[Clb2]	[Clb5]	[Sic1]	[Pds1]	[Esp1b]	[Esp1]	[Net1p]	[Net1]	[Cdc14c]
75	0.360758	0.0131704	0.0444975	0.346476	0.03071	0.0248534	0.0226487	0.000201448	0.108294	0.97602	0.0126773	0.00949018	0.25	0.482661	0.424076	0.051202	0.877246	0.121616	0.0710618	0.291137	0.039703	0.274543	0.0201538	0.338109	0.012969	0.00200329	0.00012833	0.00936185	0.240638	0.013	-0.0118621	0.087247
76	0.35523	0.0110034	0.0446709	0.347416	0.0518094	0.0319755	0.029019	0.000216753	0.149712	0.973515	0.0137705	0.00908801	0.25	0.497934	0.436965	0.0340404	0.895194	0.103731	0.0702455	0.272024	0.0520421	0.287932	0.0297171	0.326211	0.0107867	0.00273971	0.000124885	0.00896312	0.241037	0.013	-0.0119251	0.124244
77	0.346573	0.00952944	0.0449337	0.339519	0.0840965	0.0434343	0.0391879	0.000259422	0.21237	0.968639	0.0156244	0.00894865	0.25	0.505543	0.440997	0.0208381	0.913511	0.0854779	0.0651234	0.249692	0.0643397	0.308683	0.040356	0.307385	0.00927001	0.00398698	0.000123818	0.00882483	0.241175	0.013	-0.0119887	0.16483
78	0.334001	0.00861874	0.045367	0.32089	0.127812	0.0613234	0.0549096	0.000345729	0.298661	0.958526	0.0190719	0.00907739	0.25	0.502957	0.432773	0.0146471	0.927278	0.0717538	0.0575644	0.229619	0.0724108	0.336101	0.0485036	0.279091	0.00827301	0.00606809	0.000125239	0.00895215	0.241048	0.013	-0.0120323	0.198627
79	0.317244	0.00818646	0.0461493	0.291656	0.179921	0.087962	0.0779092	0.000509024	0.404531	0.936445	0.0259945	0.00951579	0.25	0.488502	0.409291	0.0133607	0.934333	0.0647306	0.0518286	0.221294	0.0701503	0.367527	0.0483929	0.239334	0.00767744	0.00954374	0.000129672	0.00938611	0.240614	0.013	-0.0120635	0.213975
80	0.296826	0.00819786	0.0476829	0.254549	0.234208	0.125944	0.109495	0.000824685	0.518565	0.888997	0.0406405	0.0103346	0.25	0.462177	0.368585	0.0169501	0.934062	0.0650452	0.0485706	0.236205	0.0512685	0.398762	0.033945	0.187331	0.00737318	0.0156242	0.000138122	0.0101965	0.239804	0.013	-0.0121069	0.19875
81	0.274148	0.00868731	0.0508198	0.214055	0.280537	0.178185	0.149262	0.00147716	0.620247	0.797938	0.0708063	0.0116449	0.25	0.425902	0.309898	0.0329683	0.923295	0.0758616	0.0434326	0.287151	0.0182052	0.423854	0.00880594	0.124886	0.00721016	0.0274457	0.000152298	0.0114926	0.238507	0.013	-0.0121564	0.136987
82	0.251324	0.00977453	0.0569884	0.174658	0.309148	0.24702	0.189761	0.00292678	0.691405	0.650012	0.124871	0.01361	0.25	0.383162	0.234799	0.0688122	0.896721	0.102365	0.0342604	0.33232	0.0055576	0.437883	0.00167532	0.0615633	0.00684775	0.0543318	0.000174566	0.0134355	0.236565	0.013	-0.0120859	0.0653152
83	0.229951	0.0116354	0.0677269	0.13814	0.325396	0.331224	0.208903	0.00597532	0.744482	0.451731	0.202714	0.0164332	0.25	0.336633	0.1525	0.11371	0.858762	0.140089	0.0273613	0.329705	0.00254161	0.445231	0.000606206	0.0210472	0.00566008	0.116345	0.000207211	0.016226	0.233774	0.013	-0.0118514	0.0302061
84	0.210465	0.0144188	0.0836209	0.104167	0.336038	0.417107	0.200933	0.0102655	0.785743	0.232576	0.292409	0.0203211	0.25	0.287495	0.0833634	0.160764	0.816175	0.182315	0.0229099	0.303153	0.00111277	0.449566	0.000226908	0.00953192	0.00415324	0.205908	0.000251962	0.0200691	0.229931	0.013	-0.0114897	0.0145316
85	0.192875	0.0182226	0.104115	0.072635	0.343589	0.488861	0.186382	0.014639	0.81596	0.0245454	0.385318	0.025489	0.25	0.237049	0.0388751	0.205788	0.773428	0.224574	0.02063	0.267809	0.000457423	0.452273	8.55105e-05	0.00649232	0.00358355	0.287839	0.000311488	0.0251775	0.224822	0.013	-0.011002	0.00761754
86	0.177468	0.0231308	0.128339	0.0473912	0.348852	0.538107	0.172054	0.0193881	0.837313	0.000651491	0.478951	0.0321566	0.25	0.190649	0.0163688	0.247457	0.732839	0.264532	0.0195343	0.23095	0.000179747	0.454192	3.2288e-05	0.00541487	0.00374273	0.346665	0.00038998	0.0317667	0.218233	0.013	-0.0103711	0.00451777
87	0.164444	0.0291301	0.155485	0.0310288	0.352139	0.561441	0.159358	0.0247748	0.851524	0.000635612	0.572355	0.0402868	0.25	0.15311	0.00719513	0.285466	0.69536	0.301203	0.0189798	0.195753	7.56496e-05	0.45572	1.33843e-05	0.00508515	0.00435533	0.377308	0.000490303	0.0397965	0.210204	0.013	-0.00956328	0.00304406
88	0.153447	0.0361706	0.184854	0.0205555	0.353504	0.559537	0.148264	0.0307479	0.859741	0.000639248	0.664892	0.0497595	0.25	0.123002	0.00391017	0.31987	0.661219	0.334305	0.0186821	0.163438	3.96416e-05	0.457024	6.97667e-06	0.0051831	0.00542269	0.380525	0.000615554	0.0491439	0.200856	0.013	-0.00852415	0.00225725
89	0.144209	0.0441986	0.215847	0.0138933	0.352785	0.536232	0.138575	0.0371188	0.862626	0.000658772	0.75582	0.0604591	0.25	0.0989796	0.00280092	0.350853	0.630315	0.363855	0.0185571	0.13438	2.74004e-05	0.458169	4.81409e-06	0.00563386	0.00707975	0.360538	0.000770167	0.0596889	0.190311	0.013	-0.00716931	0.0017652
90	0.136529	0.0531526	0.247913	0.00967834	0.349618	0.497277	0.130066	0.0435879	0.860409	0.000695352	0.843943	0.0722656	0.25	0.079906	0.00246661	0.37863	0.602423	0.389948	0.0186057	0.108643	2.32507e-05	0.459171	4.08369e-06	0.00646309	0.00956469	0.323624	0.000960204	0.0713054	0.178695	0.013	-0.00537079	0.00140896
91	0.130266	0.0629555	0.280459	0.00702712	0.343392	0.448923	0.122496	0.0497258	0.85288	0.000753733	0.926493	0.0850479	0.25	0.0648374	0.00243878	0.403413	0.577286	0.412652	0.018866	0.0862219	2.20747e-05	0.460025	3.87756e-06	0.00777047	0.0132297	0.276701	0.00119374	0.0838541	0.166146	0.013	-0.00293847	0.00112563
92	0.125338	0.0734718	0.312459	0.0053743	0.333184	0.39679	0.115608	0.0549451	0.839353	0.000842546	0.989993	0.0986223	0.25	0.0530021	0.00257221	0.425392	0.554632	0.431972	0.0194023	0.067137	2.22501e-05	0.46071	3.90879e-06	0.00973015	0.0185266	0.226237	0.00147965	0.0971426	0.152857	0.013	0.00039599	0.000890841
93	0.121721	0.0842691	0.340378	0.00436253	0.317769	0.345707	0.109184	0.0585011	0.818709	0.000972575	0.997767	0.112516	0.25	0.0437768	0.00282506	0.444736	0.534177	0.447857	0.0203048	0.051447	2.32493e-05	0.461192	4.084e-06	0.0125365	0.025768	0.178022	0.00181924	0.110696	0.139304	0.013	0.0049652	0.000695534
94	0.119454	0.0949845	0.362175	0.00376949	0.295767	0.29936	0.103084	0.0598209	0.789582	0.00115544	0.996789	0.126331	0.25	0.0366631	0.00317704	0.461603	0.515623	0.460308	0.0216812	0.0391556	2.478e-05	0.461425	4.35125e-06	0.0163707	0.0351636	0.136455	0.00222545	0.124106	0.125894	0.013	0.0110694	0.000536482
95	0.11865	0.105582	0.379041	0.00346105	0.265667	0.258422	0.0971102	0.0587129	0.750405	0.00141157	0.99529	0.140004	0.25	0.0312667	0.00362588	0.476102	0.498678	0.46954	0.023669	0.030048	2.66907e-05	0.461348	4.68287e-06	0.0215396	0.0468692	0.102599	0.00271831	0.137285	0.112715	0.013	0.0187817	0.000411756
96	0.119505	0.11604	0.392009	0.00336249	0.225961	0.22177	0.0909869	0.0551665	0.699477	0.00177584	0.992957	0.153481	0.25	0.0272834	0.00419368	0.488239	0.483097	0.476081	0.0264603	0.0236011	2.90032e-05	0.46088	5.08122e-06	0.0285185	0.0608732	0.0756165	0.00332438	0.150157	0.0998429	0.013	0.0278225	0.000318119
97	0.122328	0.126329	0.40184	0.00344228	0.175345	0.187876	0.084304	0.0493291	0.635044	0.00230916	0.989149	0.166707	0.25	0.0244889	0.00492965	0.497857	0.468702	0.480621	0.0303259	0.0191284	3.1883e-05	0.459903	5.57315e-06	0.0380242	0.0770001	0.0542431	0.0040803	0.162627	0.087373	0.013	0.0376769	0.000250331
98	0.127568	0.136409	0.409046	0.00370552	0.113224	0.155494	0.0765057	0.0415665	0.555458	0.00312001	0.982569	0.179604	0.25	0.0227337	0.00591252	0.504586	0.455397	0.483787	0.0356414	0.0160108	3.56051e-05	0.458251	6.20316e-06	0.0510626	0.0948429	0.0374218	0.00503581	0.174569	0.0754314	0.013	0.0478157	0.00020226
99	0.135823	0.146213	0.413856	0.00419446	0.0421325	0.123935	0.0669637	0.0325468	0.459615	0.0044052	0.970696	0.192056	0.25	0.0219352	0.00724693	0.507807	0.443169	0.486031	0.0429073	0.0138007	4.04952e-05	0.455696	7.02183e-06	0.0688591	0.113666	0.0244245	0.0062545	0.185802	0.064198	0.013	0.0578003	0.000168337
100	0.147172	0.155626	0.416153	0.00494572	0.000231418	0.0931895	0.0550703	0.0232793	0.348017	0.00649908	0.949418	0.203882	0.25	0.0219533	0.00899132	0.50668	0.432086	0.487647	0.0527243	0.0122084	4.65628e-05	0.451954	8.02099e-06	0.0921016	0.132346	0.0148398	0.00780587	0.196076	0.0539237	0.013	0.0672669	0.000144274
