Time	[PGA]	[DPGA]	[GAP]	[DHAP]	[TP]	[FBP]	[F6P]	[G6P]	[G1P]	[HeP]	[E4P]	[SBP]	[S7P]	[X5P]	[R5P]	[Ru5P]	[PeP]	[RuBP]	[ATP]	[ADP]	[NADPH]	[Pi]	[PGCA]	[GCA]	[GCEA]	[CO2]	[O2]	[NADP]	[HPRc]	[GCAc]	[GOAc]	[GLYc]	[SERc]	[GCEAc]	[PGAc]	[GAPc]	[DHAPc]	[TPc]	[FBPc]	[F6Pc]	[G6Pc]	[G1Pc]	[HePc]	[F26BPc]	[UDPGc]	[SucPc]	[Succ]	[UTPc]	[UDPc]	[NAD]	[NADH]	[GLUc]	[KGc]	[Pic]	[PiTc]	[ATPc]	[ADPc]	[PiPic]
31	5.57193	0.00543439	0.1442	2.884	3.0282	0.0284945	0.117536	0.270334	0.0156793	0.403549	0.211232	0.301878	0.516944	0.17254	0.289005	0.115602	0.577148	1.88898	0.154173	1.34583	0.21	0.0871368	0.000124145	0.046139	0.427524	0.009	0.2646	0.29	0.0022002	0.019807	0.00820938	0.948773	8.30658	0.427071	0.0861251	0.275061	5.50122	5.77628	1.55299	1.38318	3.1813	0.185788	4.75027	0.0462312	1.50011	0.01508	0.053302	0.75	-0.750111	0.4	0.47	24	0.4	0.073811	0.073811	0.35	0.65	6.83128e-10
32	5.60249	0.00550898	0.145794	2.91588	3.06167	0.0289243	0.117473	0.270187	0.0156708	0.40333	0.212413	0.306451	0.50509	0.1714	0.287095	0.114838	0.573334	1.85855	0.154996	1.345	0.21	0.087675	0.00012376	0.0462677	0.435374	0.009	0.2646	0.29	0.00219386	0.0197311	0.00817786	0.945707	8.31629	0.434864	0.0869627	0.277369	5.54738	5.82474	1.54954	1.37026	3.15161	0.184054	4.70592	0.0467211	1.51186	0.0155227	0.0550837	0.75	-0.761858	0.4	0.47	24	0.4	0.0743235	0.0743235	0.35	0.65	1.78261e-10
33	5.62097	0.00558056	0.147366	2.94733	3.09469	0.0293565	0.117579	0.270432	0.015685	0.403696	0.214036	0.311943	0.494011	0.170323	0.285291	0.114116	0.56973	1.8325	0.155786	1.34421	0.21	0.0881944	0.000123407	0.0463673	0.442163	0.009	0.2646	0.29	0.00218808	0.0196618	0.00814886	0.942811	8.32585	0.44166	0.087562	0.279686	5.59371	5.8734	1.54636	1.35726	3.12169	0.182307	4.66126	0.0471807	1.52268	0.0159435	0.0568064	0.75	-0.772681	0.4	0.47	24	0.4	0.0747534	0.0747534	0.35	0.65	-1.54378e-10
34	5.62845	0.00564785	0.148899	2.97799	3.12689	0.0297859	0.117841	0.271034	0.01572	0.404595	0.216054	0.318265	0.483756	0.169316	0.283604	0.113442	0.566361	1.81058	0.156527	1.34347	0.21	0.0886865	0.00012309	0.0464394	0.447906	0.009	0.2646	0.29	0.00218289	0.0195991	0.00812246	0.940103	8.33526	0.447468	0.0879333	0.28201	5.6402	5.92221	1.54344	1.34417	3.09159	0.180549	4.61631	0.0476105	1.53262	0.0163399	0.0584603	0.75	-0.782621	0.4	0.47	24	0.4	0.0750997	0.0750997	0.35	0.65	7.09154e-10
35	5.62616	0.00570966	0.150374	3.00749	3.15786	0.0302068	0.118243	0.271959	0.0157736	0.405975	0.218423	0.325323	0.474358	0.168384	0.282043	0.112817	0.563244	1.79251	0.157208	1.34279	0.21	0.0891435	0.000122807	0.0464859	0.452629	0.009	0.2646	0.29	0.0021783	0.0195431	0.00809869	0.937599	8.3445	0.452307	0.0880906	0.284341	5.68682	5.97116	1.54077	1.33101	3.06133	0.178781	4.57112	0.0480114	1.54173	0.0167102	0.0600368	0.75	-0.791725	0.4	0.47	24	0.4	0.075363	0.075363	0.35	0.65	4.57185e-10
36	5.61536	0.00576498	0.151773	3.03546	3.18724	0.0306137	0.11877	0.273171	0.0158439	0.407784	0.221099	0.333017	0.465835	0.167531	0.280614	0.112246	0.56039	1.778	0.15782	1.34218	0.21	0.0895591	0.000122557	0.0465085	0.456371	0.009	0.2646	0.29	0.00217429	0.0194938	0.00807751	0.93531	8.35358	0.456208	0.0880511	0.286675	5.7335	6.02018	1.53833	1.3178	3.03094	0.177007	4.52574	0.0483839	1.55004	0.0170526	0.0615279	0.75	-0.80004	0.4	0.47	24	0.4	0.0755452	0.0755452	0.35	0.65	8.61576e-10
37	5.59735	0.005813	0.15308	3.0616	3.21468	0.0310013	0.119406	0.274635	0.0159288	0.40997	0.224039	0.341245	0.458193	0.166758	0.27932	0.111728	0.557806	1.76672	0.158355	1.34165	0.21	0.089928	0.000122338	0.0465092	0.459182	0.009	0.2646	0.29	0.00217084	0.0194507	0.00805881	0.933246	8.36249	0.459214	0.087835	0.289011	5.78023	6.06924	1.53612	1.30454	3.00045	0.175226	4.48022	0.0487287	1.55762	0.0173659	0.0629266	0.75	-0.807615	0.4	0.47	24	0.4	0.0756497	0.0756497	0.35	0.65	-3.20892e-10
38	5.57342	0.0058532	0.15428	3.08559	3.23987	0.0313647	0.120137	0.276316	0.0160263	0.41248	0.227198	0.349899	0.451424	0.166067	0.278162	0.111265	0.555494	1.75835	0.158809	1.34119	0.21	0.0902469	0.000122149	0.0464898	0.461121	0.009	0.2646	0.29	0.00216791	0.0194135	0.00804247	0.931409	8.37125	0.461376	0.0874642	0.291346	5.82692	6.11827	1.53412	1.29126	2.96989	0.173442	4.43459	0.0490464	1.5645	0.0176494	0.0642273	0.75	-0.814499	0.4	0.47	24	0.4	0.0756812	0.0756812	0.35	0.65	8.70491e-10
39	5.54483	0.00588532	0.155361	3.10722	3.26258	0.0316997	0.120948	0.27818	0.0161344	0.415262	0.230533	0.358873	0.445511	0.165456	0.277139	0.110855	0.55345	1.75255	0.15918	1.34082	0.21	0.0905139	0.000121987	0.0464521	0.462257	0.009	0.2646	0.29	0.00216546	0.0193818	0.0080283	0.929797	8.37985	0.462753	0.0869622	0.293677	5.87355	6.16723	1.53233	1.27796	2.93931	0.171656	4.38892	0.0493376	1.57074	0.0179028	0.0654257	0.75	-0.820739	0.4	0.47	24	0.4	0.0756453	0.0756453	0.35	0.65	2.62167e-10
40	5.51278	0.00590937	0.156315	3.1263	3.28262	0.0320028	0.121823	0.280193	0.0162512	0.418267	0.234004	0.368056	0.440426	0.164923	0.276246	0.110498	0.551667	1.74899	0.159469	1.34053	0.21	0.0907287	0.000121849	0.0463981	0.462664	0.009	0.2646	0.29	0.00216344	0.0193549	0.00801611	0.928406	8.38829	0.463413	0.0863529	0.296002	5.92004	6.21604	1.53074	1.26466	2.90872	0.169869	4.34325	0.0496028	1.57638	0.018126	0.0665187	0.75	-0.826384	0.4	0.47	24	0.4	0.0755484	0.0755484	0.35	0.65	2.93936e-10
