Time	[Bhi]	[VattHi]	[Vex]	[Blo]	[VattLo]	[Ven]	[Vfus]	[VpCyt]	[VpNuc]	[Rc]	[P_Rdrp]	[RcRdrp]	[P_Np]	[P_M1]	[VpNucM1]	[VpCytM1]	[Cp]	[Rv]	[RvRdrp]	[Rm1]	[Rm2]	[Rm3]	[Rm4]	[Rm5]	[Rm6]	[Rm7]	[Rm8]	[P_Pb1]	[P_Pb2]	[P_Pa]	[P_Nep]	[P_Ha]	[P_Na]	[P_M2]	[Vrel]	[total cRNA]	[total cRNA of a segment]	[total vRNA]	[total vRNA of a segment]
30	150	1.31866e-28	9.96778e-29	1000	6.0667e-30	1.88748e-28	5.1	1.50829e-27	121.159	9.55127e-07	1.75055e+08	0.00483581	1.14854e+08	2.59507e+08	857.772	463293	3154.1	0.000249727	1.26437	5592.37	5592.37	5868.07	7384.34	8424.86	9320.61	12909.7	14947.3	0.507212	0.507212	8.80383e+06	5.09062e+07	2.13899e+08	2.93253e+08	6.49257e+06	43808.5	3154.1	394.263	464273	58034.1
31	150	2.38117e-29	1.79994e-29	1000	1.0955e-30	3.40832e-29	5.1	2.7236e-28	116.896	9.10508e-07	1.77171e+08	0.0046837	1.14411e+08	2.5921e+08	819.65	451461	3039.63	0.000237788	1.2232	5384.56	5384.56	5650.01	7109.95	8111.8	8974.26	12430	14391.9	0.49463	0.494631	8.91339e+06	5.13403e+07	2.15988e+08	2.96788e+08	6.5275e+06	45500.3	3039.63	379.954	452399	56549.9
32	150	1.06987e-30	8.0872e-31	1000	4.92212e-32	1.53138e-30	5.1	1.22373e-29	112.809	8.68682e-07	1.79209e+08	0.00453725	1.13975e+08	2.5887e+08	783.616	439499	2929.51	0.000226567	1.18339	5187.32	5187.32	5443.05	6849.51	7814.67	8645.54	11974.7	13864.7	0.482638	0.482639	9.01892e+06	5.17554e+07	2.1799e+08	3.00191e+08	6.56042e+06	47148.1	2929.51	366.189	440396	55049.5
33	150	1.02219e-30	7.72675e-31	1000	4.70274e-32	1.46312e-30	5.1	1.16918e-29	108.887	8.29396e-07	1.81173e+08	0.00439602	1.13547e+08	2.58496e+08	749.522	427476	2823.58	0.000216009	1.1449	4999.65	4999.65	5246.12	6601.7	7531.93	8332.74	11541.5	13363.1	0.471178	0.471179	9.1206e+06	5.21529e+07	2.19912e+08	3.03468e+08	6.59151e+06	48751.5	2823.59	352.948	428335	53541.9
34	150	1.1739e-31	8.8736e-32	1000	5.40075e-33	1.68029e-31	5.1	1.34272e-30	105.12	7.92429e-07	1.83065e+08	0.00425962	1.13129e+08	2.58097e+08	717.234	415453	2721.7	0.000206063	1.10767	4820.67	4820.67	5058.33	6365.38	7262.32	8034.46	11128.3	12884.8	0.460202	0.460202	9.21862e+06	5.25341e+07	2.21758e+08	3.06626e+08	6.62095e+06	50310.4	2721.71	340.213	416276	52034.5
35	150	-5.39531e-32	-4.07834e-32	1000	-2.4822e-33	-7.72265e-32	5.1	-6.17119e-31	101.5	7.57589e-07	1.84889e+08	0.00412776	1.12722e+08	2.5768e+08	686.629	403481	2623.72	0.000196684	1.07165	4649.69	4649.69	4878.91	6139.6	7004.72	7749.48	10733.6	12427.7	0.449667	0.449667	9.31315e+06	5.29e+07	2.23533e+08	3.0967e+08	6.6489e+06	51824.9	2623.73	327.966	404271	50533.8
36	150	1.64576e-32	1.24404e-32	1000	7.57161e-34	2.35569e-32	5.1	1.88243e-31	98.0179	7.24703e-07	1.86648e+08	0.00400016	1.12327e+08	2.5725e+08	657.597	391606	2529.49	0.000187833	1.03679	4486.06	4486.06	4707.22	5923.54	6758.22	7476.77	10355.9	11990.4	0.439537	0.439538	9.40434e+06	5.32515e+07	2.2524e+08	3.12606e+08	6.67548e+06	53295.3	2529.49	316.187	392363	49045.4
37	150	1.57695e-33	1.19202e-33	1000	7.25502e-35	2.25719e-33	5.1	1.80372e-32	94.667	6.9362e-07	1.88346e+08	0.0038766	1.11945e+08	2.56812e+08	630.037	379864	2438.86	0.000179471	1.00305	4329.28	4329.28	4542.71	5716.53	6522.04	7215.47	9993.96	11571.4	0.429783	0.429783	9.49233e+06	5.35894e+07	2.26883e+08	3.15438e+08	6.70082e+06	54722	2438.86	304.858	380590	47573.8
38	150	-1.54443e-32	-1.16744e-32	1000	-7.1054e-34	-2.21064e-32	5.1	-1.76653e-31	91.4407	6.64204e-07	1.89984e+08	0.00375688	1.11576e+08	2.5637e+08	603.853	368286	2351.7	0.000171564	0.970406	4178.89	4178.89	4384.9	5517.94	6295.47	6964.81	9646.78	11169.4	0.420375	0.420375	9.57726e+06	5.39146e+07	2.28466e+08	3.18171e+08	6.72501e+06	56105.6	2351.7	293.962	368983	46122.8
39	150	-1.84691e-32	-1.39609e-32	1000	-8.49702e-34	-2.6436e-32	5.1	-2.11251e-31	88.3329	6.36333e-07	1.91565e+08	0.00364083	1.11219e+08	2.55929e+08	578.962	356898	2267.86	0.000164082	0.93881	4034.47	4034.47	4233.37	5327.25	6077.9	6724.12	9313.41	10783.4	0.411291	0.411291	9.65925e+06	5.42277e+07	2.29992e+08	3.20809e+08	6.74815e+06	57446.7	2267.86	283.482	357566	44695.8
