Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[VIII_f]	[VIII_l]	[VIIIa_f]	[VIIIa_l]	[IX_f]	[IX_l]	[IXa_f]	[IXa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[VIIIai_f]	[VIIIai_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_IX_l]	[TF_VIIa_IXa_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[IXa_VIIIa_l]	[Xa_Va_l]	[IXa_VIIIa_X_l]	[V_Xa_l]	[VIII_Xa_l]	[IIa_f]	[V_IIa_l]	[VIII_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[XI_f]	[XI_IIa_l]	[XIa_l]	[APC_PS_l]	[APC_PS_VIIIa_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[IXa_AT_f]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[VIII_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[XIa_IX_l]	[LIPID]
25	48.3915	1351.61	4.66783e-07	0.000319411	0.00892092	19.9814	1.35499e-06	0.00295203	0.0202669	9.973	7.14063e-05	0.102164	0.000215421	0.699634	3.19795e-08	3.10162e-05	0.0318561	89.9659	6.7487e-07	0.00190628	4.83101	165.157	6.44953e-05	0.00368358	4.87126e-08	4.52391e-06	0.184629	299.815	1.97435e-13	1.91682e-10	8.52623e-12	1.85922e-08	2.05188	57.9479	0.000533842	0.000887641	0.00218045	0.000327275	0	0.000431055	0.000639731	6.68593e-09	9.87469e-09	7.43942e-06	8.48768e-09	0.0066672	0.000118081	2.14894e-05	5.81105e-06	1.00779e-07	8.88317e-06	1.4223e-06	30	5.53434e-06	2.04102e-05	0.00017317	2.21657e-10	2.49997	3400	1.91455e-05	2.50356e-05	1.39536e-09	2.11798e-08	1.08926e-08	4.90584e-06	3.05839e-05	7.77271e-05	1.49623e-06	0.999961	2.46692e-05	1.39635e-05	3.90042e-08	9.84145e-06	649551
26	48.3915	1351.61	5.87652e-07	0.000402108	0.00892056	19.9805	1.53109e-06	0.00333565	0.0202659	9.97251	7.17251e-05	0.102621	0.000215417	0.699622	3.65215e-08	3.54212e-05	0.031856	89.9658	7.15175e-07	0.00202011	4.83099	165.157	6.82654e-05	0.00389884	6.32578e-08	5.87451e-06	0.184629	299.815	3.10714e-13	3.01644e-10	1.33226e-11	2.90496e-08	2.05188	57.9479	0.000497176	0.000895902	0.00219509	0.00033044	0	0.000435075	0.000646306	7.12458e-09	1.21941e-08	8.99666e-06	1.04848e-08	0.00707557	0.000125143	2.66099e-05	7.20369e-06	1.24861e-07	1.07433e-05	1.72026e-06	30	6.85804e-06	2.63186e-05	0.000228435	3.35931e-10	2.49997	3400	2.4713e-05	2.76818e-05	1.62868e-09	3.17761e-08	1.20505e-08	5.42492e-06	3.23711e-05	9.7959e-05	1.88476e-06	0.999951	3.10969e-05	1.76189e-05	5.12029e-08	1.2766e-05	649551
27	48.3915	1351.61	7.33336e-07	0.000501781	0.00892017	19.9797	1.72572e-06	0.00375967	0.0202648	9.97199	7.20642e-05	0.103106	0.000215413	0.699609	4.16511e-08	4.03962e-05	0.031856	89.9657	7.56057e-07	0.00213558	4.83097	165.156	7.20662e-05	0.00411586	8.12885e-08	7.54871e-06	0.184629	299.815	4.81128e-13	4.67061e-10	2.04612e-11	4.46132e-08	2.05188	57.9478	0.000464031	0.000903529	0.00220792	0.000333359	0	0.000438787	0.000652364	7.56559e-09	1.49679e-08	1.0811e-05	1.28736e-08	0.00748762	0.000132265	3.26911e-05	8.85868e-06	1.5347e-07	1.29105e-05	2.06744e-06	29.9999	8.43077e-06	3.35983e-05	0.000297839	5.02201e-10	2.49997	3400	3.15785e-05	3.04784e-05	1.88831e-09	4.69716e-08	1.32759e-08	5.97359e-06	3.41726e-05	0.000122362	2.35323e-06	0.999939	3.88334e-05	2.20216e-05	6.64891e-08	1.6386e-05	649551
28	48.3915	1351.61	9.07886e-07	0.000621202	0.00891976	19.9788	1.94109e-06	0.00422886	0.0202637	9.97144	7.24235e-05	0.10362	0.000215409	0.699596	4.74542e-08	4.60242e-05	0.031856	89.9655	7.97536e-07	0.00225273	4.83096	165.155	7.58944e-05	0.00433445	1.03465e-07	9.60778e-06	0.184629	299.815	7.34219e-13	7.12722e-10	3.09382e-11	6.74544e-08	2.05187	57.9477	0.000434065	0.000910583	0.00221911	0.000336056	0	0.00044222	0.000657955	8.0081e-09	1.82766e-08	1.29187e-05	1.57232e-08	0.00790298	0.000139442	3.98781e-05	1.08157e-05	1.87291e-07	1.54283e-05	2.47079e-06	29.9999	1.02902e-05	4.25017e-05	0.000384219	7.41673e-10	2.49997	3400	3.99816e-05	3.34267e-05	2.17582e-09	6.85175e-08	1.457e-08	6.5521e-06	3.59869e-05	0.000151618	2.91471e-06	0.999925	4.80861e-05	2.72903e-05	8.54852e-08	2.08315e-05	649551
29	48.3915	1351.61	1.11593e-06	0.000763536	0.00891932	19.9778	2.17974e-06	0.00474874	0.0202625	9.97087	7.28031e-05	0.104163	0.000215405	0.699582	5.40297e-08	5.24016e-05	0.0318559	89.9654	8.39646e-07	0.00237166	4.83094	165.155	7.97471e-05	0.00455443	1.30546e-07	1.21223e-05	0.184629	299.815	1.10581e-12	1.07339e-09	4.61236e-11	1.00559e-07	2.05187	57.9476	0.00040697	0.00091712	0.00222882	0.000338554	0	0.0004454	0.000663126	8.45178e-09	2.22153e-08	1.53618e-05	1.91158e-08	0.00832127	0.000146666	4.83368e-05	1.31201e-05	2.27106e-07	1.83466e-05	2.93833e-06	29.9999	1.24794e-05	5.33189e-05	0.000490855	1.08348e-09	2.49996	3400	5.01979e-05	3.65275e-05	2.49281e-09	9.87639e-08	1.59337e-08	7.16065e-06	3.78125e-05	0.000186506	3.58413e-06	0.999907	5.90909e-05	3.35598e-05	1.08914e-07	2.62526e-05	649551
30	48.3915	1351.61	1.36276e-06	0.000932404	0.00891885	19.9767	2.44456e-06	0.00532567	0.0202613	9.97027	7.3203e-05	0.104736	0.0002154	0.699566	6.14923e-08	5.96392e-05	0.0318559	89.9653	8.82432e-07	0.0024925	4.83092	165.154	8.36214e-05	0.00477564	1.63409e-07	1.51735e-05	0.184629	299.815	1.64582e-12	1.59752e-09	6.78876e-11	1.48005e-07	2.05187	57.9475	0.000382466	0.000923191	0.00223719	0.000340872	0	0.000448354	0.000667917	8.89593e-09	2.68969e-08	1.81885e-05	2.31486e-08	0.00874217	0.000153934	5.82568e-05	1.58237e-05	2.73808e-07	2.17234e-05	3.47931e-06	29.9999	1.50476e-05	6.63832e-05	0.000621535	1.56749e-09	2.49996	3400	6.25442e-05	3.97819e-05	2.84087e-09	1.40853e-07	1.7368e-08	7.79941e-06	3.96481e-05	0.000227917	4.37854e-06	0.999887	7.21163e-05	4.09838e-05	1.37614e-07	3.28218e-05	649551
31	48.3914	1351.61	1.65444e-06	0.00113195	0.00891835	19.9756	2.73894e-06	0.00596699	0.0202601	9.96965	7.36233e-05	0.105337	0.000215395	0.69955	6.9974e-08	6.78653e-05	0.0318558	89.9651	9.25955e-07	0.00261542	4.8309	165.153	8.75146e-05	0.00499793	2.03058e-07	1.88548e-05	0.184629	299.815	2.42343e-12	2.35223e-09	9.87683e-11	2.15323e-07	2.05186	57.9473	0.000360303	0.000928841	0.00224435	0.000343026	0	0.000451102	0.000672365	9.3402e-09	3.24557e-08	2.14549e-05	2.79372e-08	0.00916535	0.000161238	6.98558e-05	1.89858e-05	3.28423e-07	2.56253e-05	4.10445e-06	29.9999	1.80511e-05	8.20778e-05	0.000780627	2.24808e-09	2.49996	3400	7.73846e-05	4.31904e-05	3.22162e-09	1.98972e-07	1.88743e-08	8.46854e-06	4.14922e-05	0.00027687	5.3175e-06	0.999863	8.74688e-05	4.97375e-05	1.72553e-07	4.07372e-05	649551
32	48.3914	1351.61	1.99792e-06	0.00136693	0.00891781	19.9744	3.06674e-06	0.00668111	0.0202587	9.969	7.40639e-05	0.105967	0.000215389	0.699532	7.96272e-08	7.72276e-05	0.0318558	89.965	9.70289e-07	0.00274063	4.83088	165.153	9.14239e-05	0.00522114	2.50651e-07	2.32735e-05	0.184629	299.814	3.53402e-12	3.43009e-09	1.42193e-10	3.09983e-07	2.05185	57.9471	0.000340252	0.000934112	0.00225042	0.000345035	0	0.000453666	0.000676504	9.78414e-09	3.90513e-08	2.52258e-05	3.3619e-08	0.00959049	0.000168575	8.33837e-05	2.26746e-05	3.92127e-07	3.01301e-05	4.82618e-06	29.9998	2.15549e-05	0.000100843	0.000973154	3.19916e-09	2.49995	3400	9.51373e-05	4.67538e-05	3.63666e-09	2.78688e-07	2.04538e-08	9.16818e-06	4.33437e-05	0.000334535	6.42339e-06	0.999834	0.000105499	6.00212e-05	2.14853e-07	5.02267e-05	649551
33	48.3914	1351.61	2.40118e-06	0.00164281	0.00891723	19.9731	3.43241e-06	0.00747774	0.0202574	9.96832	7.45248e-05	0.106627	0.000215383	0.699512	9.06274e-08	8.78964e-05	0.0318557	89.9649	1.01553e-06	0.0028684	4.83086	165.152	9.53466e-05	0.00544512	3.07517e-07	2.85531e-05	0.184629	299.814	5.10856e-12	4.9582e-09	2.02768e-10	4.42027e-07	2.05184	57.9468	0.000322108	0.000939041	0.0022555	0.00034691	0	0.000456063	0.000680364	1.02271e-08	4.68736e-08	2.95768e-05	4.03578e-08	0.0100173	0.000175939	9.91286e-05	2.69686e-05	4.66278e-07	3.53278e-05	5.65892e-06	29.9998	2.56334e-05	0.000123184	0.0012049	4.52092e-09	2.49995	3400	0.000116283	5.04726e-05	4.08762e-09	3.87387e-07	2.21078e-08	9.89844e-06	4.52012e-05	0.000402253	7.72194e-06	0.999801	0.000126608	7.20645e-05	2.65807e-07	6.15517e-05	649551
34	48.3914	1351.61	2.87341e-06	0.00196587	0.0089166	19.9717	3.84107e-06	0.00836803	0.0202559	9.96761	7.50061e-05	0.107316	0.000215377	0.699491	1.03177e-07	0.000100068	0.0318557	89.9647	1.06179e-06	0.00299905	4.83084	165.151	9.92802e-05	0.00566972	3.75182e-07	3.48353e-05	0.184628	299.814	7.32617e-12	7.11037e-09	2.86665e-10	6.24906e-07	2.05183	57.9466	0.000305684	0.000943661	0.00225969	0.000348667	0	0.000458309	0.000683973	1.06699e-08	5.61498e-08	3.45954e-05	4.83489e-08	0.0104455	0.000183324	0.000117423	3.19584e-05	5.5244e-07	4.13231e-05	6.61946e-06	29.9997	3.0373e-05	0.000149683	0.0014825	6.34886e-09	2.49995	3400	0.000141374	5.43472e-05	4.57613e-09	5.34852e-07	2.38381e-08	1.06594e-05	4.70635e-05	0.000481567	9.24274e-06	0.999763	0.000151258	8.6131e-05	3.26907e-07	7.50131e-05	649551
35	48.3914	1351.6	3.42519e-06	0.00234335	0.00891591	19.9701	4.29862e-06	0.00936485	0.0202544	9.96688	7.55077e-05	0.108033	0.00021537	0.699468	1.17508e-07	0.000113968	0.0318556	89.9646	1.1092e-06	0.00313295	4.83082	165.151	0.000103222	0.00589477	4.55404e-07	4.22832e-05	0.184628	299.814	1.04311e-11	1.01236e-08	4.02128e-10	8.76589e-07	2.05182	57.9462	0.000290814	0.000948004	0.00226307	0.000350316	0	0.000460421	0.000687355	1.11103e-08	6.71508e-08	4.03837e-05	5.78259e-08	0.0108747	0.000190726	0.00013865	3.77485e-05	6.52419e-07	4.82378e-05	7.7273e-06	29.9997	3.5873e-05	0.000181008	0.0018136	8.86588e-09	2.49994	3400	0.000171046	5.83781e-05	5.10381e-09	7.34034e-07	2.56463e-08	1.14512e-05	4.89293e-05	0.000574253	1.10199e-05	0.999717	0.000179979	0.000102524	3.99875e-07	9.09567e-05	649551
36	48.3914	1351.6	4.06872e-06	0.0027836	0.00891516	19.9685	4.81185e-06	0.0104829	0.0202529	9.96612	7.60296e-05	0.10878	0.000215362	0.699442	1.3389e-07	0.000129856	0.0318556	89.9644	1.15792e-06	0.00327057	4.8308	165.15	0.000107169	0.00612013	5.50203e-07	5.10843e-05	0.184628	299.813	1.47552e-11	1.432e-08	5.60141e-10	1.22102e-06	2.05181	57.9458	0.000277344	0.000952096	0.00226573	0.000351869	0	0.00046241	0.000690533	1.15482e-08	8.02012e-08	4.70605e-05	6.9068e-08	0.0113046	0.00019814	0.000163255	4.446e-05	7.68309e-07	5.62138e-05	9.0052e-06	29.9996	4.22488e-05	0.00021793	0.00220698	1.23184e-08	2.49994	3400	0.00020603	6.25652e-05	5.6723e-09	1.00206e-06	2.75347e-08	1.22738e-05	5.07972e-05	0.000682362	1.30926e-05	0.999665	0.000213383	0.000121593	4.86696e-07	0.00010978	649551
37	48.3913	1351.6	4.81811e-06	0.00329626	0.00891434	19.9666	5.38855e-06	0.0117394	0.0202513	9.96533	7.65717e-05	0.109556	0.000215353	0.699414	1.52632e-07	0.000148033	0.0318555	89.9642	1.20815e-06	0.00341244	4.83078	165.149	0.000111118	0.00634562	6.61903e-07	6.14546e-05	0.184628	299.813	2.07488e-11	2.01364e-08	7.75314e-10	1.69003e-06	2.05179	57.9453	0.000265139	0.000955964	0.00226773	0.000353334	0	0.00046429	0.000693527	1.19845e-08	9.56903e-08	5.47642e-05	8.24105e-08	0.011735	0.000205559	0.000191754	5.22331e-05	9.02533e-07	6.54166e-05	1.04796e-05	29.9996	4.96337e-05	0.000261335	0.00267275	1.70378e-08	2.49993	3400	0.000247169	6.69089e-05	6.28324e-09	1.36156e-06	2.95054e-08	1.31273e-05	5.26657e-05	0.000808257	1.55064e-05	0.999604	0.000252177	0.000143741	5.89662e-07	0.000131942	649551
38	48.3913	1351.6	5.68967e-06	0.0038925	0.00891344	19.9646	6.03774e-06	0.0131537	0.0202496	9.96451	7.71341e-05	0.11036	0.000215344	0.699383	1.74089e-07	0.000168844	0.0318554	89.9641	1.26011e-06	0.00355919	4.83076	165.149	0.000115067	0.00657107	7.93185e-07	7.36426e-05	0.184627	299.812	2.90206e-11	2.81637e-08	1.06705e-09	2.32591e-06	2.05177	57.9448	0.000254073	0.00095963	0.00226913	0.000354721	0	0.000466072	0.000696355	1.24183e-08	1.14086e-07	6.36562e-05	9.82557e-08	0.0121654	0.000212978	0.000224743	6.12303e-05	1.0579e-06	7.60388e-05	1.21815e-05	29.9995	5.81828e-05	0.000312247	0.00322252	2.34693e-08	2.49993	3400	0.000295435	7.1409e-05	6.93827e-09	1.84247e-06	3.15612e-08	1.40117e-05	5.45335e-05	0.000954673	1.83137e-05	0.999533	0.000297178	0.000169435	7.11414e-07	0.00015797	649551
39	48.3913	1351.6	6.70228e-06	0.00458523	0.00891244	19.9624	6.76976e-06	0.0147485	0.0202479	9.96367	7.77166e-05	0.111194	0.000215333	0.699348	1.98672e-07	0.000192687	0.0318554	89.9639	1.31405e-06	0.00371155	4.83074	165.148	0.000119011	0.00679627	9.47136e-07	8.79352e-05	0.184627	299.812	4.03925e-11	3.91993e-08	1.46106e-09	3.18473e-06	2.05175	57.9441	0.000244034	0.000963114	0.00226999	0.000356038	0	0.000467764	0.000699036	1.28491e-08	1.3595e-07	7.39247e-05	1.17088e-07	0.0125955	0.00022039	0.000262919	7.16403e-05	1.23769e-06	8.83053e-05	1.41468e-05	29.9994	6.80759e-05	0.000371846	0.00386968	3.22104e-08	2.49992	3400	0.00035195	7.60654e-05	7.63905e-09	2.48433e-06	3.37051e-08	1.4927e-05	5.63987e-05	0.00112477	2.15752e-05	0.999451	0.000349333	0.000199216	8.55004e-07	0.000188474	649551
40	48.3912	1351.6	7.87783e-06	0.00538942	0.00891134	19.9599	7.59657e-06	0.0165498	0.0202461	9.9628	7.83192e-05	0.112056	0.000215321	0.699309	2.26856e-07	0.000220022	0.0318553	89.9637	1.37028e-06	0.00387038	4.83072	165.147	0.000122947	0.00702101	1.12732e-06	0.000104663	0.184626	299.811	5.59728e-11	5.43186e-08	1.99146e-09	4.34081e-06	2.05172	57.9433	0.000234922	0.000966436	0.00227037	0.000357291	0	0.000469378	0.000701582	1.3276e-08	1.61964e-07	8.5789e-05	1.39493e-07	0.0130249	0.000227789	0.000307088	8.36825e-05	1.44567e-06	0.000102478	1.64176e-05	29.9993	7.95222e-05	0.000441496	0.00462965	4.40622e-08	2.49992	3400	0.000418009	8.08778e-05	8.38721e-09	3.33943e-06	3.59408e-08	1.5873e-05	5.82597e-05	0.00132222	2.53614e-05	0.999357	0.000409739	0.000233708	1.02395e-06	0.000224158	649551
41	48.3912	1351.6	9.24172e-06	0.00632246	0.00891012	19.9571	8.53195e-06	0.0185876	0.0202443	9.9619	7.89418e-05	0.112947	0.000215308	0.699266	2.59187e-07	0.000251379	0.0318552	89.9635	1.42916e-06	0.00403668	4.8307	165.147	0.000126871	0.00724505	1.33785e-06	0.000124208	0.184626	299.81	7.72524e-11	7.49685e-08	2.7034e-09	5.89259e-06	2.05169	57.9424	0.000226644	0.000969611	0.0022703	0.000358488	0	0.00047092	0.000704009	1.37e-08	1.92949e-07	9.95051e-05	1.66178e-07	0.0134531	0.000235166	0.000358189	9.76117e-05	1.68628e-06	0.000118863	1.90427e-05	29.9991	9.2765e-05	0.000522776	0.00552021	6.00979e-08	2.49991	3400	0.00049511	8.58458e-05	9.18441e-09	4.47691e-06	3.82724e-08	1.68498e-05	6.01145e-05	0.00155127	2.97539e-05	0.999247	0.000479668	0.000273639	1.22234e-06	0.000265833	649551
42	48.3911	1351.6	1.08234e-05	0.0074045	0.00890875	19.9541	9.5918e-06	0.0208967	0.0202424	9.96097	7.95844e-05	0.113867	0.000215293	0.699217	2.96295e-07	0.000287371	0.0318552	89.9633	1.49109e-06	0.00421161	4.83068	165.146	0.000130778	0.00746812	1.58349e-06	0.000147012	0.184625	299.809	1.06236e-10	1.03094e-07	3.6567e-09	7.97041e-06	2.05165	57.9413	0.000219118	0.000972656	0.00226984	0.000359634	0	0.000472399	0.000706329	1.41193e-08	2.29904e-07	0.000115372	1.98002e-07	0.0138796	0.000242513	0.000417317	0.000113724	1.96465e-06	0.000137816	2.20794e-05	29.999	0.000108088	0.00061751	0.00656189	8.17547e-08	2.49991	3400	0.000584987	9.09686e-05	1.00323e-08	5.98824e-06	4.07045e-08	1.78572e-05	6.19608e-05	0.00181684	3.48473e-05	0.99912	0.000560599	0.000319852	1.45486e-06	0.000314442	649551
43	48.3911	1351.6	1.26572e-05	0.00865897	0.00890722	19.9507	1.07945e-05	0.0235169	0.0202405	9.96001	8.02467e-05	0.114814	0.000215276	0.699162	3.38912e-07	0.000328704	0.0318551	89.963	1.55655e-06	0.00439652	4.83066	165.145	0.000134663	0.00768993	1.86972e-06	0.000173585	0.184625	299.808	1.45615e-10	1.41307e-07	4.9305e-09	1.07468e-05	2.0516	57.9401	0.000212269	0.000975584	0.00226901	0.000360735	0	0.000473821	0.000708552	1.45336e-08	2.74044e-07	0.000133736	2.36011e-07	0.0143039	0.00024982	0.000485745	0.000132365	2.28675e-06	0.000159753	2.55942e-05	29.9988	0.000125819	0.000727814	0.00777838	1.10956e-07	2.4999	3400	0.000689648	9.62456e-05	1.09325e-08	7.9945e-06	4.32427e-08	1.88951e-05	6.3796e-05	0.00212466	4.07518e-05	0.998972	0.00065425	0.000373326	1.72697e-06	0.000371073	649551
44	48.391	1351.59	1.47828e-05	0.0101131	0.00890551	19.9468	1.21612e-05	0.0264945	0.0202385	9.95903	8.09286e-05	0.11579	0.000215256	0.6991	3.87879e-07	0.000376198	0.031855	89.9628	1.6261e-06	0.00459296	4.83064	165.145	0.00013852	0.00791013	2.20291e-06	0.000204517	0.184624	299.806	1.99001e-10	1.93112e-07	6.62964e-09	1.44502e-05	2.05155	57.9386	0.000206029	0.000978407	0.00226786	0.000361795	0	0.000475192	0.00071069	1.49425e-08	3.26854e-07	0.000155005	2.8148e-07	0.0147253	0.000257075	0.000564956	0.000153936	2.65955e-06	0.000185159	2.96648e-05	29.9986	0.000146345	0.000856139	0.00919705	1.50275e-07	2.4999	3400	0.000811421	0.000101676	1.18867e-08	1.06561e-05	4.58932e-08	1.99633e-05	6.56175e-05	0.00248136	4.7595e-05	0.998802	0.000762618	0.0004352	2.04497e-06	0.000436988	649551
45	48.3909	1351.59	1.72466e-05	0.0117986	0.00890359	19.9425	1.37165e-05	0.0298829	0.0202364	9.95802	8.16299e-05	0.116793	0.000215235	0.699029	4.44172e-07	0.000430796	0.0318549	89.9625	1.70037e-06	0.00480276	4.83062	165.144	0.000142342	0.00812833	2.59043e-06	0.000240493	0.184623	299.805	2.71235e-10	2.63206e-07	8.89288e-09	1.93832e-05	2.05149	57.9369	0.000200338	0.000981138	0.00226641	0.000362819	0	0.000476518	0.000712751	1.53451e-08	3.90155e-07	0.000179649	3.35977e-07	0.0151431	0.000264267	0.000656678	0.000178904	3.09114e-06	0.000214598	3.43817e-05	29.9983	0.000170111	0.00100533	0.0108496	2.03156e-07	2.49989	3400	0.000953004	0.000107257	1.28965e-08	1.41855e-05	4.86634e-08	2.10615e-05	6.74218e-05	0.00289465	5.55255e-05	0.998605	0.000888026	0.000506799	2.41616e-06	0.000513649	649551
46	48.3908	1351.59	2.01024e-05	0.0137522	0.00890142	19.9377	1.54886e-05	0.0337439	0.0202343	9.95698	8.23505e-05	0.117824	0.00021521	0.69895	5.08918e-07	0.000493592	0.0318548	89.9621	1.78011e-06	0.00502801	4.8306	165.143	0.000146121	0.00834409	3.04081e-06	0.000282304	0.184621	299.803	3.68802e-10	3.57883e-07	1.19041e-08	2.59463e-05	2.05142	57.9349	0.000195139	0.000983787	0.00226469	0.00036381	0	0.000477803	0.000714744	1.57408e-08	4.66186e-07	0.000208221	4.01425e-07	0.0155564	0.000271381	0.000762926	0.000207812	3.59097e-06	0.000248727	3.985e-05	29.998	0.00019764	0.00117868	0.0127726	2.74205e-07	2.49989	3400	0.00111753	0.000112989	1.39636e-08	1.88648e-05	5.15618e-08	2.21894e-05	6.92055e-05	0.0033735	6.47159e-05	0.998377	0.00103318	0.000589663	2.849e-06	0.000602755	649551
47	48.3907	1351.58	2.34127e-05	0.0160168	0.00889897	19.9322	1.75104e-05	0.0381488	0.0202322	9.95592	8.309e-05	0.118882	0.000215182	0.698859	5.83421e-07	0.000565852	0.0318546	89.9618	1.86618e-06	0.00527115	4.83058	165.142	0.000149849	0.0085569	3.56393e-06	0.000330869	0.18462	299.8	5.00394e-10	4.85576e-07	1.59069e-08	3.46707e-05	2.05134	57.9326	0.000190384	0.000986362	0.00226272	0.000364773	0	0.000479053	0.000716675	1.61285e-08	5.57714e-07	0.000241358	4.80203e-07	0.0159644	0.000278399	0.000886043	0.000241293	4.17001e-06	0.000288309	4.61924e-05	29.9977	0.000229538	0.00138003	0.0150084	3.69584e-07	2.49988	3400	0.00130864	0.000118869	1.50895e-08	2.50681e-05	5.45983e-08	2.33467e-05	7.09641e-05	0.00392831	7.53668e-05	0.998113	0.00120121	0.000685582	3.35331e-06	0.000706275	649551
48	48.3905	1351.58	2.72505e-05	0.0186422	0.00889619	19.9259	1.98198e-05	0.0431802	0.02023	9.95483	8.38481e-05	0.119967	0.00021515	0.698755	6.6919e-07	0.00064904	0.0318545	89.9614	1.95959e-06	0.00553501	4.83056	165.142	0.000153514	0.00876617	4.17125e-06	0.000387249	0.184618	299.798	6.77644e-10	6.57573e-07	2.12242e-08	4.62603e-05	2.05125	57.9299	0.000186028	0.000988873	0.00226053	0.000365711	0	0.000480271	0.000718553	1.65073e-08	6.68169e-07	0.000279804	5.75258e-07	0.0163658	0.000285304	0.00102876	0.000280082	4.84105e-06	0.000334233	5.3551e-05	29.9973	0.000266512	0.00161383	0.0176062	4.97536e-07	2.49988	3400	0.00153056	0.000124895	1.62758e-08	3.32925e-05	5.7784e-08	2.45329e-05	7.26929e-05	0.00457116	8.77114e-05	0.997808	0.00139579	0.000796639	3.94046e-06	0.000826499	649551
49	48.3904	1351.58	3.17005e-05	0.0216865	0.00889304	19.9189	2.24606e-05	0.0489337	0.0202277	9.95372	8.46245e-05	0.121078	0.000215114	0.698637	7.67972e-07	0.000744849	0.0318544	89.961	2.06148e-06	0.00582286	4.83054	165.141	0.000157106	0.00897124	4.87605e-06	0.00045268	0.184617	299.795	9.16125e-10	8.88986e-07	2.82846e-08	6.16489e-05	2.05114	57.9268	0.00018203	0.000991326	0.00225814	0.000366626	0	0.000481462	0.000720384	1.68759e-08	8.01823e-07	0.00032442	6.90261e-07	0.0167596	0.000292073	0.00119426	0.000325033	5.61895e-06	0.000387527	6.20908e-05	29.9968	0.000309386	0.00188526	0.0206227	6.69088e-07	2.49987	3400	0.0017882	0.000131064	1.75243e-08	4.41983e-05	6.11323e-08	2.57475e-05	7.43864e-05	0.00531609	0.000102021	0.997454	0.00162116	0.000925255	4.62367e-06	0.000966086	649551
50	48.3902	1351.57	3.68611e-05	0.0252168	0.00888945	19.9108	2.54835e-05	0.0555197	0.0202254	9.95258	8.54188e-05	0.122215	0.000215072	0.698501	8.81787e-07	0.000855238	0.0318542	89.9605	2.17321e-06	0.0061385	4.83052	165.14	0.000160611	0.00917134	5.69371e-06	0.000528588	0.184614	299.791	1.23668e-09	1.20004e-06	3.76567e-08	8.20759e-05	2.05101	57.9232	0.000178353	0.00099373	0.00225556	0.000367522	0	0.000482628	0.000722172	1.72329e-08	9.64018e-07	0.000376205	8.29801e-07	0.0171442	0.000298681	0.00138624	0.000377136	6.52097e-06	0.000449382	7.2003e-05	29.9963	0.000359115	0.00220032	0.0241238	8.98995e-07	2.49986	3400	0.00208727	0.000137372	1.88363e-08	5.8664e-05	6.46583e-08	2.69898e-05	7.60382e-05	0.00617934	0.000118609	0.997044	0.00188225	0.00107424	5.41826e-06	0.00112812	649551
51	48.39	1351.56	4.28467e-05	0.0293116	0.00888535	19.9017	2.89471e-05	0.0630659	0.020223	9.95141	8.62305e-05	0.123376	0.000215024	0.698346	1.01297e-06	0.000982475	0.031854	89.96	2.29634e-06	0.00648634	4.8305	165.14	0.000164014	0.0093656	6.64207e-06	0.000616629	0.184612	299.787	1.66722e-09	1.61782e-06	5.00955e-08	0.000109187	2.05086	57.919	0.000174964	0.000996089	0.00225281	0.0003684	0	0.000483772	0.000723924	1.75769e-08	1.16146e-06	0.000436308	9.99635e-07	0.017518	0.000305101	0.00160898	0.000437539	7.56713e-06	0.000521174	8.35081e-05	29.9957	0.000416811	0.002566	0.0281856	1.20699e-06	2.49986	3400	0.00243441	0.000143817	2.02136e-08	7.78582e-05	6.83798e-08	2.82592e-05	7.76412e-05	0.00717979	0.000137842	0.996568	0.0021848	0.00124685	6.34202e-06	0.00131621	649551
