Time	[MAPK]	[MAPK_MEK-PP]	[MAPK-P]	[MAPK phosphatase]	[MAPK-P_MAPKPase]	[MAPK-P_MEK-PP]	[MAPK-PP]	[MAPK-PP_MAPKPase]	[MEK]	[MEK-P]	[MEK phosphatase]	[MEK-P_MEKPase]	[MEK-PP]	[MEK-PP_MEKPase]	[MEK-P_RAF-P]	[MEK_RAF-P]	[RAF]	[RAFK]	[RAF-P]	[RAF phosphatase]	[RAF-P_RAFPase]	[RAF_RAFK]
79	0.336051	0.0310801	0.00864994	0.276722	0.022852	0.000768551	0.000171719	0.000426233	0.0556307	0.0181491	0.161537	0.0326448	0.00331404	0.00581804	0.0131798	0.0394148	0.0830226	0.171376	0.110585	0.274826	0.025174	0.0286239
80	0.334716	0.0315938	0.00886067	0.276157	0.0233923	0.000804218	0.000181631	0.000451095	0.0551541	0.0181191	0.161484	0.0325815	0.00337978	0.00593485	0.0132118	0.039221	0.0827681	0.171458	0.110993	0.274736	0.0252639	0.0285421
81	0.333392	0.0320995	0.0090706	0.275594	0.0239289	0.000840523	0.000191852	0.000476721	0.0546892	0.0180882	0.161432	0.0325169	0.00344509	0.0060509	0.0132413	0.0390284	0.0825264	0.171536	0.111389	0.274649	0.0253511	0.0284642
82	0.332079	0.0325971	0.00927961	0.275035	0.0244614	0.000877438	0.000202379	0.000503103	0.0542356	0.0180568	0.161382	0.0324515	0.00350994	0.00616617	0.0132684	0.0388371	0.0822971	0.17161	0.111772	0.274565	0.0254354	0.0283902
83	0.330778	0.0330866	0.00948761	0.27448	0.0249896	0.000914934	0.000213207	0.000530227	0.0537932	0.0180247	0.161334	0.0323852	0.0035743	0.00628061	0.0132933	0.0386472	0.0820796	0.17168	0.112143	0.274483	0.0255171	0.0283199
84	0.329489	0.0335678	0.0096945	0.273929	0.0255133	0.000952982	0.000224334	0.000558083	0.0533615	0.0179923	0.161288	0.0323183	0.00363815	0.00639418	0.013316	0.0384587	0.0818734	0.171747	0.112502	0.274404	0.0255962	0.0282531
85	0.328213	0.0340409	0.00990018	0.273381	0.0260322	0.000991552	0.000235754	0.000586655	0.0529403	0.0179594	0.161242	0.0322509	0.00370149	0.00650685	0.0133368	0.0382719	0.0816781	0.17181	0.112851	0.274327	0.0256728	0.0281897
86	0.32695	0.0345056	0.0101046	0.272838	0.0265462	0.00103061	0.000247461	0.000615928	0.0525293	0.0179262	0.161198	0.032183	0.00376428	0.00661857	0.0133557	0.0380867	0.0814933	0.17187	0.113188	0.274253	0.0257469	0.0281296
87	0.3257	0.0349622	0.0103076	0.272299	0.0270551	0.00107014	0.00025945	0.000645888	0.0521282	0.0178928	0.161156	0.0321149	0.00382652	0.00672933	0.0133727	0.0379032	0.0813185	0.171927	0.113514	0.274181	0.0258186	0.0280727
88	0.324463	0.0354104	0.0105092	0.271765	0.0275586	0.0011101	0.000271716	0.000676516	0.0517368	0.0178592	0.161114	0.0320467	0.00388818	0.00683908	0.0133881	0.0377215	0.0811533	0.171981	0.11383	0.274112	0.0258881	0.0280187
89	0.323241	0.0358504	0.0107092	0.271236	0.0280567	0.00115046	0.000284252	0.000707795	0.0513547	0.0178255	0.161074	0.0319783	0.00394925	0.00694779	0.0134019	0.0375417	0.0809972	0.172032	0.114136	0.274045	0.0259552	0.0279676
90	0.322033	0.0362822	0.0109077	0.270711	0.0285491	0.00119119	0.00029705	0.000739706	0.0509818	0.0177917	0.161035	0.03191	0.00400972	0.00705545	0.0134142	0.0373637	0.08085	0.172081	0.114433	0.27398	0.0260203	0.0279193
91	0.320839	0.0367058	0.0111045	0.270192	0.0290359	0.00123226	0.000310104	0.000772229	0.0506179	0.0177579	0.160996	0.0318418	0.00406957	0.00716203	0.013425	0.0371877	0.0807112	0.172126	0.114719	0.273917	0.0260832	0.0278737
92	0.31966	0.0371212	0.0112996	0.269678	0.0295167	0.00127364	0.000323406	0.000805345	0.0502626	0.0177242	0.160959	0.0317738	0.0041288	0.0072675	0.0134345	0.0370137	0.0805804	0.172169	0.114997	0.273856	0.026144	0.0278306
93	0.318496	0.0375285	0.0114929	0.269169	0.0299916	0.0013153	0.00033695	0.000839033	0.0499158	0.0176905	0.160922	0.0317061	0.00418738	0.00737184	0.0134428	0.0368417	0.0804574	0.17221	0.115265	0.273797	0.0262029	0.02779
94	0.317346	0.0379278	0.0116844	0.268666	0.0304604	0.00135721	0.000350725	0.00087327	0.0495773	0.017657	0.160886	0.0316387	0.00424532	0.00747502	0.0134498	0.0366718	0.0803418	0.172248	0.115525	0.27374	0.0262598	0.0277517
95	0.316212	0.038319	0.011874	0.268169	0.0309231	0.00139935	0.000364725	0.000908036	0.0492469	0.0176236	0.160851	0.0315717	0.00430259	0.00757705	0.0134558	0.036504	0.0802332	0.172284	0.115776	0.273685	0.0263149	0.0277157
96	0.315092	0.0387024	0.0120616	0.267677	0.0313796	0.00144167	0.000378941	0.000943306	0.0489243	0.0175904	0.160817	0.0315052	0.0043592	0.00767788	0.0134607	0.0363384	0.0801314	0.172318	0.11602	0.273632	0.0263682	0.0276818
97	0.313989	0.0390778	0.0122473	0.267191	0.0318298	0.00148416	0.000393364	0.00097906	0.0486093	0.0175575	0.160783	0.0314391	0.00441513	0.00777751	0.0134646	0.0361749	0.080036	0.17235	0.116255	0.27358	0.0264197	0.02765
