Time	[X]	[Xa]	[Xa_ATIII]	[PL]	[PT]	[Va]	[IIa]	[V]	[II]	[IIa_alpha2M]	[IIa_ATIII]	[RVV]
56	8.47955e-09	6.08329e-10	0.2	0.05	3.89984e-15	0.000835741	1.07032e-08	0.0291642	0.881127	0.095027	0.423846	0.03
57	6.26118e-09	4.49181e-10	0.2	0.05	2.87958e-15	0.000835741	7.90308e-09	0.0291642	0.881127	0.095027	0.423846	0.03
58	4.6232e-09	3.31672e-10	0.2	0.05	2.12627e-15	0.000835741	5.83557e-09	0.0291642	0.881127	0.095027	0.423846	0.03
59	3.41374e-09	2.44904e-10	0.2	0.05	1.57002e-15	0.000835741	4.30894e-09	0.0291642	0.881127	0.095027	0.423846	0.03
60	2.52068e-09	1.80835e-10	0.2	0.05	1.15929e-15	0.000835741	3.18169e-09	0.0291642	0.881127	0.095027	0.423846	0.03
61	1.86125e-09	1.33527e-10	0.2	0.05	8.5601e-16	0.000835741	2.34934e-09	0.0291642	0.881127	0.095027	0.423846	0.03
62	1.37437e-09	9.85985e-11	0.2	0.05	6.3209e-16	0.000835741	1.73478e-09	0.0291642	0.881127	0.095027	0.423846	0.03
63	1.01487e-09	7.28073e-11	0.2	0.05	4.66749e-16	0.000835741	1.281e-09	0.0291642	0.881127	0.095027	0.423846	0.03
64	7.494e-10	5.37625e-11	0.2	0.05	3.44657e-16	0.000835741	9.4592e-10	0.0291642	0.881127	0.095027	0.423846	0.03
65	5.53371e-10	3.96992e-11	0.2	0.05	2.54501e-16	0.000835741	6.98484e-10	0.0291642	0.881127	0.095027	0.423846	0.03
66	4.08637e-10	2.93159e-11	0.2	0.05	1.87933e-16	0.000835741	5.15797e-10	0.0291642	0.881127	0.095027	0.423846	0.03
67	3.01776e-10	2.16496e-11	0.2	0.05	1.3879e-16	0.000835741	3.80912e-10	0.0291642	0.881127	0.095027	0.423846	0.03
68	2.22864e-10	1.59884e-11	0.2	0.05	1.02498e-16	0.000835741	2.81307e-10	0.0291642	0.881127	0.095027	0.423846	0.03
69	1.6458e-10	1.18071e-11	0.2	0.05	7.56921e-17	0.000835741	2.07739e-10	0.0291642	0.881127	0.095027	0.423846	0.03
70	1.21537e-10	8.71917e-12	0.2	0.05	5.58964e-17	0.000835741	1.53409e-10	0.0291642	0.881127	0.095027	0.423846	0.03
71	8.97613e-11	6.43953e-12	0.2	0.05	4.12822e-17	0.000835741	1.133e-10	0.0291642	0.881127	0.095027	0.423846	0.03
72	6.63099e-11	4.75712e-12	0.2	0.05	3.04968e-17	0.000835741	8.36987e-11	0.0291642	0.881127	0.095027	0.423846	0.03
73	4.90062e-11	3.51574e-12	0.2	0.05	2.25379e-17	0.000835741	6.18573e-11	0.0291642	0.881127	0.095027	0.423846	0.03
74	3.62312e-11	2.59925e-12	0.2	0.05	1.6664e-17	0.000835741	4.57323e-11	0.0291642	0.881127	0.095027	0.423846	0.03
75	2.6783e-11	1.92143e-12	0.2	0.05	1.23169e-17	0.000835741	3.38065e-11	0.0291642	0.881127	0.095027	0.423846	0.03
76	1.97937e-11	1.42001e-12	0.2	0.05	9.10129e-18	0.000835741	2.49843e-11	0.0291642	0.881127	0.095027	0.423846	0.03
77	1.46261e-11	1.04928e-12	0.2	0.05	6.74485e-18	0.000835741	1.84615e-11	0.0291642	0.881127	0.095027	0.423846	0.03
78	1.08123e-11	7.75681e-13	0.2	0.05	4.88176e-18	0.000835741	1.36476e-11	0.0291642	0.881127	0.095027	0.423846	0.03
79	8.0084e-12	5.74528e-13	0.2	0.05	3.62516e-18	0.000835741	1.01085e-11	0.0291642	0.881127	0.095027	0.423846	0.03
80	5.94214e-12	4.26293e-13	0.2	0.05	2.79124e-18	0.000835741	7.50038e-12	0.0291642	0.881127	0.095027	0.423846	0.03
81	4.41258e-12	3.16561e-13	0.2	0.05	2.02871e-18	0.000835741	5.56971e-12	0.0291642	0.881127	0.095027	0.423846	0.03
82	3.28562e-12	2.35713e-13	0.2	0.05	1.4698e-18	0.000835741	4.14722e-12	0.0291642	0.881127	0.095027	0.423846	0.03
83	2.43809e-12	1.7491e-13	0.2	0.05	1.12714e-18	0.000835741	3.07744e-12	0.0291642	0.881127	0.095027	0.423846	0.03
84	1.80683e-12	1.29624e-13	0.2	0.05	8.42192e-19	0.000835741	2.28065e-12	0.0291642	0.881127	0.095027	0.423846	0.03
85	1.33559e-12	9.58163e-14	0.2	0.05	6.12839e-19	0.000835741	1.68583e-12	0.0291642	0.881127	0.095027	0.423846	0.03
86	9.8695e-13	7.08045e-14	0.2	0.05	4.53887e-19	0.000835741	1.24576e-12	0.0291642	0.881127	0.095027	0.423846	0.03
87	7.32398e-13	5.25427e-14	0.2	0.05	3.36596e-19	0.000835741	9.24458e-13	0.0291642	0.881127	0.095027	0.423846	0.03
88	5.49375e-13	3.94125e-14	0.2	0.05	2.52378e-19	0.000835741	6.93441e-13	0.0291642	0.881127	0.095027	0.423846	0.03
89	4.30167e-13	3.08605e-14	0.2	0.05	1.9687e-19	0.000835741	5.42972e-13	0.0291642	0.881127	0.095027	0.423846	0.03
90	3.40223e-13	2.44078e-14	0.2	0.05	1.55857e-19	0.000835741	4.29441e-13	0.0291642	0.881127	0.095027	0.423846	0.03
91	2.77726e-13	1.99242e-14	0.2	0.05	1.27778e-19	0.000835741	3.50555e-13	0.0291642	0.881127	0.095027	0.423846	0.03
92	2.39699e-13	1.71962e-14	0.2	0.05	1.10341e-19	0.000835741	3.02557e-13	0.0291642	0.881127	0.095027	0.423846	0.03
93	1.94727e-13	1.39698e-14	0.2	0.05	8.95612e-20	0.000835741	2.45791e-13	0.0291642	0.881127	0.095027	0.423846	0.03
94	1.64354e-13	1.17909e-14	0.2	0.05	7.55684e-20	0.000835741	2.07453e-13	0.0291642	0.881127	0.095027	0.423846	0.03
95	1.34549e-13	9.65266e-15	0.2	0.05	6.18535e-20	0.000835741	1.69833e-13	0.0291642	0.881127	0.095027	0.423846	0.03
96	1.03025e-13	7.39111e-15	0.2	0.05	4.73828e-20	0.000835741	1.30042e-13	0.0291642	0.881127	0.095027	0.423846	0.03
97	7.47032e-14	5.35926e-15	0.2	0.05	3.43588e-20	0.000835741	9.42931e-14	0.0291642	0.881127	0.095027	0.423846	0.03
98	5.1667e-14	3.70662e-15	0.2	0.05	2.3764e-20	0.000835741	6.52159e-14	0.0291642	0.881127	0.095027	0.423846	0.03
99	3.48634e-14	2.50113e-15	0.2	0.05	1.60344e-20	0.000835741	4.40059e-14	0.0291642	0.881127	0.095027	0.423846	0.03
100	2.22913e-14	1.59919e-15	0.2	0.05	1.02528e-20	0.000835741	2.81368e-14	0.0291642	0.881127	0.095027	0.423846	0.03
