Time	[Phosphoenol pyruvate]	[Extracellular Glucose]	[Glucose-6-Phosphate]	[Pyruvate]	[Fructose-6-Phosphate]	[Glucose-1-Phosphate]	[6-Phosphogluconate]	[sedoheptulose-7-phosphate]	[Glyceraldehyde-3-Phosphate]	[Erythrose-4-phosphate]	[Xylulose-5-phosphate]	[Ribose-5-phosphate]	[Dihydroxyacetonephosphate]	[3-Phosphoglycerate]	[2-Phosphoglycerate]	[Ribulose-5-phosphate]	[accoa]	[malcoa]	[fer]	[fer_ext]	[fercoa]	[ferdicoa]	[cur]	[cur_ext]
68	0.577761	53.9294	3.60602	13.9928	0.615826	0.533571	0.831664	0.215872	0.467697	0.164061	0.177644	0.504242	0.476615	0.503462	0.0906097	0.138936	67.7595	0.000300012	-7.0286e-29	-1.09707e-28	17639.2	0.000393832	0.0625713	0.0625257
69	0.578907	53.9088	3.60592	14.0405	0.615819	0.533675	0.831643	0.215869	0.467695	0.16406	0.177643	0.504237	0.476398	0.504369	0.0907808	0.138935	68.6866	0.000300012	-1.48766e-28	-2.32203e-28	17639.2	0.000393832	0.063273	0.0632274
70	0.580038	53.8882	3.60583	14.0878	0.615813	0.533778	0.831623	0.215867	0.467693	0.164059	0.177641	0.504233	0.476185	0.505263	0.0909495	0.138933	69.6124	0.000300012	-2.41047e-28	-3.76242e-28	17639.1	0.000393832	0.0639747	0.0639291
71	0.581155	53.8677	3.60574	14.1344	0.615807	0.533879	0.831603	0.215864	0.46769	0.164058	0.17764	0.504228	0.475974	0.506146	0.0911161	0.138932	70.5369	0.000300012	-2.33408e-28	-3.64318e-28	17639	0.000393832	0.0646764	0.0646308
72	0.582256	53.8472	3.60565	14.1805	0.615801	0.533978	0.831584	0.215861	0.467688	0.164056	0.177639	0.504223	0.475767	0.507017	0.0912805	0.138931	71.46	0.000300012	-1.16824e-28	-1.82345e-28	17638.9	0.000393832	0.0653781	0.0653325
73	0.583344	53.8267	3.60556	14.2261	0.615796	0.534076	0.831565	0.215859	0.467685	0.164055	0.177637	0.504218	0.475563	0.507877	0.0914429	0.138929	72.3819	0.000300012	1.64218e-28	2.56321e-28	17638.8	0.000393832	0.0660798	0.0660342
74	0.584419	53.8062	3.60548	14.2712	0.61579	0.534173	0.831547	0.215856	0.467683	0.164054	0.177636	0.504213	0.475362	0.508726	0.0916032	0.138928	73.3024	0.000300012	2.38246e-28	3.71869e-28	17638.7	0.000393832	0.0667815	0.0667359
75	0.58548	53.7858	3.6054	14.3157	0.615785	0.534268	0.831529	0.215854	0.46768	0.164052	0.177635	0.504209	0.475163	0.509565	0.0917615	0.138927	74.2217	0.000300012	3.63313e-29	5.67082e-29	17638.6	0.000393832	0.0674832	0.0674376
76	0.586528	53.7654	3.60531	14.3598	0.61578	0.534362	0.831511	0.215852	0.467677	0.164051	0.177634	0.504204	0.474968	0.510394	0.0919179	0.138925	75.1397	0.000300012	-5.46049e-28	-8.52307e-28	17638.5	0.000393832	0.0681849	0.0681393
77	0.587564	53.745	3.60523	14.4034	0.615775	0.534454	0.831494	0.21585	0.467674	0.16405	0.177632	0.5042	0.474775	0.511213	0.0920725	0.138924	76.0565	0.000300012	-1.0005e-27	-1.56164e-27	17638.4	0.000393832	0.0688866	0.068841
