Time	[MK]	[MKK-PP]	[MK_MKK-PP]	[MK-P]	[MK-P_MKK-PP]	[MK-PP]	[MKK]	[MKKK-P]	[MKK_MKKK-P]	[MKK-P]	[MKK-P_MKKK-P]	[MKK-PP_P2]	[P2]	[MKK-P_P2]	[MKK_P2]	[MKKK]	[MKKK_Sig]	[Sig]	[MKKK-P_P1]	[P1]	[MK-PP_P2]	[MK-P_P2]	[MK_P2]	[MKK-PP_P1]	[MKK-P_P1]	[MKK_P1]	[MKKK_P1]
75	1163.43	1.4448	32.5519	1.38995	0.00400285	0.0525406	891.835	13.5951	239.667	5.97467	0.162338	10.357	177.365	9.70567	0	26.1502	2.08509	7.91491	18.34	73.362	0.362718	2.20978	0	4.28366	4.01429	0	0
76	1162.55	1.47804	33.2926	1.43325	0.00422286	0.0560263	890.205	13.6419	240.081	6.02108	0.164165	10.5783	176.998	9.76187	0	25.6884	2.05532	7.94468	18.369	73.2177	0.386461	2.27539	0	4.37552	4.03781	0	0
77	1161.67	1.51131	34.0328	1.4769	0.0044497	0.0596614	888.606	13.6869	240.468	6.06721	0.165971	10.7989	176.631	9.81728	0	25.2563	2.02725	7.97275	18.3958	73.0758	0.411178	2.34128	0	4.46722	4.06115	0	0
78	1160.79	1.54459	34.7722	1.52086	0.00468338	0.063448	887.036	13.7303	240.829	6.11305	0.167757	11.0186	176.265	9.87193	0	24.8519	2.00079	7.99921	18.4207	72.9363	0.436878	2.40743	0	4.55873	4.08431	0	0
79	1159.91	1.57788	35.5108	1.56513	0.00492391	0.0673884	885.493	13.7721	241.165	6.15861	0.169524	11.2374	175.899	9.92582	0	24.4738	1.97589	8.02411	18.4436	72.799	0.463571	2.47381	0	4.65004	4.10729	0	0
80	1159.03	1.61117	36.2484	1.60969	0.00517129	0.0714847	883.976	13.8124	241.479	6.2039	0.171272	11.4553	175.534	9.97897	0	24.1203	1.95245	8.04755	18.4649	72.6639	0.491265	2.5404	0	4.74114	4.13009	0	0
81	1158.15	1.64446	36.9849	1.65453	0.00542551	0.0757387	882.484	13.8513	241.771	6.24892	0.173003	11.6723	175.169	10.0314	0	23.7898	1.93042	8.06958	18.4845	72.5308	0.519969	2.60717	0	4.83201	4.15272	0	0
82	1157.27	1.67774	37.7201	1.69965	0.00568659	0.0801524	881.016	13.8889	242.043	6.29367	0.174717	11.8883	174.805	10.0831	0	23.481	1.90971	8.09029	18.5025	72.3997	0.549691	2.67409	0	4.92265	4.17517	0	0
83	1156.39	1.71101	38.4541	1.74501	0.00595451	0.0847276	879.57	13.9252	242.297	6.33816	0.176415	12.1032	174.441	10.1341	0	23.1925	1.89027	8.10973	18.5191	72.2704	0.580438	2.74115	0	5.01304	4.19745	0	0
84	1155.51	1.74427	39.1866	1.79062	0.00622927	0.0894662	878.146	13.9604	242.532	6.3824	0.178097	12.3172	174.078	10.1845	0	22.923	1.87202	8.12798	18.5343	72.143	0.612215	2.80833	0	5.10317	4.21955	0	0
