Time	[ERK]	[ERK-PY]	[ERK-PT]	[ERK-PP]	[MEK]	[MKP3]	[ERK-PY_MEK]	[ERK-PT_MEK]	[ERK_MEK_Y]	[ERK_MEK_T]	[ERK-PP_MKP3]	[ERK-PY_MKP3]	[ERK-PT_MKP3_Y]	[ERK-PT_MKP3_T]	[ERK_MKP3_T]	[ERK_MKP3_Y]
67	261.456	223.69	32.5368	17.0364	8.88233	5.836	48.9414	0.990679	5.5918	115.594	4.0252	8.85487	2.25237	1.26168	28.4303	49.3396
68	259.858	224.782	32.7222	17.3756	8.90665	5.83141	49.3257	0.999163	5.57271	115.196	4.10368	8.8921	2.26908	1.26796	28.2961	49.3396
69	258.294	225.844	32.9052	17.7143	8.93067	5.82688	49.7024	1.00756	5.55397	114.805	4.18196	8.92808	2.28562	1.27414	28.165	49.3383
70	256.764	226.874	33.0858	18.0524	8.95439	5.82241	50.0718	1.01588	5.5356	114.422	4.26002	8.96284	2.30201	1.28023	28.037	49.3355
71	255.267	227.875	33.2641	18.3899	8.97781	5.818	50.4339	1.02413	5.51757	114.047	4.33786	8.99643	2.31824	1.28623	27.9119	49.3314
72	253.801	228.847	33.4402	18.7266	9.00093	5.81365	50.7889	1.0323	5.49988	113.678	4.41545	9.02888	2.33431	1.29215	27.7897	49.3259
73	252.366	229.79	33.6141	19.0626	9.02378	5.80935	51.1369	1.04039	5.48253	113.316	4.4928	9.06022	2.35024	1.29798	27.6703	49.3191
74	250.962	230.706	33.7861	19.3978	9.04634	5.8051	51.478	1.04842	5.46551	112.962	4.56989	9.09047	2.36603	1.30373	27.5537	49.3111
75	249.586	231.595	33.9562	19.7321	9.06862	5.80091	51.8124	1.05638	5.44882	112.614	4.6467	9.11967	2.38168	1.30942	27.4399	49.3018
76	248.239	232.458	34.1245	20.0655	9.09063	5.79676	52.1402	1.06428	5.43244	112.272	4.72324	9.14786	2.3972	1.31503	27.3287	49.2912
77	246.92	233.296	34.291	20.398	9.11237	5.79266	52.4616	1.07211	5.41637	111.938	4.79949	9.17505	2.41259	1.32057	27.2201	49.2795
78	245.628	234.109	34.4559	20.7296	9.13385	5.7886	52.7766	1.07988	5.40061	111.609	4.87544	9.20128	2.42785	1.32605	27.1141	49.2667
79	244.362	234.898	34.6191	21.0601	9.15508	5.78459	53.0854	1.0876	5.38515	111.287	4.95109	9.22657	2.44299	1.33146	27.0106	49.2527
80	243.123	235.664	34.7809	21.3896	9.17605	5.78063	53.3881	1.09526	5.36997	110.971	5.02643	9.25096	2.45802	1.33682	26.9095	49.2377
81	241.908	236.407	34.9411	21.718	9.19677	5.77671	53.6849	1.10286	5.35509	110.66	5.10145	9.27446	2.47293	1.34212	26.8108	49.2215
82	240.717	237.128	35.1	22.0454	9.21725	5.77282	53.9758	1.11041	5.34049	110.356	5.17615	9.2971	2.48773	1.34736	26.7145	49.2044
83	239.55	237.827	35.2576	22.3716	9.23749	5.76898	54.2609	1.11792	5.32616	110.058	5.25051	9.3189	2.50241	1.35256	26.6204	49.1862
84	238.407	238.505	35.4138	22.6966	9.25749	5.76517	54.5405	1.12537	5.3121	109.765	5.32454	9.3399	2.517	1.3577	26.5286	49.1671
85	237.286	239.163	35.5689	23.0205	9.27727	5.76141	54.8145	1.13278	5.29831	109.477	5.39823	9.36011	2.53148	1.3628	26.439	49.147
86	236.187	239.802	35.7227	23.3432	9.29681	5.75768	55.0832	1.14014	5.28477	109.195	5.47157	9.37955	2.54585	1.36785	26.3515	49.126
87	235.109	240.421	35.8754	23.6647	9.31614	5.75398	55.3466	1.14745	5.27149	108.918	5.54456	9.39825	2.56013	1.37285	26.2661	49.1041
88	234.053	241.021	36.027	23.9849	9.33524	5.75032	55.6048	1.15473	5.25846	108.647	5.6172	9.41623	2.57432	1.37782	26.1828	49.0813
89	233.016	241.603	36.1776	24.3039	9.35413	5.7467	55.858	1.16196	5.24567	108.38	5.68949	9.43351	2.58841	1.38274	26.1014	49.0577
90	232	242.167	36.3272	24.6216	9.37281	5.7431	56.1062	1.16915	5.23312	108.119	5.76141	9.4501	2.60241	1.38763	26.022	49.0333
91	231.003	242.714	36.4758	24.938	9.39129	5.73954	56.3495	1.1763	5.22081	107.862	5.83297	9.46603	2.61631	1.39248	25.9445	49.0082
92	230.025	243.244	36.6235	25.2532	9.40955	5.73601	56.5881	1.18342	5.20872	107.61	5.90416	9.48132	2.63013	1.39729	25.8689	48.9822
93	229.065	243.758	36.7702	25.567	9.42762	5.73251	56.8221	1.1905	5.19685	107.363	5.97499	9.49598	2.64387	1.40207	25.7951	48.9555
94	228.123	244.256	36.9162	25.8794	9.4455	5.72904	57.0514	1.19754	5.1852	107.12	6.04544	9.51004	2.65752	1.40681	25.723	48.9281
95	227.199	244.738	37.0612	26.1906	9.46318	5.7256	57.2764	1.20455	5.17377	106.882	6.11553	9.5235	2.67108	1.41152	25.6527	48.9
96	226.292	245.205	37.2055	26.5003	9.48068	5.72219	57.4969	1.21152	5.16255	106.648	6.18523	9.5364	2.68457	1.4162	25.5841	48.8713
97	225.401	245.658	37.349	26.8088	9.49798	5.7188	57.7132	1.21846	5.15153	106.419	6.25457	9.54874	2.69797	1.42085	25.5172	48.8419
98	224.526	246.097	37.4917	27.1158	9.51511	5.71545	57.9254	1.22538	5.14072	106.193	6.32352	9.56053	2.7113	1.42547	25.4519	48.8118
99	223.668	246.521	37.6337	27.4215	9.53206	5.71212	58.1334	1.23226	5.13009	105.972	6.3921	9.57181	2.72455	1.43007	25.3881	48.7812
100	222.825	246.932	37.775	27.7258	9.54883	5.70881	58.3374	1.2391	5.11967	105.755	6.4603	9.58257	2.73772	1.43463	25.3259	48.75
