Time	[Vdrum]	[Vdcyc]	[sa4_degraded]	[Srw1]	[Slp1A]	[Puc1]	[IE]	[iIE]	[rum1+]	[cig2+]	[Cdc13]	[cdc13+]	[pCdc13]	[sa161_degraded]	[Cig2p]	[Pyp3]	[iSrw1]	[iSlp1]	[Cig2]	[iCdc10]	[Cdc10]	[Mik1]	[mik1+]	[sa347_degraded]	[Cig1]	[cig1+]	[sa353_degraded]	[Clp1+]	[iWee1]	[Wee1]	[Clp1]	[iCdc25]	[Cdc25]	[Cdc18T]	[cdc18+]	[sa386_degraded]	[preRC]	[postRC]	[repldna]	[irepldna]	[sa370_degraded]	[sa44_degraded]	[Vdc18]	[Cdc13p-Rum1]	[Cig2-Rum1]	[Cig2p-Rum1]	[UDNA]	[Cdc13-Rum1]	[Rum1]
52	0	0	0	0.00123207	0.000292295	0	0.00574694	0	0	0	0.1457	0	0.849562	0	0.0627465	0	0	0	0.141427	0	0.00398353	0.066098	0	0	0.0147161	0	0	0	0	0.952093	0.0149517	0	0.036026	0.0256595	0	0	0	8.85817e-05	0.997465	0	0	0	0	0.0465865	0.000338415	0.000150282	0	0.00797605	0.0125879
53	0	0	0	0.00123729	0.000303021	0	0.00595248	0	0	0	0.149327	0	0.855504	0	0.0618775	0	0	0	0.140341	0	0.0040258	0.0656606	0	0	0.0147188	0	0	0	0	0.949626	0.0149606	0	0.0379206	0.0256204	0	0	0	8.93714e-05	0.997463	0	0	0	0	0.0459679	0.000325773	0.000143767	0	0.00801039	0.0123544
54	0	0	0	0.00124227	0.000315118	0	0.00618398	0	0	0	0.153346	0	0.86091	0	0.0609891	0	0	0	0.139314	0	0.00406666	0.0651592	0	0	0.0147204	0	0	0	0	0.94678	0.0149687	0	0.040117	0.0255761	0	0	0	8.99913e-05	0.997468	0	0	0	0	0.0452891	0.000313208	0.000137242	0	0.00805396	0.0121168
55	0	0	0	0.00124695	0.000328988	0	0.006449	0	0	0	0.157868	0	0.865685	0	0.0600737	0	0	0	0.138351	0	0.00410571	0.0645788	0	0	0.014721	0	0	0	0	0.943435	0.0149763	0	0.0427131	0.0255215	0	0	0	9.04308e-05	0.997483	0	0	0	0	0.0445349	0.000300607	0.000130645	0	0.0081088	0.0118725
56	0	0	0	0.00125129	0.000345212	0	0.00675844	0	0	0	0.163053	0	0.869688	0	0.0591213	0	0	0	0.137463	0	0.00414246	0.0638992	0	0	0.0147204	0	0	0	0	0.93942	0.0149834	0	0.045854	0.0254509	0	0	0	9.06823e-05	0.997507	0	0	0	0	0.0436842	0.000287821	0.0001239	0	0.00817777	0.0116177
57	0	0	0	0.00125521	0.000364655	0	0.00712857	0	0	0	0.169138	0	0.872711	0	0.0581178	0	0	0	0.136662	0	0.00417623	0.0630913	0	0	0.0147187	0	0	0	0	0.93447	0.01499	0	0.0497631	0.0253574	0	0	0	9.07429e-05	0.99754	0	0	0	0	0.042707	0.000274654	0.000116905	0	0.00826491	0.0113473
58	0	0	0	0.00125861	0.000388671	0	0.00758466	0	0	0	0.176483	0	0.874428	0	0.0570433	0	0	0	0.135967	0	0.00420605	0.0621133	0	0	0.0147156	0	0	0	0	0.928171	0.0149963	0	0.0548003	0.0252324	0	0	0	9.06173e-05	0.997585	0	0	0	0	0.0415595	0.000260835	0.000109526	0	0.00837618	0.0110541
59	0	0	0	0.00126133	0.000419477	0	0.00816797	0	0	0	0.185669	0	0.874315	0	0.0558679	0	0	0	0.135406	0	0.00423054	0.060902	0	0	0.0147108	0	0	0	0	0.919837	0.0150024	0	0.0615737	0.0250638	0	0	0	9.03243e-05	0.997641	0	0	0	0	0.0401759	0.000245975	0.000101576	0	0.00852052	0.0107273
60	0	0	0	0.00126315	0.00046092	0	0.0089496	0	0	0	0.197672	0	0.871479	0	0.0545462	0	0	0	0.135024	0	0.00424762	0.0593595	0	0	0.0147041	0	0	0	0	0.908277	0.0150085	0	0.0711682	0.0248339	0	0	0	8.99092e-05	0.997712	0	0	0	0	0.0384547	0.000229507	9.27931e-05	0	0.00871168	0.0103505
61	0	0	0	0.00126373	0.00052015	0	0.0100603	0	0	0	0.214221	0	0.864318	0	0.0530056	0	0	0	0.13489	0	0.0042541	0.0573309	0	0	0.0146945	0	0	0	0	0.891305	0.0150147	0	0.0856356	0.0245155	0	0	0	8.94682e-05	0.997798	0	0	0	0	0.0362367	0.000210601	8.28235e-05	0	0.00897109	0.00989812
62	0	0	0	0.00126256	0.000611535	0	0.011758	0	0	0	0.238543	0	0.849795	0	0.0511277	0	0	0	0.13512	0	0.00424496	0.0545692	0	0	0.0146807	0	0	0	0	0.864702	0.0150213	0	0.10907	0.0240637	0	0	0	8.91935e-05	0.997903	0	0	0	0	0.0332754	0.000188093	7.12269e-05	0	0.00933121	0.00933127
63	0	0	0	0.00125898	0.000766537	0	0.0145896	0	0	0	0.276888	0	0.821922	0	0.0487175	0	0	0	0.135901	0	0.00421252	0.0507014	0	0	0.0146599	0	0	0	0	0.819988	0.015029	0	0.149945	0.0234023	0	0	0	8.9443e-05	0.998028	0	0	0	0	0.0292217	0.000160651	5.76309e-05	0	0.00983571	0.00859546
64	0	0	0	0.00125266	0.00106032	0	0.0197804	0	0	0	0.34132	0	0.768855	0	0.045474	0	0	0	0.137515	0	0.00414612	0.0452729	0	0	0.0146261	0	0	0	0	0.739964	0.0150391	0	0.225786	0.0224012	0	0	0	9.07766e-05	0.998175	0	0	0	0	0.0237168	0.000127714	4.22594e-05	0	0.0105214	0.00763621
65	0	0	0	0.00124593	0.00168677	0	0.0300861	0	0	0	0.453151	0	0.669051	0	0.0410233	0	0	0	0.140292	0	0.00403573	0.0380854	0	0	0.0145654	0	0	0	0	0.591549	0.0150545	0	0.370524	0.0208573	0	0	0	9.36701e-05	0.998342	0	0	0	0	0.0167785	9.17388e-05	2.68394e-05	0	0.0113585	0.00645982
66	0	0	0	0.00125205	0.00318185	0	0.0510882	0	0	0	0.640507	0	0.492948	0	0.035161	0	0	0	0.144328	0	0.00388396	0.0299215	0	0	0.0144423	0	0	0	0	0.322677	0.0150826	0	0.638218	0.0185402	0	0	0	9.72323e-05	0.998527	0	0	0	0	0.00937744	5.94331e-05	1.44846e-05	0	0.0121804	0.0052209
67	0	0	0	0.001324	0.00718625	0	0.0910124	0	0	0	0.897912	0	0.242575	0	0.0283663	0	0	0	0.148871	0	0.00372382	0.0228793	0	0	0.0141601	0	0	0	0	0.0136715	0.0151443	0	0.982377	0.0154528	0	0	0	9.6881e-05	0.998721	0	0	0	0	0.00344048	3.79039e-05	7.22443e-06	0	0.0127324	0.00422391
68	0	0	0	0.0016481	0.0185432	0	0.149552	0	0	0	1.03984	0	0.0960161	0	0.0227425	0	0	0	0.151047	0	0.00364676	0.0200256	0	0	0.0134481	0	0	0	0	0.00931087	0.0153019	0	0.99055	0.0124947	0	0	0	8.35695e-05	0.998903	0	0	0	0	0.0011953	3.10896e-05	4.68221e-06	0	0.0129426	0.00386981
