Time	[dihydrofolate free]	[dihydrofolate bound]	[dihydrofolate reductase free]	[dihydrofolate reductase total]	[tetrahydrofolate]	[5-methyl-tetrahydrofolate]	[10-formyl-tetrahydrofolate]	[10-formyl-dihydrofolate]	[HCHO]	[FGAR]	[AICAR]	[MTX1]	[MTX2]	[MTX3]	[MTX4]	[MTX5]	[MTX1b]	[MTX2b]	[MTX3b]	[MTX4b]	[MTX5b]	[EMTX]	[dUMP]	[GAR]	[serine]	[formate]	[ATP]	[glutamine]	[glycine]	[NADP]	[NADPH]	[homocysteine]
31	0.00121243	0.00241931	0.638536	0.640955	0.459582	1.6296	1.00079	0.000329614	0.00737924	16.5012	3.69501	4.6788e-27	-3.14983e-27	1.37742e-27	-4.72866e-28	-5.08059e-33	1.69828e-22	-1.98107e-22	2.52121e-22	-1.09371e-22	-2.06929e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
32	0.0012125	0.00241935	0.638507	0.640927	0.459593	1.62964	1.00081	0.000329635	0.00737922	16.5015	3.69501	4.31126e-27	-3.11308e-27	1.24881e-27	-4.72892e-28	-5.27728e-33	1.78318e-22	-1.95844e-22	2.33932e-22	-1.09372e-22	-2.15681e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
33	0.00121258	0.0024194	0.63848	0.640899	0.459604	1.62967	1.00083	0.000329655	0.00737919	16.5019	3.69501	4.15433e-27	-3.08384e-27	1.18957e-27	-4.72887e-28	-5.47404e-33	1.85118e-22	-1.94026e-22	2.1831e-22	-1.09366e-22	-2.24437e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
34	0.00121265	0.00241944	0.638454	0.640873	0.459615	1.6297	1.00086	0.000329675	0.00737916	16.5023	3.695	4.29465e-27	-3.06267e-27	1.21523e-27	-4.72865e-28	-5.67082e-33	1.90135e-22	-1.92679e-22	2.06035e-22	-1.09356e-22	-2.33195e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
35	0.00121272	0.00241949	0.638428	0.640847	0.459626	1.62974	1.00088	0.000329695	0.00737914	16.5026	3.695	4.81883e-27	-3.05016e-27	1.34132e-27	-4.72845e-28	-5.86758e-33	1.93276e-22	-1.9183e-22	1.97886e-22	-1.09347e-22	-2.41951e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
36	0.00121279	0.00241953	0.638403	0.640822	0.459637	1.62977	1.0009	0.000329714	0.00737911	16.503	3.695	5.8135e-27	-3.04687e-27	1.58337e-27	-4.72843e-28	-6.06427e-33	1.94451e-22	-1.91506e-22	1.94644e-22	-1.09343e-22	-2.50702e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
37	0.00121286	0.00241958	0.638378	0.640798	0.459648	1.6298	1.00092	0.000329733	0.00737908	16.5034	3.695	6.15067e-27	-3.04033e-27	1.53686e-27	-4.72788e-28	-6.2611e-33	1.96089e-22	-1.91051e-22	1.80685e-22	-1.09326e-22	-2.59462e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
38	0.00121293	0.00241962	0.638355	0.640775	0.459659	1.62984	1.00095	0.000329751	0.00737906	16.5037	3.695	6.32589e-27	-3.03551e-27	1.35875e-27	-4.72727e-28	-6.45793e-33	1.9725e-22	-1.90723e-22	1.6231e-22	-1.09307e-22	-2.68222e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
39	0.001213	0.00241967	0.638332	0.640752	0.45967	1.62987	1.00097	0.000329769	0.00737903	16.5041	3.695	6.40267e-27	-3.03274e-27	1.05657e-27	-4.72674e-28	-6.65473e-33	1.97889e-22	-1.90535e-22	1.39988e-22	-1.09291e-22	-2.76979e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
40	0.00121306	0.00241971	0.63831	0.64073	0.459681	1.6299	1.00099	0.000329787	0.007379	16.5044	3.69499	6.35077e-27	-3.03132e-27	6.05416e-28	-4.72638e-28	-6.85146e-33	1.98155e-22	-1.90447e-22	1.1292e-22	-1.09279e-22	-2.85733e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
41	0.00121312	0.00241976	0.638288	0.640708	0.459692	1.62994	1.00102	0.000329804	0.00737897	16.5048	3.69499	6.13991e-27	-3.03058e-27	-1.959e-29	-4.72628e-28	-7.0481e-33	1.982e-22	-1.90422e-22	8.03074e-23	-1.09273e-22	-2.94481e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
42	0.00121319	0.0024198	0.638267	0.640687	0.459704	1.62997	1.00104	0.000329822	0.00737895	16.5052	3.69499	6.03055e-27	-3.0316e-27	-3.35719e-28	-4.72603e-28	-7.24478e-33	1.97874e-22	-1.90493e-22	5.29807e-23	-1.09263e-22	-3.03231e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
43	0.00121325	0.00241985	0.638247	0.640667	0.459715	1.63	1.00106	0.000329838	0.00737892	16.5055	3.69499	6.00206e-27	-3.03374e-27	-3.51034e-28	-4.7257e-28	-7.44148e-33	1.97318e-22	-1.90624e-22	3.05267e-23	-1.09252e-22	-3.11982e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
44	0.00121331	0.00241989	0.638227	0.640647	0.459726	1.63004	1.00108	0.000329855	0.00737889	16.5059	3.69499	5.97753e-27	-3.03605e-27	-1.71921e-28	-4.72545e-28	-7.63815e-33	1.96729e-22	-1.90765e-22	1.02798e-23	-1.09243e-22	-3.20731e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
45	0.00121337	0.00241994	0.638208	0.640628	0.459737	1.63007	1.00111	0.000329871	0.00737887	16.5062	3.69499	5.96341e-27	-3.03807e-27	2.40852e-28	-4.7253e-28	-7.83478e-33	1.96221e-22	-1.90886e-22	-7.0897e-24	-1.09237e-22	-3.29478e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
46	0.00121342	0.00241998	0.63819	0.64061	0.459748	1.6301	1.00113	0.000329887	0.00737884	16.5066	3.69499	5.96617e-27	-3.03933e-27	9.26516e-28	-4.72528e-28	-8.03136e-33	1.95906e-22	-1.90958e-22	-2.09114e-23	-1.09233e-22	-3.38223e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
47	0.00121348	0.00242003	0.638172	0.640592	0.459759	1.63014	1.00115	0.000329902	0.00737881	16.507	3.69498	5.94535e-27	-3.04194e-27	1.08137e-27	-4.72519e-28	-8.22797e-33	1.95257e-22	-1.91117e-22	-3.63734e-23	-1.09228e-22	-3.46968e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
48	0.00121354	0.00242007	0.638154	0.640574	0.45977	1.63017	1.00117	0.000329918	0.00737879	16.5073	3.69498	5.93806e-27	-3.04377e-27	1.29496e-27	-4.7252e-28	-8.42455e-33	1.94804e-22	-1.91226e-22	-4.89806e-23	-1.09225e-22	-3.55711e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
