Time	[ Inactive Cyclin:CDK complex]	[Active Cyclin:CDK complex]	[Total CDK]	[Free CDK]	[Unphosphorylated CDC25]	[One-site phosphorylated CDC25]	[Two-site phosphorylated CDC25]	[Unphosphorylated wee1]	[phosphorylated wee1]	[Active SKP2 or APC]	[Free CKI]	[Cyclin:CDK:CKI complex with CKI unphosphorylated]	[Cyclin:CDK:CKI complex with CKI phosphorylated]	[Free cyclin]	[totalCyclin]
63	26.375	0.250832	200	0.866871	96.8335	3.06923	0.0972664	9.69187	0.308133	0.0941885	0	0	0	30.5384	57.1643
64	26.7841	0.264421	200	0.864757	96.7126	3.18274	0.104706	9.68041	0.319592	0.0906572	0	0	0	31.0911	58.1396
65	27.1846	0.280152	200	0.862676	96.573	3.31341	0.113615	9.66721	0.332792	0.0872831	0	0	0	31.6361	59.1008
66	27.5743	0.298987	200	0.860634	96.4066	3.46875	0.124681	9.6515	0.348498	0.0840648	0	0	0	32.171	60.0442
67	27.9497	0.322741	200	0.858638	96.1981	3.6627	0.139215	9.63187	0.368128	0.0810035	0	0	0	32.6918	60.9643
68	28.3042	0.355428	200	0.856702	95.9144	3.92542	0.160153	9.60524	0.394763	0.0781057	0	0	0	33.1916	61.8513
69	28.6205	0.408556	200	0.854855	95.4635	4.34044	0.196077	9.56304	0.436962	0.0753935	0	0	0	33.6532	62.6823
70	28.8271	0.536814	200	0.85318	94.4347	5.27597	0.289305	9.46723	0.532773	0.0729534	0	0	0	34.0094	63.3734
71	27.3277	2.27415	200	0.851991	84.4983	13.5887	1.9129	8.55762	1.44238	0.0722835	0	0	0	32.9837	62.5856
72	5.30969	17.476	200	0.886072	21.4391	30.1076	48.4533	3.84135	6.15865	0.103476	0	0	0	12.5108	35.2964
73	5.27165	16.1382	200	0.89295	23.5387	30.7815	45.6797	4.03164	5.96836	0.136519	0	0	0	11.8799	33.2898
74	5.244	14.9667	200	0.898946	25.583	31.3075	43.1095	4.21312	5.78688	0.167936	0	0	0	11.3418	31.5525
75	5.23401	13.9298	200	0.904181	27.6191	31.7144	40.6665	4.38789	5.61211	0.197763	0	0	0	10.8879	30.0517
76	5.23943	13.0019	200	0.908793	29.649	32.0135	38.3375	4.55704	5.44296	0.226031	0	0	0	10.5023	28.7436
77	5.25872	12.1631	200	0.912891	31.6753	32.2138	36.1109	4.72153	5.27847	0.252772	0	0	0	10.1735	27.5953
78	5.29089	11.398	200	0.916556	33.7013	32.3226	33.9761	4.88226	5.11774	0.27801	0	0	0	9.89255	26.5814
79	5.33542	10.6939	200	0.919853	35.7319	32.3454	31.9227	5.04009	4.95991	0.301765	0	0	0	9.65282	25.6822
80	5.39216	10.0406	200	0.922836	37.7729	32.2862	29.9409	5.19592	4.80408	0.324054	0	0	0	9.44923	24.882
81	5.46146	9.42909	200	0.925547	39.8324	32.1471	28.0205	5.35072	4.64928	0.344885	0	0	0	9.27802	24.1686
