Time	[IR]	[IRp]	[IRins]	[IRip]	[IRi]	[IRS1]	[IRS1p]	[IRS1p307]	[IRS1307]	[X]	[Xp]	[PKB]	[PKB308p]	[PKB473p]	[PKB308p473p]	[mTORC1]	[mTORC1a]	[mTORC2]	[mTORC2a]	[AS160]	[AS160p]	[GLUT4m]	[GLUT4]	[S6K]	[S6Kp]	[S6]	[S6p]
60	5.9409	0.0191547	42.8967	0.0575497	1.0857	81.5209	0.00402352	0.467884	18.0072	99.9944	0.00560938	22.6509	14.3139	55.1336	7.90155	61.808	38.192	99.5366	0.463401	56.718	43.282	24.5577	25.4423	98.0965	1.9035	83.0289	16.9711
61	5.9409	0.0191547	42.8967	0.0575495	1.0857	81.5209	0.00402351	0.46788	18.0072	99.9944	0.00560941	22.6511	14.3139	55.1335	7.90147	61.8082	38.1918	99.5366	0.463398	56.7181	43.2819	24.5577	25.4423	98.0927	1.90733	83.0005	16.9995
62	5.9409	0.0191547	42.8967	0.0575493	1.0857	81.521	0.0040235	0.467876	18.0071	99.9944	0.00560943	22.6512	14.314	55.1334	7.9014	61.8084	38.1916	99.5366	0.463396	56.7182	43.2818	24.5576	25.4424	98.089	1.91099	82.9734	17.0266
63	5.9409	0.0191547	42.8967	0.0575491	1.0857	81.5211	0.00402349	0.467873	18.007	99.9944	0.00560944	22.6513	14.314	55.1333	7.90134	61.8086	38.1914	99.5366	0.463395	56.7183	43.2817	24.5576	25.4424	98.0855	1.91449	82.9475	17.0525
64	5.9409	0.0191547	42.8967	0.057549	1.0857	81.5211	0.00402349	0.46787	18.007	99.9944	0.00560946	22.6514	14.3141	55.1333	7.90128	61.8088	38.1912	99.5366	0.463393	56.7184	43.2816	24.5576	25.4424	98.0822	1.91784	82.9228	17.0772
65	5.9409	0.0191547	42.8967	0.0575488	1.0857	81.5212	0.00402348	0.467868	18.0069	99.9944	0.00560947	22.6515	14.3141	55.1332	7.90124	61.8089	38.1911	99.5366	0.463392	56.7185	43.2815	24.5576	25.4424	98.079	1.92103	82.8991	17.1009
66	5.9409	0.0191547	42.8967	0.0575487	1.0857	81.5212	0.00402348	0.467866	18.0069	99.9944	0.00560948	22.6515	14.3141	55.1332	7.9012	61.809	38.191	99.5366	0.463391	56.7185	43.2815	24.5575	25.4425	98.0759	1.92409	82.8766	17.1234
67	5.9409	0.0191547	42.8967	0.0575486	1.0857	81.5212	0.00402347	0.467865	18.0069	99.9944	0.00560949	22.6516	14.3141	55.1331	7.90117	61.8091	38.1909	99.5366	0.46339	56.7186	43.2814	24.5575	25.4425	98.073	1.92701	82.855	17.145
68	5.9409	0.0191547	42.8967	0.0575485	1.0857	81.5213	0.00402347	0.467863	18.0068	99.9944	0.0056095	22.6516	14.3142	55.1331	7.90114	61.8092	38.1908	99.5366	0.463389	56.7186	43.2814	24.5575	25.4425	98.0702	1.9298	82.8344	17.1656
69	5.9409	0.0191547	42.8967	0.0575485	1.0857	81.5213	0.00402347	0.467862	18.0068	99.9944	0.0056095	22.6517	14.3142	55.133	7.90112	61.8092	38.1908	99.5366	0.463389	56.7186	43.2814	24.5575	25.4425	98.0675	1.93246	82.8148	17.1852
70	5.9409	0.0191547	42.8967	0.0575484	1.0857	81.5213	0.00402346	0.467861	18.0068	99.9944	0.00560951	22.6517	14.3142	55.133	7.9011	61.8093	38.1907	99.5366	0.463388	56.7187	43.2813	24.5575	25.4425	98.065	1.93501	82.796	17.204
71	5.9409	0.0191547	42.8967	0.0575484	1.0857	81.5213	0.00402346	0.467861	18.0068	99.9944	0.00560951	22.6517	14.3142	55.133	7.90108	61.8093	38.1907	99.5366	0.463388	56.7187	43.2813	24.5575	25.4425	98.0626	1.93745	82.778	17.222
72	5.9409	0.0191547	42.8967	0.0575483	1.0857	81.5213	0.00402346	0.46786	18.0068	99.9944	0.00560952	22.6517	14.3142	55.133	7.90107	61.8094	38.1906	99.5366	0.463387	56.7187	43.2813	24.5575	25.4425	98.0602	1.93977	82.7609	17.2391
73	5.9409	0.0191547	42.8967	0.0575483	1.0857	81.5214	0.00402346	0.467859	18.0068	99.9944	0.00560952	22.6518	14.3142	55.133	7.90106	61.8094	38.1906	99.5366	0.463387	56.7187	43.2813	24.5575	25.4425	98.058	1.942	82.7445	17.2555
74	5.9409	0.0191547	42.8967	0.0575483	1.0857	81.5214	0.00402346	0.467859	18.0068	99.9944	0.00560952	22.6518	14.3142	55.1329	7.90105	61.8094	38.1906	99.5366	0.463387	56.7187	43.2813	24.5575	25.4425	98.0559	1.94412	82.7289	17.2711
75	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402346	0.467858	18.0067	99.9944	0.00560953	22.6518	14.3142	55.1329	7.90104	61.8094	38.1906	99.5366	0.463387	56.7188	43.2812	24.5575	25.4425	98.0538	1.94615	82.714	17.286
76	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402346	0.467858	18.0067	99.9944	0.00560953	22.6518	14.3142	55.1329	7.90103	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0519	1.94809	82.6997	17.3003
77	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402345	0.467858	18.0067	99.9944	0.00560953	22.6518	14.3142	55.1329	7.90102	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0501	1.94995	82.686	17.314
