Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[Gly_e]	[ATP_c]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[CO2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
48	0.34411	4.95318	0.54401	2.65889	1.98375	0.54497	1.2381	3.84367	0.19161	0	1	0	2.34861	0.166347	0.0352696	5	0.0349099	1.37548	0	3.95619	10.5863	0.121301	0	0	0.0468234	17.0725	1.01986	3.47224	1055.76	0.313288	0.0438084
49	0.34411	4.95318	0.544009	2.65889	1.98375	0.544971	1.2381	3.84368	0.191611	0	1	0	2.34861	0.166348	0.0352697	5	0.03491	1.37549	0	3.95619	10.5863	0.121301	0	0	0.0468233	17.0725	1.01986	3.47224	1055.77	0.313287	0.0438084
50	0.344111	4.95318	0.544008	2.6589	1.98375	0.544972	1.2381	3.84369	0.191611	0	1	0	2.34861	0.166348	0.0352697	5	0.0349101	1.37549	0	3.95619	10.5863	0.121301	0	0	0.0468232	17.0725	1.01986	3.47224	1055.77	0.313286	0.0438083
51	0.344111	4.95318	0.544007	2.6589	1.98375	0.544972	1.2381	3.8437	0.191611	0	1	0	2.34862	0.166348	0.0352698	5	0.0349101	1.37549	0	3.95619	10.5863	0.121301	0	0	0.0468231	17.0724	1.01986	3.47224	1055.77	0.313285	0.0438083
52	0.344112	4.95318	0.544006	2.6589	1.98375	0.544973	1.2381	3.84371	0.191611	0	1	0	2.34862	0.166348	0.0352698	5	0.0349101	1.3755	0	3.95619	10.5863	0.121301	0	0	0.046823	17.0724	1.01987	3.47225	1055.77	0.313285	0.0438083
53	0.344112	4.95318	0.544006	2.6589	1.98375	0.544973	1.2381	3.84371	0.191611	0	1	0	2.34862	0.166349	0.0352698	5	0.0349102	1.3755	0	3.95619	10.5863	0.121301	0	0	0.046823	17.0724	1.01987	3.47225	1055.78	0.313285	0.0438082
54	0.344112	4.95318	0.544005	2.6589	1.98375	0.544974	1.2381	3.84372	0.191612	0	1	0	2.34862	0.166349	0.0352698	5	0.0349102	1.3755	0	3.95619	10.5864	0.121301	0	0	0.0468229	17.0724	1.01987	3.47225	1055.78	0.313284	0.0438082
55	0.344112	4.95318	0.544005	2.6589	1.98375	0.544974	1.2381	3.84372	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349102	1.3755	0	3.95619	10.5864	0.121301	0	0	0.0468229	17.0724	1.01987	3.47225	1055.78	0.313284	0.0438082
56	0.344112	4.95318	0.544004	2.6589	1.98375	0.544974	1.2381	3.84372	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349102	1.3755	0	3.95619	10.5864	0.121301	0	0	0.0468229	17.0724	1.01987	3.47225	1055.78	0.313284	0.0438082
57	0.344112	4.95318	0.544004	2.6589	1.98375	0.544974	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349102	1.3755	0	3.95619	10.5864	0.121301	0	0	0.0468229	17.0724	1.01987	3.47225	1055.78	0.313284	0.0438082
58	0.344113	4.95318	0.544004	2.6589	1.98375	0.544974	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349102	1.3755	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438082
59	0.344113	4.95318	0.544004	2.6589	1.98375	0.544974	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349102	1.3755	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438082
60	0.344113	4.95318	0.544004	2.6589	1.98375	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349102	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438082
61	0.344113	4.95318	0.544004	2.6589	1.98375	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438082
62	0.344113	4.95318	0.544004	2.6589	1.98375	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438082
63	0.344113	4.95318	0.544004	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438082
