Time	[cABAR_m]	[cPP2C]	[cSnRK2]	[cs]	[cCOP1c]	[cCOP1d]	[cCOP1n]	[cE3]	[cE3_m]	[cE3n]	[cE4]	[cE4_m]	[cEC]	[cEG]	[cG]	[cG_m]	[cL]	[cLUX]	[cLUX_m]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cZG]	[cZTL]
59	1.02459	0.213192	0.402827	0.47698	0.802121	0.84123	0.381002	0.0333178	0.284511	0.00384288	0.96808	1.4878	0.00118073	0.0475836	0.2358	1.80908	0.202962	1.74177	1.34773	0.0143447	0.167921	1.26891	1.18652	1.62504e-05	1.09935	0.690852	0.258207	0.0722253	0.174795	0.35499	0.595985	0.0489366
60	0.897675	0.215399	0.415316	0.463535	0.804027	0.780909	0.388002	0.0391242	0.340117	0.00426091	1.21805	1.63755	0.00172678	0.0582746	0.240923	1.81353	0.163062	2.28085	1.49261	0.0113034	0.145101	1.23897	1.0732	0.00508488	0.871523	0.496821	0.220359	0.058206	0.244031	0.452093	0.656407	0.0497112
61	0.755996	0.225061	0.42317	0.378615	0.939122	0.220989	0.474089	0.0414801	0.391144	0.00407563	1.42667	1.64799	0.00487633	0.0865514	0.263443	1.62097	0.131554	2.71105	1.44396	0.0146075	0.12388	0.790632	0.884533	0.258961	0.453427	0.349199	0.170061	0.044913	0.292224	0.500454	0.551119	0.175663
62	0.623337	0.244022	0.424012	0.318201	1.04129	0.0831139	0.568415	0.0523655	0.434604	0.00591167	1.56469	1.56024	0.00942633	0.111171	0.217434	1.37532	0.108732	2.94116	1.26769	0.0225077	0.104868	0.551541	0.680798	0.451024	0.268311	0.243045	0.130826	0.034304	0.322238	0.495756	0.460333	0.239272
63	0.511564	0.273234	0.4156	0.276826	1.11699	0.0541733	0.661564	0.0675883	0.468992	0.0094426	1.62481	1.41894	0.0168138	0.11833	0.166919	1.11973	0.0936488	2.96629	1.04706	0.036073	0.0883274	0.401219	0.515478	0.593309	0.172312	0.168673	0.100675	0.0267408	0.33059	0.456164	0.384503	0.267989
64	0.426263	0.311844	0.396852	0.25006	1.17306	0.0518939	0.749623	0.086823	0.494246	0.0157048	1.61274	1.25266	0.028362	0.111512	0.121722	0.880601	0.0860068	2.82591	0.830621	0.0569009	0.0742719	0.297842	0.391254	0.698716	0.115467	0.117376	0.0777836	0.0214333	0.31994	0.398219	0.321164	0.278578
65	0.370424	0.356467	0.36891	0.23515	1.2146	0.0558385	0.830457	0.109513	0.510871	0.026416	1.53918	1.07913	0.045487	0.0979577	0.0855949	0.675702	0.0862056	2.5732	0.642612	0.0878308	0.0626092	0.224107	0.299408	0.776803	0.0792313	0.0825008	0.0605631	0.0176336	0.295738	0.335045	0.268258	0.280069
66	0.347643	0.401232	0.33542	0.230165	1.24537	0.0608935	0.903111	0.133732	0.519066	0.0434074	1.41686	0.910875	0.0687676	0.0820013	0.0594557	0.513882	0.0954744	2.25819	0.490724	0.13342	0.0532631	0.170553	0.231292	0.834652	0.0554884	0.0594012	0.0476751	0.0148909	0.263766	0.274827	0.224068	0.277279
67	0.363092	0.438647	0.301561	0.233213	1.26817	0.0657733	0.967391	0.156149	0.51786	0.0675504	1.2608	0.757664	0.096373	0.0665333	0.042129	0.395407	0.116064	1.92186	0.3738	0.200419	0.046311	0.131218	0.180698	0.877507	0.0401384	0.0452471	0.0381048	0.013068	0.228828	0.221622	0.187158	0.272733
68	0.420171	0.461448	0.272314	0.241896	1.28506	0.0701666	1.02357	0.173043	0.504385	0.0980838	1.08828	0.62464	0.123552	0.0534033	0.0312634	0.312354	0.151402	1.59541	0.286296	0.297788	0.0421756	0.102297	0.143957	0.909255	0.031152	0.0391457	0.0311767	0.0122304	0.194304	0.176652	0.156327	0.267722
69	0.513853	0.465819	0.250957	0.253339	1.29757	0.0740214	1.0722	0.181411	0.474175	0.132779	0.915727	0.51079	0.144492	0.0429434	0.0244433	0.252489	0.2059	1.29975	0.220831	0.434502	0.0418802	0.0816115	0.119768	0.932774	0.0282097	0.0429022	0.0265036	0.0125185	0.162209	0.13952	0.130575	0.262868
70	0.628989	0.453696	0.238483	0.264772	1.30684	0.0773592	1.11396	0.179524	0.424351	0.168154	0.755207	0.41168	0.154994	0.0344045	0.0198579	0.204762	0.283632	1.04534	0.17042	0.610967	0.0471928	0.0684241	0.109487	0.950198	0.0331092	0.062239	0.0238908	0.0140143	0.133512	0.109242	0.109066	0.258448
71	0.747482	0.430752	0.2341	0.274179	1.31371	0.0802244	1.1496	0.167642	0.358933	0.199833	0.613335	0.324996	0.153896	0.0270334	0.0164872	0.16407	0.384539	0.834215	0.130543	0.800866	0.060093	0.0635714	0.117732	0.963106	0.0501044	0.106238	0.0232016	0.0165975	0.108539	0.0848662	0.0910993	0.254555
72	0.855961	0.402667	0.236249	0.284307	1.31427	0.407366	0.843858	0.148516	0.289258	0.223259	0.492746	0.252863	0.141884	0.0206066	0.0137267	0.155441	0.500769	0.663423	0.0996072	0.954965	0.0811472	0.0699013	0.150333	0.955925	0.0850192	0.181427	0.0250998	0.0664084	0.0873475	0.0656081	0.0768279	0.25047
73	0.949713	0.373378	0.243358	0.439082	1.11471	1.31006	0.0269052	0.114259	0.21737	0.193039	0.388068	0.193804	0.0897964	0.0201657	0.0240547	0.315149	0.761303	0.531524	0.0760114	1.10205	0.114055	0.119037	0.212835	0.35794	0.18572	0.325373	0.422706	1.05938	0.0714455	0.0505975	0.116906	0.206012
74	1.02547	0.345153	0.254147	0.511084	0.990884	1.34763	0.0538232	0.0901902	0.156945	0.162808	0.311324	0.154528	0.0574384	0.0125447	0.0160356	0.189827	0.913441	0.429816	0.0618253	0.825876	0.1539	0.184303	0.313441	0.131679	0.367237	0.612206	0.796939	0.804169	0.0574356	0.0393558	0.145159	0.189822
75	1.0833	0.319238	0.267632	0.540756	0.915777	1.3378	0.0968662	0.0727968	0.116632	0.141994	0.256042	0.139418	0.0390805	0.00789635	0.0133564	0.159847	0.929701	0.353152	0.058646	0.550162	0.190053	0.277425	0.462352	0.0484418	0.635033	0.919988	0.898644	0.476682	0.0458057	0.031552	0.159793	0.18943
76	1.12577	0.296165	0.283048	0.54937	0.870222	1.29159	0.152396	0.0579102	0.0937782	0.120926	0.220709	0.149824	0.0267132	0.00700634	0.015967	0.192363	0.857817	0.30105	0.0684583	0.348016	0.218234	0.407468	0.65167	0.0178207	0.927963	1.1677	0.837128	0.273801	0.0368566	0.0271313	0.173492	0.188746
