Time	[R]	[ins]	[IR]	[I2R]	[Rp]	[IRp]	[I2Rp]	[Ren]	[IRen]	[I2Ren]	[RPen]	[IRPen]	[I2RPen]
73	0.104887	100	3.16781	7.71783	0.0245432	6.8744	17.13	4.20056	0.075887	0.106829	0.0104775	0.225441	0.361377
74	0.102296	100	3.12229	7.61325	0.0247444	6.91426	17.2336	4.19437	0.0766663	0.108104	0.0108364	0.230318	0.369266
75	0.0999276	100	3.0781	7.51113	0.0249412	6.95306	17.3342	4.18819	0.0774571	0.10938	0.0112017	0.23522	0.377152
76	0.0977599	100	3.03517	7.41143	0.0251335	6.99084	17.432	4.18203	0.0782596	0.110659	0.0115733	0.240146	0.385036
77	0.0957744	100	2.99348	7.31409	0.0253215	7.0276	17.5269	4.17588	0.0790741	0.11194	0.0119513	0.245098	0.392915
78	0.0939543	100	2.95297	7.2191	0.0255051	7.06337	17.619	4.16974	0.0799005	0.113225	0.0123356	0.250072	0.400788
79	0.0922843	100	2.91361	7.1264	0.0256845	7.09817	17.7085	4.16361	0.0807391	0.114513	0.0127262	0.255071	0.408653
80	0.0907504	100	2.87535	7.03596	0.0258598	7.13203	17.7954	4.1575	0.08159	0.115804	0.0131231	0.260092	0.416509
81	0.0893402	100	2.83818	6.94773	0.0260309	7.16496	17.8798	4.15141	0.0824532	0.1171	0.0135262	0.265135	0.424356
82	0.0880422	100	2.80204	6.86167	0.026198	7.19697	17.9617	4.14532	0.0833287	0.118399	0.0139357	0.270201	0.432192
83	0.0868462	100	2.7669	6.77774	0.0263611	7.22811	18.0412	4.13926	0.0842168	0.119703	0.0143514	0.275287	0.440015
84	0.0857427	100	2.73274	6.69589	0.0265203	7.25837	18.1184	4.1332	0.0851173	0.121012	0.0147733	0.280395	0.447825
85	0.0847234	100	2.69952	6.61609	0.0266757	7.28779	18.1933	4.12716	0.0860304	0.122326	0.0152014	0.285524	0.455621
86	0.0837806	100	2.66722	6.53828	0.0268273	7.31638	18.2661	4.12113	0.0869562	0.123645	0.0156358	0.290672	0.463401
87	0.0829073	100	2.6358	6.46242	0.0269752	7.34416	18.3367	4.11512	0.0878946	0.124968	0.0160763	0.295841	0.471166
88	0.0820973	100	2.60524	6.38847	0.0271195	7.37115	18.4052	4.10912	0.0888456	0.126297	0.016523	0.301029	0.478913
89	0.0813448	100	2.57551	6.31639	0.0272603	7.39737	18.4717	4.10313	0.0898093	0.127632	0.0169758	0.306235	0.486643
