Time	[RasGTP_Golgi_GM]	[EGF_EC]	[CAPRI_cyt]	[serca]	[PIP_PM]	[PI_PM]	[Shc_PM]	[CaCAPRI_PM_PM]	[RactCa]	[Shc_star_PM]	[EGFR_PM]	[PLC_act_PM]	[RasGTP_pal_cyt]	[PLC_PM]	[PIP2_PM]	[Activated_EGFR_PM]	[Ca]	[Ract]	[Rinh]	[RinhCa]	[IP3]	[RasGDP_Golgi_GM]	[Ca_RasGRP_GM_GM]	[DAG_GM_GM]	[RasGRP_DAG_GM]	[CaCAPRI_cyt]	[DAG_PM]	[RasGTP_depal_cyt]	[RasGDP_depal_cyt]	[RasGDP_pal_cyt]	[Ca_PLCe_cyt]	[Ras_CaPLCe_GM]	[PIP2_GM_GM]	[ER_erMembrane]	[Ca_ER]	[Sos_cyt]	[Grb2_cyt]	[PLCe_cyt]	[buffer_cyt]	[ca_buffer_cyt]	[SosGrb2_cyt]	[SGS_PM]	[RasGTP_PM]	[RasGDP_PM]	[RasGRP_cyt]	[CaRasGRP1_cyt]
56	0.00113759	4.02136	28.2997	45	4635.19	129310	181.635	1.69105	4.32324	0.0381163	15.8434	1.33139	0.0196502	98.6686	113.75	4.83807	74.3863	6.99676	5.15269	6.16731	234.471	18.9791	0.00258456	0.0787335	0.0101614	0.76071	14726.6	0.000486994	1.58769	18.6365	3.31367	8.8501e-05	250	2	110109	80.1109	501.511	8.72632	74.3616	46.0384	97.8294	4.32652	0.547259	369.004	29.3263	0.773111
57	0.00123474	4.02136	28.3311	45	4467.1	129306	181.509	1.6725	4.23167	0.039052	15.7864	1.3465	0.0206186	98.6535	109.156	4.88537	71.8697	7.08833	5.24147	6.07853	227.862	18.8246	0.00250434	0.0843414	0.011086	0.740714	14903.9	0.000516982	1.60402	18.6351	3.23414	9.39784e-05	250	2	110404	80.0858	501.486	8.80586	75.3332	45.0668	97.7774	4.45178	0.571162	368.966	29.3503	0.748985
58	0.00133803	4.02136	28.364	45	4303.69	129302	181.382	1.6519	4.1373	0.0399924	15.7302	1.3613	0.0216154	98.6387	104.723	4.93173	69.3434	7.1827	5.33296	5.98704	221.3	18.6772	0.00242431	0.0901098	0.0120561	0.720533	15075.9	0.000548205	1.62012	18.6336	3.15302	9.95355e-05	250	2	110703	80.0605	501.46	8.88698	76.3342	44.0658	97.7252	4.57787	0.595724	368.928	29.3744	0.724902
59	0.00144771	4.02136	28.3982	45	4144.95	129298	181.254	1.62942	4.04007	0.0409372	15.6749	1.37582	0.0226413	98.6242	100.446	4.97717	66.8091	7.27993	5.42755	5.89245	214.798	18.5366	0.00234425	0.0960196	0.0130714	0.700124	15242.6	0.000580695	1.63599	18.6319	3.07014	0.000105137	250	2	111005	80.0349	501.435	8.96985	77.3657	43.0343	97.6728	4.70478	0.620961	368.889	29.3984	0.700793
60	0.00156405	4.02136	28.4337	45	3990.85	129295	181.126	1.60518	3.9401	0.0418863	15.6204	1.39004	0.0236968	98.61	96.3217	5.0217	64.2728	7.3799	5.5255	5.7945	208.364	18.4025	0.00226402	0.102047	0.0141305	0.679481	15404.3	0.000614485	1.65163	18.6301	2.98554	0.000110747	250	2	111310	80.0091	501.409	9.05446	78.4264	41.9736	97.6202	4.83246	0.646884	368.85	29.4226	0.676635
61	0.00168731	4.02136	28.4705	45	3841.35	129292	180.996	1.57931	3.83761	0.0428395	15.5666	1.40397	0.0247826	98.596	92.3465	5.06534	61.743	7.48239	5.62691	5.69309	202.008	18.2748	0.00218365	0.108166	0.0152322	0.658633	15560.8	0.000649608	1.66706	18.6281	2.89936	0.000116333	250	2	111617	79.9829	501.383	9.14063	79.514	40.886	97.5673	4.96089	0.67351	368.809	29.4467	0.652439
62	0.00181776	4.02136	28.5083	45	3696.41	129289	180.866	1.55194	3.73289	0.0437967	15.5137	1.41763	0.0258991	98.5824	88.5162	5.10811	59.2288	7.58711	5.73181	5.58819	195.738	18.1533	0.00210328	0.114347	0.0163742	0.637629	15712.3	0.000686098	1.68227	18.6261	2.81186	0.000121864	250	2	111925	79.9566	501.357	9.22814	80.6254	39.7746	97.5143	5.09003	0.700853	368.769	29.4708	0.62825
63	0.00195566	4.02136	28.5471	45	3555.98	129286	180.735	1.52317	3.62628	0.0447577	15.4615	1.43101	0.0270472	98.569	84.827	5.15002	56.7397	7.69372	5.84009	5.47991	189.563	18.0377	0.00202308	0.120559	0.0175542	0.616533	15859	0.000723989	1.69727	18.624	2.72331	0.000127311	250	2	112233	79.93	501.33	9.31668	81.7571	38.6429	97.4611	5.21985	0.728928	368.727	29.4949	0.604128
64	0.00210128	4.02136	28.5867	45	3419.99	129284	180.604	1.49314	3.51815	0.0457223	15.4101	1.44412	0.0282274	98.5559	81.275	5.19108	54.2846	7.80185	5.95161	5.36839	183.488	17.9279	0.00194329	0.126774	0.0187691	0.595416	16000.8	0.000763316	1.71207	18.6218	2.63404	0.000132644	250	2	112539	79.9031	501.303	9.40596	82.9052	37.4948	97.4078	5.35034	0.757751	368.684	29.5188	0.580146
65	0.00225486	4.02136	28.6269	45	3288.37	129282	180.472	1.46196	3.40889	0.0466905	15.3595	1.45697	0.0294403	98.543	77.8563	5.23131	51.8719	7.91111	6.06616	5.25384	177.519	17.8237	0.00186418	0.13296	0.0200155	0.57435	16137.9	0.000804115	1.72667	18.6195	2.54436	0.000137837	250	2	112843	79.876	501.276	9.49563	84.0655	36.3345	97.3543	5.48145	0.787337	368.641	29.5425	0.556381
66	0.00241667	4.02136	28.6676	45	3161.06	129280	180.339	1.42976	3.2989	0.0476619	15.3095	1.46955	0.0306867	98.5304	74.5673	5.27074	49.5096	8.0211	6.18347	5.13653	171.662	17.725	0.001786	0.139087	0.0212896	0.553408	16270.3	0.000846423	1.74107	18.6172	2.45462	0.000142867	250	2	113144	79.8486	501.249	9.58537	85.2339	35.1661	97.3007	5.61316	0.817704	368.597	29.566	0.532911
67	0.00258696	4.02136	28.7087	45	3037.97	129278	180.206	1.39668	3.18861	0.0486366	15.2603	1.48189	0.0319673	98.5181	71.4041	5.30936	47.2051	8.13139	6.30326	5.01674	165.922	17.6315	0.001709	0.145126	0.0225871	0.532661	16398.3	0.000890277	1.75529	18.6148	2.36515	0.000147711	250	2	113440	79.821	501.221	9.67484	86.4058	33.9942	97.2469	5.74545	0.848866	368.552	29.589	0.509814
68	0.00276598	4.02136	28.75	45	2919.02	129277	180.072	1.36283	3.07847	0.0496144	15.2119	1.49397	0.0332828	98.506	68.3629	5.34719	44.9651	8.24153	6.42519	4.89481	160.302	17.5431	0.00163344	0.151049	0.0239037	0.512177	16521.8	0.000935716	1.76932	18.6124	2.27628	0.00015235	250	2	113730	79.7932	501.193	9.76371	87.5764	32.8236	97.1931	5.87828	0.880841	368.506	29.6116	0.487165
69	0.00295399	4.02136	28.7914	45	2804.61	129275	179.938	1.32835	2.96892	0.050595	15.1641	1.5058	0.0346339	98.4942	65.4426	5.38426	42.796	8.35108	6.54889	4.77111	154.806	17.4596	0.00155956	0.15683	0.0252347	0.492023	16641	0.000982778	1.78316	18.6099	2.18837	0.000156769	250	2	114015	79.7651	501.165	9.85162	88.7411	31.6589	97.1392	6.01163	0.913644	368.459	29.6336	0.465035
70	0.0031512	4.02136	28.8326	45	2697.88	129269	179.803	1.29336	2.86045	0.0515785	15.1169	1.5174	0.0360213	98.4826	62.6842	5.42057	40.7035	8.45955	6.67396	4.64604	149.455	17.3809	0.00148758	0.162447	0.0265752	0.472262	16756	0.0010315	1.79683	18.6074	2.10175	0.000160956	250	2	114292	79.7369	501.137	9.93824	89.8947	30.5053	97.0852	6.14548	0.947291	368.411	29.6551	0.443489
71	0.00335787	4.02136	28.8737	45	2599.07	129260	179.668	1.25799	2.75364	0.0525645	15.0705	1.52876	0.0374457	98.4712	60.1169	5.45613	38.6949	8.56636	6.79994	4.52006	144.307	17.3068	0.00141772	0.167878	0.0279203	0.452956	16867.1	0.00108193	1.81033	18.6048	2.01679	0.000164907	250	2	114560	79.7083	501.108	10.0232	91.0312	29.3688	97.0311	6.27979	0.981798	368.362	29.676	0.422595
72	0.00357421	4.02136	28.9144	45	2507.75	129246	179.532	1.22238	2.64915	0.0535531	15.0247	1.53988	0.038908	98.4601	57.7369	5.49097	36.7779	8.67085	6.92629	4.39371	139.405	17.2372	0.0013502	0.173107	0.0292651	0.434173	16974.4	0.0011341	1.82365	18.6022	1.93391	0.000168625	250	2	114819	79.6796	501.08	10.1061	92.1436	28.2564	96.977	6.41455	1.01718	368.312	29.6961	0.402423
73	0.00380044	4.02136	28.9545	45	2423.5	129229	179.396	1.18665	2.54762	0.054544	14.9796	1.55078	0.0404088	98.4492	55.5344	5.52508	34.959	8.77238	7.0524	4.2676	134.776	17.1719	0.00128529	0.178125	0.0306049	0.415982	17078.4	0.00118806	1.83681	18.5996	1.85356	0.000172125	250	2	115068	79.6507	501.051	10.1864	93.2251	27.1749	96.9229	6.54972	1.05345	368.262	29.7154	0.383045
74	0.00403676	4.02136	28.994	45	2345.88	129207	179.259	1.15093	2.44957	0.0555372	14.9351	1.56145	0.0419489	98.4385	53.499	5.5585	33.242	8.87043	7.17763	4.14237	130.43	17.1107	0.00122318	0.182928	0.0319351	0.398445	17179.1	0.00124385	1.84981	18.5969	1.77614	0.000175432	250	2	115304	79.6215	501.022	10.2639	94.2699	26.1301	96.8687	6.68529	1.09063	368.21	29.7338	0.364526
75	0.00428338	4.02136	29.0327	45	2274.49	129183	179.122	1.11536	2.35542	0.0565325	14.8912	1.57191	0.0435291	98.4281	51.6204	5.59122	31.6286	8.96458	7.30133	4.01867	126.368	17.0537	0.00116406	0.18752	0.0332517	0.381612	17276.9	0.0013015	1.86265	18.5942	1.70195	0.000178575	250	2	115528	79.5922	500.992	10.338	95.2737	25.1263	96.8145	6.82124	1.12873	368.157	29.7514	0.346916
76	0.00454048	4.02136	29.0705	45	2208.92	129155	178.985	1.08004	2.26544	0.0575298	14.848	1.58214	0.04515	98.4179	49.8883	5.62326	30.1181	9.05456	7.42292	3.89708	122.586	17.0005	0.00110805	0.191914	0.0345512	0.365519	17372	0.00136107	1.87533	18.5914	1.63121	0.000181588	250	2	115740	79.5626	500.963	10.4088	96.2335	24.1665	96.7602	6.95753	1.16776	368.104	29.768	0.330247
77	0.00480827	4.02136	29.1073	45	2148.77	129124	178.847	1.04511	2.17979	0.0585289	14.8053	1.59217	0.0468124	98.4078	48.2928	5.65463	28.708	9.14021	7.54187	3.77813	119.075	16.9512	0.00105522	0.196127	0.0358305	0.350186	17464.6	0.0014226	1.88786	18.5887	1.56406	0.000184505	250	2	115940	79.5329	500.933	10.4759	97.1473	23.2527	96.706	7.09415	1.20773	368.049	29.7837	0.314535
78	0.00508696	4.02136	29.1431	45	2093.66	129091	178.709	1.01066	2.09855	0.0595298	14.7633	1.60199	0.0485171	98.398	46.8242	5.68535	27.3946	9.22145	7.65773	3.66227	115.823	16.9055	0.00100555	0.20018	0.0370877	0.335618	17554.8	0.00148613	1.90024	18.5859	1.50054	0.00018736	250	2	116127	79.5029	500.903	10.5395	98.0144	22.3856	96.6518	7.23108	1.24866	367.993	29.7983	0.299777
79	0.00537676	4.02136	29.1777	45	2043.22	129054	178.571	0.976807	2.0217	0.0605323	14.7218	1.6116	0.0502646	98.3884	45.4733	5.71542	26.1734	9.2983	7.77014	3.54986	112.819	16.8633	0.00095902	0.204097	0.0383213	0.321809	17642.8	0.00155171	1.91248	18.583	1.44062	0.000190185	250	2	116303	79.4728	500.873	10.5994	98.8349	21.5651	96.5975	7.36829	1.29055	367.936	29.8121	0.285956
80	0.00567789	4.02136	29.2112	45	1997.1	129016	178.433	0.943625	1.94917	0.0615362	14.6809	1.62101	0.0520556	98.379	44.2312	5.74487	25.0391	9.37083	7.87882	3.44118	110.049	16.8246	0.000915527	0.207906	0.0395306	0.308745	17728.9	0.00161937	1.92457	18.5801	1.38425	0.000193008	250	2	116467	79.4425	500.842	10.6557	99.6094	20.7906	96.5433	7.50577	1.33342	367.879	29.825	0.273045
81	0.00599057	4.02136	29.2434	45	1954.97	128975	178.294	0.911192	1.88083	0.0625416	14.6405	1.63023	0.0538909	98.3698	43.0897	5.77369	23.9864	9.43917	7.98355	3.33645	107.499	16.7893	0.000874958	0.211633	0.0407157	0.296404	17813.3	0.00168918	1.93652	18.5772	1.33131	0.000195854	250	2	116621	79.412	500.812	10.7087	100.339	20.0607	96.4892	7.64349	1.37727	367.82	29.8369	0.261005
82	0.00631506	4.02136	29.2745	45	1916.53	128932	178.155	0.879573	1.81653	0.0635483	14.6007	1.63925	0.0557709	98.3608	42.0407	5.8019	23.0098	9.50347	8.0842	3.2358	105.156	16.7571	0.000837174	0.215306	0.041877	0.284758	17895.9	0.00176116	1.94834	18.5743	1.28167	0.000198748	250	2	116764	79.3813	500.781	10.7583	101.026	19.3738	96.435	7.78143	1.42211	367.76	29.8481	0.249796
83	0.00665159	4.02136	29.3044	45	1881.47	128886	178.016	0.848818	1.7561	0.0645561	14.5615	1.64808	0.0576964	98.3519	41.0769	5.82951	22.1038	9.5639	8.18069	3.13931	103.006	16.728	0.000802025	0.218951	0.043016	0.273777	17977	0.00183537	1.96002	18.5713	1.23516	0.00020171	250	2	116898	79.3505	500.75	10.8048	101.672	18.7282	96.3809	7.91957	1.46795	367.699	29.8585	0.23937
84	0.00700044	4.02136	29.3331	45	1849.51	128840	177.877	0.818968	1.69934	0.065565	14.5228	1.65673	0.0596678	98.3433	40.1914	5.85654	21.2633	9.62066	8.27299	3.04701	101.035	16.702	0.00076935	0.222592	0.0441341	0.26343	18056.8	0.00191185	1.97157	18.5683	1.19163	0.000204759	250	2	117023	79.3195	500.719	10.8484	102.278	18.1217	96.3269	8.0579	1.5148	367.637	29.8681	0.229678
85	0.00736187	4.02136	29.3606	45	1820.4	128791	177.737	0.790055	1.64606	0.0665749	14.4846	1.66519	0.0616856	98.3348	39.3775	5.88298	20.4833	9.67394	8.36113	2.95887	99.2316	16.6788	0.000738988	0.226253	0.0452337	0.253683	18135.3	0.00199065	1.983	18.5653	1.1509	0.00020791	250	2	117139	79.2883	500.688	10.8891	102.848	17.5523	96.2729	8.19639	1.56265	367.574	29.8771	0.220674
86	0.00773617	4.02136	29.387	45	1793.91	128741	177.597	0.762099	1.59605	0.0675856	14.4469	1.67347	0.0637504	98.3265	38.6294	5.90886	19.759	9.72395	8.44515	2.87485	97.5824	16.6584	0.000710779	0.229957	0.0463171	0.244502	18212.6	0.00207181	1.99429	18.5622	1.1128	0.000211177	250	2	117248	79.257	500.657	10.9272	103.382	17.0179	96.219	8.33504	1.61151	367.51	29.8854	0.212308
87	0.00812363	4.02136	29.4122	45	1769.8	128689	177.458	0.735114	1.54913	0.068597	14.4098	1.68158	0.0658626	98.3184	37.9414	5.93418	19.0861	9.77087	8.52514	2.79486	96.0759	16.6408	0.00068457	0.233723	0.0473871	0.235856	18288.9	0.00215538	2.00547	18.5591	1.07717	0.000214573	250	2	117350	79.2255	500.626	10.9628	103.884	16.5164	96.1651	8.4738	1.66139	367.444	29.8931	0.204535
88	0.00852457	4.02136	29.4364	45	1747.87	128637	177.318	0.709106	1.50509	0.0696091	14.3731	1.68951	0.0680225	98.3105	37.3084	5.95896	18.4604	9.81491	8.60121	2.71879	94.701	16.6258	0.000660212	0.237571	0.0484465	0.227713	18364.2	0.00224139	2.01652	18.556	1.04383	0.000218108	250	2	117445	79.1939	500.594	10.9962	104.354	16.0458	96.1114	8.61269	1.71229	367.378	29.9003	0.19731
89	0.0089393	4.02136	29.4594	45	1727.93	128583	177.178	0.684075	1.46376	0.0706217	14.3369	1.69728	0.0702307	98.3027	36.7256	5.9832	17.8782	9.85624	8.67348	2.64652	93.4472	16.6133	0.000637566	0.241517	0.0494985	0.220043	18438.7	0.00232991	2.02745	18.5528	1.01264	0.000221793	250	2	117533	79.1622	500.562	11.0273	104.796	15.604	96.0577	8.75166	1.7642	367.311	29.9069	0.190593
90	0.00936815	4.02136	29.4814	45	1709.8	128528	177.038	0.660014	1.42495	0.0716348	14.3012	1.70487	0.0724873	98.2951	36.1886	6.00691	17.336	9.89505	8.74209	2.57791	92.3047	16.6033	0.000616499	0.245577	0.0505463	0.212817	18512.4	0.00242096	2.03827	18.5496	0.983446	0.000225637	250	2	117616	79.1303	500.53	11.0565	105.211	15.1892	96.0041	8.89071	1.81714	367.242	29.9131	0.184343
91	0.00981145	4.02136	29.5024	45	1693.33	128472	176.898	0.636912	1.3885	0.0726482	14.266	1.7123	0.0747928	98.2877	35.6935	6.0301	16.8307	9.9315	8.80718	2.51282	91.2641	16.5956	0.000596889	0.249765	0.051593	0.206007	18585.3	0.0025146	2.04897	18.5464	0.956105	0.000229646	250	2	117694	79.0983	500.498	11.0839	105.6	14.7996	95.9506	9.02983	1.8711	367.173	29.9189	0.178524
92	0.0102696	4.02136	29.5225	45	1678.36	128415	176.757	0.614755	1.35425	0.0736619	14.2312	1.71958	0.0771474	98.2804	35.2366	6.05278	16.3592	9.96575	8.8689	2.4511	90.317	16.5902	0.000578622	0.254095	0.0526419	0.199587	18657.6	0.00261088	2.05957	18.5431	0.930488	0.000233828	250	2	117766	79.0662	500.466	11.1095	105.966	14.4335	95.8972	9.16899	1.92608	367.102	29.9243	0.173104
93	0.0107428	4.02136	29.5416	45	1664.76	128357	176.617	0.593524	1.32205	0.0746757	14.1969	1.72669	0.0795513	98.2733	34.8144	6.07496	15.9188	9.99795	8.9274	2.3926	89.4553	16.5871	0.000561592	0.258578	0.0536962	0.193534	18729.3	0.00270982	2.07005	18.5398	0.906473	0.00023819	250	2	117834	79.0339	500.434	11.1335	106.311	14.0894	95.8439	9.30817	1.98208	367.031	29.9293	0.168049
94	0.0112316	4.02136	29.5598	45	1652.4	128299	176.477	0.573199	1.29176	0.0756896	14.1631	1.73365	0.0820047	98.2664	34.424	6.09666	15.5073	10.0282	8.98284	2.33716	88.6716	16.586	0.000545703	0.263225	0.0547592	0.187824	18800.5	0.00281148	2.08042	18.5364	0.883945	0.000242737	250	2	117898	79.0015	500.402	11.156	106.634	13.7657	95.7907	9.44738	2.0391	366.958	29.9339	0.163332
95	0.0117364	4.02136	29.5771	45	1641.17	128240	176.337	0.553757	1.26326	0.0767035	14.1296	1.74045	0.0845079	98.2595	34.0626	6.11787	15.1222	10.0567	9.03536	2.28464	87.9592	16.587	0.000530865	0.268047	0.0558341	0.182435	18871.1	0.0029159	2.09069	18.5331	0.862799	0.000247476	250	2	117958	78.969	500.369	11.1772	106.939	13.4611	95.7376	9.58658	2.09714	366.885	29.9383	0.158927
96	0.0122574	4.02136	29.5937	45	1630.96	128180	176.197	0.535171	1.23642	0.0777173	14.0966	1.74711	0.0870609	98.2529	33.7275	6.1386	14.7616	10.0836	9.08512	2.23488	87.3116	16.59	0.000516997	0.273052	0.0569238	0.177349	18941.3	0.00302313	2.10085	18.5296	0.842937	0.000252411	250	2	118014	78.9365	500.336	11.1971	107.226	13.1742	95.6846	9.72576	2.15619	366.81	29.9424	0.154809
97	0.0127951	4.02136	29.6094	45	1621.69	128120	176.056	0.517418	1.21113	0.078731	14.0641	1.75362	0.0896639	98.2464	33.4166	6.15887	14.4236	10.1089	9.13226	2.18774	86.7232	16.595	0.000504023	0.27825	0.0580314	0.172547	19011.1	0.0031332	2.11092	18.5262	0.824267	0.000257548	250	2	118067	78.9038	500.304	11.2157	107.496	12.9039	95.6318	9.86491	2.21626	366.734	29.9462	0.150955
98	0.0133499	4.02136	29.6243	45	1613.25	128059	175.916	0.500468	1.18729	0.0797443	14.0319	1.75999	0.0923171	98.24	33.1275	6.17869	14.1064	10.1327	9.17693	2.14307	86.1886	16.6017	0.000491875	0.283648	0.0591598	0.16801	19080.6	0.00324616	2.12088	18.5227	0.806706	0.000262892	250	2	118117	78.871	500.271	11.2333	107.751	12.6491	95.579	10.004	2.27734	366.658	29.9497	0.147347
99	0.0139222	4.02136	29.6386	45	1605.58	127998	175.776	0.484295	1.1648	0.0807574	14.0002	1.76621	0.0950203	98.2338	32.8586	6.19805	13.8086	10.1552	9.21924	2.10076	85.7028	16.6103	0.00048049	0.289255	0.060312	0.163723	19149.7	0.00336205	2.13075	18.5192	0.790177	0.000268448	250	2	118164	78.8381	500.238	11.2498	107.991	12.4088	95.5264	10.1431	2.33943	366.58	29.953	0.143964
100	0.0145124	4.02136	29.6521	45	1598.61	127936	175.636	0.468871	1.14357	0.0817699	13.9688	1.7723	0.0977737	98.2277	32.6079	6.21698	13.5287	10.1764	9.25934	2.06066	85.2615	16.6205	0.000469811	0.295077	0.0614905	0.15967	19218.5	0.00348091	2.14051	18.5156	0.774609	0.00027422	250	2	118208	78.8051	500.205	11.2654	108.218	12.1819	95.474	10.2821	2.40252	366.501	29.9562	0.14079
