Time	[ADP]	[ATP]	[AcAld]	[BPG]	[DHAP]	[F16bP]	[F6P]	[G1P]	[G3P]	[G6P]	[GAP]	[GLC]	[NAD]	[P2G]	[P3G]	[PEP]	[PYR]	[T6P]	[UDP]	[UTP]	[AMP]	[NADH]	[UDG]	[ACE]	[EtOH]	[F26bP]	[GLCx]	[GLY]	[SUC]	[TRH]	[ADH1]	[CDC19]	[ENO1]	[ENO2]	[FBA1]	[GLK1]	[GPD1]	[GPD2]	[GPM1]	[HOR2]	[HXK1]	[HXK2]	[PDC1]	[PDC5]	[PDC6]	[PFK1]	[PFK2]	[PGI1]	[PGK1]	[PGM1]	[PGM2]	[RHR2]	[TDH1]	[TDH3]	[TPI1]	[TPS1]	[TPS2]	[UGP1]	[E4P]	[G6L]	[NADPH]	[P6G]	[R5P]	[Ru5P]	[S7P]	[X5P]	[NADP]	[GND1]	[GND2]	[NQM1]	[RKI1]	[RPE1]	[SOL3]	[TAL1]	[TKL1]	[ZWF1]
33	2.32247	2.84657	1.50996	0.00114785	1.25928	1.69083	0.256525	0.0850466	0.268271	0.95136	0.0533507	0.849249	1.39733	0.0892149	0.488791	0.468674	2.69306	0.00994332	0.22137	0.419578	0.850959	0.192668	0.756898	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00955942	2.10485	0.171094	0.281409	0.0859692	0.0348767	0.0937817	0.0492679	0.158906	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
34	2.32806	2.8327	1.53962	0.00114699	1.24475	1.65502	0.252878	0.0844976	0.267081	0.93811	0.0527107	0.852317	1.40004	0.09024	0.494215	0.474764	2.68608	0.00984706	0.219984	0.418516	0.859232	0.18996	0.759347	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00935385	2.11292	0.170428	0.279285	0.08603	0.0348999	0.0950237	0.0492847	0.159572	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
35	2.33364	2.81875	1.56908	0.00114597	1.2307	1.62075	0.24938	0.0839633	0.265929	0.925395	0.0520926	0.855462	1.40263	0.091239	0.499499	0.480713	2.67899	0.00975381	0.218685	0.417449	0.867611	0.187365	0.761712	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00915828	2.11992	0.169791	0.277093	0.0860802	0.0349184	0.0962341	0.049296	0.160209	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
36	2.33917	2.80476	1.59833	0.0011448	1.21714	1.58796	0.246024	0.0834429	0.264815	0.913188	0.0514957	0.858673	1.40512	0.0922121	0.504645	0.486521	2.67182	0.00966345	0.217468	0.416383	0.876074	0.184877	0.763995	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00897215	2.12593	0.169183	0.274846	0.0861203	0.0349327	0.097413	0.0493022	0.160817	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
37	2.34465	2.79075	1.62735	0.00114351	1.20403	1.55659	0.242802	0.0829358	0.263736	0.901464	0.0509192	0.861941	1.40751	0.0931596	0.509653	0.492189	2.66457	0.0095759	0.216327	0.415321	0.8846	0.18249	0.766198	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00879491	2.13099	0.168601	0.272554	0.0861509	0.034943	0.0985602	0.0493036	0.161399	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
38	2.35007	2.77676	1.65613	0.0011421	1.19136	1.52657	0.239707	0.0824414	0.262692	0.8902	0.0503626	0.865255	1.4098	0.094082	0.514527	0.497717	2.65728	0.00949104	0.215256	0.414267	0.89317	0.180201	0.768324	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00862606	2.13517	0.168045	0.270227	0.0861727	0.0349495	0.099676	0.0493004	0.161955	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
39	2.35541	2.76282	1.68465	0.00114059	1.17913	1.49783	0.236735	0.0819593	0.261682	0.879374	0.0498251	0.868607	1.41199	0.0949794	0.519269	0.503108	2.64996	0.00940879	0.214249	0.413223	0.901766	0.178005	0.770374	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00846515	2.13852	0.167512	0.267875	0.0861861	0.0349525	0.10076	0.0492931	0.162488	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
40	2.36067	2.74896	1.71289	0.00113898	1.16731	1.47033	0.233878	0.081489	0.260703	0.868966	0.0493061	0.87199	1.4141	0.0958523	0.523878	0.508361	2.64263	0.00932908	0.213303	0.412192	0.91037	0.175897	0.772351	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00831174	2.14109	0.167002	0.265505	0.0861917	0.0349521	0.101813	0.0492818	0.162998	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
41	2.36583	2.7352	1.74084	0.0011373	1.1559	1.44399	0.231132	0.0810302	0.259756	0.858958	0.0488051	0.875394	1.41613	0.0967011	0.528359	0.51348	2.6353	0.00925182	0.212413	0.411176	0.918967	0.173873	0.774256	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00816542	2.14294	0.166514	0.263126	0.08619	0.0349487	0.102835	0.0492668	0.163486	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
42	2.37089	2.72157	1.76849	0.00113555	1.14488	1.41877	0.228491	0.0805826	0.25884	0.84933	0.0483213	0.878813	1.41807	0.0975261	0.532714	0.518466	2.62798	0.00917693	0.211576	0.410177	0.927542	0.17193	0.776094	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0080258	2.14409	0.166045	0.260745	0.0861814	0.0349424	0.103826	0.0492483	0.163955	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
43	2.37584	2.70807	1.79582	0.00113374	1.13423	1.39461	0.225952	0.0801458	0.257952	0.840066	0.0478542	0.88224	1.41994	0.098328	0.536945	0.523321	2.6207	0.00910434	0.210786	0.409196	0.936081	0.170064	0.777865	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00789254	2.14461	0.165597	0.258368	0.0861664	0.0349333	0.104785	0.0492266	0.164403	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
44	2.38069	2.69474	1.82283	0.00113189	1.12394	1.37148	0.223508	0.0797198	0.257092	0.83115	0.0474033	0.885669	1.42173	0.099107	0.541054	0.528047	2.61346	0.00903398	0.210042	0.408233	0.944571	0.168271	0.779572	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00776529	2.14452	0.165167	0.256	0.0861453	0.0349218	0.105715	0.0492019	0.164833	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
45	2.38541	2.68159	1.84951	0.00112999	1.11401	1.34931	0.221156	0.0793041	0.256259	0.822567	0.0469679	0.889093	1.42345	0.0998636	0.545044	0.532645	2.60628	0.00896578	0.209339	0.40729	0.953001	0.166547	0.781217	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00764375	2.14388	0.164755	0.253648	0.0861185	0.0349078	0.106613	0.0491744	0.165245	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
46	2.39002	2.66862	1.87585	0.00112806	1.10442	1.32807	0.218893	0.0788987	0.255452	0.814302	0.0465476	0.892508	1.42511	0.100598	0.548918	0.537118	2.59916	0.00889968	0.208676	0.406367	0.961359	0.164891	0.782803	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00752761	2.1427	0.16436	0.251315	0.0860864	0.0348917	0.107482	0.0491442	0.16564	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
47	2.39451	2.65585	1.90184	0.0011261	1.09516	1.30772	0.216714	0.0785033	0.25467	0.806342	0.0461418	0.895907	1.4267	0.101312	0.552677	0.541469	2.59211	0.00883561	0.208049	0.405464	0.969638	0.163299	0.784333	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0074166	2.14105	0.163982	0.249006	0.0860494	0.0348735	0.108322	0.0491116	0.166018	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
48	2.39888	2.6433	1.92748	0.00112413	1.08621	1.28821	0.214615	0.0781177	0.253912	0.798674	0.0457501	0.899287	1.42823	0.102004	0.556326	0.5457	2.58514	0.00877352	0.207456	0.404583	0.977827	0.161768	0.785807	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00731046	2.13893	0.163619	0.246724	0.0860077	0.0348534	0.109132	0.0490768	0.166381	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
49	2.40312	2.63096	1.95276	0.00112215	1.07757	1.2695	0.212594	0.0777417	0.253178	0.791286	0.0453718	0.902643	1.42971	0.102676	0.559866	0.549813	2.57826	0.00871334	0.206895	0.403723	0.985918	0.160295	0.787228	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00720893	2.13639	0.163271	0.244474	0.0859616	0.0348315	0.109913	0.0490398	0.166729	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
50	2.40724	2.61886	1.97767	0.00112016	1.06922	1.25156	0.210646	0.0773752	0.252465	0.784167	0.0450066	0.905971	1.43112	0.103328	0.563301	0.55381	2.57147	0.00865501	0.206363	0.402884	0.993905	0.158877	0.788599	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0071118	2.13346	0.162938	0.242256	0.0859116	0.034808	0.110665	0.0490009	0.167062	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
51	2.41123	2.60699	2.00222	0.00111816	1.06116	1.23435	0.208769	0.0770179	0.251774	0.777304	0.044654	0.909268	1.43249	0.103961	0.566632	0.557695	2.56479	0.00859848	0.205859	0.402067	1.00178	0.157514	0.789921	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00701884	2.13017	0.162619	0.240075	0.0858577	0.0347829	0.11139	0.0489602	0.167381	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
52	2.41511	2.59535	2.02641	0.00111617	1.05338	1.21785	0.206961	0.0766697	0.251104	0.770689	0.0443135	0.912531	1.4338	0.104574	0.569862	0.561469	2.55821	0.0085437	0.205381	0.40127	1.00954	0.156201	0.791195	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00692983	2.12653	0.162313	0.237931	0.0858004	0.0347564	0.112088	0.0489178	0.167687	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
53	2.41886	2.58396	2.05022	0.00111419	1.04586	1.20201	0.205217	0.0763305	0.250454	0.76431	0.0439847	0.915756	1.43506	0.10517	0.572995	0.565135	2.55173	0.00849061	0.204926	0.400495	1.01718	0.154937	0.792425	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00684459	2.12259	0.16202	0.235827	0.0857399	0.0347287	0.112758	0.0488739	0.16798	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
54	2.42249	2.57281	2.07366	0.00111222	1.03859	1.18681	0.203536	0.076	0.249823	0.758158	0.0436673	0.91894	1.43628	0.105747	0.576033	0.568697	2.54537	0.00843916	0.204495	0.39974	1.02469	0.15372	0.793611	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00676294	2.11836	0.161739	0.233764	0.0856763	0.0346997	0.113402	0.0488287	0.168261	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
55	2.42601	2.56191	2.09672	0.00111026	1.03158	1.17222	0.201915	0.0756781	0.249211	0.752224	0.0433607	0.922083	1.43745	0.106307	0.578978	0.572155	2.53912	0.0083893	0.204084	0.399006	1.03208	0.152548	0.794756	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0066847	2.11387	0.16147	0.231743	0.08561	0.0346697	0.114021	0.0487821	0.16853	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
56	2.42941	2.55126	2.11941	0.00110832	1.0248	1.15821	0.200351	0.0753645	0.248617	0.746499	0.0430646	0.925181	1.43858	0.106849	0.581834	0.575513	2.53299	0.00834098	0.203693	0.398292	1.03933	0.151418	0.795861	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0066097	2.10913	0.161213	0.229764	0.0855412	0.0346386	0.114614	0.0487344	0.168787	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
57	2.4327	2.54085	2.14173	0.0011064	1.01825	1.14476	0.198843	0.0750592	0.24804	0.740976	0.0427786	0.928232	1.43967	0.107376	0.584602	0.578774	2.52698	0.00829415	0.203321	0.397598	1.04645	0.15033	0.796927	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00653779	2.10418	0.160967	0.22783	0.08547	0.0346067	0.115182	0.0486857	0.169033	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
58	2.43587	2.53069	2.16368	0.0011045	1.01193	1.13184	0.197387	0.0747619	0.24748	0.735646	0.0425024	0.931236	1.44072	0.107886	0.587285	0.581939	2.52109	0.00824877	0.202966	0.396924	1.05343	0.149281	0.797956	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00646882	2.09903	0.160731	0.225939	0.0853966	0.0345739	0.115727	0.0486361	0.169269	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
59	2.43894	2.52078	2.18526	0.00110263	1.00581	1.11942	0.195983	0.0744726	0.246936	0.730501	0.0422356	0.934191	1.44173	0.108381	0.589886	0.585012	2.51532	0.0082048	0.202627	0.396269	1.06028	0.148269	0.79895	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00640266	2.0937	0.160506	0.224093	0.0853214	0.0345404	0.116248	0.0485856	0.169494	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
60	2.4419	2.51111	2.20646	0.00110078	0.999906	1.10749	0.194627	0.0741909	0.246407	0.725534	0.0419778	0.937095	1.44271	0.10886	0.592407	0.587995	2.50967	0.00816218	0.202304	0.395633	1.06698	0.147294	0.79991	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00633916	2.0882	0.16029	0.222291	0.0852443	0.0345063	0.116746	0.0485344	0.16971	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
61	2.44476	2.50169	2.22731	0.00109896	0.994198	1.09602	0.193319	0.0739167	0.245894	0.720738	0.0417287	0.939948	1.44365	0.109325	0.59485	0.590891	2.50414	0.00812087	0.201994	0.395015	1.07355	0.146353	0.800837	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0062782	2.08256	0.160085	0.220533	0.0851657	0.0344715	0.117222	0.0484825	0.169915	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
62	2.44752	2.4925	2.24778	0.00109717	0.988682	1.085	0.192055	0.0736499	0.245395	0.716107	0.0414881	0.942749	1.44455	0.109776	0.597219	0.593701	2.49874	0.00808084	0.201699	0.394416	1.07998	0.145446	0.801732	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00621968	2.07679	0.159888	0.218819	0.0850856	0.0344363	0.117676	0.0484301	0.170112	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
63	2.45018	2.48355	2.2679	0.00109541	0.98335	1.07439	0.190835	0.0733902	0.24491	0.711634	0.0412555	0.945498	1.44543	0.110213	0.599514	0.596428	2.49345	0.00804204	0.201416	0.393833	1.08627	0.14457	0.802597	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00616346	2.07091	0.1597	0.217148	0.0850043	0.0344005	0.11811	0.0483772	0.1703	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
64	2.45275	2.47483	2.28765	0.00109368	0.978196	1.0642	0.189656	0.0731376	0.244439	0.707313	0.0410308	0.948194	1.44628	0.110637	0.601739	0.599075	2.48829	0.00800443	0.201144	0.393269	1.09242	0.143725	0.803433	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00610946	2.06493	0.15952	0.215521	0.0849218	0.0343644	0.118523	0.0483239	0.17048	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
65	2.45523	2.46634	2.30705	0.00109198	0.973214	1.05438	0.188518	0.0728918	0.243981	0.703138	0.0408136	0.950836	1.44709	0.111047	0.603896	0.601644	2.48325	0.00796798	0.200885	0.39272	1.09843	0.142909	0.804241	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00605756	2.05886	0.159349	0.213936	0.0848384	0.034328	0.118917	0.0482703	0.170651	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
66	2.45762	2.45808	2.3261	0.00109032	0.968397	1.04494	0.187418	0.0726527	0.243536	0.699104	0.0406036	0.953426	1.44788	0.111445	0.605986	0.604137	2.47832	0.00793265	0.200635	0.392188	1.1043	0.142121	0.805022	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00600767	2.05272	0.159185	0.212392	0.0847541	0.0342913	0.119292	0.0482164	0.170815	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
67	2.45992	2.45004	2.3448	0.00108868	0.963739	1.03585	0.186355	0.0724201	0.243103	0.695206	0.0404006	0.955962	1.44864	0.111831	0.608013	0.606556	2.47352	0.0078984	0.200396	0.391673	1.11004	0.141361	0.805778	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0059597	2.04652	0.159029	0.21089	0.0846691	0.0342543	0.119648	0.0481623	0.170971	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
