Time	[TF]	[TF_VII]	[VII]	[TF_VIIa]	[VIIa]	[Xa]	[IIa]	[TF_VIIa_X]	[X]	[TF_VIIa_Xa]	[IX]	[TF_VIIa_IX]	[IXa]	[II]	[VIII]	[VIIIa]	[IXa_VIIIa]	[IXa_VIIIa_X]	[VIIIa1_L]	[VIIIa2]	[V]	[Va]	[Xa_Va]	[Xa_Va_II]	[mIIa]	[TFPI]	[Xa_TFPI]	[TF_VIIa_Xa_TFPI]	[ATIII]	[Xa_ATIII]	[mIIa_ATIII]	[IXa_ATIII]	[IIa_ATIII]	[TF_VIIa_ATIII]
31	9.19919e-12	1.46431e-11	9.95748e-09	2.09833e-13	1.26717e-10	1.59461e-11	1.83559e-12	1.19156e-13	1.59981e-07	3.61289e-14	8.99979e-08	4.5036e-14	2.0395e-12	1.39998e-06	6.99757e-10	2.33233e-13	8.93199e-18	1.70465e-17	9.94502e-15	9.94502e-15	1.99931e-08	6.78999e-12	8.62543e-14	7.24534e-14	2.04828e-11	2.49878e-09	4.81456e-13	7.43322e-13	3.4e-06	1.09527e-12	2.06969e-12	4.4381e-14	4.19427e-13	4.26411e-15
32	8.93021e-12	1.48861e-11	9.95514e-09	2.08347e-13	1.28791e-10	1.64836e-11	1.96007e-12	1.18318e-13	1.59981e-07	3.5876e-14	8.99978e-08	4.47214e-14	2.11682e-12	1.39997e-06	6.9973e-10	2.58311e-13	1.06555e-17	2.03521e-17	1.14189e-14	1.14189e-14	1.99923e-08	7.52108e-12	1.01294e-13	8.50895e-14	2.49298e-11	2.49871e-09	5.17738e-13	7.72033e-13	3.4e-06	1.17797e-12	2.61643e-12	4.78433e-14	4.65235e-13	4.42762e-15
33	8.67079e-12	1.51199e-11	9.95274e-09	2.06793e-13	1.30934e-10	1.70089e-11	2.08711e-12	1.17442e-13	1.5998e-07	3.56112e-14	8.99977e-08	4.43918e-14	2.19342e-12	1.39996e-06	6.99702e-10	2.84993e-13	1.26291e-17	2.41399e-17	1.3048e-14	1.3048e-14	1.99915e-08	8.29905e-12	1.18172e-13	9.92715e-14	3.01116e-11	2.49864e-09	5.552e-13	8.00532e-13	3.39999e-06	1.26338e-12	3.27921e-12	5.14338e-14	5.1408e-13	4.58994e-15
34	8.42059e-12	1.53447e-11	9.95028e-09	2.05186e-13	1.33144e-10	1.75217e-11	2.21653e-12	1.16533e-13	1.59979e-07	3.53366e-14	8.99976e-08	4.40499e-14	2.2693e-12	1.39996e-06	6.99672e-10	3.13301e-13	1.48771e-17	2.8457e-17	1.48421e-14	1.48421e-14	1.99906e-08	9.12465e-12	1.37012e-13	1.15102e-13	3.61111e-11	2.49858e-09	5.93815e-13	8.28813e-13	3.39999e-06	1.35143e-12	4.07678e-12	5.51513e-14	5.6602e-13	4.75103e-15
35	8.17928e-12	1.55611e-11	9.94776e-09	2.03536e-13	1.35419e-10	1.80217e-11	2.34813e-12	1.156e-13	1.59979e-07	3.50543e-14	8.99976e-08	4.36983e-14	2.34442e-12	1.39995e-06	6.9964e-10	3.4326e-13	1.74251e-17	3.33531e-17	1.6811e-14	1.6811e-14	1.99897e-08	9.99857e-12	1.57934e-13	1.32681e-13	4.30151e-11	2.49851e-09	6.33553e-13	8.56867e-13	3.39999e-06	1.44207e-12	5.0299e-12	5.89946e-14	6.21111e-13	4.91085e-15
36	7.94653e-12	1.57691e-11	9.94519e-09	2.01852e-13	1.37758e-10	1.85087e-11	2.48175e-12	1.14647e-13	1.59978e-07	3.47661e-14	8.99975e-08	4.33391e-14	2.41878e-12	1.39994e-06	6.99606e-10	3.74886e-13	2.02998e-17	3.88798e-17	1.89647e-14	1.89647e-14	1.99887e-08	1.09214e-11	1.81055e-13	1.5211e-13	5.09151e-11	2.49844e-09	6.74385e-13	8.8469e-13	3.39999e-06	1.53523e-12	6.16151e-12	6.29625e-14	6.79404e-13	5.06936e-15
37	7.72205e-12	1.59692e-11	9.94256e-09	2.00145e-13	1.40158e-10	1.89824e-11	2.6172e-12	1.13679e-13	1.59977e-07	3.44733e-14	8.99974e-08	4.29742e-14	2.49237e-12	1.39993e-06	6.9957e-10	4.08198e-13	2.35288e-17	4.50908e-17	2.13132e-14	2.13132e-14	1.99877e-08	1.18937e-11	2.06492e-13	1.73484e-13	5.99058e-11	2.49837e-09	7.16281e-13	9.12277e-13	3.39999e-06	1.63084e-12	7.49674e-12	6.70535e-14	7.40945e-13	5.22654e-15
38	7.50553e-12	1.61616e-11	9.93989e-09	1.9842e-13	1.42619e-10	1.94427e-11	2.75431e-12	1.12702e-13	1.59977e-07	3.41774e-14	8.99973e-08	4.26055e-14	2.56517e-12	1.39992e-06	6.99533e-10	4.43209e-13	2.71408e-17	5.20421e-17	2.38666e-14	2.38666e-14	1.99867e-08	1.2916e-11	2.34356e-13	1.96898e-13	7.0087e-11	2.4983e-09	7.5921e-13	9.39625e-13	3.39999e-06	1.72883e-12	9.06318e-12	7.12665e-14	8.05776e-13	5.38238e-15
39	7.29668e-12	1.63465e-11	9.93716e-09	1.96686e-13	1.45137e-10	1.98895e-11	2.89293e-12	1.11718e-13	1.59976e-07	3.38797e-14	8.99972e-08	4.22343e-14	2.63718e-12	1.3999e-06	6.99493e-10	4.79931e-13	3.11658e-17	5.97914e-17	2.66353e-14	2.66353e-14	1.99855e-08	1.39887e-11	2.64756e-13	2.22442e-13	8.15608e-11	2.49823e-09	8.03141e-13	9.66732e-13	3.39999e-06	1.82913e-12	1.08908e-11	7.56001e-14	8.73936e-13	5.53687e-15
40	7.09524e-12	1.65243e-11	9.93438e-09	1.94948e-13	1.47712e-10	2.03226e-11	3.03289e-12	1.10732e-13	1.59975e-07	3.3581e-14	8.99972e-08	4.18619e-14	2.7084e-12	1.39989e-06	6.99452e-10	5.18372e-13	3.56343e-17	6.83984e-17	2.96294e-14	2.96294e-14	1.99843e-08	1.51121e-11	2.97795e-13	2.50204e-13	9.44324e-11	2.49816e-09	8.48044e-13	9.93598e-13	3.39998e-06	1.93168e-12	1.30119e-11	8.00531e-14	9.45459e-13	5.69001e-15
41	6.90093e-12	1.66953e-11	9.93156e-09	1.93211e-13	1.50342e-10	2.07419e-11	3.17403e-12	1.09745e-13	1.59975e-07	3.32824e-14	8.99971e-08	4.14895e-14	2.77884e-12	1.39987e-06	6.99408e-10	5.58539e-13	4.05781e-17	7.79247e-17	3.28594e-14	3.28594e-14	1.99831e-08	1.62867e-11	3.3357e-13	2.80266e-13	1.08811e-10	2.49809e-09	8.93887e-13	1.02022e-12	3.39998e-06	2.03639e-12	1.54617e-11	8.4624e-14	1.02037e-12	5.84178e-15
42	6.71351e-12	1.68596e-11	9.92869e-09	1.91479e-13	1.53024e-10	2.11474e-11	3.31623e-12	1.08762e-13	1.59974e-07	3.29846e-14	8.9997e-08	4.11182e-14	2.84848e-12	1.39985e-06	6.99363e-10	6.00438e-13	4.60297e-17	8.84337e-17	3.63356e-14	3.63356e-14	1.99818e-08	1.75125e-11	3.72176e-13	3.12706e-13	1.24807e-10	2.49801e-09	9.40639e-13	1.0466e-12	3.39998e-06	2.14322e-12	1.82779e-11	8.93116e-14	1.09871e-12	5.9922e-15
43	6.53271e-12	1.70174e-11	9.92578e-09	1.89757e-13	1.55757e-10	2.15391e-11	3.45933e-12	1.07784e-13	1.59973e-07	3.26883e-14	8.99969e-08	4.07486e-14	2.91734e-12	1.39983e-06	6.99316e-10	6.44072e-13	5.20227e-17	9.99903e-17	4.00684e-14	4.00684e-14	1.99804e-08	1.87899e-11	4.137e-13	3.47597e-13	1.42533e-10	2.49794e-09	9.88268e-13	1.07275e-12	3.39997e-06	2.25207e-12	2.15008e-11	9.41146e-14	1.18049e-12	6.14126e-15
44	6.35832e-12	1.71691e-11	9.92282e-09	1.88048e-13	1.5854e-10	2.19169e-11	3.60321e-12	1.06813e-13	1.59973e-07	3.23941e-14	8.99969e-08	4.03816e-14	2.98542e-12	1.39981e-06	6.99266e-10	6.8944e-13	5.85911e-17	1.12661e-16	4.40683e-14	4.40683e-14	1.9979e-08	2.0119e-11	4.58222e-13	3.85007e-13	1.62105e-10	2.49786e-09	1.03674e-12	1.09865e-12	3.39997e-06	2.36289e-12	2.51738e-11	9.90316e-14	1.26573e-12	6.28899e-15
45	6.19009e-12	1.73148e-11	9.91982e-09	1.86354e-13	1.61369e-10	2.22809e-11	3.74775e-12	1.0585e-13	1.59972e-07	3.21025e-14	8.99968e-08	4.00178e-14	3.05273e-12	1.39978e-06	6.99215e-10	7.36542e-13	6.57701e-17	1.26514e-16	4.83456e-14	4.83456e-14	1.99776e-08	2.15e-11	5.05817e-13	4.24997e-13	1.83638e-10	2.49779e-09	1.08603e-12	1.12431e-12	3.39997e-06	2.4756e-12	2.93425e-11	1.04061e-13	1.35446e-12	6.43538e-15
46	6.02782e-12	1.74548e-11	9.91678e-09	1.84678e-13	1.64244e-10	2.26312e-11	3.89285e-12	1.04898e-13	1.59971e-07	3.18138e-14	8.99967e-08	3.96577e-14	3.11928e-12	1.39975e-06	6.99161e-10	7.85376e-13	7.35954e-17	1.41619e-16	5.29107e-14	5.29107e-14	1.9976e-08	2.2933e-11	5.56554e-13	4.67627e-13	2.07249e-10	2.49771e-09	1.13611e-12	1.14974e-12	3.39996e-06	2.59013e-12	3.40558e-11	1.09203e-13	1.44668e-12	6.58045e-15
