Time	[(GLU) glucose]	[(ENZ) hexokinase]	[(ENG) hexokinase-glucose intermediate]	[(TP1) adenosine triphosphate in store 1 (cytoplasm)]	[(ADP) adenosine diphosphate]	[(GLP) glucose 6-phosphate]	[(ETZ) phosphofructokinase]	[(ETG) phosphofructokinase intermediate]	[(GPP) hexose diphosphate]	[(GAP) glyceraldehyde 3-phosphate]	[(DHA) dihydroxacetone phosphate]	[(DPN) extramitochondrial diphospyridine nucleotide]	[(DPH) extramitochondrial reduced diphospyridine nucleotide]	[(PID) inorganic phosphate]	[(PGA) 3 phosphoglycerate]	[(PYR) pyruvate]	[(LAC) lactate]	[(DIN) intramitochondrial diphospyridine nucleotide]	[(DIH) intramitochondrial reduced diphospyridine nucleotide]	[(XI) low energy intermediate in oxidative phosphorylation]	[(XSI) high energy intermediate in oxidative phosphorylation]	[(OXY) oxygen]	[(XSP) phosphorylated intermediate in oxidative phosphorylation]	[(TP2) adenosine triphosphate in store 2 (mitochondria)]	[(DBP) dibromophenol]	[(PUE) enzyme concerned in ATP utilization]	[(PPP) enzyme intermediate concerned in ATP utilization]	[(AGP) alpha-glycerophosphate]	[(MOD) glyceraldehyde 3-phoshphate dehydrogenase-DPN complex]	[(MOB) acyl enzyme intermediate of glyceraldehyde 3-phoshphate dehydrogenase]	[(MOX) glyceraldehyde 3-phoshphate dehydrogenase]
76	0.00281232	9.75371e-07	9.02463e-06	9.06483e-05	9.51626e-05	3.51093e-05	7.20963e-06	2.79037e-06	8.33401e-05	3.67535e-07	5.07459e-05	0.000193142	1.9122e-05	0.0037111	1.33502e-05	0.000867757	0.00113126	3.43781e-05	2.56219e-05	4.61279e-05	6.80044e-06	0.000370436	7.0717e-06	0.000914821	0	2.63203e-06	3.67973e-07	6.66547e-06	3.77355e-05	5.48099e-06	6.78353e-06
77	0.00280429	9.32915e-07	9.06708e-06	8.61529e-05	8.98324e-05	3.32451e-05	7.21294e-06	2.78706e-06	8.47839e-05	3.78038e-07	5.71945e-05	0.000193268	1.93911e-05	0.00369367	1.4509e-05	0.000867429	0.00113743	3.51858e-05	2.48142e-05	4.6303e-05	6.57096e-06	0.000367213	7.12604e-06	0.000924665	0	2.64979e-06	3.50208e-07	8.62856e-06	3.73413e-05	5.64077e-06	7.01796e-06
78	0.0027966	9.00464e-07	9.09954e-06	8.27108e-05	8.39092e-05	3.15533e-05	7.23287e-06	2.76713e-06	8.56333e-05	3.8483e-07	6.35215e-05	0.000193453	1.94824e-05	0.00367642	1.56699e-05	0.000867138	0.00114365	3.58318e-05	2.41682e-05	4.63501e-05	6.36905e-06	0.000364102	7.28081e-06	0.000934044	0	2.66351e-06	3.36485e-07	1.08268e-05	3.70648e-05	5.75531e-06	7.17984e-06
79	0.00278916	8.75248e-07	9.12475e-06	8.00157e-05	7.76516e-05	3.00396e-05	7.26295e-06	2.73705e-06	8.60013e-05	3.88488e-07	6.96987e-05	0.000193678	1.94359e-05	0.00365937	1.68568e-05	0.000866858	0.00114987	3.63395e-05	2.36605e-05	4.62796e-05	6.19154e-06	0.000361091	7.52888e-06	0.000943007	0	2.67425e-06	3.2575e-07	1.32349e-05	3.6886e-05	5.83241e-06	7.28157e-06
80	0.00278194	8.54968e-07	9.14503e-06	7.78229e-05	7.12659e-05	2.86979e-05	7.29759e-06	2.70241e-06	8.59821e-05	3.89552e-07	7.57092e-05	0.000193927	1.92863e-05	0.00364253	1.80869e-05	0.000866565	0.00115603	3.67286e-05	2.32714e-05	4.60981e-05	6.03481e-06	0.000358168	7.8671e-06	0.000951594	0	2.68289e-06	3.1711e-07	1.58266e-05	3.6787e-05	5.87873e-06	7.33427e-06
81	0.00277488	8.37751e-07	9.16225e-06	7.59395e-05	6.49151e-05	2.75136e-05	7.33235e-06	2.66765e-06	8.56529e-05	3.8851e-07	8.15437e-05	0.000194185	1.90625e-05	0.00362592	1.93724e-05	0.000866238	0.00116209	3.70156e-05	2.29844e-05	4.58099e-05	5.89515e-06	0.000355325	8.295e-06	0.000959836	0	2.69017e-06	3.09835e-07	1.85761e-05	3.67526e-05	5.89989e-06	7.34753e-06
82	0.00276798	8.22101e-07	9.1779e-06	7.42154e-05	5.87265e-05	2.64672e-05	7.36396e-06	2.63604e-06	8.50765e-05	3.85781e-07	8.71987e-05	0.000194442	1.87876e-05	0.00360956	2.07215e-05	0.000865852	0.00116803	3.72143e-05	2.27857e-05	4.5417e-05	5.76902e-06	0.000352554	8.81396e-06	0.000967755	0	2.69666e-06	3.03337e-07	2.14594e-05	3.677e-05	5.90055e-06	7.3294e-06
83	0.00276123	8.06854e-07	9.19315e-06	7.25363e-05	5.27979e-05	2.55365e-05	7.39027e-06	2.60973e-06	8.4303e-05	3.81716e-07	9.2674e-05	0.000194692	1.84795e-05	0.00359344	2.21392e-05	0.000865386	0.00117381	3.73361e-05	2.26639e-05	4.49204e-05	5.65313e-06	0.000349851	9.42645e-06	0.000975369	0	2.70284e-06	2.97156e-07	2.44545e-05	3.6829e-05	5.88451e-06	7.28648e-06
84	0.00275462	7.9113e-07	9.20887e-06	7.08185e-05	4.72017e-05	2.46986e-05	7.40999e-06	2.59001e-06	8.33713e-05	3.766e-07	9.79717e-05	0.000194927	1.81515e-05	0.00357758	2.36272e-05	0.000864821	0.00117944	3.739e-05	2.261e-05	4.43201e-05	5.5445e-06	0.00034721	1.01354e-05	0.000982689	0	2.70906e-06	2.9094e-07	2.75417e-05	3.69211e-05	5.8548e-06	7.2241e-06
85	0.00274816	7.74295e-07	9.2257e-06	6.90041e-05	4.19886e-05	2.39312e-05	7.42256e-06	2.57744e-06	8.23109e-05	3.70655e-07	0.000103095	0.000195147	1.78135e-05	0.00356198	2.51847e-05	0.00086414	0.00118491	3.73835e-05	2.26165e-05	4.36158e-05	5.44047e-06	0.000344631	1.09438e-05	0.000989723	0	2.71557e-06	2.84435e-07	3.07034e-05	3.70398e-05	5.81377e-06	7.14642e-06
86	0.00274185	7.55934e-07	9.24407e-06	6.70567e-05	3.71905e-05	2.32139e-05	7.42791e-06	2.57209e-06	8.11435e-05	3.64049e-07	0.000108048	0.000195348	1.74721e-05	0.00354665	2.68079e-05	0.000863331	0.00119021	3.73224e-05	2.26776e-05	4.28076e-05	5.33872e-06	0.000342111	1.18537e-05	0.000996475	0	2.72253e-06	2.77466e-07	3.39241e-05	3.71801e-05	5.76323e-06	7.05666e-06
87	0.00273572	7.35811e-07	9.26419e-06	6.49586e-05	3.28226e-05	2.25287e-05	7.42632e-06	2.57368e-06	7.98844e-05	3.56909e-07	0.000112834	0.00019553	1.7132e-05	0.0035316	2.8491e-05	0.000862385	0.00119535	3.72111e-05	2.27889e-05	4.18965e-05	5.23727e-06	0.000339649	1.28662e-05	0.00100295	0	2.73007e-06	2.69931e-07	3.71901e-05	3.73383e-05	5.70447e-06	6.9572e-06
88	0.00272978	7.13851e-07	9.28615e-06	6.27074e-05	2.88859e-05	2.18607e-05	7.41828e-06	2.58172e-06	7.8544e-05	3.4932e-07	0.000117457	0.000195692	1.67958e-05	0.00351682	3.02257e-05	0.000861299	0.00120031	3.70533e-05	2.29467e-05	4.08847e-05	5.13448e-06	0.000337247	1.39809e-05	0.00100914	0	2.73821e-06	2.61786e-07	4.0489e-05	3.75118e-05	5.6384e-06	6.84977e-06
89	0.00272404	6.90107e-07	9.30989e-06	6.03126e-05	2.53695e-05	2.1198e-05	7.40443e-06	2.59557e-06	7.71288e-05	3.41347e-07	0.000121921	0.000195836	1.64649e-05	0.00350234	3.20025e-05	0.000860072	0.00120511	3.68516e-05	2.31484e-05	3.97758e-05	5.02901e-06	0.000334904	1.51952e-05	0.00101506	0	2.74696e-06	2.53035e-07	4.38099e-05	3.76989e-05	5.5656e-06	6.73554e-06
90	0.00271851	6.64735e-07	9.33526e-06	5.77932e-05	2.22527e-05	2.05317e-05	7.38545e-06	2.61455e-06	7.56429e-05	3.33031e-07	0.000126227	0.000195962	1.614e-05	0.00348815	3.38103e-05	0.000858711	0.00120975	3.66081e-05	2.33919e-05	3.85753e-05	4.91984e-06	0.000332622	1.65048e-05	0.00102071	0	2.75628e-06	2.43725e-07	4.71427e-05	3.78982e-05	5.48645e-06	6.61531e-06
91	0.0027132	6.37967e-07	9.36203e-06	5.51741e-05	1.95078e-05	1.98559e-05	7.36206e-06	2.63794e-06	7.40892e-05	3.24404e-07	0.000130379	0.00019607	1.5821e-05	0.00347428	3.56379e-05	0.000857224	0.00121423	3.63244e-05	2.36756e-05	3.72904e-05	4.80624e-06	0.000330402	1.79034e-05	0.00102608	0	2.76607e-06	2.33928e-07	5.04781e-05	3.81093e-05	5.40114e-06	6.48955e-06
92	0.00270812	6.10086e-07	9.38991e-06	5.24843e-05	1.71026e-05	1.91674e-05	7.33495e-06	2.66505e-06	7.24695e-05	3.15492e-07	0.000134378	0.000196161	1.55073e-05	0.00346072	3.74736e-05	0.000855621	0.00121856	3.60019e-05	2.39981e-05	3.59295e-05	4.68774e-06	0.000328247	1.93828e-05	0.00103119	0	2.77626e-06	2.2374e-07	5.38072e-05	3.83316e-05	5.30981e-06	6.35858e-06
93	0.00270329	5.81399e-07	9.4186e-06	4.97534e-05	1.50027e-05	1.8465e-05	7.30479e-06	2.69521e-06	7.07859e-05	3.06318e-07	0.000138227	0.000196237	1.51984e-05	0.0034475	3.93062e-05	0.000853917	0.00122272	3.56415e-05	2.43585e-05	3.45024e-05	4.56405e-06	0.000326157	2.09335e-05	0.00103603	0	2.78673e-06	2.13265e-07	5.7122e-05	3.85649e-05	5.21254e-06	6.22256e-06
94	0.00269869	5.52219e-07	9.44778e-06	4.70109e-05	1.31735e-05	1.77494e-05	7.2722e-06	2.7278e-06	6.90409e-05	2.96908e-07	0.000141926	0.000196297	1.48937e-05	0.00343461	4.11251e-05	0.000852126	0.00122674	3.52443e-05	2.47557e-05	3.30199e-05	4.4351e-06	0.000324136	2.2545e-05	0.00104061	0	2.79739e-06	2.02613e-07	6.04145e-05	3.88089e-05	5.10944e-06	6.08166e-06
95	0.00269435	5.22848e-07	9.47715e-06	4.42836e-05	1.15819e-05	1.70226e-05	7.23772e-06	2.76228e-06	6.72378e-05	2.8729e-07	0.000145478	0.000196344	1.45925e-05	0.00342208	4.29205e-05	0.000850263	0.0012306	3.4811e-05	2.5189e-05	3.1493e-05	4.30094e-06	0.000322183	2.42061e-05	0.00104494	0	2.80811e-06	1.91891e-07	6.36773e-05	3.90633e-05	5.00065e-06	5.93602e-06
96	0.00269024	4.93565e-07	9.50644e-06	4.15957e-05	1.01972e-05	1.62878e-05	7.20185e-06	2.79815e-06	6.53808e-05	2.77495e-07	0.000148883	0.000196378	1.42944e-05	0.00340992	4.46835e-05	0.000848343	0.00123431	3.43425e-05	2.56575e-05	2.99331e-05	4.16176e-06	0.000320302	2.59051e-05	0.00104903	0	2.8188e-06	1.81199e-07	6.69033e-05	3.93278e-05	4.88639e-06	5.78583e-06
97	0.00268638	4.64619e-07	9.53538e-06	3.89677e-05	8.99185e-06	1.55483e-05	7.165e-06	2.835e-06	6.34748e-05	2.67559e-07	0.000152144	0.000196399	1.3999e-05	0.00339813	4.64063e-05	0.000846381	0.00123788	3.38397e-05	2.61603e-05	2.83518e-05	4.01782e-06	0.000318494	2.76304e-05	0.00105287	0	2.82937e-06	1.70625e-07	7.00857e-05	3.96017e-05	4.76691e-06	5.63135e-06
98	0.00268275	4.36225e-07	9.56378e-06	3.64165e-05	7.94145e-06	1.48082e-05	7.12754e-06	2.87246e-06	6.15258e-05	2.57521e-07	0.000155261	0.000196409	1.37061e-05	0.00338672	4.80823e-05	0.000844389	0.0012413	3.33036e-05	2.66964e-05	2.67602e-05	3.8695e-06	0.000316759	2.93703e-05	0.00105648	0	2.83975e-06	1.60248e-07	7.32183e-05	3.98845e-05	4.64259e-06	5.4729e-06
99	0.00267935	4.08563e-07	9.59144e-06	3.39554e-05	7.02478e-06	1.40715e-05	7.08977e-06	2.91023e-06	5.95403e-05	2.47422e-07	0.000158238	0.000196409	1.34158e-05	0.00337571	4.97059e-05	0.000842381	0.00124457	3.27351e-05	2.72649e-05	2.51695e-05	3.71725e-06	0.0003151	3.11133e-05	0.00105987	0	2.84987e-06	1.50134e-07	7.6295e-05	4.01753e-05	4.51384e-06	5.31088e-06
100	0.00267618	3.81781e-07	9.61822e-06	3.15946e-05	6.22352e-06	1.3342e-05	7.05195e-06	2.94805e-06	5.75256e-05	2.37305e-07	0.000161076	0.000196399	1.31282e-05	0.0033651	5.12725e-05	0.000840369	0.00124771	3.21354e-05	2.78646e-05	2.359e-05	3.56158e-06	0.000313516	3.28484e-05	0.00106304	0	2.85966e-06	1.40337e-07	7.93105e-05	4.04731e-05	4.38113e-06	5.14574e-06
