Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[IXa_ATIII_Heparin]	[A_warf]	[VK_p]
34	0	0.7	0	0	64.4031	0	0	30.6	0	4.92541	0	139.45	0	0	26.7	0	1222.46	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	37.0096	50	0	0	0	0	2.5	243.949	0.0399277	0	0	375	0	0	0	1.00358	0.551836	0.111762	450	81.7874	0	0	0	0	0	0	0.000493636	115.485
35	0	0.7	0	0	63.5807	0	0	30.6	0	4.81811	0	138.199	0	0	26.7	0	1215.81	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	36.3683	50	0	0	0	0	2.5	241.909	0.0396379	0	0	375	0	0	0	1.0036	0.54094	0.111083	450	81.7874	0	0	0	0	0	0	0.000181598	115.485
36	0	0.7	0	0	62.7765	0	0	30.6	0	4.7206	0	136.964	0	0	26.7	0	1209.2	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	35.7522	50	0	0	0	0	2.5	239.893	0.0395039	0	0	375	0	0	0	1.00357	0.53024	0.110302	450	81.7874	0	0	0	0	0	0	6.68062e-05	115.486
37	0	0.7	0	0	61.9935	0	0	30.6	0	4.63335	0	135.748	0	0	26.7	0	1202.65	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	35.1641	50	0	0	0	0	2.5	237.906	0.0394942	0	0	375	0	0	0	1.0035	0.519744	0.109458	450	81.7874	0	0	0	0	0	0	2.45766e-05	115.486
38	0	0.7	0	0	61.234	0	0	30.6	0	4.55644	0	134.556	0	0	26.7	0	1196.17	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	34.6059	50	0	0	0	0	2.5	235.953	0.0395834	0	0	375	0	0	0	1.00338	0.509454	0.108581	450	81.7874	0	0	0	0	0	0	9.04123e-06	115.486
39	0	0.7	0	0	60.4995	0	0	30.6	0	4.48971	0	133.389	0	0	26.7	0	1189.77	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	34.0788	50	0	0	0	0	2.5	234.039	0.0397516	0	0	375	0	0	0	1.00323	0.499367	0.107697	450	81.7874	0	0	0	0	0	0	3.32608e-06	115.486
40	0	0.7	0	0	59.7911	0	0	30.6	0	4.43281	0	132.249	0	0	26.7	0	1183.46	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	33.5832	50	0	0	0	0	2.5	232.166	0.0399827	0	0	375	0	0	0	1.00305	0.489479	0.10682	450	81.7874	0	0	0	0	0	0	1.2236e-06	115.486
41	0	0.7	0	0	59.1096	0	0	30.6	0	4.38525	0	131.137	0	0	26.7	0	1177.25	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	33.1194	50	0	0	0	0	2.5	230.336	0.040264	0	0	375	0	0	0	1.00285	0.479787	0.105966	450	81.7874	0	0	0	0	0	0	4.50135e-07	115.487
42	0	0.7	0	0	58.4553	0	0	30.6	0	4.34649	0	130.054	0	0	26.7	0	1171.15	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	32.687	50	0	0	0	0	2.5	228.552	0.0405855	0	0	375	0	0	0	1.00264	0.470287	0.105143	450	81.7874	0	0	0	0	0	0	1.65596e-07	115.487
43	0	0.7	0	0	57.8283	0	0	30.6	0	4.31594	0	129.002	0	0	26.7	0	1165.15	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	32.2856	50	0	0	0	0	2.5	226.812	0.0409391	0	0	375	0	0	0	1.00241	0.460974	0.104357	450	81.7874	0	0	0	0	0	0	6.09189e-08	115.487
