Time	[IAAm]	[IAAp]	[AuxTIR1]	[AuxTIAA]	[IAAs]	[ARFIAA]	[ARF2]	[Aux]	[PINm]	[PINp]	[ARm]	[ARp]	[TIR1]	[ARF]	[CRm]	[CRp]	[AHKph]	[Ck]	[ARRBph]	[ARRAph]	[ARRAm]	[ARRAp]	[ARRBp]	[CkAHKph]	[CkAHK]	[F1]	[F2]	[F3]	[F4]	[F5a]	[F5b]	[F6]
44	0.416164	1831.48	0.000647981	0.539346	0.539246	0.999454	2.94177e-07	1.62602e-05	0.00273597	0.0027358	5.47195e-05	5.47159e-05	0.460006	0.000545709	1.63972	1.63973	0.21686	0.989548	0.54803	0.0205172	0.0543689	0.0543645	1.45197	0.214592	0.568548	0.000206124	1.22364e-06	0.207	0.819733	0.000259929	1.54305e-06	0.00054686
45	0.416181	1818.65	0.000664627	0.549329	0.549229	0.99945	2.97995e-07	1.69914e-05	0.0027545	0.0027543	5.509e-05	5.50861e-05	0.450006	0.000549556	1.63945	1.63945	0.21671	0.9904	0.548019	0.0206425	0.0547035	0.0546986	1.45198	0.214629	0.568661	0.000207578	1.23966e-06	0.206997	0.819576	0.000261762	1.56325e-06	0.000550558
46	0.41619	1804.83	0.000681886	0.559312	0.559212	0.999446	3.02219e-07	1.77698e-05	0.00277488	0.00277467	5.54976e-05	5.54934e-05	0.440006	0.000553763	1.63913	1.63914	0.216569	0.991179	0.547993	0.0207805	0.0550739	0.0550685	1.45201	0.214657	0.568774	0.000209169	1.25738e-06	0.20699	0.8194	0.000263766	1.58558e-06	0.000554626
47	0.416194	1790	0.0006998	0.569293	0.569194	0.999441	3.06872e-07	1.85996e-05	0.0027972	0.00279696	5.59439e-05	5.59393e-05	0.430007	0.000558345	1.63878	1.63878	0.216435	0.991891	0.547954	0.0209318	0.0554814	0.0554756	1.45205	0.214679	0.568886	0.000210903	1.2769e-06	0.206979	0.819204	0.000265949	1.61018e-06	0.00055908
48	0.416191	1774.19	0.000718416	0.579275	0.579175	0.999436	3.11982e-07	1.94857e-05	0.00282154	0.00282128	5.64307e-05	5.64256e-05	0.420007	0.000563321	1.63839	1.63839	0.216308	0.992542	0.547902	0.021097	0.0559276	0.0559213	1.4521	0.214693	0.568999	0.000212787	1.29834e-06	0.206963	0.818988	0.00026832	1.63718e-06	0.000563938
49	0.416181	1757.37	0.000737785	0.589255	0.589155	0.999431	3.17579e-07	2.04334e-05	0.00284799	0.00284772	5.69598e-05	5.69543e-05	0.410007	0.000568709	1.63795	1.63796	0.216186	0.993136	0.547837	0.0212767	0.0564143	0.0564074	1.45216	0.214701	0.569113	0.000214828	1.32182e-06	0.206944	0.81875	0.000270887	1.66674e-06	0.000569219
50	0.416166	1739.55	0.000757963	0.599234	0.599135	0.999425	3.23696e-07	2.14486e-05	0.00287667	0.00287638	5.75335e-05	5.75275e-05	0.400008	0.00057453	1.63748	1.63748	0.216069	0.993678	0.547758	0.0214715	0.0569434	0.0569359	1.45224	0.214702	0.569229	0.000217034	1.34748e-06	0.206921	0.81849	0.00027366	1.69905e-06	0.000574944
51	0.416144	1720.73	0.00077901	0.609213	0.609113	0.999419	3.30371e-07	2.25382e-05	0.0029077	0.00290738	5.81541e-05	5.81476e-05	0.390008	0.000580809	1.63696	1.63696	0.215956	0.994172	0.547665	0.0216823	0.0575171	0.057509	1.45233	0.214696	0.569348	0.000219414	1.37549e-06	0.206894	0.818208	0.000276652	1.73431e-06	0.000581138
52	0.416116	1700.92	0.000800991	0.619191	0.619091	0.999412	3.37648e-07	2.37097e-05	0.00294122	0.00294087	5.88243e-05	5.88174e-05	0.380008	0.000587572	1.63639	1.6364	0.215846	0.994622	0.547559	0.0219099	0.0581378	0.058129	1.45244	0.214685	0.569469	0.000221979	1.40603e-06	0.206862	0.817901	0.000279874	1.77274e-06	0.000587828
53	0.416082	1680.1	0.00082398	0.629167	0.629068	0.999404	3.45575e-07	2.49717e-05	0.00297736	0.00297698	5.95472e-05	5.95397e-05	0.370009	0.000594848	1.63578	1.63578	0.215739	0.995032	0.547439	0.0221553	0.0588081	0.0587986	1.45256	0.214667	0.569594	0.000224739	1.43929e-06	0.206827	0.817568	0.000283341	1.8146e-06	0.000595042
