Time	[Fungal pathogen]	[Bacterial pathogen]	[LysM]	[PRRs]	[FLS2]	[LRR]	[MAPKKK]	[MAPKKK]	[MAPKKK1]	[MAPKKK18]	[MAPKKK19]	[MAPKKK20]	[EDR1]	[MAPKK]	[MAPKK]	[MAPKK2]	[MAPKK4]	[MAPKK5]	[MAPKK9]	[MAPK]	[MAPK]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1]	[MYB2]	[MYB2]	[WRKY33]	[WRKY33]	[WRKY6]	[WRKY6]	[MYB4]	[MYB4]	[WRKY25]	[WRKY25]	[WRKY12]	[WRKY12]	[WRKY22]	[WRKY22]	[WRKY28]	[WRKY28]	[WRKY29]	[WRKY29]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	[SIMK]	[SAMK]
31	1.15573	1.15633	1.15569	1.15591	1.15638	1.15742	1.15645	1.15645	1.16003	1.15694	1.15748	1.15694	1.15664	1.15908	1.15908	1.16169	1.16192	1.16175	1.15903	1.16218	1.16218	1.16258	1.163	1.1632	1.163	1.16322	1.16322	1.16382	1.16382	1.16328	1.16328	1.16371	1.16371	1.16356	1.16356	1.16371	1.16371	1.16356	1.16356	1.16332	1.16332	1.16332	1.16332	1.16332	1.16332	1.16373	1.16373	1.16373	1.16373	1.1638	1.16364	1.16364
32	1.15648	1.157	1.15644	1.15664	1.15705	1.15795	1.15711	1.15711	1.16022	1.15753	1.158	1.15753	1.15727	1.1594	1.1594	1.16167	1.16187	1.16172	1.15935	1.1621	1.1621	1.16245	1.16281	1.16298	1.16281	1.16301	1.16301	1.16353	1.16353	1.16306	1.16306	1.16343	1.16343	1.1633	1.1633	1.16343	1.16343	1.1633	1.1633	1.16309	1.16309	1.16309	1.16309	1.16309	1.16309	1.16344	1.16344	1.16344	1.16344	1.16351	1.16337	1.16337
33	1.15713	1.15759	1.1571	1.15727	1.15763	1.15841	1.15768	1.15768	1.16039	1.15805	1.15845	1.15805	1.15782	1.15967	1.15967	1.16165	1.16183	1.1617	1.15963	1.16203	1.16203	1.16233	1.16265	1.1628	1.16265	1.16282	1.16282	1.16327	1.16327	1.16286	1.16286	1.16318	1.16318	1.16307	1.16307	1.16318	1.16318	1.16307	1.16307	1.16289	1.16289	1.16289	1.16289	1.16289	1.16289	1.1632	1.1632	1.1632	1.1632	1.16325	1.16314	1.16314
34	1.1577	1.15809	1.15767	1.15782	1.15813	1.15881	1.15818	1.15818	1.16054	1.1585	1.15885	1.1585	1.1583	1.15991	1.15991	1.16164	1.16179	1.16168	1.15988	1.16197	1.16197	1.16223	1.16251	1.16264	1.16251	1.16265	1.16265	1.16305	1.16305	1.16269	1.16269	1.16297	1.16297	1.16288	1.16288	1.16297	1.16297	1.16288	1.16288	1.16272	1.16272	1.16272	1.16272	1.16272	1.16272	1.16299	1.16299	1.16299	1.16299	1.16303	1.16293	1.16293
35	1.15819	1.15854	1.15817	1.1583	1.15857	1.15916	1.15861	1.15861	1.16067	1.15889	1.1592	1.15889	1.15872	1.16012	1.16012	1.16163	1.16176	1.16166	1.16009	1.16191	1.16191	1.16214	1.16238	1.1625	1.16238	1.16251	1.16251	1.16286	1.16286	1.16254	1.16254	1.16279	1.16279	1.1627	1.1627	1.16279	1.16279	1.1627	1.1627	1.16257	1.16257	1.16257	1.16257	1.16257	1.16257	1.1628	1.1628	1.1628	1.1628	1.16284	1.16275	1.16275
36	1.15862	1.15892	1.1586	1.15871	1.15895	1.15947	1.15899	1.15899	1.16078	1.15923	1.1595	1.15923	1.15908	1.1603	1.1603	1.16161	1.16173	1.16164	1.16028	1.16186	1.16186	1.16206	1.16227	1.16237	1.16227	1.16238	1.16238	1.16269	1.16269	1.16241	1.16241	1.16263	1.16263	1.16255	1.16255	1.16263	1.16263	1.16255	1.16255	1.16243	1.16243	1.16243	1.16243	1.16243	1.16243	1.16264	1.16264	1.16264	1.16264	1.16267	1.1626	1.1626
37	1.159	1.15926	1.15898	1.15908	1.15928	1.15973	1.15931	1.15931	1.16088	1.15953	1.15976	1.15953	1.1594	1.16046	1.16046	1.1616	1.16171	1.16163	1.16044	1.16182	1.16182	1.162	1.16218	1.16226	1.16218	1.16228	1.16228	1.16254	1.16254	1.1623	1.1623	1.16249	1.16249	1.16242	1.16242	1.16249	1.16249	1.16242	1.16242	1.16232	1.16232	1.16232	1.16232	1.16232	1.16232	1.1625	1.1625	1.1625	1.1625	1.16253	1.16246	1.16246
38	1.15932	1.15955	1.15931	1.15939	1.15957	1.15997	1.1596	1.1596	1.16096	1.15979	1.15999	1.15979	1.15967	1.1606	1.1606	1.1616	1.16168	1.16162	1.16058	1.16178	1.16178	1.16194	1.1621	1.16217	1.1621	1.16218	1.16218	1.16241	1.16241	1.1622	1.1622	1.16237	1.16237	1.16231	1.16231	1.16237	1.16237	1.16231	1.16231	1.16222	1.16222	1.16222	1.16222	1.16222	1.16222	1.16237	1.16237	1.16237	1.16237	1.1624	1.16234	1.16234
39	1.15961	1.15981	1.1596	1.15967	1.15983	1.16017	1.15985	1.15985	1.16104	1.16001	1.16019	1.16001	1.15991	1.16072	1.16072	1.16159	1.16166	1.16161	1.1607	1.16175	1.16175	1.16189	1.16203	1.16209	1.16203	1.1621	1.1621	1.1623	1.1623	1.16212	1.16212	1.16226	1.16226	1.16221	1.16221	1.16226	1.16226	1.16221	1.16221	1.16213	1.16213	1.16213	1.16213	1.16213	1.16213	1.16227	1.16227	1.16227	1.16227	1.16229	1.16224	1.16224
40	1.15986	1.16003	1.15985	1.15991	1.16005	1.16034	1.16007	1.16007	1.1611	1.16021	1.16036	1.16021	1.16012	1.16083	1.16083	1.16158	1.16165	1.1616	1.16081	1.16173	1.16173	1.16184	1.16196	1.16202	1.16196	1.16203	1.16203	1.1622	1.1622	1.16204	1.16204	1.16217	1.16217	1.16212	1.16212	1.16217	1.16217	1.16212	1.16212	1.16205	1.16205	1.16205	1.16205	1.16205	1.16205	1.16217	1.16217	1.16217	1.16217	1.16219	1.16215	1.16215
41	1.16007	1.16023	1.16006	1.16012	1.16024	1.1605	1.16026	1.16026	1.16116	1.16038	1.16051	1.16038	1.1603	1.16092	1.16092	1.16158	1.16163	1.16159	1.16091	1.1617	1.1617	1.1618	1.16191	1.16196	1.16191	1.16196	1.16196	1.16211	1.16211	1.16198	1.16198	1.16209	1.16209	1.16205	1.16205	1.16209	1.16209	1.16205	1.16205	1.16199	1.16199	1.16199	1.16199	1.16199	1.16199	1.16209	1.16209	1.16209	1.16209	1.16211	1.16207	1.16207
42	1.16026	1.16039	1.16025	1.1603	1.16041	1.16063	1.16042	1.16042	1.16121	1.16053	1.16065	1.16053	1.16046	1.161	1.161	1.16157	1.16162	1.16158	1.16099	1.16168	1.16168	1.16177	1.16186	1.1619	1.16186	1.16191	1.16191	1.16204	1.16204	1.16192	1.16192	1.16201	1.16201	1.16198	1.16198	1.16201	1.16201	1.16198	1.16198	1.16193	1.16193	1.16193	1.16193	1.16193	1.16193	1.16202	1.16202	1.16202	1.16202	1.16204	1.162	1.162
43	1.16043	1.16054	1.16042	1.16046	1.16055	1.16075	1.16057	1.16057	1.16125	1.16066	1.16076	1.16066	1.1606	1.16107	1.16107	1.16157	1.16161	1.16158	1.16106	1.16166	1.16166	1.16174	1.16182	1.16186	1.16182	1.16186	1.16186	1.16198	1.16198	1.16187	1.16187	1.16195	1.16195	1.16193	1.16193	1.16195	1.16195	1.16193	1.16193	1.16188	1.16188	1.16188	1.16188	1.16188	1.16188	1.16196	1.16196	1.16196	1.16196	1.16197	1.16194	1.16194
44	1.16057	1.16067	1.16056	1.1606	1.16068	1.16085	1.16069	1.16069	1.16129	1.16077	1.16086	1.16077	1.16072	1.16113	1.16113	1.16156	1.1616	1.16157	1.16112	1.16165	1.16165	1.16171	1.16178	1.16182	1.16178	1.16182	1.16182	1.16192	1.16192	1.16183	1.16183	1.1619	1.1619	1.16188	1.16188	1.1619	1.1619	1.16188	1.16188	1.16184	1.16184	1.16184	1.16184	1.16184	1.16184	1.1619	1.1619	1.1619	1.1619	1.16192	1.16189	1.16189
45	1.16069	1.16078	1.16069	1.16072	1.16079	1.16094	1.1608	1.1608	1.16132	1.16087	1.16095	1.16087	1.16083	1.16118	1.16118	1.16156	1.16159	1.16157	1.16117	1.16163	1.16163	1.16169	1.16175	1.16178	1.16175	1.16178	1.16178	1.16187	1.16187	1.16179	1.16179	1.16185	1.16185	1.16183	1.16183	1.16185	1.16185	1.16183	1.16183	1.1618	1.1618	1.1618	1.1618	1.1618	1.1618	1.16186	1.16186	1.16186	1.16186	1.16187	1.16184	1.16184
46	1.1608	1.16088	1.1608	1.16083	1.16089	1.16102	1.16089	1.16089	1.16135	1.16096	1.16102	1.16096	1.16092	1.16123	1.16123	1.16156	1.16159	1.16156	1.16122	1.16162	1.16162	1.16167	1.16172	1.16175	1.16172	1.16175	1.16175	1.16183	1.16183	1.16176	1.16176	1.16181	1.16181	1.16179	1.16179	1.16181	1.16181	1.16179	1.16179	1.16176	1.16176	1.16176	1.16176	1.16176	1.16176	1.16182	1.16182	1.16182	1.16182	1.16182	1.16181	1.16181
