Time	[_2PGA_c]	[ATP_g]	[ATP_c]	[Pyr_c]	[DHAP_c]	[Pyr_e]	[Gly3P_c]	[DHAP_g]	[NAD_g]	[Glc6P_g]	[Fru16BP_g]	[ADP_c]	[_3PGA_c]	[Gly_g]	[Fru6P_g]	[Gly_e]	[_3PGA_g]	[Gly_c]	[Pi_g]	[AMP_c]	[O2_c]	[GA3P_g]	[Gly3P_g]	[ADP_g]	[PEP_c]	[AMP_g]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[NADH_g]
82	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
83	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
84	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
85	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
86	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
87	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
88	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
89	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
90	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
91	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
92	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
93	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
94	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
95	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
96	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
97	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
98	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
99	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
100	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
