Time	[FA]	[HETE]	[PGH2]	[PGE2]	[PGF2a]	[PGD2]	[PGJ2]	[dPGJ2]	[Arachidonic acid]	[LPS]	[DG]	[GPCho]	[dPGD2]
86	1	2.91395e-05	2.41529e-07	21.9594	6.5663	0.599858	25.6058	10.2492	2.48232e-06	0.5	-3.65234e-13	0.749838	46.8864
87	1	2.41831e-05	1.78852e-07	21.9594	6.5663	0.55208	24.7803	9.93504	1.82456e-06	0.5	-3.73145e-13	0.749838	46.2512
88	1	2.00685e-05	1.32165e-07	21.9594	6.5663	0.508108	23.9801	9.62925	1.33837e-06	0.5	-3.8114e-13	0.749838	45.6234
89	1	1.6653e-05	9.74627e-08	21.9594	6.5663	0.467638	23.2044	9.33166	9.79748e-07	0.5	-3.8922e-13	0.749838	45.0032
90	1	1.38181e-05	7.17227e-08	21.9594	6.5663	0.430392	22.4525	9.04216	7.15762e-07	0.5	-3.97384e-13	0.749838	44.3905
91	1	1.14652e-05	5.26719e-08	21.9594	6.5663	0.396112	21.7239	8.76061	5.21845e-07	0.5	-4.05633e-13	0.749838	43.7852
92	1	9.51259e-06	3.86006e-08	21.9594	6.5663	0.364562	21.0178	8.48688	3.79692e-07	0.5	-4.13967e-13	0.749838	43.1874
93	1	7.89223e-06	2.82305e-08	21.9594	6.5663	0.335525	20.3338	8.22082	2.75703e-07	0.5	-4.22385e-13	0.749838	42.5971
94	1	6.54766e-06	2.06033e-08	21.9594	6.5663	0.308801	19.6712	7.9623	1.99788e-07	0.5	-4.30888e-13	0.749838	42.0142
95	1	5.43199e-06	1.50062e-08	21.9594	6.5663	0.284205	19.0293	7.71116	1.44482e-07	0.5	-4.39475e-13	0.749838	41.4386
96	1	4.50632e-06	1.09059e-08	21.9594	6.5663	0.261569	18.4077	7.46725	1.04275e-07	0.5	-4.48147e-13	0.749838	40.8704
97	1	3.7383e-06	7.91042e-09	21.9594	6.5663	0.240735	17.8057	7.23043	7.51039e-08	0.5	-4.56904e-13	0.749838	40.3094
98	1	3.10112e-06	5.72555e-09	21.9594	6.5663	0.221561	17.2227	7.00053	5.39836e-08	0.5	-4.65745e-13	0.749838	39.7556
99	1	2.57249e-06	4.13524e-09	21.9594	6.5663	0.203914	16.6583	6.7774	3.87239e-08	0.5	-4.74671e-13	0.749838	39.2091
100	1	2.13395e-06	2.98124e-09	21.9594	6.5663	0.187672	16.1118	6.56088	2.77215e-08	0.5	-4.83681e-13	0.749838	38.6696
