Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[Xa_Va_l]	[V_Xa_l]	[IIa_f]	[V_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[APC_PS_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]
38	335.5	838.991	0.000119556	0.00736156	0.00863011	1.73065	2.38618e-05	0.00466424	0.167302	7.37084	0.0011192	0.143475	35.1589	107.616	0.0066911	0.034669	4.85465e-05	0.000405565	0.792353	115.201	1.05287e-08	2.07028e-06	18.7025	47.2898	0.00114506	0.00563765	0.00695937	0.00178413	0.00266086	2.00972e-07	0.000134097	0.00560623	0.00052506	1.24467e-05	9.94656e-05	1.59431e-05	0.00698587	12.278	4721	0.000106984	0.0220126	1.27265e-05	1.44686e-06	0.00122079	0.000212857	0.000157048	0.998906	0.000745895	0.000347903	2.32277e-05	58156.3	364	3.0193e-06	5.7294e-05
39	335.499	838.99	0.000136915	0.00842941	0.00862715	1.73006	2.58554e-05	0.00505382	0.167229	7.36762	0.00114416	0.146675	35.1582	107.614	0.00686648	0.0355752	5.69248e-05	0.000475487	0.792344	115.199	1.38586e-08	2.72447e-06	18.7021	47.2888	0.00108616	0.00566766	0.00696256	0.00179361	0.00267582	2.06324e-07	0.000149614	0.00575744	0.000597357	1.41618e-05	0.000110977	1.77889e-05	0.00824982	12.2767	4721	0.00012506	0.0233355	1.39933e-05	1.85613e-06	0.0012944	0.00021833	0.000179847	0.998746	0.000855036	0.000398947	2.73575e-05	58156.3	364	3.52943e-06	6.07486e-05
40	335.499	838.989	0.000156262	0.00961946	0.00862403	1.72943	2.79957e-05	0.00547207	0.167154	7.36433	0.00116977	0.149959	35.1575	107.612	0.00703855	0.0364643	6.64644e-05	0.000555093	0.792334	115.198	1.81186e-08	3.56125e-06	18.7016	47.2876	0.0010319	0.00569629	0.00696355	0.00180265	0.00269006	2.11516e-07	0.00016657	0.00590564	0.000677553	1.60638e-05	0.000123556	1.9806e-05	0.00969695	12.2753	4721	0.000145592	0.0246919	1.53416e-05	2.36793e-06	0.0013699	0.000223691	0.000205247	0.998567	0.000976669	0.000455844	3.20785e-05	58156.3	364	4.10889e-06	6.42918e-05
41	335.498	838.988	0.00017778	0.010943	0.00862075	1.72877	3.02951e-05	0.0059214	0.167078	7.36095	0.00119602	0.153325	35.1569	107.61	0.00720728	0.0373361	7.72929e-05	0.000645444	0.792322	115.196	2.35393e-08	4.62587e-06	18.7011	47.2863	0.0009819	0.00572365	0.00696253	0.00181128	0.00270365	2.16545e-07	0.000185088	0.00605078	0.000766361	1.81692e-05	0.000137294	2.2009e-05	0.0113481	12.2739	4721	0.000168847	0.026081	1.67734e-05	3.00532e-06	0.00144724	0.000228938	0.000233486	0.998369	0.00111193	0.000519126	3.74579e-05	58156.3	364	4.76519e-06	6.79218e-05
42	335.498	838.986	0.000201668	0.0124122	0.00861727	1.72808	3.27669e-05	0.00640445	0.166999	7.35751	0.00122291	0.156771	35.1562	107.608	0.00737266	0.0381904	8.95489e-05	0.000747696	0.792309	115.194	3.04029e-08	5.97367e-06	18.7005	47.2848	0.000935819	0.00574983	0.00695966	0.00181955	0.00271663	2.21414e-07	0.000205303	0.00619282	0.000864561	2.04963e-05	0.000152291	2.4414e-05	0.0132259	12.2725	4721	0.000195115	0.0275022	1.8291e-05	3.79613e-06	0.0015264	0.000234071	0.000264821	0.998149	0.00126206	0.000589371	4.35688e-05	58156.3	364	5.50651e-06	7.16369e-05
43	335.497	838.985	0.000228145	0.0140405	0.0086136	1.72734	3.54259e-05	0.00692409	0.166919	7.35399	0.00125041	0.160297	35.1555	107.606	0.00753466	0.0390274	0.000103384	0.000863111	0.792295	115.192	3.90536e-08	7.67218e-06	18.6998	47.2832	0.000893329	0.00577494	0.00695509	0.00182747	0.00272905	2.26122e-07	0.000227363	0.00633174	0.000973	2.30647e-05	0.000168658	2.70386e-05	0.0153551	12.271	4721	0.000224712	0.0289549	1.98965e-05	4.77395e-06	0.00160734	0.00023909	0.000299532	0.997904	0.0014284	0.000667205	5.04911e-05	58156.3	364	6.34179e-06	7.54354e-05
44	335.496	838.983	0.000257444	0.0158423	0.0086097	1.72655	3.82882e-05	0.00748347	0.166838	7.3504	0.0012785	0.163898	35.1548	107.604	0.00769327	0.0398467	0.000118962	0.000993061	0.792278	115.19	4.99106e-08	9.80361e-06	18.6991	47.2813	0.000854131	0.00579906	0.00694897	0.00183507	0.00274095	2.3067e-07	0.00025143	0.00646749	0.0010926	2.58959e-05	0.000186513	2.99022e-05	0.0177627	12.2695	4721	0.000257982	0.0304383	2.15922e-05	5.97916e-06	0.00169002	0.000243993	0.000337921	0.997634	0.00161239	0.000753311	5.8312e-05	58156.4	364	7.28076e-06	7.93156e-05
45	335.496	838.981	0.000289822	0.0178334	0.00860555	1.72572	4.13711e-05	0.00808598	0.166755	7.34673	0.00130718	0.167574	35.1541	107.602	0.00784848	0.0406485	0.000136464	0.00113904	0.79226	115.187	6.34831e-08	1.24679e-05	18.6983	47.2791	0.000817948	0.00582226	0.00694141	0.00184239	0.00275238	2.35059e-07	0.000277682	0.00660004	0.00122438	2.90132e-05	0.000205988	3.30257e-05	0.0204781	12.268	4721	0.000295303	0.0319517	2.338e-05	7.46038e-06	0.0017744	0.000248782	0.000380317	0.997336	0.00181563	0.000848425	6.71265e-05	58156.4	364	8.33402e-06	8.32758e-05
46	335.495	838.979	0.000325559	0.0200309	0.00860115	1.72483	4.46936e-05	0.00873532	0.16667	7.343	0.00133643	0.171324	35.1535	107.599	0.00800028	0.0414326	0.000156084	0.00130268	0.792239	115.184	8.03886e-08	1.5786e-05	18.6973	47.2767	0.000784526	0.00584463	0.00693253	0.00184944	0.00276337	2.39291e-07	0.000306312	0.00672937	0.00136943	3.24421e-05	0.000227228	3.64323e-05	0.0235331	12.2665	4721	0.000337084	0.0334944	2.5262e-05	9.27596e-06	0.00186045	0.000253456	0.000427077	0.997007	0.00203983	0.000953353	7.70383e-05	58156.3	364	9.51315e-06	8.73142e-05
47	335.494	838.977	0.000364959	0.0224536	0.00859645	1.72389	4.82763e-05	0.00943551	0.166584	7.3392	0.00136623	0.175144	35.1528	107.597	0.00814867	0.042199	0.000178036	0.00148575	0.792216	115.181	1.01374e-07	1.99046e-05	18.6963	47.274	0.000753629	0.00586623	0.00692244	0.00185625	0.00277397	2.43367e-07	0.000337529	0.00685544	0.00152895	3.62101e-05	0.000250387	4.01471e-05	0.0269627	12.2649	4721	0.000383771	0.0350658	2.72403e-05	1.14959e-05	0.00194813	0.000258014	0.000478586	0.996644	0.00228687	0.00106897	8.81608e-05	58156.3	364	1.08308e-05	9.14291e-05
48	335.493	838.974	0.000408351	0.0251216	0.00859143	1.72288	5.21414e-05	0.0101909	0.166497	7.33534	0.00139658	0.179033	35.1521	107.595	0.00829363	0.0429477	0.00020255	0.00169019	0.79219	115.177	1.27344e-07	2.50008e-05	18.6951	47.271	0.00072504	0.00588713	0.00691124	0.00186283	0.00278419	2.47288e-07	0.000371565	0.00697821	0.00170425	4.03472e-05	0.000275637	4.41974e-05	0.0308048	12.2633	4721	0.000435853	0.0366651	2.93168e-05	1.42042e-05	0.0020374	0.000262457	0.000535266	0.996245	0.00255877	0.00119622	0.000100617	58156.3	364	1.23006e-05	9.56187e-05
49	335.492	838.971	0.000456097	0.0280573	0.00858607	1.7218	5.63132e-05	0.0110063	0.166407	7.33141	0.00142745	0.18299	35.1514	107.593	0.00843516	0.0436787	0.00022988	0.00191809	0.792161	115.173	1.59387e-07	3.12884e-05	18.6938	47.2676	0.000698558	0.00590739	0.00689901	0.00186921	0.00279408	2.51055e-07	0.00040867	0.00709765	0.00189677	4.48862e-05	0.000303164	4.86132e-05	0.0351005	12.2617	4721	0.000493861	0.0382917	3.14935e-05	1.75013e-05	0.00212822	0.000266784	0.000597571	0.995806	0.00285776	0.00133613	0.000114542	58156.3	364	1.39377e-05	9.98814e-05
50	335.491	838.968	0.000508588	0.0312846	0.00858033	1.72065	6.08177e-05	0.0118866	0.166317	7.32742	0.00145883	0.187012	35.1508	107.591	0.00857326	0.0443918	0.0002603	0.00217174	0.792129	115.168	1.98818e-07	3.90249e-05	18.6923	47.2639	0.000674002	0.00592705	0.00688585	0.0018754	0.00280367	2.5467e-07	0.000449116	0.00721371	0.00210805	4.98624e-05	0.000333169	5.34269e-05	0.0398949	12.26	4721	0.000558375	0.0399449	3.37722e-05	2.15076e-05	0.00222057	0.000270995	0.000665995	0.995324	0.00318624	0.00148984	0.000130081	58156.2	364	1.57584e-05	0.000104215
51	335.49	838.965	0.000566251	0.0348298	0.00857417	1.71941	6.56833e-05	0.0128376	0.166225	7.32336	0.00149071	0.191097	35.1501	107.589	0.0087079	0.0450871	0.000294108	0.00245363	0.792094	115.163	2.47216e-07	4.85203e-05	18.6906	47.2597	0.0006512	0.00594618	0.00687182	0.00188142	0.00281297	2.58135e-07	0.000493199	0.00732635	0.00233981	5.53146e-05	0.000365872	5.86738e-05	0.0452367	12.2583	4721	0.000630027	0.0416239	3.61549e-05	2.63666e-05	0.00231439	0.00027509	0.000741074	0.994795	0.00354683	0.00165855	0.000147395	58156.2	364	1.77806e-05	0.000108619
52	335.489	838.961	0.000629552	0.0387215	0.00856756	1.71808	7.09406e-05	0.0138651	0.166132	7.31925	0.00152307	0.195245	35.1494	107.587	0.00883909	0.0457644	0.00033163	0.00276647	0.792054	115.157	3.06482e-07	6.0147e-05	18.6888	47.255	0.00063	0.00596482	0.00685699	0.00188728	0.00282201	2.61451e-07	0.000541239	0.00743553	0.00259391	6.12845e-05	0.00040151	6.43921e-05	0.0511792	12.2566	4721	0.000709507	0.0433282	3.86434e-05	3.225e-05	0.00240966	0.000279069	0.000823388	0.994214	0.00394237	0.0018436	0.000166659	58156.1	364	2.00237e-05	0.00011309
53	335.488	838.956	0.000698995	0.0429907	0.00856046	1.71665	7.66226e-05	0.0149757	0.166038	7.31508	0.0015559	0.199452	35.1488	107.584	0.00896679	0.0464237	0.000373221	0.00311322	0.79201	115.15	3.78897e-07	7.43523e-05	18.6868	47.2498	0.000610258	0.005983	0.00684142	0.001893	0.00283081	2.64619e-07	0.000593584	0.00754118	0.00287236	6.78176e-05	0.000440342	7.06234e-05	0.0577803	12.2549	4721	0.000797567	0.0450568	4.12394e-05	3.93625e-05	0.00250633	0.000282931	0.000913563	0.993578	0.00437597	0.00204642	0.000188061	58156	364	2.25089e-05	0.000117627
54	335.487	838.952	0.00077513	0.0476713	0.00855282	1.71511	8.27649e-05	0.0161762	0.165942	7.31086	0.00158919	0.203717	35.1481	107.582	0.009091	0.0470649	0.000419264	0.00349707	0.791962	115.143	4.67197e-07	9.16726e-05	18.6846	47.2441	0.000591845	0.00600077	0.00682518	0.00189859	0.0028394	2.6764e-07	0.00065061	0.00764324	0.00317739	7.49633e-05	0.000482645	7.74124e-05	0.0651027	12.2531	4721	0.000895028	0.0468093	4.39447e-05	4.79482e-05	0.00260438	0.000286676	0.00101228	0.99288	0.00485098	0.00226856	0.000211808	58155.9	364	2.52594e-05	0.000122228
55	335.485	838.946	0.000858556	0.0527999	0.00854459	1.71345	8.94056e-05	0.0174741	0.165846	7.30658	0.00162291	0.208039	35.1475	107.58	0.00921169	0.0476879	0.000470178	0.00392151	0.791908	115.135	5.74658e-07	0.00011275	18.6821	47.2377	0.000574642	0.00601816	0.00680832	0.00190406	0.00284779	2.70515e-07	0.000712721	0.00774164	0.00351139	8.27749e-05	0.000528721	8.48076e-05	0.073215	12.2514	4721	0.00100278	0.0485848	4.67611e-05	5.82975e-05	0.00270375	0.000290303	0.00112027	0.992117	0.00537106	0.00251174	0.000238126	58155.8	364	2.83005e-05	0.000126892
56	335.484	838.941	0.000949922	0.0584165	0.00853573	1.71166	9.6586e-05	0.0188774	0.165748	7.30225	0.00165706	0.212415	35.1468	107.578	0.00932883	0.0482925	0.00052642	0.00439034	0.791849	115.126	7.05202e-07	0.000138354	18.6794	47.2307	0.000558541	0.00603521	0.00679087	0.00190942	0.002856	2.73246e-07	0.000780355	0.00783631	0.003877	9.13102e-05	0.000578892	9.28612e-05	0.0821914	12.2496	4721	0.00112181	0.0503826	4.96902e-05	7.07561e-05	0.00280441	0.000293812	0.00123832	0.991282	0.00594016	0.00277777	0.00026726	58155.6	364	3.16597e-05	0.000131616
57	335.482	838.934	0.00104993	0.0645644	0.00852616	1.70973	0.00010435	0.0203949	0.165649	7.29786	0.00169162	0.216843	35.1462	107.576	0.00944239	0.0488785	0.000588482	0.00490768	0.791784	115.116	8.63516e-07	0.000169402	18.6764	47.2229	0.000543443	0.00605194	0.0067729	0.00191467	0.00286404	2.75832e-07	0.000853981	0.00792715	0.00427707	0.000100632	0.000633508	0.000101629	0.0921128	12.2477	4721	0.00125318	0.0522021	5.27337e-05	8.57346e-05	0.00290632	0.000297202	0.00136728	0.990369	0.00656257	0.00306864	0.000299478	58155.5	364	3.53671e-05	0.000136399
58	335.481	838.927	0.00115935	0.0712906	0.00851584	1.70765	0.000112745	0.0220356	0.165549	7.29343	0.00172658	0.221322	35.1456	107.573	0.00955234	0.0494458	0.000656904	0.005478	0.791711	115.105	1.0552e-06	0.000206992	18.673	47.2143	0.000529259	0.00606837	0.00675443	0.00191984	0.00287193	2.78275e-07	0.000934101	0.00801408	0.00471471	0.000110806	0.000692941	0.000111172	0.103067	12.2459	4721	0.00139804	0.0540424	5.58932e-05	0.00010372	0.00300945	0.000300471	0.00150808	0.989371	0.00724295	0.0033865	0.000335071	58155.3	364	3.94554e-05	0.000141239
59	335.479	838.92	0.00127901	0.0786458	0.00850468	1.7054	0.000121821	0.0238095	0.165448	7.28895	0.00176192	0.22585	35.1449	107.571	0.00965862	0.049994	0.000732268	0.00610617	0.791632	115.093	1.28692e-06	0.000252432	18.6694	47.2048	0.000515907	0.00608454	0.0067355	0.00192491	0.00287969	2.80575e-07	0.00102125	0.00809698	0.0051933	0.000121908	0.000757589	0.000121554	0.115149	12.244	4720.99	0.00155766	0.055903	5.91703e-05	0.000125291	0.00311375	0.000303619	0.00166168	0.98828	0.00798632	0.00373366	0.000374354	58155.1	364	4.39603e-05	0.000146134
60	335.477	838.911	0.0014098	0.0866854	0.00849263	1.70297	0.000131632	0.0257269	0.165346	7.28443	0.00179763	0.230425	35.1443	107.569	0.0097612	0.0505231	0.000815207	0.00679745	0.791544	115.08	1.56664e-06	0.000307282	18.6653	47.1943	0.000503314	0.00610047	0.00671615	0.00192991	0.00288731	2.82732e-07	0.00111601	0.00817574	0.00571651	0.000134013	0.000827879	0.000132844	0.128462	12.2422	4720.99	0.00173343	0.057783	6.25664e-05	0.000151131	0.00321919	0.000306644	0.00182916	0.987089	0.0087981	0.00411263	0.000417672	58154.8	364	4.89207e-05	0.000151083
61	335.475	838.902	0.0015527	0.0954687	0.0084796	1.70034	0.000142235	0.027799	0.165243	7.27986	0.0018337	0.235045	35.1438	107.566	0.00986001	0.0510326	0.000906409	0.00755756	0.791448	115.065	1.90382e-06	0.000373397	18.6609	47.1828	0.000491413	0.00611616	0.00669641	0.00193484	0.00289481	2.84747e-07	0.00121899	0.00825023	0.00628835	0.000147206	0.000904262	0.000145114	0.143119	12.2403	4720.99	0.00192684	0.0596816	6.60832e-05	0.000182048	0.00332572	0.000309545	0.00201161	0.98579	0.00968416	0.00452609	0.0004654	58154.5	364	5.43791e-05	0.000156082
62	335.473	838.892	0.00170875	0.10506	0.0084655	1.6975	0.00015369	0.0300377	0.165139	7.27525	0.0018701	0.239707	35.1432	107.564	0.009955	0.0515223	0.00100662	0.0083927	0.791342	115.049	2.30972e-06	0.000452981	18.656	47.1702	0.000480143	0.00613164	0.00667631	0.0019397	0.0029022	2.86619e-07	0.00133083	0.00832031	0.00691312	0.000161577	0.000987217	0.000158443	0.15924	12.2383	4720.99	0.00213953	0.0615982	6.9722e-05	0.000218998	0.0034333	0.00031232	0.00221026	0.984372	0.0106508	0.00497694	0.000517945	58154.2	364	6.03816e-05	0.000161131
63	335.47	838.881	0.00187907	0.115529	0.00845024	1.69442	0.000166061	0.0324552	0.165035	7.2706	0.00190682	0.244411	35.1426	107.562	0.0100461	0.0519918	0.00111663	0.00930958	0.791226	115.032	2.7977e-06	0.000548655	18.6506	47.1563	0.00046945	0.00614692	0.00665587	0.00194449	0.00290949	2.88348e-07	0.00145221	0.00838583	0.00759551	0.000177222	0.00107725	0.000172913	0.176958	12.2364	4720.99	0.00237328	0.063532	7.34842e-05	0.000263105	0.0035419	0.000314967	0.00242635	0.982827	0.0117048	0.00546827	0.000575749	58153.9	364	6.69784e-05	0.000166228
64	335.468	838.868	0.00206489	0.126949	0.00843373	1.69109	0.000179414	0.0350646	0.164929	7.26591	0.00194385	0.249155	35.1421	107.559	0.0101332	0.0524408	0.00123734	0.0103154	0.791099	115.012	3.3836e-06	0.000663522	18.6447	47.141	0.000459284	0.00616202	0.00663512	0.00194922	0.00291669	2.89934e-07	0.00158384	0.00844663	0.00834059	0.000194243	0.00117488	0.000188608	0.196414	12.2344	4720.99	0.00263002	0.0654821	7.73713e-05	0.000315695	0.00365146	0.000317484	0.00266125	0.981143	0.0128534	0.00600339	0.000639291	58153.5	364	7.42244e-05	0.00017137
65	335.465	838.855	0.00226751	0.139402	0.00841585	1.68748	0.000193819	0.0378795	0.164823	7.26119	0.00198118	0.253935	35.1415	107.557	0.0102164	0.0528688	0.00136966	0.0114181	0.790959	114.991	4.0862e-06	0.00080126	18.6382	47.1242	0.000449603	0.00617694	0.00661408	0.0019539	0.00292379	2.91376e-07	0.00172648	0.00850252	0.00915384	0.000212749	0.00128068	0.00020562	0.217763	12.2325	4720.99	0.00291188	0.0674478	8.13845e-05	0.000378322	0.00376194	0.00031987	0.00291637	0.97931	0.0141044	0.00658584	0.000709091	58153	364	8.2179e-05	0.000176555
66	335.462	838.84	0.00248832	0.152972	0.00839649	1.68358	0.000209348	0.040914	0.164717	7.25643	0.00201878	0.258751	35.141	107.555	0.0102954	0.0532755	0.00151462	0.0126261	0.790805	114.968	4.92768e-06	0.000966216	18.6312	47.1059	0.000440366	0.0061917	0.00659277	0.00195853	0.00293081	2.92674e-07	0.0018809	0.00855334	0.0100411	0.000232854	0.00139521	0.000224041	0.241169	12.2305	4720.99	0.00322114	0.0694282	8.55251e-05	0.000452809	0.0038733	0.000322122	0.0031932	0.977315	0.0154661	0.00721938	0.000785715	58152.6	364	9.09068e-05	0.000181781
67	335.459	838.824	0.00272882	0.167751	0.00837554	1.67935	0.000226077	0.0441827	0.16461	7.25164	0.00205665	0.263599	35.1406	107.552	0.0103702	0.0536604	0.00167332	0.0139484	0.790637	114.942	5.93424e-06	0.00116352	18.6234	47.0857	0.000431537	0.0062063	0.00657122	0.0019631	0.00293775	2.93827e-07	0.00204789	0.00859887	0.0110089	0.000254679	0.00151906	0.000243967	0.266811	12.2285	4720.99	0.00356029	0.0714226	8.97943e-05	0.000541287	0.0039855	0.000324238	0.0034933	0.975145	0.0169473	0.00790799	0.000869771	58152	364	0.000100478	0.000187047
68	335.456	838.807	0.0029906	0.183838	0.00835285	1.67477	0.000244082	0.0477005	0.164502	7.24682	0.00209476	0.268479	35.1401	107.55	0.0104407	0.0540232	0.00184693	0.0153949	0.790454	114.914	7.13677e-06	0.00139923	18.6149	47.0637	0.000423084	0.00622075	0.00654943	0.00196763	0.00294462	2.94835e-07	0.00222827	0.00863892	0.0120639	0.000278351	0.00165283	0.000265499	0.294883	12.2265	4720.99	0.00393203	0.0734301	9.41933e-05	0.000646243	0.00409849	0.000326215	0.00381827	0.972787	0.0185574	0.0086559	0.000961921	58151.4	364	0.000110969	0.00019235
69	335.452	838.788	0.00327536	0.201336	0.00832829	1.66981	0.000263441	0.0514827	0.164394	7.24197	0.0021331	0.273388	35.1397	107.547	0.0105069	0.0543633	0.00203671	0.0169761	0.790253	114.883	8.57161e-06	0.00168046	18.6056	47.0396	0.00041498	0.00623506	0.00652742	0.00197211	0.00295141	2.95697e-07	0.00242287	0.00867327	0.0132134	0.000304003	0.00179715	0.000288736	0.32559	12.2245	4720.99	0.00433929	0.0754498	9.87232e-05	0.000770568	0.00421223	0.000328052	0.00416978	0.970226	0.0203064	0.00946753	0.00106288	58150.7	364	0.000122463	0.000197688
70	335.448	838.768	0.0035849	0.220356	0.00830171	1.66444	0.000284231	0.0555442	0.164285	7.2371	0.00217165	0.278323	35.1393	107.544	0.0105687	0.0546805	0.00224403	0.0187033	0.790033	114.85	1.02814e-05	0.00201557	18.5954	47.0132	0.000407198	0.00624922	0.00650522	0.00197655	0.00295813	2.96413e-07	0.00263252	0.0087017	0.0144654	0.000331773	0.00195262	0.000313778	0.359154	12.2224	4720.99	0.00478524	0.0774809	0.000103385	0.000917618	0.00432665	0.000329746	0.00454954	0.967448	0.0222046	0.0103475	0.00117341	58150	364	0.000135049	0.000203058
71	335.444	838.745	0.00392112	0.241014	0.00827294	1.65864	0.000306531	0.0599003	0.164176	7.2322	0.0022104	0.283283	35.1389	107.542	0.0106259	0.0549743	0.00247033	0.0205886	0.789793	114.813	1.23163e-05	0.00241436	18.5843	46.9844	0.000399715	0.00626325	0.00648283	0.00198094	0.00296478	2.96983e-07	0.00285803	0.00872398	0.0158282	0.000361803	0.00211984	0.000340727	0.395813	12.2204	4720.99	0.00527334	0.0795225	0.00010818	0.00109127	0.00444172	0.000331296	0.00495927	0.964436	0.0242631	0.0113007	0.00129435	58149.2	364	0.000148824	0.000208458
72	335.44	838.721	0.00428601	0.263432	0.00824184	1.65236	0.000330415	0.0645655	0.164067	7.22728	0.00224933	0.288266	35.1386	107.539	0.0106787	0.0552445	0.00271716	0.0226448	0.789531	114.773	1.47347e-05	0.00288828	18.5722	46.953	0.000392511	0.00627715	0.00646027	0.00198528	0.00297137	2.97406e-07	0.0031002	0.0087399	0.0173108	0.000394237	0.00229942	0.000369681	0.43582	12.2183	4720.99	0.00580727	0.0815737	0.000113109	0.00129599	0.00455739	0.0003327	0.0054007	0.961175	0.0264932	0.0123321	0.00142659	58148.3	364	0.000163893	0.000213887
73	335.435	838.694	0.00468169	0.28774	0.00820821	1.64557	0.000355955	0.0695539	0.163958	7.22234	0.00228842	0.293268	35.1383	107.537	0.0107268	0.0554907	0.00298618	0.0248857	0.789246	114.73	1.76049e-05	0.00345069	18.559	46.9187	0.000385568	0.00629092	0.00643756	0.00198959	0.00297789	2.97684e-07	0.0033598	0.00874922	0.0189225	0.000429222	0.0024919	0.000400732	0.479446	12.2162	4720.99	0.00639107	0.0836336	0.000118172	0.00153691	0.00467361	0.000333957	0.00587555	0.957646	0.0289068	0.0134469	0.00157108	58147.3	364	0.000180369	0.000219341
74	335.43	838.665	0.00511033	0.314071	0.00817188	1.63824	0.000383219	0.0748782	0.163848	7.21738	0.00232766	0.298289	35.138	107.534	0.0107702	0.0557128	0.00327914	0.0273259	0.788934	114.682	2.10062e-05	0.00411714	18.5446	46.8813	0.000378869	0.00630455	0.0064147	0.00199385	0.00298435	2.97816e-07	0.00363752	0.00875172	0.0206735	0.000466907	0.00269782	0.000433969	0.526977	12.2142	4720.99	0.00702906	0.0857013	0.000123372	0.00181988	0.00479033	0.000335066	0.00638549	0.953833	0.0315162	0.0146503	0.00172886	58146.2	364	0.000198374	0.000224819
75	335.424	838.634	0.00557422	0.342565	0.00813264	1.63032	0.000412264	0.08055	0.163739	7.21241	0.00236702	0.303325	35.1378	107.531	0.0108091	0.0559108	0.00359791	0.0299808	0.788595	114.631	2.50309e-05	0.00490566	18.529	46.8406	0.000372399	0.00631806	0.00639171	0.00199808	0.00299075	2.97806e-07	0.003934	0.00874719	0.0225743	0.000507437	0.00291763	0.000469473	0.578719	12.2121	4720.99	0.00772589	0.0877758	0.000128707	0.00215156	0.00490749	0.000336028	0.0069321	0.949718	0.034334	0.0159476	0.00190102	58145	364	0.00021804	0.000230317
76	335.418	838.6	0.00607569	0.373366	0.00809031	1.62177	0.000443142	0.0865788	0.163629	7.20742	0.0024065	0.308375	35.1377	107.528	0.0108433	0.0560847	0.00394444	0.0328667	0.788227	114.574	2.97855e-05	0.0058371	18.5119	46.7964	0.000366146	0.00633145	0.00636859	0.00200226	0.00299708	2.97654e-07	0.00424978	0.00873544	0.0246361	0.000550955	0.00315173	0.00050731	0.634993	12.21	4720.98	0.00848658	0.0898562	0.00013418	0.00253947	0.00502504	0.000336842	0.00751687	0.945283	0.0373728	0.0173443	0.00208874	58143.8	364	0.000239508	0.000235835
77	335.412	838.564	0.00661717	0.40662	0.00804467	1.61256	0.00047589	0.0929719	0.16352	7.20242	0.00244607	0.313436	35.1376	107.525	0.0108729	0.0562348	0.00432082	0.0360009	0.787826	114.513	3.53927e-05	0.0069355	18.4934	46.7483	0.000360096	0.0063447	0.00634537	0.0020064	0.00300335	2.97365e-07	0.00458528	0.00871629	0.0268705	0.000597597	0.00340043	0.000547539	0.69614	12.2079	4720.98	0.00931649	0.0919418	0.000139791	0.00299207	0.00514295	0.000337512	0.00814112	0.940509	0.0406455	0.0188455	0.00229326	58142.3	363.999	0.00026293	0.000241368
78	335.405	838.524	0.0072011	0.442478	0.00799552	1.60263	0.000510529	0.0997333	0.16341	7.19741	0.00248573	0.318506	35.1375	107.522	0.010898	0.0563615	0.0047292	0.0394014	0.787391	114.447	4.19937e-05	0.00822843	18.4733	46.6961	0.00035424	0.00635783	0.00632204	0.00201049	0.00300956	2.96941e-07	0.00494077	0.00868957	0.0292897	0.000647491	0.00366393	0.000590196	0.762514	12.2058	4720.98	0.0102214	0.0940314	0.00014554	0.0035188	0.00526115	0.00033804	0.00880597	0.935379	0.0441649	0.0204565	0.00251592	58140.8	363.999	0.000288468	0.000246916
79	335.398	838.482	0.00782998	0.481092	0.00794263	1.59196	0.000547064	0.106864	0.163301	7.1924	0.00252544	0.323583	35.1375	107.519	0.0109187	0.0564655	0.00517187	0.043087	0.786919	114.374	4.97498e-05	0.00974746	18.4515	46.6395	0.000348568	0.00637083	0.00629862	0.00201455	0.00301571	2.96389e-07	0.00531635	0.00865517	0.0319063	0.00070075	0.00394231	0.000635302	0.834489	12.2037	4720.98	0.0112075	0.0961244	0.000151428	0.00413013	0.0053796	0.00033843	0.00951229	0.929874	0.0479436	0.0221822	0.00275813	58139.1	363.999	0.000316297	0.000252475
80	335.39	838.436	0.00850628	0.522613	0.00788578	1.58048	0.000585477	0.114359	0.163192	7.18738	0.00256521	0.328665	35.1376	107.516	0.0109352	0.0565477	0.00565118	0.0470773	0.786407	114.296	5.88448e-05	0.0115285	18.4279	46.5781	0.000343071	0.00638371	0.00627512	0.00201856	0.00302179	2.95715e-07	0.00571195	0.008613	0.0347334	0.000757472	0.00423548	0.000682852	0.912452	12.2016	4720.98	0.0122813	0.0982198	0.000157455	0.00483757	0.00549825	0.000338688	0.0102606	0.923979	0.0519939	0.0240272	0.00302138	58137.3	363.999	0.000346601	0.000258043
