Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
81	0	3.24703e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.00014901	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
82	0	3.24703e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.00014901	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
83	0	3.24703e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.000149011	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
84	0	3.24703e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149011	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
85	0	3.24703e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149011	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
86	0	3.24703e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149011	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
87	0	3.24703e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149011	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
88	0	3.24703e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149011	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
89	0	3.24703e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149011	4.37799e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
90	0	3.24704e-19	0	0.000467979	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149011	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
91	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58792e-12	4.01008e-16	0.00440001	0.000149012	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
92	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58792e-12	4.01009e-16	0.00440001	0.000149012	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
93	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58792e-12	4.01009e-16	0.00440001	0.000149012	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
94	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58791e-12	4.01009e-16	0.00440001	0.000149012	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
95	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58791e-12	4.01009e-16	0.00440001	0.000149012	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
96	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58791e-12	4.01009e-16	0.00440001	0.000149012	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
97	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58791e-12	4.01009e-16	0.00440001	0.000149012	4.378e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
98	0	3.24704e-19	0	0.000467978	9.99001e-06	9.58791e-12	4.01009e-16	0.00440001	0.000149012	4.37801e-13	9.87776e-09	0	0	1.12217e-10	0	0	0
99	0	3.24704e-19	0	0.000467977	9.99001e-06	9.58791e-12	4.01009e-16	0.00440001	0.000149013	4.37801e-13	9.87776e-09	0	0	1.12218e-10	0	0	0
100	0	3.24704e-19	0	0.000467977	9.99001e-06	9.58791e-12	4.0101e-16	0.00440001	0.000149013	4.37801e-13	9.87776e-09	0	0	1.12218e-10	0	0	0
