Time	[Glucose in]	[MgATP]	[Glucose 6-phosphate]	[MgADP]	[Fructose 6-phosphate]	[Glyceraldehyde 3-phosphate]	[Dihydroxyacetone phosphate]	[Phosphate]	[NAD]	[NADH]	[3-Phospho-D-glycerate]	[2-Phospho-D-glycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Lactate]	[NADPH]	[NADP]	[AMP]	[ADP]	[Ribulose 5-phosphate]	[Oxidized Glutathione]	[Reduced Glutathione]	[Xylulose 5-phosphate]	[Ribose 5-phosphate]	[Sedoheptulose 7-phosphate]	[Erythrose 4-phosphate]	[MgAMP]	[ATP]	[Mg]	[MgGri23P2]	[Protein1 bound NADP]	[Protein1]	[Protein1 bound NADPH]	[Protein2 bound NADP]	[Protein2]	[Protein2 bound NADPH]	[PRPP]	[External Lactate]	[External Pyruvate]	[Glucose outside]	[Phosphate external]
40	4.56679	1.41771	0.0394908	0.136861	0.0153449	0.00606184	0.149208	0.999225	0.0653436	0.000156372	0.0657715	0.00844317	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722598	0.187122	0.00472169	0.000186743	3.11403	0.0127431	0.0140046	0.0154141	0.00627121	0.00241386	0.183634	0.555863	0.687152	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
41	4.56679	1.41771	0.0394909	0.13686	0.015345	0.00606184	0.149208	0.999225	0.0653436	0.000156372	0.0657715	0.00844317	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722598	0.187122	0.00472169	0.000186743	3.11403	0.0127431	0.0140046	0.0154142	0.00627122	0.00241385	0.183634	0.555861	0.687155	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
42	4.56679	1.41771	0.039491	0.13686	0.015345	0.00606184	0.149208	0.999225	0.0653436	0.000156372	0.0657714	0.00844316	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722598	0.187122	0.0047217	0.000186743	3.11403	0.0127431	0.0140046	0.0154142	0.00627123	0.00241384	0.183635	0.555859	0.687159	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
43	4.56679	1.41771	0.039491	0.13686	0.015345	0.00606185	0.149208	0.999225	0.0653436	0.000156372	0.0657714	0.00844316	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722598	0.187123	0.0047217	0.000186743	3.11403	0.0127431	0.0140046	0.0154142	0.00627123	0.00241383	0.183635	0.555857	0.687161	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
44	4.5668	1.41771	0.0394911	0.13686	0.015345	0.00606185	0.149208	0.999225	0.0653436	0.000156372	0.0657713	0.00844315	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187123	0.0047217	0.000186743	3.11403	0.0127431	0.0140046	0.0154143	0.00627124	0.00241382	0.183636	0.555855	0.687163	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
45	4.5668	1.41771	0.0394911	0.136859	0.0153451	0.00606185	0.149208	0.999225	0.0653436	0.000156372	0.0657713	0.00844315	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187123	0.00472171	0.000186743	3.11403	0.0127431	0.0140046	0.0154143	0.00627125	0.00241382	0.183636	0.555854	0.687165	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
46	4.5668	1.41771	0.0394912	0.136859	0.0153451	0.00606185	0.149208	0.999225	0.0653436	0.000156372	0.0657713	0.00844314	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187123	0.00472171	0.000186743	3.11403	0.0127431	0.0140046	0.0154143	0.00627125	0.00241381	0.183637	0.555853	0.687167	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
47	4.5668	1.41771	0.0394912	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657713	0.00844314	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187123	0.00472171	0.000186743	3.11403	0.0127431	0.0140047	0.0154143	0.00627125	0.00241381	0.183637	0.555852	0.687168	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
48	4.5668	1.41771	0.0394912	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844314	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472171	0.000186743	3.11403	0.0127431	0.0140047	0.0154143	0.00627126	0.0024138	0.183637	0.555851	0.687169	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
49	4.5668	1.41771	0.0394912	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844314	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472171	0.000186743	3.11403	0.0127431	0.0140047	0.0154143	0.00627126	0.0024138	0.183637	0.55585	0.68717	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
