Time	[b_Methionine]	[b_Serine]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[H2O2]	[c_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathionine]	[Homocysteine]	[c_Serine]	[SAH]	[SAM]	[c_Methionine]	[c_Formate]	[dcSAM]	[Putrescine]	[Spermine]	[Spermidine]	[Acetylspermine]	[Acetylspermidine]	[Ornithine]	[Acetyl-CoA]	[CoA]	[CO2]	[m_THF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[m_Serine]	[m_Glycine]	[m_Formate]	[Folate]	[Formaldehyde]	[Sarcosine]	[Dimethylglycine]
30	30	150	221.166	57.9561	191.103	0.826637	12.5811	10	50	50	20	0.015	2.07397	8.06254	0.332172	0.195942	2.7104	0.0249824	0.952136	3022.32	121.018	10.5376	889.243	105.417	6338.93	27.8397	0.921377	582.763	10.7183	41.5056	61.1983	20.9629	0.0118815	136.234	64.7247	91.7023	0.0315972	1.13656	300	37.2931	162.207	0	20.5387	1.66347	1.54948	16.4484	2152.32	1968.17	78.5621	20.1	500	5.80932	0.528193
31	30	150	221.191	57.9448	191.116	0.826753	12.5818	10	50	50	20	0.015	2.07354	8.06321	0.332132	0.195922	2.71022	0.0249793	0.952139	3021.5	121.08	10.538	889.284	105.432	6340.43	27.8366	0.921339	582.778	10.7171	41.4978	61.1977	20.966	0.0118868	136.264	64.6671	91.6533	0.0316038	1.13729	300	37.2773	162.223	0	20.5386	1.66346	1.54948	16.4485	2152.44	1968.24	78.5712	20.1	500	5.80893	0.528185
32	30	150	221.215	57.9349	191.129	0.826865	12.5826	10	50	50	20	0.015	2.07308	8.06393	0.332089	0.195901	2.71002	0.024976	0.952142	3020.77	121.137	10.5384	889.323	105.447	6341.89	27.8333	0.921299	582.794	10.7158	41.4894	61.197	20.9694	0.0118921	136.303	64.6099	91.6015	0.0316061	1.13784	300	37.2634	162.237	0	20.5384	1.66346	1.54948	16.4487	2152.57	1968.31	78.5811	20.1	500	5.80851	0.528177
33	30	150	221.238	57.9261	191.142	0.826975	12.5833	10	50	50	20	0.015	2.07259	8.06469	0.332045	0.195878	2.70983	0.0249726	0.952145	3020.12	121.19	10.5388	889.361	105.461	6343.31	27.8299	0.921257	582.81	10.7144	41.4808	61.1963	20.973	0.0118976	136.349	64.5536	91.5477	0.0316048	1.1382	300	37.2515	162.249	0	20.5382	1.66345	1.54948	16.4488	2152.69	1968.38	78.5916	20.1	500	5.80807	0.528168
34	30	150	221.26	57.9184	191.154	0.827081	12.584	10	50	50	20	0.015	2.07208	8.06547	0.332001	0.195856	2.70962	0.0249692	0.952148	3019.54	121.239	10.5393	889.397	105.475	6344.7	27.8263	0.921213	582.826	10.713	41.4719	61.1956	20.9768	0.0119032	136.398	64.4986	91.493	0.0316005	1.13842	300	37.2412	162.259	0	20.5381	1.66345	1.54947	16.449	2152.82	1968.45	78.6025	20.1	500	5.80762	0.52816
35	30	150	221.282	57.9118	191.166	0.827185	12.5847	10	50	50	20	0.015	2.07157	8.06625	0.331955	0.195833	2.70942	0.0249657	0.952151	3019.03	121.284	10.5397	889.432	105.488	6346.04	27.8227	0.921169	582.842	10.7116	41.463	61.1949	20.9806	0.0119087	136.451	64.4453	91.4379	0.0315935	1.13851	300	37.2326	162.267	0	20.5379	1.66344	1.54947	16.4492	2152.95	1968.52	78.6136	20.1	500	5.80716	0.528151
36	30	150	221.302	57.906	191.177	0.827286	12.5853	10	50	50	20	0.015	2.07106	8.06704	0.33191	0.19581	2.70922	0.0249622	0.952153	3018.58	121.326	10.5401	889.466	105.502	6347.35	27.819	0.921126	582.858	10.7102	41.4541	61.1942	20.9845	0.0119141	136.505	64.394	91.3831	0.0315844	1.13849	300	37.2253	162.275	0	20.5377	1.66344	1.54947	16.4494	2153.08	1968.58	78.6247	20.1	500	5.80671	0.528143
37	30	150	221.323	57.9011	191.189	0.827384	12.586	10	50	50	20	0.015	2.07055	8.06782	0.331866	0.195787	2.70902	0.0249587	0.952156	3018.18	121.365	10.5405	889.497	105.514	6348.63	27.8154	0.921082	582.874	10.7088	41.4453	61.1935	20.9883	0.0119195	136.559	64.345	91.3292	0.0315737	1.13837	300	37.2194	162.281	0	20.5375	1.66344	1.54947	16.4496	2153.2	1968.64	78.6359	20.1	500	5.80626	0.528134
38	30	150	221.342	57.897	191.2	0.82748	12.5866	10	50	50	20	0.015	2.07004	8.06859	0.331822	0.195765	2.70882	0.0249554	0.952159	3017.84	121.401	10.5409	889.528	105.527	6349.87	27.8118	0.921039	582.89	10.7075	41.4367	61.1928	20.9921	0.0119247	136.613	64.2984	91.2766	0.0315615	1.13817	300	37.2146	162.285	0	20.5373	1.66343	1.54947	16.4498	2153.32	1968.7	78.6468	20.1	500	5.80582	0.528126
39	30	150	221.361	57.8935	191.21	0.827573	12.5872	10	50	50	20	0.015	2.06955	8.06934	0.33178	0.195744	2.70863	0.0249521	0.952162	3017.55	121.434	10.5413	889.557	105.539	6351.09	27.8083	0.920998	582.905	10.7061	41.4283	61.1921	20.9958	0.0119298	136.665	64.2543	91.2256	0.0315484	1.1379	300	37.2108	162.289	0	20.5371	1.66343	1.54947	16.45	2153.44	1968.75	78.6575	20.1	500	5.80539	0.528118
40	30	150	221.38	57.8907	191.221	0.827664	12.5878	10	50	50	20	0.015	2.06908	8.07006	0.331739	0.195723	2.70845	0.024949	0.952165	3017.3	121.465	10.5417	889.584	105.551	6352.27	27.805	0.920957	582.92	10.7048	41.4202	61.1914	20.9993	0.0119347	136.715	64.2129	91.1766	0.0315346	1.13759	300	37.208	162.292	0	20.5369	1.66343	1.54946	16.4502	2153.56	1968.8	78.6679	20.1	500	5.80498	0.52811
41	30	150	221.397	57.8884	191.231	0.827753	12.5884	10	50	50	20	0.015	2.06863	8.07075	0.3317	0.195703	2.70828	0.0249459	0.952167	3017.08	121.493	10.5421	889.61	105.562	6353.42	27.8017	0.920919	582.934	10.7036	41.4125	61.1907	21.0028	0.0119394	136.762	64.1743	91.1296	0.0315203	1.13723	300	37.206	162.294	0	20.5367	1.66342	1.54946	16.4504	2153.67	1968.85	78.6779	20.1	500	5.80458	0.528102
42	30	150	221.415	57.8866	191.241	0.827839	12.5889	10	50	50	20	0.015	2.06819	8.07141	0.331662	0.195684	2.70811	0.0249431	0.95217	3016.9	121.52	10.5425	889.635	105.573	6354.55	27.7986	0.920882	582.948	10.7024	41.4051	61.1901	21.006	0.0119439	136.805	64.1383	91.085	0.0315058	1.13683	300	37.2047	162.295	0	20.5366	1.66342	1.54946	16.4505	2153.77	1968.9	78.6874	20.1	500	5.8042	0.528095
43	30	150	221.431	57.8853	191.25	0.827924	12.5895	10	50	50	20	0.015	2.06778	8.07204	0.331627	0.195666	2.70795	0.0249403	0.952172	3016.76	121.544	10.5429	889.659	105.584	6355.65	27.7957	0.920847	582.961	10.7013	41.3982	61.1895	21.0092	0.0119482	136.846	64.1051	91.0427	0.0314913	1.13642	300	37.2041	162.296	0	20.5364	1.66342	1.54946	16.4507	2153.88	1968.94	78.6965	20.1	500	5.80384	0.528088
