Time	[APC]	[Va]	[Va_APC]	[Va3]	[Va3_APC]	[Va5]	[Va5_APC]	[Va53]	[Va53_APC]	[Va56]	[Va56_APC]	[Va36]	[Va36_APC]	[Va536]	[Va536_APC]	[HC]	[LC]	[HC5]	[HC3]	[HC56]	[HC36]	[HC536]	[LC_APC]	[HC53]	[VaA3]	[VaA53]	[VaA36]	[VaA536]	[VaLCA1]	[VaLCA1_APC]
56	3.54691e-10	5.87047e-08	1.19477e-09	8.90608e-10	6.32096e-11	1.03892e-07	6.37815e-09	1.23621e-08	1.24466e-09	1.36307e-10	1.05119e-11	3.50944e-13	2.64803e-14	2.78103e-11	3.1572e-12	1.08619e-10	1.69729e-10	6.13339e-11	8.73521e-13	6.27499e-14	3.06978e-16	1.31256e-14	8.39101e-12	7.21745e-12	1.58566e-09	1.33026e-08	5.58771e-13	2.44065e-11	1.41708e-08	7.42424e-10
57	3.54691e-10	5.7471e-08	1.16967e-09	8.78341e-10	6.20175e-11	1.04658e-07	6.38144e-09	1.24474e-08	1.24772e-09	1.38825e-10	1.06318e-11	3.47186e-13	2.6042e-14	2.82536e-11	3.19144e-12	1.09618e-10	1.72607e-10	6.31274e-11	8.88734e-13	6.5116e-14	3.12982e-16	1.36077e-14	8.53729e-12	7.43081e-12	1.61212e-09	1.36843e-08	5.69259e-13	2.52793e-11	1.45602e-08	7.62085e-10
58	3.54691e-10	5.62632e-08	1.14508e-09	8.66029e-10	6.0844e-11	1.05399e-07	6.38425e-09	1.25294e-08	1.2506e-09	1.41338e-10	1.07512e-11	3.43364e-13	2.5608e-14	2.86928e-11	3.22531e-12	1.10596e-10	1.75478e-10	6.49339e-11	9.03736e-13	6.75254e-14	3.18921e-16	1.40974e-14	8.68324e-12	7.64562e-12	1.6382e-09	1.40684e-08	5.79627e-13	2.61655e-11	1.49515e-08	7.81844e-10
59	3.54691e-10	5.50808e-08	1.12102e-09	8.53687e-10	5.96891e-11	1.06115e-07	6.38662e-09	1.26084e-08	1.2533e-09	1.43846e-10	1.087e-11	3.39485e-13	2.51783e-14	2.91278e-11	3.25881e-12	1.11554e-10	1.78343e-10	6.67529e-11	9.18526e-13	6.99779e-14	3.24794e-16	1.45947e-14	8.82886e-12	7.8618e-12	1.6639e-09	1.44548e-08	5.89875e-13	2.70647e-11	1.53447e-08	8.01696e-10
60	3.54691e-10	5.39232e-08	1.09746e-09	8.4133e-10	5.85527e-11	1.06809e-07	6.38854e-09	1.26843e-08	1.25584e-09	1.46347e-10	1.09882e-11	3.35556e-13	2.47531e-14	2.95588e-11	3.29193e-12	1.12491e-10	1.81201e-10	6.85841e-11	9.33103e-13	7.24735e-14	3.30599e-16	1.50994e-14	8.97416e-12	8.07932e-12	1.68921e-09	1.48434e-08	5.99999e-13	2.79769e-11	1.57396e-08	8.21638e-10
61	3.54691e-10	5.279e-08	1.0744e-09	8.28973e-10	5.74347e-11	1.07479e-07	6.39003e-09	1.27572e-08	1.25821e-09	1.48842e-10	1.11058e-11	3.31583e-13	2.43325e-14	2.99856e-11	3.32468e-12	1.13409e-10	1.84053e-10	7.0427e-11	9.47467e-13	7.50121e-14	3.36336e-16	1.56115e-14	9.11913e-12	8.29812e-12	1.71415e-09	1.52342e-08	6.10001e-13	2.8902e-11	1.61362e-08	8.41663e-10
62	3.54691e-10	5.16806e-08	1.05182e-09	8.16627e-10	5.63349e-11	1.08127e-07	6.3911e-09	1.28273e-08	1.26042e-09	1.51331e-10	1.12228e-11	3.27572e-13	2.39166e-14	3.04084e-11	3.35707e-12	1.14307e-10	1.86898e-10	7.22812e-11	9.61619e-13	7.75936e-14	3.42005e-16	1.61309e-14	9.26377e-12	8.51815e-12	1.7387e-09	1.56269e-08	6.19877e-13	2.98399e-11	1.65343e-08	8.6177e-10
63	3.54691e-10	5.05945e-08	1.02971e-09	8.04303e-10	5.52532e-11	1.08753e-07	6.39176e-09	1.28945e-08	1.26247e-09	1.53814e-10	1.13393e-11	3.23528e-13	2.35054e-14	3.0827e-11	3.3891e-12	1.15186e-10	1.89737e-10	7.41463e-11	9.75559e-13	8.02178e-14	3.47604e-16	1.66575e-14	9.40808e-12	8.73935e-12	1.76288e-09	1.60217e-08	6.29629e-13	3.07903e-11	1.6934e-08	8.81952e-10
64	3.54691e-10	4.95312e-08	1.00807e-09	7.92013e-10	5.41895e-11	1.09357e-07	6.39201e-09	1.29589e-08	1.26438e-09	1.5629e-10	1.14551e-11	3.19457e-13	2.3099e-14	3.12416e-11	3.42078e-12	1.16047e-10	1.92569e-10	7.60221e-11	9.89287e-13	8.28847e-14	3.53134e-16	1.71913e-14	9.55206e-12	8.96169e-12	1.78668e-09	1.64182e-08	6.39253e-13	3.17532e-11	1.73351e-08	9.02207e-10
65	3.54691e-10	4.84903e-08	9.86887e-10	7.79767e-10	5.31436e-11	1.0994e-07	6.39187e-09	1.30207e-08	1.26614e-09	1.58759e-10	1.15704e-11	3.15363e-13	2.26974e-14	3.16521e-11	3.45209e-12	1.1689e-10	1.95394e-10	7.7908e-11	1.0028e-12	8.55941e-14	3.58593e-16	1.77322e-14	9.6957e-12	9.18511e-12	1.8101e-09	1.68166e-08	6.48752e-13	3.27285e-11	1.77375e-08	9.22531e-10
66	3.54691e-10	4.74712e-08	9.66147e-10	7.67574e-10	5.21154e-11	1.10503e-07	6.39134e-09	1.30798e-08	1.26775e-09	1.61221e-10	1.16851e-11	3.11251e-13	2.23007e-14	3.20586e-11	3.48306e-12	1.17715e-10	1.98213e-10	7.98038e-11	1.01611e-12	8.83459e-14	3.63982e-16	1.82801e-14	9.83901e-12	9.40958e-12	1.83315e-09	1.72167e-08	6.58122e-13	3.37161e-11	1.81413e-08	9.42919e-10
67	3.54691e-10	4.64736e-08	9.45842e-10	7.55442e-10	5.11047e-11	1.11046e-07	6.39044e-09	1.31364e-08	1.26923e-09	1.63676e-10	1.17992e-11	3.07126e-13	2.19091e-14	3.2461e-11	3.51369e-12	1.18523e-10	2.01025e-10	8.17091e-11	1.02921e-12	9.11399e-14	3.693e-16	1.88349e-14	9.98198e-12	9.63503e-12	1.85582e-09	1.76183e-08	6.67366e-13	3.47157e-11	1.85462e-08	9.63369e-10
68	3.54691e-10	4.54969e-08	9.25965e-10	7.4338e-10	5.01113e-11	1.11569e-07	6.38918e-09	1.31905e-08	1.27058e-09	1.66123e-10	1.19128e-11	3.02992e-13	2.15224e-14	3.28594e-11	3.54397e-12	1.19314e-10	2.0383e-10	8.36236e-11	1.0421e-12	9.39762e-14	3.74547e-16	1.93967e-14	1.01246e-11	9.86144e-12	1.87813e-09	1.80216e-08	6.76481e-13	3.57273e-11	1.89522e-08	9.83876e-10
69	3.54691e-10	4.45407e-08	9.06505e-10	7.31394e-10	4.9135e-11	1.12072e-07	6.38756e-09	1.32421e-08	1.27179e-09	1.68563e-10	1.20257e-11	2.98853e-13	2.11407e-14	3.32538e-11	3.57392e-12	1.20088e-10	2.06629e-10	8.55469e-11	1.05478e-12	9.68544e-14	3.79722e-16	1.99653e-14	1.02669e-11	1.00888e-11	1.90007e-09	1.84263e-08	6.85469e-13	3.67507e-11	1.93594e-08	1.00444e-09
70	3.54691e-10	4.36047e-08	8.87454e-10	7.19493e-10	4.81757e-11	1.12557e-07	6.38558e-09	1.32914e-08	1.27287e-09	1.70996e-10	1.21381e-11	2.94713e-13	2.07641e-14	3.36442e-11	3.60353e-12	1.20846e-10	2.09421e-10	8.74787e-11	1.06726e-12	9.97746e-14	3.84827e-16	2.05406e-14	1.04089e-11	1.03169e-11	1.92164e-09	1.88324e-08	6.94329e-13	3.77859e-11	1.97675e-08	1.02505e-09
71	3.54691e-10	4.26883e-08	8.68803e-10	7.07681e-10	4.72332e-11	1.13024e-07	6.38327e-09	1.33384e-08	1.27384e-09	1.73421e-10	1.22499e-11	2.90574e-13	2.03926e-14	3.40307e-11	3.63282e-12	1.21588e-10	2.12206e-10	8.94187e-11	1.07953e-12	1.02737e-13	3.8986e-16	2.11226e-14	1.05505e-11	1.0546e-11	1.94285e-09	1.92399e-08	7.03062e-13	3.88327e-11	2.01765e-08	1.04571e-09
72	3.54691e-10	4.17912e-08	8.50545e-10	6.95965e-10	4.63073e-11	1.13472e-07	6.38063e-09	1.33832e-08	1.27468e-09	1.75837e-10	1.2361e-11	2.86441e-13	2.00262e-14	3.44133e-11	3.66177e-12	1.22315e-10	2.14985e-10	9.13665e-11	1.0916e-12	1.0574e-13	3.94822e-16	2.17112e-14	1.06917e-11	1.07758e-11	1.9637e-09	1.96486e-08	7.11667e-13	3.9891e-11	2.05865e-08	1.06641e-09
73	3.54691e-10	4.09129e-08	8.3267e-10	6.84351e-10	4.53978e-11	1.13903e-07	6.37766e-09	1.34258e-08	1.2754e-09	1.78246e-10	1.24716e-11	2.82317e-13	1.96649e-14	3.47919e-11	3.69041e-12	1.23026e-10	2.17756e-10	9.33219e-11	1.10347e-12	1.08785e-13	3.99713e-16	2.23063e-14	1.08327e-11	1.10063e-11	1.9842e-09	2.00585e-08	7.20145e-13	4.09607e-11	2.09972e-08	1.08716e-09
74	3.54691e-10	4.00531e-08	8.15171e-10	6.72843e-10	4.45045e-11	1.14317e-07	6.37438e-09	1.34662e-08	1.27602e-09	1.80647e-10	1.25816e-11	2.78204e-13	1.93088e-14	3.51667e-11	3.71873e-12	1.23722e-10	2.20521e-10	9.52846e-11	1.11514e-12	1.11872e-13	4.04534e-16	2.2908e-14	1.09733e-11	1.12376e-11	2.00435e-09	2.04695e-08	7.28497e-13	4.20416e-11	2.14087e-08	1.10794e-09
75	3.54691e-10	3.92113e-08	7.9804e-10	6.61444e-10	4.36272e-11	1.14714e-07	6.37079e-09	1.35046e-08	1.27652e-09	1.8304e-10	1.2691e-11	2.74106e-13	1.89577e-14	3.55376e-11	3.74673e-12	1.24404e-10	2.2328e-10	9.72542e-11	1.12662e-12	1.14999e-13	4.09283e-16	2.3516e-14	1.11135e-11	1.14695e-11	2.02414e-09	2.08817e-08	7.36722e-13	4.31336e-11	2.18209e-08	1.12876e-09
76	3.54691e-10	3.83873e-08	7.81268e-10	6.50161e-10	4.27657e-11	1.15095e-07	6.3669e-09	1.3541e-08	1.27691e-09	1.85424e-10	1.27999e-11	2.70024e-13	1.86118e-14	3.59046e-11	3.77441e-12	1.25071e-10	2.26031e-10	9.92305e-11	1.1379e-12	1.18168e-13	4.13963e-16	2.41304e-14	1.12534e-11	1.17021e-11	2.0436e-09	2.12948e-08	7.44822e-13	4.42366e-11	2.22338e-08	1.14962e-09
77	3.54691e-10	3.75805e-08	7.64849e-10	6.38996e-10	4.19199e-11	1.15459e-07	6.36271e-09	1.35754e-08	1.2772e-09	1.87799e-10	1.29081e-11	2.65962e-13	1.8271e-14	3.62679e-11	3.80179e-12	1.25724e-10	2.28775e-10	1.01213e-10	1.14898e-12	1.21378e-13	4.18572e-16	2.47511e-14	1.1393e-11	1.19353e-11	2.06271e-09	2.17089e-08	7.52797e-13	4.53505e-11	2.26472e-08	1.1705e-09
78	3.54691e-10	3.67908e-08	7.48776e-10	6.27953e-10	4.10894e-11	1.15808e-07	6.35825e-09	1.36079e-08	1.27739e-09	1.90166e-10	1.30157e-11	2.61922e-13	1.79352e-14	3.66274e-11	3.82886e-12	1.26364e-10	2.31513e-10	1.03202e-10	1.15988e-12	1.24628e-13	4.23112e-16	2.5378e-14	1.15322e-11	1.21691e-11	2.08148e-09	2.21239e-08	7.60647e-13	4.64752e-11	2.30612e-08	1.19141e-09
79	3.54691e-10	3.60176e-08	7.3304e-10	6.17033e-10	4.02741e-11	1.16142e-07	6.3535e-09	1.36386e-08	1.27748e-09	1.92525e-10	1.31227e-11	2.57905e-13	1.76046e-14	3.69831e-11	3.85563e-12	1.2699e-10	2.34244e-10	1.05197e-10	1.17058e-12	1.27919e-13	4.27582e-16	2.6011e-14	1.1671e-11	1.24034e-11	2.09991e-09	2.25397e-08	7.68375e-13	4.76105e-11	2.34756e-08	1.21235e-09
80	3.54691e-10	3.52606e-08	7.17634e-10	6.06241e-10	3.94737e-11	1.1646e-07	6.34848e-09	1.36674e-08	1.27748e-09	1.94874e-10	1.32292e-11	2.53914e-13	1.7279e-14	3.73352e-11	3.8821e-12	1.27603e-10	2.36968e-10	1.07197e-10	1.1811e-12	1.31251e-13	4.31984e-16	2.66501e-14	1.18096e-11	1.26382e-11	2.11802e-09	2.29563e-08	7.75979e-13	4.87564e-11	2.38905e-08	1.2333e-09
81	3.54691e-10	3.45196e-08	7.02553e-10	5.95578e-10	3.86881e-11	1.16764e-07	6.34319e-09	1.36945e-08	1.27739e-09	1.97215e-10	1.3335e-11	2.4995e-13	1.69584e-14	3.76835e-11	3.90827e-12	1.28203e-10	2.39685e-10	1.09203e-10	1.19144e-12	1.34623e-13	4.36317e-16	2.72953e-14	1.19477e-11	1.28735e-11	2.1358e-09	2.33736e-08	7.83462e-13	4.99127e-11	2.43058e-08	1.25428e-09
82	3.54691e-10	3.37942e-08	6.87788e-10	5.85047e-10	3.79171e-11	1.17054e-07	6.33765e-09	1.37199e-08	1.2772e-09	1.99546e-10	1.34403e-11	2.46017e-13	1.66427e-14	3.80282e-11	3.93415e-12	1.2879e-10	2.42395e-10	1.11214e-10	1.20159e-12	1.38035e-13	4.40582e-16	2.79464e-14	1.20856e-11	1.31093e-11	2.15326e-09	2.37916e-08	7.90824e-13	5.10792e-11	2.47215e-08	1.27528e-09
83	3.54691e-10	3.3084e-08	6.73334e-10	5.7465e-10	3.71604e-11	1.1733e-07	6.33185e-09	1.37436e-08	1.27693e-09	2.01869e-10	1.35449e-11	2.42114e-13	1.63321e-14	3.83693e-11	3.95974e-12	1.29365e-10	2.45099e-10	1.13229e-10	1.21156e-12	1.41487e-13	4.44779e-16	2.86034e-14	1.22231e-11	1.33455e-11	2.1704e-09	2.42103e-08	7.98066e-13	5.2256e-11	2.51374e-08	1.29629e-09
84	3.54691e-10	3.23887e-08	6.59183e-10	5.64387e-10	3.64178e-11	1.17591e-07	6.32581e-09	1.37656e-08	1.27657e-09	2.04182e-10	1.3649e-11	2.38243e-13	1.60264e-14	3.87068e-11	3.98504e-12	1.29928e-10	2.47796e-10	1.1525e-10	1.22136e-12	1.44979e-13	4.4891e-16	2.92662e-14	1.23602e-11	1.3582e-11	2.18723e-09	2.46295e-08	8.05189e-13	5.34429e-11	2.55536e-08	1.31731e-09
85	3.54691e-10	3.1708e-08	6.4533e-10	5.54259e-10	3.56892e-11	1.1784e-07	6.31953e-09	1.37862e-08	1.27613e-09	2.06486e-10	1.37524e-11	2.34406e-13	1.57256e-14	3.90407e-11	4.01006e-12	1.30479e-10	2.50485e-10	1.17274e-10	1.23098e-12	1.4851e-13	4.52975e-16	2.99349e-14	1.2497e-11	1.3819e-11	2.20375e-09	2.50492e-08	8.12194e-13	5.46397e-11	2.59701e-08	1.33835e-09
86	3.54691e-10	3.10416e-08	6.31768e-10	5.44269e-10	3.49743e-11	1.18075e-07	6.31302e-09	1.38051e-08	1.27561e-09	2.0878e-10	1.38553e-11	2.30604e-13	1.54296e-14	3.93711e-11	4.03481e-12	1.31019e-10	2.53168e-10	1.19303e-10	1.24042e-12	1.52082e-13	4.56973e-16	3.06092e-14	1.26334e-11	1.40563e-11	2.21996e-09	2.54694e-08	8.19083e-13	5.58464e-11	2.63867e-08	1.35939e-09
87	3.54691e-10	3.03893e-08	6.18491e-10	5.34417e-10	3.42729e-11	1.18298e-07	6.30628e-09	1.38226e-08	1.27502e-09	2.11066e-10	1.39576e-11	2.26838e-13	1.51385e-14	3.9698e-11	4.05927e-12	1.31547e-10	2.55844e-10	1.21336e-10	1.2497e-12	1.55692e-13	4.60907e-16	3.12892e-14	1.27695e-11	1.42939e-11	2.23587e-09	2.58901e-08	8.25856e-13	5.70628e-11	2.68034e-08	1.38045e-09
88	3.54691e-10	2.97506e-08	6.05493e-10	5.24702e-10	3.35848e-11	1.18508e-07	6.29932e-09	1.38386e-08	1.27435e-09	2.13341e-10	1.40593e-11	2.2311e-13	1.48521e-14	4.00214e-11	4.08347e-12	1.32064e-10	2.58513e-10	1.23372e-10	1.25881e-12	1.59342e-13	4.64776e-16	3.19747e-14	1.29053e-11	1.45317e-11	2.25149e-09	2.63111e-08	8.32514e-13	5.82889e-11	2.72202e-08	1.4015e-09
89	3.54691e-10	2.91254e-08	5.92768e-10	5.15127e-10	3.29097e-11	1.18706e-07	6.29214e-09	1.38533e-08	1.2736e-09	2.15607e-10	1.41604e-11	2.19419e-13	1.45706e-14	4.03414e-11	4.1074e-12	1.3257e-10	2.61176e-10	1.25412e-10	1.26775e-12	1.63031e-13	4.68582e-16	3.26658e-14	1.30406e-11	1.47699e-11	2.26681e-09	2.67325e-08	8.3906e-13	5.95245e-11	2.76371e-08	1.42256e-09
90	3.54691e-10	2.85133e-08	5.8031e-10	5.05691e-10	3.22475e-11	1.18893e-07	6.28475e-09	1.38665e-08	1.27279e-09	2.17863e-10	1.42609e-11	2.15767e-13	1.42937e-14	4.0658e-11	4.13106e-12	1.33066e-10	2.63831e-10	1.27456e-10	1.27653e-12	1.66759e-13	4.72324e-16	3.33624e-14	1.31757e-11	1.50083e-11	2.28184e-09	2.71542e-08	8.45493e-13	6.07695e-11	2.80541e-08	1.44363e-09
91	3.54691e-10	2.79141e-08	5.68115e-10	4.96393e-10	3.1598e-11	1.19067e-07	6.27716e-09	1.38784e-08	1.27191e-09	2.2011e-10	1.43608e-11	2.12156e-13	1.40214e-14	4.09712e-11	4.15446e-12	1.33551e-10	2.6648e-10	1.29502e-10	1.28514e-12	1.70525e-13	4.76004e-16	3.40644e-14	1.33104e-11	1.52469e-11	2.29659e-09	2.75762e-08	8.51816e-13	6.20239e-11	2.8471e-08	1.46469e-09
92	3.54691e-10	2.73274e-08	5.56175e-10	4.87235e-10	3.0961e-11	1.1923e-07	6.26937e-09	1.3889e-08	1.27096e-09	2.22347e-10	1.44601e-11	2.08584e-13	1.37538e-14	4.12811e-11	4.1776e-12	1.34026e-10	2.69121e-10	1.31551e-10	1.2936e-12	1.7433e-13	4.79622e-16	3.47717e-14	1.34447e-11	1.54857e-11	2.31106e-09	2.79984e-08	8.58028e-13	6.32875e-11	2.88878e-08	1.48575e-09
93	3.54691e-10	2.67531e-08	5.44487e-10	4.78216e-10	3.03362e-11	1.19382e-07	6.26138e-09	1.38984e-08	1.26995e-09	2.24574e-10	1.45588e-11	2.05054e-13	1.34908e-14	4.15877e-11	4.20048e-12	1.34491e-10	2.71756e-10	1.33603e-10	1.3019e-12	1.78173e-13	4.83179e-16	3.54844e-14	1.35787e-11	1.57246e-11	2.32525e-09	2.84208e-08	8.64133e-13	6.45601e-11	2.93046e-08	1.5068e-09
94	3.54691e-10	2.61909e-08	5.33044e-10	4.69335e-10	2.97235e-11	1.19523e-07	6.25321e-09	1.39065e-08	1.26887e-09	2.2679e-10	1.46569e-11	2.01565e-13	1.32322e-14	4.1891e-11	4.22311e-12	1.34946e-10	2.74384e-10	1.35658e-10	1.31005e-12	1.82055e-13	4.86675e-16	3.62023e-14	1.37124e-11	1.59637e-11	2.33917e-09	2.88433e-08	8.70131e-13	6.58418e-11	2.97213e-08	1.52786e-09
95	3.54691e-10	2.56405e-08	5.21842e-10	4.60593e-10	2.91227e-11	1.19654e-07	6.24485e-09	1.39135e-08	1.26774e-09	2.28997e-10	1.47545e-11	1.98119e-13	1.29781e-14	4.21911e-11	4.24549e-12	1.35392e-10	2.77005e-10	1.37715e-10	1.31805e-12	1.85975e-13	4.90112e-16	3.69254e-14	1.38457e-11	1.6203e-11	2.35282e-09	2.9266e-08	8.76022e-13	6.71324e-11	3.01379e-08	1.5489e-09
96	3.54691e-10	2.51016e-08	5.10875e-10	4.51988e-10	2.85334e-11	1.19774e-07	6.23631e-09	1.39193e-08	1.26655e-09	2.31194e-10	1.48514e-11	1.94715e-13	1.27285e-14	4.2488e-11	4.26762e-12	1.35828e-10	2.79619e-10	1.39774e-10	1.3259e-12	1.89932e-13	4.9349e-16	3.76536e-14	1.39787e-11	1.64423e-11	2.36621e-09	2.96887e-08	8.8181e-13	6.84318e-11	3.05543e-08	1.56994e-09
97	3.54691e-10	2.45741e-08	5.00139e-10	4.43521e-10	2.79557e-11	1.19884e-07	6.2276e-09	1.3924e-08	1.2653e-09	2.33381e-10	1.49478e-11	1.91354e-13	1.24832e-14	4.27817e-11	4.28951e-12	1.36255e-10	2.82227e-10	1.41835e-10	1.3336e-12	1.93927e-13	4.9681e-16	3.83869e-14	1.41113e-11	1.66818e-11	2.37934e-09	3.01114e-08	8.87494e-13	6.974e-11	3.09705e-08	1.59096e-09
98	3.54691e-10	2.40576e-08	4.89628e-10	4.35189e-10	2.73892e-11	1.19984e-07	6.21871e-09	1.39275e-08	1.26399e-09	2.35557e-10	1.50435e-11	1.88036e-13	1.22422e-14	4.30723e-11	4.31115e-12	1.36673e-10	2.84827e-10	1.43897e-10	1.34115e-12	1.9796e-13	5.00072e-16	3.91252e-14	1.42435e-11	1.69213e-11	2.39222e-09	3.05342e-08	8.93077e-13	7.10567e-11	3.13864e-08	1.61198e-09
99	3.54691e-10	2.35521e-08	4.79338e-10	4.26993e-10	2.68338e-11	1.20075e-07	6.20967e-09	1.39301e-08	1.26263e-09	2.37724e-10	1.51387e-11	1.84761e-13	1.20054e-14	4.33598e-11	4.33256e-12	1.37083e-10	2.87421e-10	1.45962e-10	1.34857e-12	2.0203e-13	5.03278e-16	3.98685e-14	1.43755e-11	1.71608e-11	2.40484e-09	3.0957e-08	8.98559e-13	7.23819e-11	3.18021e-08	1.63298e-09
100	3.54691e-10	2.30571e-08	4.69264e-10	4.18931e-10	2.62893e-11	1.20156e-07	6.20046e-09	1.39316e-08	1.26122e-09	2.3988e-10	1.52333e-11	1.8153e-13	1.17729e-14	4.36442e-11	4.35373e-12	1.37483e-10	2.90007e-10	1.48028e-10	1.35584e-12	2.06138e-13	5.06428e-16	4.06167e-14	1.4507e-11	1.74004e-11	2.41722e-09	3.13797e-08	9.03942e-13	7.37156e-11	3.22176e-08	1.65397e-09
