Time	[NAg]	[GLCg]	[G6Pg]	[F6Pg]	[GAPg]	[PEPg]	[PYRg]	[LACg]	[NADHg]	[ATPg]	[PCrg]	[O2g]	[GLYg]	[GLUg]	[NADg]	[ADPg]	[CRg]	[NADH_g_tot]	[PCrg_tot]	[AMPg]	[O2c]	[GLCc]	[LACc]	[CO2c]	[GLCe]	[LACe]	[GLUe]	[NAe]	[O2a]	[CO2a]	[GLCa]	[LACa]	[NAn]	[GLCn]	[G6Pn]	[F6Pn]	[GAPn]	[PEPn]	[PYRn]	[LACn]	[NADHn]	[ATPn]	[PCrn]	[O2n]	[GLUn]	[ADPn]	[CRn]	[NADn]	[NADH_n_tot]	[PCrn_tot]	[AMPn]	Values[Vv]	Values[dHb]
30	13.3602	0.165581	0.73259	0.111617	0.0697788	0.0253653	0.171099	0.465104	0.0444646	2.24081	4.6815	0.158959	2.50167	0	0.175535	0.129996	0.318505	0.22	5	0.00819725	7.42017	4.64012	0.325152	2.11984	0.333778	0.398618	0	150	8.34	1.2	4.8	0.313	15.5331	0.263212	0.727516	0.109107	0.041819	0.00369216	0.0388379	0.385645	0.03193	2.25918	4.2523	0.0975414	3	0.113612	0.747695	0.18807	0.22	5	0.00621023	0.0236197	0.0217261
31	13.3602	0.16558	0.73259	0.111617	0.0697806	0.025366	0.171099	0.465102	0.0444646	2.24081	4.6815	0.158959	2.50173	0	0.175535	0.129993	0.318498	0.22	5	0.00819685	7.42017	4.64012	0.325152	2.11984	0.333775	0.398618	0	150	8.34	1.2	4.8	0.313	15.5331	0.26321	0.727516	0.109107	0.0418191	0.00369217	0.0388379	0.385647	0.0319301	2.25918	4.25229	0.0975412	3	0.113612	0.747705	0.18807	0.22	5	0.00621023	0.0236186	0.0217252
32	13.3603	0.16558	0.732591	0.111617	0.0697823	0.0253667	0.171098	0.4651	0.0444646	2.24081	4.68151	0.158959	2.50178	0	0.175535	0.12999	0.318491	0.22	5	0.00819646	7.42016	4.64012	0.325152	2.11984	0.333773	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263207	0.727516	0.109107	0.0418192	0.00369217	0.0388379	0.385648	0.0319301	2.25918	4.25229	0.0975409	3	0.113612	0.747715	0.18807	0.22	5	0.00621023	0.0236176	0.0217243
33	13.3603	0.16558	0.732591	0.111617	0.069784	0.0253674	0.171097	0.465097	0.0444646	2.24082	4.68152	0.158959	2.50184	0	0.175535	0.129987	0.318484	0.22	5	0.00819607	7.42016	4.64012	0.325152	2.11984	0.33377	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263205	0.727516	0.109107	0.0418193	0.00369217	0.038838	0.385648	0.0319301	2.25918	4.25228	0.0975407	3	0.113612	0.747724	0.18807	0.22	5	0.00621023	0.0236167	0.0217235
34	13.3603	0.165579	0.732592	0.111617	0.0697856	0.0253681	0.171097	0.465095	0.0444646	2.24082	4.68152	0.158959	2.50189	0	0.175535	0.129984	0.318477	0.22	5	0.00819569	7.42016	4.64012	0.325152	2.11984	0.333768	0.398619	0	150	8.34	1.2	4.8	0.313	15.5331	0.263202	0.727516	0.109107	0.0418193	0.00369218	0.038838	0.385649	0.0319302	2.25918	4.25227	0.0975405	3	0.113612	0.747733	0.18807	0.22	5	0.00621023	0.0236158	0.0217227
35	13.3603	0.165579	0.732592	0.111617	0.0697872	0.0253687	0.171096	0.465093	0.0444646	2.24082	4.68153	0.158959	2.50195	0	0.175535	0.129981	0.31847	0.22	5	0.00819532	7.42016	4.64012	0.325152	2.11984	0.333765	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.2632	0.727516	0.109107	0.0418194	0.00369218	0.038838	0.38565	0.0319302	2.25918	4.25226	0.0975402	3	0.113612	0.747742	0.18807	0.22	5	0.00621023	0.023615	0.0217219
36	13.3603	0.165578	0.732592	0.111617	0.0697888	0.0253693	0.171095	0.465092	0.0444647	2.24083	4.68154	0.158959	2.502	0	0.175535	0.129978	0.318464	0.22	5	0.00819495	7.42016	4.64012	0.325153	2.11984	0.333763	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263197	0.727516	0.109107	0.0418195	0.00369218	0.038838	0.385651	0.0319302	2.25918	4.25225	0.09754	3	0.113612	0.74775	0.18807	0.22	5	0.00621023	0.0236142	0.0217212
37	13.3603	0.165578	0.732593	0.111617	0.0697903	0.0253699	0.171095	0.46509	0.0444647	2.24083	4.68154	0.158959	2.50206	0	0.175535	0.129976	0.318457	0.22	5	0.00819459	7.42016	4.64012	0.325153	2.11985	0.33376	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263195	0.727516	0.109107	0.0418195	0.00369219	0.038838	0.385652	0.0319302	2.25918	4.25224	0.0975398	3	0.113612	0.747758	0.18807	0.22	5	0.00621023	0.0236135	0.0217206
38	13.3603	0.165578	0.732593	0.111618	0.0697918	0.0253705	0.171094	0.465088	0.0444647	2.24083	4.68155	0.158959	2.50211	0	0.175535	0.129973	0.31845	0.22	5	0.00819424	7.42016	4.64012	0.325153	2.11985	0.333758	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.263192	0.727516	0.109107	0.0418196	0.00369219	0.038838	0.385652	0.0319302	2.25918	4.25223	0.0975396	3	0.113612	0.747766	0.18807	0.22	5	0.00621023	0.0236127	0.02172
39	13.3603	0.165577	0.732594	0.111618	0.0697932	0.025371	0.171094	0.465087	0.0444647	2.24084	4.68156	0.158958	2.50217	0	0.175535	0.12997	0.318443	0.22	5	0.00819389	7.42016	4.64012	0.325153	2.11985	0.333756	0.39862	0	150	8.34	1.2	4.8	0.313	15.5331	0.26319	0.727516	0.109107	0.0418196	0.00369219	0.038838	0.385653	0.0319302	2.25918	4.25223	0.0975394	3	0.113612	0.747773	0.18807	0.22	5	0.00621023	0.0236121	0.0217194
40	13.3603	0.165577	0.732594	0.111618	0.0697946	0.0253716	0.171093	0.465085	0.0444647	2.24084	4.68156	0.158958	2.50223	0	0.175535	0.129968	0.318436	0.22	5	0.00819354	7.42016	4.64012	0.325153	2.11985	0.333753	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263188	0.727516	0.109107	0.0418196	0.00369219	0.038838	0.385654	0.0319302	2.25918	4.25222	0.0975392	3	0.113612	0.74778	0.18807	0.22	5	0.00621023	0.0236114	0.0217188
41	13.3603	0.165576	0.732594	0.111618	0.069796	0.0253721	0.171093	0.465084	0.0444647	2.24084	4.68157	0.158958	2.50228	0	0.175535	0.129965	0.318429	0.22	5	0.00819321	7.42015	4.64012	0.325153	2.11985	0.333751	0.398621	0	150	8.34	1.2	4.8	0.313	15.5331	0.263185	0.727515	0.109107	0.0418196	0.00369219	0.0388381	0.385654	0.0319302	2.25918	4.25221	0.0975391	3	0.113612	0.747787	0.18807	0.22	5	0.00621023	0.0236108	0.0217183
