Time	[GP]	[pGP]	[mRNA]	[PEPCK]	[IRS]	[p1IRS]	[p2IRS]	[p1p2IRS]	[Akt]	[pAkt]	[mTOR]	[pmTOR]	[Foxo]	[pFoxo]	[PYRout]	[GLCex]	[F16P]	[PYRin]	[LAC]	[OAA]	[GLY]	[G1P]	[G6P]
48	0.643666	0.00123402	2.38347	0.716305	18.5048	20764.4	13012.6	112140	0.306121	0.812079	879.339	0.911479	5.06676e-07	1.01833e-05	34375.5	29679.4	210045	36977.5	3.79167e+07	2758.66	182978	195604	30242.6
49	0.643667	0.00123315	2.37276	0.715235	18.4507	20383.3	13172.6	113363	0.310355	0.807845	879.325	0.925023	5.03504e-07	1.01865e-05	34375.5	29700.4	206883	36968.9	3.79167e+07	2815.42	182982	195497	30263.9
50	0.643668	0.00123229	2.36209	0.714165	18.3988	20024.6	13329.4	114525	0.314447	0.803753	879.312	0.938322	5.00887e-07	1.01891e-05	34375.5	29721.5	203721	36960.4	3.79167e+07	2872.23	182987	195391	30285.1
51	0.643669	0.00123142	2.35146	0.713097	18.3489	19686.6	13483.1	115631	0.318402	0.799798	879.299	0.951384	4.9876e-07	1.01912e-05	34375.6	29742.6	200561	36951.8	3.79167e+07	2929.09	182991	195285	30306.4
52	0.643669	0.00123056	2.34089	0.712029	18.301	19367.4	13634	116683	0.322228	0.795972	879.286	0.964214	4.97065e-07	1.01929e-05	34375.6	29763.6	197401	36943.3	3.79167e+07	2986	182996	195178	30327.7
53	0.64367	0.0012297	2.33036	0.710962	18.2549	19065.4	13781.9	117685	0.32593	0.79227	879.273	0.976818	4.95751e-07	1.01942e-05	34375.6	29784.7	194242	36934.8	3.79167e+07	3042.96	183000	195072	30348.9
54	0.643671	0.00122884	2.31989	0.709896	18.2104	18779.3	13927	118639	0.329516	0.788684	879.261	0.989201	4.94775e-07	1.01952e-05	34375.6	29805.7	191085	36926.2	3.79167e+07	3099.98	183005	194966	30370.2
55	0.643672	0.00122799	2.30946	0.708831	18.1676	18507.7	14069.3	119549	0.33299	0.78521	879.249	1.00137	4.94095e-07	1.01959e-05	34375.6	29826.7	187928	36917.7	3.79167e+07	3157.04	183010	194861	30391.4
56	0.643673	0.00122713	2.29907	0.707767	18.1262	18249.5	14209	120416	0.33636	0.78184	879.237	1.01333	4.93677e-07	1.01963e-05	34375.6	29847.8	184772	36909.2	3.79167e+07	3214.16	183014	194755	30412.6
57	0.643674	0.00122628	2.28874	0.706703	18.0861	18003.7	14345.9	121243	0.33963	0.77857	879.225	1.02508	4.93489e-07	1.01965e-05	34375.6	29868.8	181617	36900.7	3.79167e+07	3271.33	183019	194649	30433.8
58	0.643675	0.00122543	2.27845	0.70564	18.0474	17769.3	14480.4	122032	0.342806	0.775394	879.213	1.03663	4.93505e-07	1.01965e-05	34375.6	29889.8	178464	36892.2	3.79167e+07	3328.55	183023	194544	30455
59	0.643675	0.00122458	2.26821	0.704579	18.0099	17545.5	14612.2	122785	0.345893	0.772307	879.202	1.04798	4.93698e-07	1.01963e-05	34375.6	29910.8	175311	36883.7	3.79167e+07	3385.82	183028	194439	30476.1
