Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
50	0	0.0001181	3.57162e-11	2.01721e-15	7.2424e-10	1.16713e-19	2.65436e-15	8.06653e-12	6.32344e-12	7.29138e-05	0.000162715	1.57445e-08	0.010239
51	0	0.000118096	3.58142e-11	1.98849e-15	7.24243e-10	1.15134e-19	2.69609e-15	8.20455e-12	6.56658e-12	7.36534e-05	0.000165027	1.57445e-08	0.00978216
52	0	0.000118093	3.59122e-11	1.95924e-15	7.24246e-10	1.13524e-19	2.73726e-15	8.34085e-12	6.81381e-12	7.43962e-05	0.000167362	1.57445e-08	0.00934597
53	0	0.000118091	3.60103e-11	1.9295e-15	7.24241e-10	1.11883e-19	2.77784e-15	8.47541e-12	7.0651e-12	7.51419e-05	0.00016972	1.57445e-08	0.00892946
54	0	0.000118089	3.61083e-11	1.89933e-15	7.2424e-10	1.10214e-19	2.81782e-15	8.60817e-12	7.32038e-12	7.58905e-05	0.000172101	1.57445e-08	0.00853176
55	0	0.000118088	3.62063e-11	1.86872e-15	7.24249e-10	1.08518e-19	2.85719e-15	8.7391e-12	7.5796e-12	7.66419e-05	0.000174505	1.57445e-08	0.00815202
56	0	0.000118087	3.63044e-11	1.83773e-15	7.24249e-10	1.06798e-19	2.89595e-15	8.86817e-12	7.8427e-12	7.73962e-05	0.000176933	1.57445e-08	0.00778943
57	0	0.000118086	3.64024e-11	1.80642e-15	7.24213e-10	1.05055e-19	2.93409e-15	8.99535e-12	8.10964e-12	7.81531e-05	0.000179384	1.57445e-08	0.00744321
58	0	0.000118085	3.65004e-11	1.77485e-15	7.24103e-10	1.03288e-19	2.9716e-15	9.12059e-12	8.38034e-12	7.89127e-05	0.000181858	1.57445e-08	0.00711262
59	0	0.000118085	3.65985e-11	1.74311e-15	7.23878e-10	1.01498e-19	3.00847e-15	9.24388e-12	8.65476e-12	7.96749e-05	0.000184356	1.57445e-08	0.00679697
60	0	0.000118085	3.66965e-11	1.71121e-15	7.23493e-10	9.96852e-20	3.0447e-15	9.36518e-12	8.93284e-12	8.04395e-05	0.000186878	1.57445e-08	0.00649557
61	0	0.000118084	3.67945e-11	1.67907e-15	7.23023e-10	9.78629e-20	3.08028e-15	9.48448e-12	9.21451e-12	8.12067e-05	0.000189423	1.57445e-08	0.00620778
62	0	0.000118084	3.68925e-11	1.64622e-15	7.24071e-10	9.60726e-20	3.11519e-15	9.60177e-12	9.49972e-12	8.19761e-05	0.000191992	1.57445e-08	0.00593298
