Time	[EpoRJAK2]	[EpoRpJAK2]	[p1EpoRpJAK2]	[p2EpoRpJAK2]	[p12EpoRpJAK2]	[EpoRJAK2_CIS]	[SHP1]	[SHP1Act]	[STAT5]	[pSTAT5]	[npSTAT5]	[CISnRNA1]	[CISnRNA2]	[CISnRNA3]	[CISnRNA4]	[CISnRNA5]	[CISRNA]	[CIS]	[SOCS3nRNA1]	[SOCS3nRNA2]	[SOCS3nRNA3]	[SOCS3nRNA4]	[SOCS3nRNA5]	[SOCS3RNA]	[SOCS3]	[Epo]
45	3.68114	0.140955	0.0210592	0.0904469	0.0426233	-7.70643e-29	26.5877	0.137426	42.7213	25.6489	16.5575	1523.73	1522.12	1405.03	1185.96	911.487	0.0907189	3.57039	0.00164106	0.00166159	0.00168169	0.00170127	0.00172023	0.0355688	6.17661	1.24997e-07
46	3.68495	0.140181	0.020783	0.0889543	0.0413538	-1.00401e-28	26.5868	0.138261	43.3833	25.1463	16.3256	1510.25	1521.42	1420.79	1216.6	950.62	0.0946141	3.87605	0.00161865	0.00163954	0.00166006	0.00168015	0.00169971	0.036521	6.34196	1.24997e-07
47	3.68858	0.139431	0.0205181	0.0875322	0.0401636	-9.87966e-29	26.586	0.139064	44.0343	24.6562	16.0917	1495.87	1518.93	1434.2	1245.07	988.459	0.0983804	4.19303	0.00159598	0.00161715	0.00163802	0.00165853	0.0016786	0.0374501	6.5033	1.24997e-07
48	3.69203	0.138705	0.0202643	0.0861768	0.0390468	-8.21684e-29	26.5853	0.139837	44.674	24.1783	15.8563	1480.69	1514.78	1445.35	1271.36	1024.88	0.102006	4.52073	0.00157311	0.00159449	0.00161564	0.0016365	0.001657	0.0383559	6.6606	1.24997e-07
49	3.69531	0.138002	0.020021	0.0848847	0.0379979	-8.7721e-29	26.5845	0.140581	45.3024	23.7123	15.6201	1464.8	1509.1	1454.33	1295.45	1059.79	0.105481	4.85855	0.00155009	0.00157164	0.001593	0.00161414	0.00163498	0.0392383	6.81384	1.24997e-07
50	3.69844	0.137323	0.0197877	0.0836527	0.037012	-7.67126e-29	26.5838	0.141298	45.9195	23.2579	15.3834	1448.29	1502	1461.24	1317.37	1093.09	0.108795	5.20584	0.001527	0.00154864	0.00157017	0.00159152	0.00161264	0.0400973	6.963	1.24997e-07
51	3.70143	0.136666	0.0195641	0.0824778	0.0360845	-8.06636e-29	26.5831	0.141989	46.5251	22.8149	15.1469	1431.25	1493.59	1466.17	1337.12	1124.71	0.111942	5.56192	0.00150386	0.00152556	0.00154719	0.0015687	0.00159003	0.0409328	7.10809	1.24997e-07
52	3.70427	0.136031	0.0193498	0.081357	0.0352113	-9.97377e-29	26.5824	0.142655	47.1192	22.3831	14.9108	1413.74	1483.98	1469.21	1354.74	1154.58	0.114915	5.9261	0.00148074	0.00150245	0.00152413	0.00154574	0.00156723	0.0417448	7.24909	1.24997e-07
53	3.70698	0.135417	0.0191444	0.0802876	0.0343887	-1.22411e-28	26.5818	0.143296	47.7019	21.962	14.6757	1395.85	1473.28	1470.48	1370.28	1182.65	0.11771	6.29768	0.00145766	0.00147935	0.00150104	0.0015227	0.00154429	0.0425334	7.38604	1.24997e-07
54	3.70957	0.134824	0.0189474	0.0792671	0.0336131	-1.32347e-28	26.5812	0.143915	48.2732	21.5516	14.4417	1377.62	1461.59	1470.06	1383.77	1208.89	0.120322	6.67593	0.00143467	0.00145629	0.00147795	0.00149963	0.00152127	0.0432987	7.51894	1.24997e-07
