Time	[TNF{cytoplasm}]	[TNFR1]	[TRADD_TRAF2_RIP]	[IkB]	[NIK]	[IkK_NFkB]	[NFkB{cytoplasm}]	[MEKK1]	[MKK4/7]	[JNK{cytoplasm}]	[ASK]	[p38{cytoplasm}]	[LPG]	[CD14-TLR]	[MyD88]	[IRAK1/4]	[TRAF6]	[TAB2_TAK1_TAB1]	[MKK1/2]	[ERK1/2{cytoplasm}]	[MKK3/6]	[EGF]	[EGFR]	[PLC gamma]	[PIP2]	[DAG]	[PKC]	[PI3K]	[Akt{cytoplasm}]	[Shc/Grb2/Sos1]	[Ras]	[Raf]	[JAK]	[STAT1/3{cytoplasm}]	[NFkB{nucleus}]	[JNK{nucleus}]	[cjun]	[p38{nucleus}]	[cfos]	[ERK1/2{nucleus}]	[Akt{nucleus}]	[STAT1/3{nucleus}]	[TNF{nucleus}]
48	7.58394e-07	1.10232e-06	9.84871e-08	5.25191e-08	1.19133e-08	1.38627e-08	2.91167e-07	6.94971e-09	6.78095e-05	0.00107431	2.04337e-08	1.92009e-06	4.66132e-13	1.99771e-13	3.32116e-12	3.58024e-10	2.74117e-08	2.12127e-10	8.65154e-05	0.00171181	2.47383e-08	4.97208e-13	7.36743e-11	2.95903e-12	7.36749e-13	6.49076e-07	2.96963e-08	1.10933e-09	0.000585818	0.00161837	0.00161165	0.000797754	3.49937e-12	0.00042361	7.9733e-08	0.000399636	12.3171	2.68767e-07	19.4201	7.32613	3.61366	2.72463	5.83463e-07
49	5.32565e-07	7.73588e-07	6.91136e-08	3.68185e-08	8.35455e-09	9.74831e-09	2.0469e-07	4.87595e-09	5.55763e-05	0.00088134	1.43393e-08	1.34571e-06	2.55827e-13	1.0964e-13	1.82327e-12	2.07911e-10	1.70801e-08	1.32176e-10	7.10167e-05	0.00141115	1.73565e-08	2.72882e-13	4.24645e-11	1.64057e-12	4.08409e-13	4.57398e-07	2.09267e-08	6.61503e-10	0.000479628	0.00132533	0.00132073	0.000654768	2.01945e-12	0.000350308	5.60486e-08	0.000327883	12.3177	1.88348e-07	19.4201	7.32679	3.61377	2.7247	4.09939e-07
50	3.74139e-07	5.43158e-07	4.85248e-08	2.58273e-08	5.86223e-09	6.85678e-09	1.43938e-07	3.42278e-09	4.5542e-05	0.000722791	1.00676e-08	9.43757e-07	1.40407e-13	6.01744e-14	1.00093e-12	1.20696e-10	1.06375e-08	8.23202e-11	5.82711e-05	0.00116225	1.21837e-08	1.49767e-13	2.44713e-11	9.09956e-13	2.2649e-13	3.22324e-07	1.47468e-08	3.94248e-10	0.000392686	0.00108531	0.00108215	0.000537203	1.16525e-12	0.000289691	3.94112e-08	0.000268921	12.3183	1.32079e-07	19.4201	7.32733	3.61385	2.72476	2.88125e-07
51	2.62938e-07	3.81532e-07	3.40844e-08	1.8127e-08	4.11548e-09	4.82401e-09	1.01243e-07	2.40381e-09	3.73139e-05	0.000592601	7.07152e-09	6.62243e-07	7.70604e-14	3.30259e-14	5.49468e-13	7.00426e-11	6.62217e-09	5.12471e-11	4.77967e-05	0.000956506	8.55651e-09	8.21978e-14	1.40997e-11	5.04919e-13	1.25654e-13	2.27139e-07	1.0392e-08	2.34845e-10	0.000321504	0.000888721	0.000886563	0.000440604	6.72258e-13	0.000239562	2.77197e-08	0.000220499	12.3187	9.26739e-08	19.4201	7.32777	3.61393	2.72481	2.02572e-07
52	1.84848e-07	2.68104e-07	2.39506e-08	1.27286e-08	2.8905e-09	3.39454e-09	7.12278e-08	1.68887e-09	3.05687e-05	0.000485748	4.96901e-09	4.64937e-07	4.22935e-14	1.81258e-14	3.01627e-13	4.06346e-11	4.12081e-09	3.189e-11	3.91938e-05	0.000786639	6.01161e-09	4.5113e-14	8.1225e-12	2.80288e-13	6.97402e-14	1.60062e-07	7.32311e-09	1.39822e-10	0.000263226	0.000727721	0.000726245	0.000361274	3.87782e-13	0.000198108	1.9501e-08	0.000180752	12.3191	6.50586e-08	19.4201	7.32813	3.61398	2.72485	1.42461e-07
53	1.29987e-07	1.88462e-07	1.68355e-08	8.94162e-09	2.03094e-09	2.38907e-09	5.01212e-08	1.187e-09	2.50402e-05	0.000398085	3.49283e-09	3.2656e-07	2.32129e-14	9.94837e-15	1.65578e-13	2.35673e-11	2.56332e-09	1.9837e-11	3.21313e-05	0.000646547	4.22514e-09	2.47604e-14	4.6785e-12	1.55662e-13	3.87245e-14	1.12794e-07	5.16053e-09	8.32088e-11	0.000215511	0.000595873	0.000594865	0.000296158	2.23656e-13	0.000163828	1.37218e-08	0.00014814	12.3194	4.56929e-08	19.4201	7.32843	3.61403	2.72489	1.00212e-07
54	9.14315e-08	1.32517e-07	1.18376e-08	6.28369e-09	1.42749e-09	1.68168e-09	3.52751e-08	8.3453e-10	2.05098e-05	0.000326189	2.45592e-09	2.29458e-07	1.27408e-14	5.46034e-15	9.08945e-14	1.3665e-11	1.59394e-09	1.23353e-11	2.6336e-05	0.000531122	2.97051e-09	1.35902e-14	2.69441e-12	8.64894e-14	2.15123e-14	7.94852e-08	3.63658e-09	4.94958e-11	0.000176446	0.000487903	0.000487215	0.00024273	1.28977e-13	0.000135479	9.65706e-09	0.000121391	12.3197	3.21045e-08	19.4201	7.32868	3.61407	2.72492	7.05076e-08
55	6.43262e-08	9.32041e-08	8.32568e-09	4.41728e-09	1.00365e-09	1.1839e-09	2.48303e-08	5.86886e-10	1.67978e-05	0.000267242	1.72733e-09	1.61285e-07	6.99294e-15	2.99697e-15	4.98954e-14	7.9212e-12	9.90824e-10	7.66771e-12	2.15822e-05	0.000436103	2.08895e-09	7.45913e-15	1.55151e-12	4.80762e-14	1.19557e-14	5.60124e-08	2.56266e-09	2.94291e-11	0.000144461	0.000399491	0.000399021	0.000198907	7.43661e-14	0.000112035	6.79744e-09	9.94574e-05	12.3199	2.25651e-08	19.4201	7.32888	3.6141	2.72494	4.96174e-08
56	4.52652e-08	6.55689e-08	5.857e-09	3.10614e-09	7.05841e-10	8.33564e-10	1.74805e-08	4.12831e-10	1.37569e-05	0.000218922	1.21513e-09	1.13401e-07	3.83807e-15	1.64489e-15	2.73884e-14	4.59053e-12	6.15724e-10	4.76503e-12	1.76838e-05	0.000357939	1.46945e-09	4.09394e-15	8.93269e-13	2.67353e-14	6.64734e-15	3.94714e-08	1.80588e-09	1.74904e-11	0.000118275	0.000327095	0.000326775	0.000162973	4.28714e-14	9.26487e-05	4.78526e-09	8.14774e-05	12.32	1.58651e-08	19.4201	7.32905	3.61413	2.72496	3.49224e-08
57	3.18578e-08	4.6137e-08	4.12117e-09	2.18473e-09	4.9652e-10	5.86958e-10	1.23077e-08	2.90458e-10	1.12659e-05	0.000179322	8.55e-10	7.97549e-08	2.10654e-15	9.02803e-16	1.50339e-14	2.65971e-12	3.82518e-10	2.96028e-12	1.44877e-05	0.000293682	1.03386e-09	2.24698e-15	5.14226e-13	1.48745e-14	3.69762e-15	2.78151e-08	1.27259e-09	1.03907e-11	9.68354e-05	0.000267816	0.000267598	0.000133514	2.47114e-14	7.66167e-05	3.36914e-09	6.67412e-05	12.3202	1.11575e-08	19.4201	7.32919	3.61415	2.72498	2.45832e-08
58	2.2425e-08	3.24698e-08	2.90031e-09	1.537e-09	3.49349e-10	4.13348e-10	8.66651e-09	2.04399e-10	9.22559e-06	0.000146874	6.01709e-10	5.61049e-08	1.15624e-15	4.95532e-16	8.25261e-15	1.54072e-12	2.37579e-10	1.83863e-12	1.18681e-05	0.000240887	7.27528e-10	1.23332e-15	2.95994e-13	8.27984e-15	2.05787e-15	1.96011e-08	8.96781e-10	6.1707e-12	7.92822e-05	0.000219278	0.00021913	0.00010937	1.42421e-14	6.33588e-05	2.37235e-09	5.46657e-05	12.3203	7.84866e-09	19.4201	7.3293	3.61417	2.72499	1.73072e-08
59	1.57875e-08	2.2855e-08	2.04147e-09	1.08154e-09	2.45848e-10	2.91114e-10	6.10319e-09	1.43864e-10	7.55453e-06	0.000120289	4.23531e-10	3.94765e-08	6.34872e-16	2.72088e-16	4.53175e-15	8.9249e-13	1.47532e-10	1.14176e-12	9.72123e-06	0.000197531	5.12063e-10	6.77197e-16	1.70393e-13	4.6126e-15	1.14619e-15	1.38128e-08	6.3196e-10	3.6637e-12	6.49108e-05	0.000179536	0.000179435	8.95837e-05	8.20877e-15	5.23952e-05	1.67064e-09	4.47719e-05	12.3204	5.52232e-09	19.4201	7.32939	3.61418	2.725	1.21863e-08
60	1.11159e-08	1.60896e-08	1.43715e-09	7.61173e-10	1.7304e-10	2.05042e-10	4.29837e-09	1.01271e-10	6.18598e-06	9.85106e-05	2.98155e-10	2.77816e-08	3.48583e-16	1.49393e-16	2.48839e-15	5.16884e-13	9.15936e-11	7.08847e-13	7.96213e-06	0.000161942	3.60458e-10	3.71821e-16	9.80762e-14	2.57076e-15	6.38682e-16	9.73388e-09	4.45341e-10	2.17444e-12	5.31445e-05	0.000146996	0.000146927	7.33719e-05	4.73056e-15	4.33287e-05	1.17659e-09	3.66666e-05	12.3204	3.88624e-09	19.4201	7.32946	3.61419	2.72501	8.58141e-09
61	7.82742e-09	1.13282e-08	1.01184e-09	5.35788e-10	1.21811e-10	1.44427e-10	3.02749e-09	7.12982e-11	5.06523e-06	8.06717e-05	2.0992e-10	1.95544e-08	1.91395e-16	8.20264e-17	1.36638e-15	2.99298e-13	5.68524e-11	4.39986e-13	6.52094e-06	0.000132739	2.53772e-10	2.04155e-16	5.64455e-14	1.43348e-15	3.56064e-16	6.85945e-09	3.13831e-10	1.2901e-12	4.3511e-05	0.000120353	0.000120306	6.00903e-05	2.72577e-15	3.58311e-05	8.28699e-10	3.00272e-05	12.3205	2.73532e-09	19.4201	7.32953	3.6142	2.72502	6.04343e-09
62	5.51232e-09	7.97669e-09	7.12478e-10	3.77192e-10	8.57599e-11	1.01737e-10	2.13249e-09	5.02019e-11	4.14745e-06	6.60606e-05	1.47813e-10	1.37656e-08	1.05098e-16	4.5042e-17	7.50346e-16	1.73284e-13	3.52819e-11	2.7305e-13	5.34033e-06	0.000108784	1.78684e-10	1.12104e-16	3.24842e-14	7.99776e-16	1.98617e-16	4.83385e-09	2.21156e-10	7.65192e-13	3.56238e-05	9.85382e-05	9.85064e-05	4.92104e-05	1.57047e-15	2.96308e-05	5.83711e-10	2.45891e-05	12.3205	1.92553e-09	19.4201	7.32958	3.61421	2.72502	4.2564e-09
63	3.88225e-09	5.61727e-09	5.01732e-10	2.65572e-10	6.0385e-11	7.16684e-11	1.50216e-09	3.53513e-11	3.39591e-06	5.40941e-05	1.0409e-10	9.69169e-09	5.77011e-17	2.47291e-17	4.11979e-16	1.00302e-13	2.1891e-11	1.69417e-13	4.37328e-06	8.91396e-05	1.25825e-10	6.15479e-17	1.86912e-14	4.46376e-16	1.1083e-16	3.4064e-09	1.55848e-10	4.53689e-13	2.91663e-05	8.06775e-05	8.06559e-05	4.02987e-05	9.04643e-16	2.45035e-05	4.1117e-10	2.01351e-05	12.3206	1.35565e-09	19.4201	7.32962	3.61422	2.72503	2.99799e-09
64	2.73441e-09	3.95608e-09	3.53353e-10	1.87003e-10	4.25224e-11	5.04889e-11	1.0582e-09	2.48959e-11	2.78052e-06	4.42942e-05	7.33073e-11	6.8242e-09	3.16852e-17	1.35794e-17	2.26239e-16	5.8053e-14	1.35803e-11	1.051e-13	3.58121e-06	7.30332e-05	8.86111e-11	3.37975e-17	1.07547e-14	2.49297e-16	6.18846e-17	2.40048e-09	1.09826e-10	2.68926e-13	2.38794e-05	6.6054e-05	6.60393e-05	3.29997e-05	5.21082e-16	2.02634e-05	2.89646e-10	1.64875e-05	12.3206	9.54537e-10	19.4201	7.32965	3.61422	2.72503	2.11175e-09
65	1.92606e-09	2.78635e-09	2.48872e-10	1.31691e-10	2.99463e-11	3.55698e-11	7.45478e-10	1.75342e-11	2.27662e-06	3.62688e-05	5.16316e-11	4.80558e-09	1.73964e-17	7.45561e-18	1.24219e-16	3.35934e-14	8.42324e-12	6.51888e-14	2.93251e-06	5.98307e-05	6.24085e-11	1.85562e-17	6.18723e-15	1.39284e-16	3.4568e-17	1.69162e-09	7.73943e-11	1.59355e-13	1.95508e-05	5.4081e-05	5.4071e-05	2.70219e-05	3.00094e-16	1.6757e-05	2.04048e-10	1.35003e-05	12.3206	6.72173e-10	19.4201	7.32968	3.61423	2.72503	1.48758e-09
66	1.35675e-09	1.96261e-09	1.75297e-10	9.27465e-11	2.10912e-11	2.50599e-11	5.25193e-10	1.23501e-11	1.86402e-06	2.9697e-05	3.63674e-11	3.38437e-09	9.55207e-18	4.09375e-18	6.82091e-17	1.94371e-14	5.22376e-12	4.04277e-14	2.40125e-06	4.90105e-05	4.3957e-11	1.01889e-17	3.55932e-15	7.7863e-17	1.93203e-17	1.19208e-09	5.45396e-11	9.44014e-14	1.60068e-05	4.42781e-05	4.42714e-05	2.21264e-05	1.72809e-16	1.38574e-05	1.43752e-10	1.10542e-05	12.3207	4.73378e-10	19.4201	7.3297	3.61423	2.72504	1.04794e-09
67	9.55766e-10	1.38248e-09	1.2348e-10	6.53237e-11	1.48556e-11	1.7656e-11	3.70014e-10	8.69929e-12	1.52619e-06	2.43156e-05	2.56173e-11	2.38364e-09	5.245e-18	2.24786e-18	3.74545e-17	1.12449e-14	3.23913e-12	2.50683e-14	1.96619e-06	4.01439e-05	3.09627e-11	5.59466e-18	2.04743e-15	4.35507e-17	1.0804e-17	8.40056e-10	3.8434e-11	5.59083e-14	1.31053e-05	3.62521e-05	3.62476e-05	1.81175e-05	9.95025e-17	1.14595e-05	1.01277e-10	9.0511e-06	12.3207	3.33401e-10	19.4201	7.32972	3.61423	2.72504	7.38261e-10
68	6.73319e-10	9.73874e-10	8.69838e-11	4.60121e-11	1.04642e-11	1.24398e-11	2.60693e-10	6.128e-12	1.24958e-06	1.99091e-05	1.80458e-11	1.67894e-09	2.87967e-18	1.23415e-18	2.05643e-17	6.50446e-15	2.00822e-12	1.55421e-14	1.60992e-06	3.28792e-05	2.18109e-11	3.07165e-18	1.17761e-15	2.43695e-17	6.04424e-18	5.91986e-10	2.70843e-11	3.31016e-14	1.07297e-05	2.96809e-05	2.96778e-05	1.48346e-05	5.72842e-17	9.47652e-06	7.13541e-11	7.4109e-06	12.3207	2.34831e-10	19.4201	7.32974	3.61424	2.72504	5.20115e-10
69	4.74358e-10	6.86068e-10	6.12775e-11	3.24114e-11	7.37125e-12	8.76488e-12	1.83676e-10	4.31692e-12	1.02309e-06	1.6301e-05	1.27127e-11	1.18264e-09	1.5813e-18	6.77701e-19	1.12927e-17	3.76216e-15	1.24493e-12	9.63482e-15	1.31819e-06	2.69277e-05	1.53648e-11	1.68672e-18	6.77305e-16	1.36452e-17	3.38361e-18	4.17172e-10	1.90863e-11	1.9594e-14	8.78475e-06	2.43008e-05	2.42987e-05	1.21464e-05	3.29772e-17	7.8367e-06	5.02735e-11	6.06785e-06	12.3207	1.65413e-10	19.4201	7.32975	3.61424	2.72504	3.6644e-10
70	3.342e-10	4.83334e-10	4.31699e-11	2.2832e-11	5.19276e-12	6.17571e-12	1.29415e-10	3.04122e-12	8.37654e-07	1.33467e-05	8.95607e-12	8.3309e-10	8.68182e-19	3.72078e-19	6.20017e-18	2.17568e-15	7.71662e-13	5.97208e-15	1.07931e-06	2.20524e-05	1.08243e-11	9.2606e-19	3.89507e-16	7.64339e-18	1.89493e-18	2.9398e-10	1.34501e-11	1.15952e-14	7.19235e-06	1.98959e-05	1.98945e-05	9.94525e-06	1.89813e-17	6.48063e-06	3.54217e-11	4.96816e-06	12.3207	1.16522e-10	19.4201	7.32976	3.61424	2.72505	2.58177e-10
71	2.3546e-10	3.4052e-10	3.04141e-11	1.60846e-11	3.65824e-12	4.35146e-12	9.11852e-11	2.14258e-12	6.85825e-07	1.09277e-05	6.30974e-12	5.86883e-10	4.76719e-19	2.04308e-19	3.40459e-18	1.25811e-15	4.78259e-13	3.70137e-15	8.83714e-07	1.8059e-05	7.62585e-12	5.085e-19	2.23992e-16	4.28411e-18	1.06187e-18	2.07167e-10	9.47824e-12	6.86021e-15	5.8886e-06	1.62894e-05	1.62885e-05	8.14289e-06	1.09248e-17	5.35922e-06	2.49579e-11	4.06773e-06	12.3207	8.20852e-11	19.4201	7.32977	3.61424	2.72505	1.81905e-10
72	1.65898e-10	2.39912e-10	2.1428e-11	1.13316e-11	2.57728e-12	3.06612e-12	6.42499e-11	1.50952e-12	5.61515e-07	8.94713e-06	4.44548e-12	4.13455e-10	2.61755e-19	1.12181e-19	1.86941e-18	7.27437e-16	2.96385e-13	2.2938e-15	7.23555e-07	1.47883e-05	5.37267e-12	2.79205e-19	1.28801e-16	2.40244e-18	5.95344e-19	1.4599e-10	6.6793e-12	4.05784e-15	4.82118e-06	1.33367e-05	1.3336e-05	6.66711e-06	6.28713e-18	4.43186e-06	1.75855e-11	3.33048e-06	12.3207	5.78282e-11	19.4201	7.32977	3.61424	2.72505	1.28168e-10
73	1.16889e-10	1.69033e-10	1.50974e-11	7.98339e-12	1.81579e-12	2.16048e-12	4.52717e-11	1.06354e-12	4.59735e-07	7.32546e-06	3.13211e-12	2.91287e-10	1.43716e-19	6.15925e-20	1.02641e-18	4.20556e-16	1.83656e-13	1.42137e-15	5.92418e-07	1.21095e-05	3.78533e-12	1.53297e-19	7.40581e-17	1.3479e-18	3.33948e-19	1.02879e-10	4.70689e-12	2.39967e-15	3.94725e-06	1.09192e-05	1.09188e-05	5.45875e-06	3.61781e-18	3.66497e-06	1.23911e-11	2.72683e-06	12.3207	4.07408e-11	19.4201	7.32978	3.61424	2.72505	9.03071e-11
74	8.23596e-11	1.19097e-10	1.06373e-11	5.62466e-12	1.27932e-12	1.52236e-12	3.18998e-11	7.4934e-13	3.76403e-07	5.99769e-06	2.20682e-12	2.05223e-10	7.89171e-20	3.38216e-20	5.6363e-19	2.43124e-16	1.13794e-13	8.80688e-16	4.85046e-07	9.91579e-06	2.66703e-12	8.41783e-20	4.25811e-17	7.56712e-19	1.87437e-19	7.24988e-11	3.31694e-12	1.4188e-15	3.23174e-06	8.93989e-06	8.9396e-06	4.46938e-06	2.08169e-18	3.03078e-06	8.73108e-12	2.23259e-06	12.3208	2.87034e-11	19.4201	7.32978	3.61424	2.72505	6.36315e-11
75	5.80314e-11	8.39149e-11	7.49494e-12	3.96294e-12	9.01377e-13	1.07272e-12	2.24778e-11	5.27975e-13	3.08175e-07	4.91058e-06	1.55491e-12	1.44592e-10	4.33275e-20	1.85689e-20	3.09451e-19	1.40533e-16	7.05015e-14	5.45633e-16	3.97132e-07	8.11929e-06	1.87916e-12	4.6216e-20	2.44804e-17	4.24997e-19	1.05249e-19	5.10897e-11	2.33744e-12	8.38675e-16	2.64592e-06	7.31938e-06	7.31918e-06	3.6593e-06	1.19766e-18	2.50633e-06	6.15223e-12	1.82792e-06	12.3208	2.02232e-11	19.4201	7.32979	3.61424	2.72505	4.48362e-11
76	4.08901e-11	5.91269e-11	5.28097e-12	2.79221e-12	6.351e-13	7.55893e-13	1.58388e-11	3.72011e-13	2.52314e-07	4.02049e-06	1.09559e-12	1.01876e-10	2.37917e-20	1.01965e-20	1.69926e-19	8.12282e-17	4.36761e-14	3.38023e-16	3.25151e-07	6.64815e-06	1.32405e-12	2.53778e-20	1.40739e-17	2.38844e-19	5.91357e-20	3.60028e-11	1.64719e-12	4.9566e-16	2.1663e-06	5.99261e-06	5.99248e-06	2.99604e-06	6.89018e-19	2.07263e-06	4.33513e-12	1.4966e-06	12.3208	1.42487e-11	19.4201	7.32979	3.61425	2.72505	3.1593e-11
77	2.88124e-11	4.16619e-11	3.72106e-12	1.96737e-12	4.47492e-13	5.32645e-13	1.11609e-11	2.62124e-13	2.06579e-07	3.29174e-06	7.71973e-13	7.17807e-11	1.3063e-20	5.59843e-21	9.32998e-20	4.69457e-17	2.70557e-14	2.09393e-16	2.66215e-07	5.44349e-06	9.32942e-13	1.39339e-20	8.09057e-18	1.3429e-19	3.32418e-20	2.53711e-11	1.16077e-12	2.92878e-16	1.77362e-06	4.90634e-06	4.90625e-06	2.45299e-06	3.96357e-19	1.71398e-06	3.05475e-12	1.22533e-06	12.3208	1.00395e-11	19.4201	7.32979	3.61425	2.72505	2.22617e-11
78	2.03023e-11	2.93561e-11	2.62196e-12	1.38622e-12	3.15308e-13	3.75335e-13	7.86457e-12	1.84698e-13	1.69133e-07	2.69507e-06	5.43952e-13	5.05769e-11	7.17246e-21	3.07391e-21	5.12282e-20	2.71301e-17	1.67589e-14	1.29702e-16	2.17962e-07	4.45705e-06	6.57372e-13	7.65062e-21	4.65075e-18	7.55452e-20	1.86962e-20	1.7879e-11	8.17993e-13	1.73024e-16	1.45212e-06	4.01698e-06	4.01692e-06	2.00837e-06	2.27986e-19	1.4174e-06	2.15255e-12	1.00322e-06	12.3208	7.07382e-12	19.4201	7.3298	3.61425	2.72505	1.56866e-11
79	1.43059e-11	2.06853e-11	1.84752e-12	9.76758e-13	2.22174e-13	2.64486e-13	5.54186e-12	1.30144e-13	1.38475e-07	2.20656e-06	3.83288e-13	3.56372e-11	3.93844e-21	1.6879e-21	2.813e-20	1.56778e-17	1.03802e-14	8.03356e-17	1.78454e-07	3.64933e-06	4.63204e-13	4.201e-21	2.67335e-18	4.25221e-20	1.05212e-20	1.25993e-11	5.76438e-13	1.022e-16	1.18889e-06	3.28883e-06	3.28878e-06	1.64433e-06	1.31132e-19	1.17213e-06	1.51681e-12	8.21375e-07	12.3208	4.9843e-12	19.4201	7.3298	3.61425	2.72505	1.10536e-11
80	1.00807e-11	1.45758e-11	1.30184e-12	6.88251e-13	1.56551e-13	1.86375e-13	3.90516e-12	9.17047e-14	1.13374e-07	1.80659e-06	2.70081e-13	2.51109e-11	2.16232e-21	9.26708e-22	1.54443e-20	9.05896e-18	6.42892e-15	4.97556e-17	1.46107e-07	2.98797e-06	3.26392e-13	2.30647e-21	1.53659e-18	2.39449e-20	5.92341e-21	8.8787e-12	4.06215e-13	6.03551e-17	9.73383e-07	2.69267e-06	2.69264e-06	1.34628e-06	7.54166e-20	9.69302e-07	1.06885e-12	6.7249e-07	12.3208	3.51206e-12	19.4201	7.3298	3.61425	2.72505	7.78904e-12
81	7.10342e-12	1.02708e-11	9.17341e-13	4.84966e-13	1.10312e-13	1.31334e-13	2.75185e-12	6.46194e-14	9.28231e-08	1.47912e-06	1.90312e-13	1.76939e-11	1.18737e-21	5.08874e-22	8.48082e-21	5.23426e-18	3.98152e-15	3.08144e-17	1.19624e-07	2.44644e-06	2.29991e-13	1.26653e-21	8.83189e-19	1.3492e-20	3.33689e-21	6.2568e-12	2.86259e-13	3.56374e-17	7.96939e-07	2.20457e-06	2.20455e-06	1.10225e-06	4.3372e-20	8.01574e-07	7.53183e-13	5.50591e-07	12.3208	2.47471e-12	19.4201	7.3298	3.61425	2.72505	5.48865e-12
82	5.00552e-12	7.23739e-12	6.4641e-13	3.41729e-13	7.7731e-14	9.25478e-14	1.93916e-12	4.55343e-14	7.59973e-08	1.211e-06	1.34104e-13	1.24679e-11	6.51938e-22	2.79402e-22	4.6565e-21	3.02419e-18	2.46571e-15	1.9083e-17	9.79402e-08	2.00304e-06	1.62064e-13	6.954e-22	5.07614e-19	7.6057e-21	1.88067e-21	4.40916e-12	2.01726e-13	2.10393e-17	6.52479e-07	1.80495e-06	1.80494e-06	9.02451e-07	2.49416e-20	6.62869e-07	5.30748e-13	4.50788e-07	12.3208	1.74378e-12	19.4201	7.3298	3.61425	2.72505	3.86768e-12
83	3.52726e-12	5.09996e-12	4.55505e-13	2.40802e-13	5.47741e-14	6.52173e-14	1.36649e-12	3.20865e-14	6.22215e-08	9.91489e-07	9.44992e-14	8.78559e-12	3.58124e-22	1.53482e-22	2.55793e-21	1.7476e-18	1.52706e-15	1.18184e-17	8.01872e-08	1.64e-06	1.14201e-13	3.81999e-22	2.91816e-19	4.29117e-21	1.06086e-21	3.10717e-12	1.42158e-13	1.24212e-17	5.34205e-07	1.47777e-06	1.47776e-06	7.38868e-07	1.43458e-20	5.48166e-07	3.7401e-13	3.69076e-07	12.3208	1.22877e-12	19.4201	7.3298	3.61425	2.72505	2.72547e-12
84	2.48559e-12	3.59381e-12	3.20982e-13	1.69685e-13	3.85975e-14	4.5958e-14	9.62953e-13	2.26105e-14	5.09428e-08	8.11766e-07	6.65911e-14	6.19088e-12	1.96761e-22	8.43259e-23	1.40538e-21	1.00987e-18	9.45696e-16	7.31909e-18	6.5652e-08	1.34275e-06	8.04742e-14	2.09878e-22	1.67759e-19	2.42253e-21	5.98773e-22	2.18964e-12	1.0018e-13	7.33225e-18	4.3737e-07	1.2099e-06	1.20989e-06	6.04937e-07	8.25124e-21	4.53311e-07	2.6356e-13	3.02175e-07	12.3208	8.65865e-13	19.4201	7.3298	3.61425	2.72505	1.9206e-12
85	1.75155e-12	2.53248e-12	2.26189e-13	1.19572e-13	2.71986e-14	3.23862e-14	6.78583e-13	1.59331e-14	4.17085e-08	6.6462e-07	4.69253e-14	4.36252e-12	1.08074e-22	4.63172e-23	7.7193e-22	5.83512e-19	5.85637e-16	4.53246e-18	5.37516e-08	1.09937e-06	5.67082e-14	1.15278e-22	9.64329e-20	1.36808e-21	3.38077e-22	1.54306e-12	7.05974e-14	4.32748e-18	3.58089e-07	9.90581e-07	9.90577e-07	4.95283e-07	4.74531e-21	3.7487e-07	1.85728e-13	2.474e-07	12.3208	6.10147e-13	19.4201	7.3298	3.61425	2.72505	1.35342e-12
86	1.2343e-12	1.7846e-12	1.59392e-13	8.42594e-14	1.91663e-14	2.28225e-14	4.78194e-13	1.12277e-14	3.41481e-08	5.44146e-07	3.30674e-14	3.07416e-12	5.93903e-23	2.5453e-23	4.24205e-22	3.37196e-19	3.62667e-16	2.80681e-18	4.40082e-08	9.00107e-07	3.99613e-14	6.33496e-23	5.54406e-20	7.7321e-22	1.91036e-22	1.08741e-12	4.97506e-14	2.55397e-18	2.93178e-07	8.1102e-07	8.11017e-07	4.05505e-07	2.72938e-21	3.10002e-07	1.30881e-13	2.02555e-07	12.3208	4.29955e-13	19.4201	7.3298	3.61425	2.72505	9.53741e-13
87	8.69793e-13	1.25758e-12	1.12321e-13	5.93757e-14	1.35061e-14	1.60829e-14	3.3698e-13	7.912e-15	2.79581e-08	4.4551e-07	2.33021e-14	2.16629e-12	3.26274e-23	1.39832e-23	2.33047e-22	1.94821e-19	2.24571e-16	1.73804e-18	3.6031e-08	7.36956e-07	2.816e-14	3.48025e-23	3.18678e-20	4.37121e-22	1.07977e-22	7.66303e-13	3.50596e-14	1.50693e-18	2.40034e-07	6.64007e-07	6.64006e-07	3.32e-07	1.56956e-21	2.56359e-07	9.22313e-14	1.65838e-07	12.3208	3.02979e-13	19.4201	7.3298	3.61425	2.72505	6.72093e-13
88	6.12935e-13	8.86199e-13	7.9151e-14	4.1841e-14	9.51751e-15	1.13336e-14	2.37468e-13	5.57547e-15	2.28902e-08	3.64753e-07	1.64207e-14	1.52654e-12	1.7921e-23	7.68041e-24	1.28004e-22	1.12554e-19	1.39054e-16	1.07619e-18	2.94998e-08	6.03376e-07	1.9844e-14	1.91157e-23	1.8317e-20	2.47213e-22	6.10544e-23	5.40019e-13	2.47068e-14	8.89018e-19	1.96524e-07	5.43644e-07	5.43643e-07	2.7182e-07	9.02531e-22	2.11999e-07	6.4995e-14	1.35777e-07	12.3208	2.13503e-13	19.4201	7.3298	3.61425	2.72505	4.73619e-13
