Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p53_P]	[Mdm2_P]	[IR]	[ROS]	[basalROS]	[damDNA]	[E1]	[E2]	[E1_Ub]	[E2_Ub]	[Proteasome]	[Ub]	[p53DUB]	[Mdm2DUB]	[DUB]	[Mdm2_p53_Ub]	[Mdm2_p53_Ub2]	[Mdm2_p53_Ub3]	[Mdm2_p53_Ub4]	[Mdm2_P1_p53_Ub4]	[Mdm2_Ub]	[Mdm2_Ub2]	[Mdm2_Ub3]	[Mdm2_Ub4]	[Mdm2_P_Ub]	[Mdm2_P_Ub2]	[Mdm2_P_Ub3]	[Mdm2_P_Ub4]	[p53_Ub4_Proteasome]	[Mdm2_Ub4_Proteasome]	[Mdm2_P_Ub4_Proteasome]	[GSK3b]	[GSK3b_p53]	[GSK3b_p53_P]	[Abeta]	[AggAbeta_Proteasome]	[AggAbeta]	[AbetaPlaque]	[Tau]	[Tau_P1]	[Tau_P2]	[MT_Tau]	[AggTau]	[AggTau_Proteasome]	[Proteasome_Tau]	[PP1]	[NFT]	[ATP]	[ADP]	[AMP]	[Source]	[Sink]
39	4.14355	6.39234	85.3658	9.91992	10	1.51077e-07	200	3.44827e-10	2.27598e-06	0	-1.26261e-15	10	3.89848e-07	3.32767	16.9047	96.6723	83.0953	499.88	3779.63	200	200	200	0.428794	0.43077	0.432747	0.138111	9.20398	0.00419112	0.00424066	0.00429038	0.0353471	2.99046e-09	2.59005e-09	2.21358e-09	7.93423e-09	0.119494	0.000379447	5.3132e-11	499.786	0.214324	3.9908e-12	0.000202623	-6.07555e-13	-1.24859e-11	1.21527e-13	0.0942501	0.0223001	0.00525377	99.8811	-3.94113e-08	-3.01839e-09	0.000223532	50	6.03745e-10	10000	1000	1000	1	0
40	4.12664	6.42674	85.041	9.91832	10	1.58896e-07	200	3.65572e-10	2.38989e-06	0	-1.39876e-15	10	3.9984e-07	3.28672	16.7134	96.7133	83.2866	499.871	3777.96	200	200	200	0.427163	0.42913	0.431099	0.137757	9.55428	0.00417326	0.00422201	0.00427208	0.0369344	3.15274e-09	2.7436e-09	2.35821e-09	8.79276e-09	0.128458	0.000411625	6.09189e-11	499.78	0.220296	4.33746e-12	0.000213468	-6.72416e-13	-1.34739e-11	1.34503e-13	0.0945801	0.0225078	0.0053333	99.8805	-4.08514e-08	-3.219e-09	0.000230348	50	6.43875e-10	10000	1000	1000	1	0
41	4.11004	6.46108	84.7168	9.91674	10	1.66911e-07	200	3.87018e-10	2.50619e-06	0	-1.54572e-15	10	4.09832e-07	3.24913	16.5368	96.7509	83.4632	499.862	3776.32	200	200	200	0.425534	0.427493	0.429455	0.137376	9.90368	0.00415571	0.00420364	0.0042537	0.0385166	3.31864e-09	2.9008e-09	2.50656e-09	9.70801e-09	0.13774	0.000445058	6.95106e-11	499.774	0.226291	4.70449e-12	0.000224611	-7.42343e-13	-1.45128e-11	1.48492e-13	0.0948855	0.0227094	0.00541174	99.88	-4.22981e-08	-3.42681e-09	0.000237126	50	6.8545e-10	10000	1000	1000	1	0
42	4.09375	6.49535	84.3934	9.91518	10	1.75123e-07	200	4.09173e-10	2.62488e-06	0	-1.70405e-15	10	4.19824e-07	3.21458	16.3736	96.7854	83.6264	499.852	3774.7	200	200	200	0.423908	0.42586	0.427813	0.136971	10.2521	0.00413849	0.00418555	0.00423537	0.0400936	3.48813e-09	3.06163e-09	2.65858e-09	1.06814e-08	0.14734	0.000479729	7.89559e-11	499.768	0.232307	5.09255e-12	0.000236053	-8.17591e-13	-1.56039e-11	1.63546e-13	0.0951679	0.0229055	0.0054892	99.8795	-4.3751e-08	-3.64187e-09	0.000243865	50	7.28474e-10	10000	1000	1000	1	0
43	4.07776	6.52955	84.0706	9.91364	10	1.83529e-07	200	4.32043e-10	2.74593e-06	0	-1.87435e-15	10	4.29815e-07	3.18274	16.2222	96.8173	83.7778	499.842	3773.09	200	200	200	0.422287	0.42423	0.426176	0.136545	10.5995	0.00412159	0.00416776	0.00421716	0.041665	3.6612e-09	3.22606e-09	2.81426e-09	1.17143e-08	0.157256	0.000515621	8.93048e-11	499.762	0.238346	5.50231e-12	0.000247795	-8.98425e-13	-1.67484e-11	1.79718e-13	0.0954291	0.0230964	0.00556577	99.8791	-4.52098e-08	-3.8642e-09	0.000250562	50	7.72954e-10	10000	1000	1000	1	0
44	4.06207	6.56368	83.7486	9.91213	10	1.92132e-07	200	4.55636e-10	2.86935e-06	0	-2.05719e-15	10	4.39806e-07	3.15333	16.0815	96.8467	83.9185	499.832	3771.5	200	200	200	0.420669	0.422604	0.424542	0.136101	10.9458	0.004105	0.00415028	0.00419914	0.0432307	3.83782e-09	3.39407e-09	2.97357e-09	1.28082e-08	0.167484	0.000552715	1.00608e-10	499.756	0.244407	5.93444e-12	0.000259838	-9.85113e-13	-1.79477e-11	1.97061e-13	0.0956707	0.0232826	0.00564154	99.8786	-4.6674e-08	-4.09384e-09	0.000257217	50	8.18895e-10	10000	1000	1000	1	0
45	4.04669	6.59775	83.4275	9.91064	10	2.00929e-07	200	4.79959e-10	2.9951e-06	0	-2.25321e-15	10	4.49798e-07	3.12612	15.9503	96.8739	84.0497	499.821	3769.92	200	200	200	0.419055	0.420982	0.422912	0.135641	11.2911	0.00408873	0.00413311	0.00418134	0.0447906	4.01797e-09	3.56565e-09	3.13648e-09	1.39644e-08	0.178023	0.000590993	1.12918e-10	499.75	0.250489	6.38963e-12	0.000272184	-1.07793e-12	-1.9203e-11	2.15632e-13	0.0958941	0.0234644	0.00571659	99.8782	-4.81435e-08	-4.3308e-09	0.000263828	50	8.66303e-10	10000	1000	1000	1	0
46	4.03161	6.63175	83.1072	9.90917	10	2.09923e-07	200	5.05018e-10	3.12319e-06	0	-2.46302e-15	10	4.59788e-07	3.10087	15.8277	96.8991	84.1723	499.81	3768.36	200	200	200	0.417446	0.419365	0.421286	0.135167	11.6351	0.00407278	0.00411626	0.0041638	0.0463445	4.20165e-09	3.74077e-09	3.30297e-09	1.51844e-08	0.18887	0.000630438	1.26286e-10	499.743	0.256594	6.86855e-12	0.000284833	-1.17717e-12	-2.05157e-11	2.35486e-13	0.0961006	0.0236422	0.00579102	99.8778	-4.9618e-08	-4.57511e-09	0.000270393	50	9.15184e-10	10000	1000	1000	1	0
47	4.01682	6.66568	82.7878	9.90772	10	2.19111e-07	200	5.30822e-10	3.25361e-06	0	-2.68728e-15	10	4.69779e-07	3.07738	15.7127	96.9226	84.2873	499.799	3766.81	200	200	200	0.415841	0.417752	0.419665	0.13468	11.978	0.00405713	0.00409973	0.00414654	0.0478924	4.38883e-09	3.91942e-09	3.47303e-09	1.64695e-08	0.200024	0.000671032	1.40767e-10	499.737	0.262719	7.3719e-12	0.000297786	-1.28311e-12	-2.18869e-11	2.56683e-13	0.0962916	0.0238161	0.00586489	99.8775	-5.10972e-08	-4.8268e-09	0.000276912	50	9.65541e-10	10000	1000	1000	1	0
48	4.00234	6.69954	82.4694	9.90629	10	2.28495e-07	200	5.57376e-10	3.38635e-06	0	-2.92665e-15	10	4.7977e-07	3.05547	15.6046	96.9445	84.3954	499.788	3765.27	200	200	200	0.41424	0.416143	0.418049	0.134182	12.3196	0.00404179	0.00408352	0.00412957	0.0494342	4.57951e-09	4.10159e-09	3.64663e-09	1.7821e-08	0.211482	0.000712758	1.56415e-10	499.731	0.268867	7.90038e-12	0.000311046	-1.39605e-12	-2.33181e-11	2.7928e-13	0.0964681	0.0239866	0.00593827	99.8771	-5.25808e-08	-5.08588e-09	0.000283384	50	1.01738e-09	10000	1000	1000	1	0
49	3.98814	6.73332	82.1519	9.90489	10	2.38073e-07	200	5.84688e-10	3.5214e-06	0	-3.1818e-15	10	4.8976e-07	3.03497	15.5027	96.965	84.4973	499.776	3763.75	200	200	200	0.412645	0.41454	0.416437	0.133675	12.6599	0.00402676	0.00406762	0.00411291	0.05097	4.77367e-09	4.28725e-09	3.82376e-09	1.92403e-08	0.223242	0.000755598	1.73284e-10	499.725	0.275036	8.45469e-12	0.000324611	-1.51629e-12	-2.48104e-11	3.03339e-13	0.0966311	0.0241539	0.00601123	99.8768	-5.40688e-08	-5.35239e-09	0.000289807	50	1.0707e-09	10000	1000	1000	1	0
50	3.97424	6.76704	81.8354	9.90351	10	2.47847e-07	200	6.12765e-10	3.65876e-06	0	-3.45341e-15	10	4.9975e-07	3.01575	15.4063	96.9842	84.5937	499.764	3762.23	200	200	200	0.411054	0.412941	0.414831	0.13316	12.999	0.00401203	0.00405203	0.00409655	0.0524998	4.97129e-09	4.4764e-09	4.00441e-09	2.07288e-08	0.235302	0.000799535	1.91431e-10	499.719	0.281226	9.03553e-12	0.000338485	-1.64415e-12	-2.63652e-11	3.28921e-13	0.0967818	0.0243183	0.00608383	99.8765	-5.55608e-08	-5.62633e-09	0.00029618	50	1.12552e-09	10000	1000	1000	1	0
51	3.96063	6.80069	81.5199	9.90215	10	2.57815e-07	200	6.41613e-10	3.79842e-06	0	-3.74222e-15	10	5.0974e-07	2.99767	15.3148	97.0023	84.6852	499.751	3760.73	200	200	200	0.409469	0.411347	0.413229	0.132638	13.3368	0.00399761	0.00403676	0.0040805	0.0540235	5.17239e-09	4.66903e-09	4.18857e-09	2.22879e-08	0.247659	0.000844551	2.10913e-10	499.713	0.287437	9.64362e-12	0.000352666	-1.77993e-12	-2.79837e-11	3.5609e-13	0.096921	0.0244799	0.00615612	99.8762	-5.70567e-08	-5.90774e-09	0.000302504	50	1.18183e-09	10000	1000	1000	1	0
52	3.94731	6.83426	81.2054	9.90081	10	2.67979e-07	200	6.71239e-10	3.94038e-06	0	-4.04893e-15	10	5.1973e-07	2.98062	15.2278	97.0194	84.7722	499.738	3759.23	200	200	200	0.407888	0.409759	0.411633	0.13211	13.6733	0.00398348	0.0040218	0.00406476	0.0555411	5.37693e-09	4.86513e-09	4.37621e-09	2.39188e-08	0.26031	0.000890631	2.31786e-10	499.706	0.29367	1.02797e-11	0.000367158	-1.92395e-12	-2.96673e-11	3.8491e-13	0.0970495	0.0246389	0.00622817	99.8759	-5.85564e-08	-6.19662e-09	0.000308778	50	1.23963e-09	10000	1000	1000	1	0
53	3.93427	6.86776	80.8919	9.89949	10	2.78336e-07	200	7.0165e-10	4.08465e-06	0	-4.37429e-15	10	5.29719e-07	2.96448	15.1448	97.0355	84.8552	499.725	3757.75	200	200	200	0.406313	0.408176	0.410041	0.131576	14.0084	0.00396965	0.00400714	0.00404934	0.0570528	5.58493e-09	5.0647e-09	4.56734e-09	2.56229e-08	0.273255	0.000937757	2.54109e-10	499.7	0.299923	1.09444e-11	0.00038196	-2.07655e-12	-3.14172e-11	4.15447e-13	0.0971682	0.0247957	0.00630001	99.8756	-6.00596e-08	-6.493e-09	0.000315001	50	1.29894e-09	10000	1000	1000	1	0
54	3.92152	6.90119	80.5795	9.8982	10	2.88889e-07	200	7.32852e-10	4.2312e-06	0	-4.71906e-15	10	5.39709e-07	2.94916	15.0654	97.0508	84.9346	499.712	3756.27	200	200	200	0.404743	0.406598	0.408455	0.131038	14.3422	0.00395611	0.00399278	0.00403422	0.0585585	5.79638e-09	5.26771e-09	4.76194e-09	2.74016e-08	0.286489	0.000985914	2.77941e-10	499.694	0.306197	1.16386e-11	0.000397074	-2.23806e-12	-3.32347e-11	4.47767e-13	0.0972777	0.0249503	0.0063717	99.8753	-6.15664e-08	-6.79689e-09	0.000321173	50	1.35975e-09	10000	1000	1000	1	0
55	3.90905	6.93454	80.2682	9.89692	10	2.99636e-07	200	7.64852e-10	4.38006e-06	0	-5.08401e-15	10	5.49698e-07	2.93459	14.9893	97.0654	85.0107	499.699	3754.8	200	200	200	0.403178	0.405025	0.406875	0.130497	14.6747	0.00394286	0.00397873	0.00401942	0.0600583	6.01127e-09	5.47418e-09	4.96002e-09	2.92561e-08	0.300012	0.00103508	3.03342e-10	499.688	0.312492	1.23629e-11	0.000412501	-2.40882e-12	-3.51211e-11	4.81939e-13	0.0973787	0.025103	0.00644328	99.8751	-6.30765e-08	-7.10832e-09	0.000327293	50	1.42207e-09	10000	1000	1000	1	0
56	3.89685	6.96781	79.9579	9.89567	10	3.10577e-07	200	7.97657e-10	4.53121e-06	0	-5.46993e-15	10	5.59687e-07	2.92067	14.916	97.0793	85.084	499.685	3753.34	200	200	200	0.401619	0.403458	0.4053	0.129952	15.0058	0.00392989	0.00396497	0.00400492	0.0615523	6.22961e-09	5.6841e-09	5.16155e-09	3.11879e-08	0.31382	0.00108525	3.30372e-10	499.681	0.318808	1.31182e-11	0.000428241	-2.58918e-12	-3.70777e-11	5.18034e-13	0.0974719	0.0252539	0.0065148	99.8748	-6.45898e-08	-7.42728e-09	0.000333361	50	1.48591e-09	10000	1000	1000	1	0
57	3.88494	7.00101	79.6488	9.89444	10	3.21713e-07	200	8.31273e-10	4.68467e-06	0	-5.87762e-15	10	5.69675e-07	2.90736	14.8454	97.0926	85.1546	499.671	3751.89	200	200	200	0.400065	0.401896	0.40373	0.129405	15.3355	0.00391722	0.00395151	0.00399072	0.0630406	6.45139e-09	5.89746e-09	5.36654e-09	3.31982e-08	0.327912	0.0011364	3.59091e-10	499.675	0.325144	1.3905e-11	0.000444297	-2.77949e-12	-3.91057e-11	5.56119e-13	0.0975577	0.0254031	0.00658628	99.8746	-6.61064e-08	-7.75381e-09	0.000339377	50	1.55126e-09	10000	1000	1000	1	0
58	3.87329	7.03413	79.3407	9.89323	10	3.33042e-07	200	8.65706e-10	4.84043e-06	0	-6.30791e-15	10	5.79664e-07	2.89458	14.7771	97.1054	85.2229	499.656	3750.44	200	200	200	0.398517	0.40034	0.402166	0.128856	15.6638	0.00390482	0.00393834	0.00397683	0.0645231	6.67662e-09	6.11426e-09	5.57498e-09	3.52883e-08	0.342284	0.00118852	3.89563e-10	499.668	0.3315	1.47243e-11	0.000460667	-2.9801e-12	-4.12065e-11	5.96269e-13	0.0976368	0.0255508	0.00665777	99.8744	-6.76259e-08	-8.08792e-09	0.000345341	50	1.61812e-09	10000	1000	1000	1	0
59	3.86192	7.06717	79.0337	9.89205	10	3.44566e-07	200	9.00963e-10	4.99849e-06	0	-6.76163e-15	10	5.89652e-07	2.88229	14.7109	97.1177	85.2891	499.641	3749	200	200	200	0.396974	0.398789	0.400607	0.128306	15.9907	0.00389271	0.00392546	0.00396323	0.066	6.90529e-09	6.33452e-09	5.78688e-09	3.74597e-08	0.356935	0.00124158	4.21849e-10	499.662	0.337877	1.55766e-11	0.000477355	-3.19139e-12	-4.33813e-11	6.38556e-13	0.0977096	0.0256971	0.00672931	99.8741	-6.91485e-08	-8.42961e-09	0.000351252	50	1.68651e-09	10000	1000	1000	1	0
60	3.85082	7.10014	78.7279	9.89088	10	3.56284e-07	200	9.3705e-10	5.15886e-06	0	-7.23964e-15	10	5.9964e-07	2.87042	14.6466	97.1296	85.3534	499.626	3747.57	200	200	200	0.395437	0.397244	0.399054	0.127754	16.3163	0.00388088	0.00391287	0.00394993	0.0674713	7.13742e-09	6.55821e-09	6.00222e-09	3.97136e-08	0.371862	0.00129558	4.56012e-10	499.656	0.344273	1.64629e-11	0.00049436	-3.41373e-12	-4.56315e-11	6.83056e-13	0.0977766	0.0258421	0.00680091	99.8739	-7.0674e-08	-8.77891e-09	0.000357111	50	1.75642e-09	10000	1000	1000	1	0
61	3.83998	7.13302	78.4231	9.88974	10	3.68196e-07	200	9.73974e-10	5.32155e-06	0	-7.74282e-15	10	6.09628e-07	2.85895	14.5841	97.1411	85.4159	499.611	3746.14	200	200	200	0.393906	0.395705	0.397507	0.127201	16.6404	0.00386932	0.00390056	0.00393692	0.0689372	7.373e-09	6.78536e-09	6.22102e-09	4.20515e-08	0.387063	0.00135051	4.92118e-10	499.649	0.35069	1.73838e-11	0.000511683	-3.64749e-12	-4.79582e-11	7.29844e-13	0.0978383	0.025986	0.00687262	99.8737	-7.22024e-08	-9.13583e-09	0.000362918	50	1.82786e-09	10000	1000	1000	1	0
62	3.82941	7.16582	78.1195	9.88861	10	3.80301e-07	200	1.01174e-09	5.48656e-06	0	-8.27209e-15	10	6.19616e-07	2.84783	14.5231	97.1522	85.4769	499.596	3744.72	200	200	200	0.39238	0.394171	0.395965	0.126648	16.9632	0.00385803	0.00388853	0.0039242	0.0703976	7.61205e-09	7.01596e-09	6.44327e-09	4.44746e-08	0.402536	0.00140634	5.30232e-10	499.643	0.357127	1.83402e-11	0.000529327	-3.89308e-12	-5.03628e-11	7.79001e-13	0.0978949	0.0261288	0.00694445	99.8735	-7.37336e-08	-9.50038e-09	0.000368672	50	1.90083e-09	10000	1000	1000	1	0
63	3.8191	7.19854	77.817	9.88751	10	3.926e-07	200	1.05035e-09	5.65389e-06	0	-8.82831e-15	10	6.29603e-07	2.83702	14.4635	97.163	85.5365	499.58	3743.31	200	200	200	0.390859	0.392643	0.394429	0.126095	17.2846	0.00384701	0.00387678	0.00391177	0.0718528	7.85457e-09	7.25002e-09	6.66898e-09	4.69842e-08	0.418278	0.00146306	5.70416e-10	499.636	0.363583	1.93328e-11	0.000547291	-4.15087e-12	-5.28467e-11	8.30602e-13	0.0979469	0.0262706	0.00701645	99.8733	-7.52675e-08	-9.87257e-09	0.000374374	50	1.97533e-09	10000	1000	1000	1	0
64	3.80905	7.23118	77.5156	9.88643	10	4.05092e-07	200	1.08982e-09	5.82357e-06	0	-9.41242e-15	10	6.39591e-07	2.82649	14.4052	97.1735	85.5948	499.564	3741.9	200	200	200	0.389344	0.39112	0.392898	0.125542	17.6045	0.00383626	0.00386531	0.00389962	0.0733028	8.10058e-09	7.48755e-09	6.89815e-09	4.95818e-08	0.434287	0.00152065	6.1274e-10	499.63	0.370059	2.03624e-11	0.000565576	-4.42127e-12	-5.5411e-11	8.84727e-13	0.0979946	0.0264115	0.00708862	99.8731	-7.68041e-08	-1.02524e-08	0.000380024	50	2.05136e-09	10000	1000	1000	1	0
65	3.79926	7.26374	77.2153	9.88538	10	4.17778e-07	200	1.13015e-09	5.99558e-06	0	-1.00253e-14	10	6.49578e-07	2.81622	14.348	97.1838	85.652	499.547	3740.5	200	200	200	0.387835	0.389603	0.391374	0.124989	17.9231	0.00382577	0.0038541	0.00388776	0.0747476	8.35007e-09	7.72855e-09	7.13079e-09	5.22685e-08	0.45056	0.00157912	6.57265e-10	499.623	0.376554	2.14297e-11	0.000584184	-4.70465e-12	-5.80569e-11	9.41455e-13	0.0980383	0.0265517	0.007161	99.8729	-7.83435e-08	-1.06399e-08	0.000385621	50	2.12893e-09	10000	1000	1000	1	0
66	3.78972	7.29621	76.9162	9.88434	10	4.30658e-07	200	1.17135e-09	6.16995e-06	0	-1.0668e-14	10	6.59565e-07	2.80619	14.2919	97.1938	85.7081	499.531	3739.1	200	200	200	0.386332	0.388092	0.389855	0.124436	18.2402	0.00381555	0.00384317	0.00387617	0.0761874	8.60307e-09	7.97303e-09	7.3669e-09	5.50459e-08	0.467096	0.00163843	7.04061e-10	499.617	0.383069	2.25356e-11	0.000603115	-5.00145e-12	-6.07859e-11	1.00087e-12	0.0980782	0.0266911	0.0072336	99.8728	-7.98855e-08	-1.10352e-08	0.000391167	50	2.20805e-09	10000	1000	1000	1	0
67	3.78043	7.32859	76.6182	9.88332	10	4.4373e-07	200	1.21342e-09	6.34668e-06	0	-1.13414e-14	10	6.69551e-07	2.79636	14.2368	97.2036	85.7632	499.514	3737.71	200	200	200	0.384834	0.386586	0.388341	0.123885	18.556	0.00380558	0.00383251	0.00386486	0.0776222	8.85958e-09	8.221e-09	7.60649e-09	5.79152e-08	0.483892	0.00169857	7.53194e-10	499.61	0.389603	2.36807e-11	0.00062237	-5.31208e-12	-6.35991e-11	1.06305e-12	0.0981147	0.0268299	0.00730645	99.8726	-8.14302e-08	-1.14381e-08	0.00039666	50	2.28871e-09	10000	1000	1000	1	0
68	3.77139	7.36089	76.3214	9.88233	10	4.56996e-07	200	1.25637e-09	6.52579e-06	0	-1.20465e-14	10	6.79538e-07	2.78672	14.1825	97.2133	85.8175	499.497	3736.33	200	200	200	0.383342	0.385087	0.386834	0.123334	18.8704	0.00379587	0.00382211	0.00385382	0.0790521	9.11962e-09	8.47248e-09	7.84956e-09	6.08778e-08	0.500945	0.00175954	8.04736e-10	499.604	0.396156	2.4866e-11	0.000641951	-5.63696e-12	-6.64979e-11	1.1281e-12	0.0981481	0.0269681	0.00737956	99.8724	-8.29774e-08	-1.18487e-08	0.000402102	50	2.37091e-09	10000	1000	1000	1	0
69	3.7626	7.3931	76.0256	9.88136	10	4.70455e-07	200	1.3002e-09	6.70728e-06	0	-1.27844e-14	10	6.89524e-07	2.77725	14.1291	97.2227	85.8709	499.48	3734.95	200	200	200	0.381856	0.383592	0.385332	0.122783	19.1833	0.00378642	0.00381198	0.00384305	0.0804773	9.38321e-09	8.72747e-09	8.09614e-09	6.3935e-08	0.518254	0.00182132	8.58755e-10	499.597	0.402729	2.60923e-11	0.000661858	-5.97653e-12	-6.94836e-11	1.19608e-12	0.0981785	0.0271058	0.00745296	99.8722	-8.45273e-08	-1.2267e-08	0.000407493	50	2.45466e-09	10000	1000	1000	1	0
70	3.75405	7.42522	75.731	9.88041	10	4.84106e-07	200	1.34492e-09	6.89116e-06	0	-1.35561e-14	10	6.9951e-07	2.76794	14.0763	97.2321	85.9237	499.462	3733.58	200	200	200	0.380375	0.382104	0.383836	0.122234	19.4949	0.00377722	0.0038021	0.00383255	0.0818978	9.65035e-09	8.98599e-09	8.34622e-09	6.70884e-08	0.535816	0.0018839	9.15321e-10	499.591	0.40932	2.73602e-11	0.000682092	-6.33122e-12	-7.25574e-11	1.26709e-12	0.0982061	0.027243	0.00752665	99.8721	-8.60798e-08	-1.26931e-08	0.000412832	50	2.53997e-09	10000	1000	1000	1	0
71	3.74574	7.45726	75.4376	9.87948	10	4.97951e-07	200	1.39054e-09	7.07746e-06	0	-1.43625e-14	10	7.09496e-07	2.75877	14.0242	97.2412	85.9758	499.444	3732.21	200	200	200	0.3789	0.380621	0.382345	0.121686	19.8051	0.00376827	0.00379248	0.00382231	0.0833137	9.92106e-09	9.24806e-09	8.59983e-09	7.03391e-08	0.553629	0.00194726	9.74505e-10	499.584	0.41593	2.86708e-11	0.000702654	-6.70148e-12	-7.57207e-11	1.34122e-12	0.0982312	0.0273798	0.00760067	99.8719	-8.76349e-08	-1.31269e-08	0.00041812	50	2.62682e-09	10000	1000	1000	1	0
72	3.73768	7.4892	75.1453	9.87857	10	5.11988e-07	200	1.43706e-09	7.26617e-06	0	-1.52049e-14	10	7.19482e-07	2.74972	13.9727	97.2503	86.0273	499.426	3730.85	200	200	200	0.377431	0.379144	0.380861	0.12114	20.1139	0.00375956	0.00378311	0.00381234	0.0847251	1.01954e-08	9.51368e-09	8.85697e-09	7.36886e-08	0.57169	0.00201139	1.03638e-09	499.577	0.422558	3.00246e-11	0.000723545	-7.08775e-12	-7.89746e-11	1.41857e-12	0.0982539	0.0275162	0.00767501	99.8717	-8.91925e-08	-1.35684e-08	0.000423358	50	2.71524e-09	10000	1000	1000	1	0
73	3.72985	7.52106	74.8541	9.87768	10	5.26218e-07	200	1.48448e-09	7.45732e-06	0	-1.60842e-14	10	7.29467e-07	2.74079	13.9218	97.2592	86.0782	499.407	3729.49	200	200	200	0.375967	0.377673	0.379382	0.120594	20.4213	0.0037511	0.003774	0.00380262	0.0861321	1.04733e-08	9.78287e-09	9.11766e-09	7.71383e-08	0.589998	0.00207629	1.10101e-09	499.571	0.429205	3.14226e-11	0.000744765	-7.49047e-12	-8.23204e-11	1.4992e-12	0.0982743	0.0276523	0.00774969	99.8716	-9.07527e-08	-1.40178e-08	0.000428546	50	2.80521e-09	10000	1000	1000	1	0
74	3.72225	7.55282	74.564	9.87681	10	5.40641e-07	200	1.53282e-09	7.65092e-06	0	-1.70014e-14	10	7.39453e-07	2.73196	13.8714	97.268	86.1286	499.389	3728.14	200	200	200	0.374509	0.376208	0.377909	0.120051	20.7273	0.00374288	0.00376514	0.00379316	0.0875348	1.07548e-08	1.00557e-08	9.38191e-09	8.06895e-08	0.608551	0.00214193	1.16847e-09	499.564	0.43587	3.28656e-11	0.000766316	-7.9101e-12	-8.57594e-11	1.58323e-12	0.0982928	0.0277881	0.00782474	99.8714	-9.23156e-08	-1.44749e-08	0.000433683	50	2.89674e-09	10000	1000	1000	1	0
75	3.71488	7.58449	74.2751	9.87596	10	5.55256e-07	200	1.58208e-09	7.84699e-06	0	-1.79579e-14	10	7.49438e-07	2.72324	13.8215	97.2768	86.1785	499.37	3726.79	200	200	200	0.373057	0.374748	0.376441	0.119508	21.0319	0.00373489	0.00375652	0.00378395	0.0889333	1.104e-08	1.03321e-08	9.64974e-09	8.43437e-08	0.627345	0.0022083	1.23884e-09	499.557	0.442554	3.43544e-11	0.000788199	-8.34715e-12	-8.9293e-11	1.67075e-12	0.0983094	0.0279237	0.00790015	99.8713	-9.3881e-08	-1.49398e-08	0.00043877	50	2.98984e-09	10000	1000	1000	1	0
76	3.70775	7.61606	73.9873	9.87514	10	5.70063e-07	200	1.63225e-09	8.04553e-06	0	-1.89546e-14	10	7.59423e-07	2.71459	13.772	97.2854	86.228	499.351	3725.45	200	200	200	0.371611	0.373294	0.37498	0.118968	21.3352	0.00372715	0.00374814	0.003775	0.0903277	1.13289e-08	1.06121e-08	9.92117e-09	8.81023e-08	0.646379	0.0022754	1.31219e-09	499.551	0.449256	3.58898e-11	0.000810415	-8.80207e-12	-9.29224e-11	1.76185e-12	0.0983242	0.0280591	0.00797595	99.8711	-9.5449e-08	-1.54125e-08	0.000443808	50	3.08451e-09	10000	1000	1000	1	0
77	3.70084	7.64754	73.7006	9.87433	10	5.85062e-07	200	1.68336e-09	8.24657e-06	0	-1.99928e-14	10	7.69407e-07	2.70603	13.7229	97.294	86.2771	499.332	3724.11	200	200	200	0.37017	0.371845	0.373524	0.118428	21.6371	0.00371964	0.00374001	0.00376629	0.091718	1.16215e-08	1.08958e-08	1.01962e-08	9.19667e-08	0.66565	0.00234321	1.3886e-09	499.544	0.455975	3.74727e-11	0.000832963	-9.27533e-12	-9.66489e-11	1.85663e-12	0.0983373	0.0281943	0.00805214	99.871	-9.70197e-08	-1.58931e-08	0.000448797	50	3.18074e-09	10000	1000	1000	1	0
78	3.69415	7.67893	73.4151	9.87355	10	6.00254e-07	200	1.7354e-09	8.45012e-06	0	-2.10735e-14	10	7.79392e-07	2.69755	13.6742	97.3025	86.3258	499.312	3722.78	200	200	200	0.368735	0.370403	0.372074	0.117891	21.9376	0.00371236	0.00373211	0.00375783	0.0931043	1.19178e-08	1.11831e-08	1.04749e-08	9.59383e-08	0.685157	0.00241172	1.46814e-09	499.537	0.462713	3.91038e-11	0.000855846	-9.76743e-12	-1.00474e-10	1.95518e-12	0.098349	0.0283294	0.00812873	99.8708	-9.8593e-08	-1.63814e-08	0.000453737	50	3.27855e-09	10000	1000	1000	1	0
79	3.68768	7.71022	73.1307	9.87279	10	6.15638e-07	200	1.78838e-09	8.65619e-06	0	-2.2198e-14	10	7.89376e-07	2.68913	13.6258	97.3109	86.3742	499.292	3721.45	200	200	200	0.367305	0.368966	0.370629	0.117355	22.2367	0.0037053	0.00372445	0.00374962	0.0944868	1.22178e-08	1.14741e-08	1.07572e-08	1.00019e-07	0.704896	0.00248092	1.55088e-09	499.531	0.469468	4.07841e-11	0.000879063	-1.02788e-11	-1.04398e-10	2.05761e-12	0.0983592	0.0284644	0.00820573	99.8707	-1.00169e-07	-1.68776e-08	0.000458628	50	3.37793e-09	10000	1000	1000	1	0
