Time	[PPase]	[Smad2_n]	[pSmad2_n]	[GFP-Smad2_n]	[pGFP-Smad2_n]	[pSmad2/pSmad2_n]	[pSmad2/Smad4_n]	[Smad4_n]	[pGFP-Smad2/pSmad2_n]	[pGFP-Smad2/Smad4_n]	[pGFP-Smad2/pGFP_Smad2_n]	[pSmad2/pSmad2_c]	[pSmad2/Smad4_c]	[Smad4_c]	[Smad2_c]	[pSmad2_c]	[GFP-Smad2_c]	[pGFP-Smad2_c]	[pGFP-Smad2/pSmad2_c]	[pGFP-Smad2/Smad4_c]	[pGFP-Smad2/pGFP-Smad2_c]	[TGFb_c]	[R_act]	[R]	[R_inact]	[SB-431542]
39	1	28.5095	0.00262342	28.5095	0.00262342	5.07397e-06	0.0160849	50.7746	5.07397e-06	0.0160849	5.07397e-06	2.03359e-05	0.0399474	50.6898	60.5068	0.0372079	60.5068	0.0372079	2.03359e-05	0.0399474	2.03359e-05	0.066	0.173935	0.826065	0	0
40	1	28.5091	0.0028107	28.5091	0.0028107	5.71826e-06	0.0174519	50.7741	5.71826e-06	0.0174519	5.71826e-06	2.23175e-05	0.0422124	50.6843	60.5027	0.0385414	60.5027	0.0385414	2.23175e-05	0.0422124	2.23175e-05	0.066	0.177973	0.822027	0	0
41	1	28.5087	0.00300681	28.5087	0.00300681	6.42251e-06	0.0188915	50.7736	6.42251e-06	0.0188915	6.42251e-06	2.44258e-05	0.0445311	50.6786	60.4985	0.0398825	60.4985	0.0398825	2.44258e-05	0.0445311	2.44258e-05	0.066	0.181991	0.818009	0	0
42	1	28.5082	0.00321198	28.5082	0.00321198	7.19031e-06	0.020405	50.773	7.19031e-06	0.020405	7.19031e-06	2.66644e-05	0.0469024	50.6727	60.4942	0.0412309	60.4942	0.0412309	2.66644e-05	0.0469024	2.66644e-05	0.066	0.185989	0.814011	0	0
43	1	28.5078	0.0034264	28.5078	0.0034264	8.02531e-06	0.021994	50.7725	8.02531e-06	0.021994	8.02531e-06	2.9037e-05	0.0493254	50.6667	60.4898	0.0425863	60.4898	0.0425863	2.9037e-05	0.0493254	2.9037e-05	0.066	0.189967	0.810033	0	0
44	1	28.5073	0.00365029	28.5073	0.00365029	8.93126e-06	0.0236597	50.7719	8.93126e-06	0.0236597	8.93126e-06	3.15472e-05	0.0517991	50.6606	60.4853	0.0439485	60.4853	0.0439485	3.15472e-05	0.0517991	3.15472e-05	0.066	0.193926	0.806074	0	0
45	1	28.5068	0.00388384	28.5068	0.00388384	9.91199e-06	0.0254036	50.7713	9.91199e-06	0.0254036	9.91199e-06	3.41987e-05	0.0543225	50.6542	60.4808	0.0453171	60.4808	0.0453171	3.41987e-05	0.0543225	3.41987e-05	0.066	0.197866	0.802134	0	0
46	1	28.5063	0.00412728	28.5063	0.00412728	1.09714e-05	0.0272268	50.7707	1.09714e-05	0.0272268	1.09714e-05	3.6995e-05	0.0568947	50.6478	60.4761	0.0466921	60.4761	0.0466921	3.6995e-05	0.0568947	3.6995e-05	0.066	0.201786	0.798214	0	0
47	1	28.5057	0.00438078	28.5057	0.00438078	1.21135e-05	0.0291308	50.7701	1.21135e-05	0.0291308	1.21135e-05	3.99394e-05	0.0595147	50.6411	60.4714	0.048073	60.4714	0.048073	3.99394e-05	0.0595147	3.99394e-05	0.066	0.205688	0.794312	0	0
48	1	28.5052	0.00464455	28.5052	0.00464455	1.33425e-05	0.0311167	50.7694	1.33425e-05	0.0311167	1.33425e-05	4.30356e-05	0.0621815	50.6343	60.4666	0.0494598	60.4666	0.0494598	4.30356e-05	0.0621815	4.30356e-05	0.066	0.20957	0.79043	0	0
49	1	28.5046	0.00491878	28.5046	0.00491878	1.46623e-05	0.0331858	50.7687	1.46623e-05	0.0331858	1.46623e-05	4.62867e-05	0.0648942	50.6274	60.4617	0.0508523	60.4617	0.0508523	4.62867e-05	0.0648942	4.62867e-05	0.066	0.213433	0.786567	0	0
50	1	28.504	0.00520366	28.504	0.00520366	1.60774e-05	0.0353392	50.768	1.60774e-05	0.0353392	1.60774e-05	4.96963e-05	0.0676519	50.6203	60.4567	0.0522502	60.4567	0.0522502	4.96963e-05	0.0676519	4.96963e-05	0.066	0.217278	0.782722	0	0
51	1	28.5034	0.00549937	28.5034	0.00549937	1.7592e-05	0.037578	50.7673	1.7592e-05	0.037578	1.7592e-05	5.32675e-05	0.0704536	50.613	60.4517	0.0536533	60.4517	0.0536533	5.32675e-05	0.0704536	5.32675e-05	0.066	0.221103	0.778897	0	0
52	1	28.5027	0.00580609	28.5027	0.00580609	1.92104e-05	0.0399034	50.7665	1.92104e-05	0.0399034	1.92104e-05	5.70035e-05	0.0732984	50.6056	60.4465	0.0550615	60.4465	0.0550615	5.70035e-05	0.0732984	5.70035e-05	0.066	0.22491	0.77509	0	0
53	1	28.5021	0.00612401	28.5021	0.00612401	2.09373e-05	0.0423165	50.7658	2.09373e-05	0.0423165	2.09373e-05	6.09075e-05	0.0761855	50.5981	60.4413	0.0564745	60.4413	0.0564745	6.09075e-05	0.0761855	6.09075e-05	0.066	0.228698	0.771302	0	0
54	1	28.5014	0.0064533	28.5014	0.0064533	2.27772e-05	0.0448182	50.765	2.27772e-05	0.0448182	2.27772e-05	6.49827e-05	0.0791139	50.5904	60.436	0.0578923	60.436	0.0578923	6.49827e-05	0.0791139	6.49827e-05	0.066	0.232468	0.767532	0	0
55	1	28.5007	0.00679412	28.5007	0.00679412	2.47346e-05	0.0474097	50.7641	2.47346e-05	0.0474097	2.47346e-05	6.9232e-05	0.0820827	50.5825	60.4306	0.0593147	60.4306	0.0593147	6.9232e-05	0.0820827	6.9232e-05	0.066	0.23622	0.76378	0	0
56	1	28.5	0.00714665	28.5	0.00714665	2.68142e-05	0.0500918	50.7633	2.68142e-05	0.0500918	2.68142e-05	7.36585e-05	0.0850911	50.5745	60.4251	0.0607415	60.4251	0.0607415	7.36585e-05	0.0850911	7.36585e-05	0.066	0.239953	0.760047	0	0
57	1	28.4992	0.00751105	28.4992	0.00751105	2.9021e-05	0.0528656	50.7624	2.9021e-05	0.0528656	2.9021e-05	7.82651e-05	0.0881381	50.5663	60.4196	0.0621725	60.4196	0.0621725	7.82651e-05	0.0881381	7.82651e-05	0.066	0.243667	0.756333	0	0
58	1	28.4985	0.00788747	28.4985	0.00788747	3.13596e-05	0.055732	50.7616	3.13596e-05	0.055732	3.13596e-05	8.30546e-05	0.0912231	50.558	60.414	0.0636076	60.414	0.0636076	8.30546e-05	0.0912231	8.30546e-05	0.066	0.247364	0.752636	0	0
59	1	28.4977	0.00827608	28.4977	0.00827608	3.3835e-05	0.0586918	50.7606	3.3835e-05	0.0586918	3.3835e-05	8.803e-05	0.094345	50.5496	60.4082	0.0650467	60.4082	0.0650467	8.803e-05	0.094345	8.803e-05	0.066	0.251043	0.748957	0	0
60	1	28.4969	0.00867702	28.4969	0.00867702	3.64522e-05	0.061746	50.7597	3.64522e-05	0.061746	3.64522e-05	9.31939e-05	0.0975032	50.541	60.4025	0.0664897	60.4025	0.0664897	9.31939e-05	0.0975032	9.31939e-05	0.066	0.254703	0.745297	0	0
61	1	28.496	0.00909045	28.496	0.00909045	3.92163e-05	0.0648954	50.7588	3.92163e-05	0.0648954	3.92163e-05	9.85492e-05	0.100697	50.5322	60.3966	0.0679363	60.3966	0.0679363	9.85492e-05	0.100697	9.85492e-05	0.066	0.258346	0.741654	0	0
62	1	28.4952	0.0095165	28.4952	0.0095165	4.21324e-05	0.0681408	50.7578	4.21324e-05	0.0681408	4.21324e-05	0.000104098	0.103925	50.5233	60.3907	0.0693865	60.3907	0.0693865	0.000104098	0.103925	0.000104098	0.066	0.261971	0.738029	0	0
63	1	28.4943	0.00995532	28.4943	0.00995532	4.52056e-05	0.071483	50.7568	4.52056e-05	0.071483	4.52056e-05	0.000109844	0.107187	50.5143	60.3846	0.0708401	60.3846	0.0708401	0.000109844	0.107187	0.000109844	0.066	0.265578	0.734422	0	0
64	1	28.4934	0.010407	28.4934	0.010407	4.84413e-05	0.0749227	50.7558	4.84413e-05	0.0749227	4.84413e-05	0.000115789	0.110482	50.5051	60.3785	0.072297	60.3785	0.072297	0.000115789	0.110482	0.000115789	0.066	0.269167	0.730833	0	0
65	1	28.4925	0.0108718	28.4925	0.0108718	5.18447e-05	0.0784608	50.7547	5.18447e-05	0.0784608	5.18447e-05	0.000121935	0.113809	50.4958	60.3724	0.0737572	60.3724	0.0737572	0.000121935	0.113809	0.000121935	0.066	0.272739	0.727261	0	0
66	1	28.4916	0.0113497	28.4916	0.0113497	5.54214e-05	0.0820979	50.7537	5.54214e-05	0.0820979	5.54214e-05	0.000128286	0.117167	50.4864	60.3661	0.0752204	60.3661	0.0752204	0.000128286	0.117167	0.000128286	0.066	0.276294	0.723706	0	0
67	1	28.4906	0.011841	28.4906	0.011841	5.91767e-05	0.0858346	50.7526	5.91767e-05	0.0858346	5.91767e-05	0.000134843	0.120556	50.4768	60.3598	0.0766865	60.3598	0.0766865	0.000134843	0.120556	0.000134843	0.066	0.279831	0.720169	0	0
68	1	28.4896	0.0123456	28.4896	0.0123456	6.31162e-05	0.0896718	50.7515	6.31162e-05	0.0896718	6.31162e-05	0.000141608	0.123976	50.4671	60.3534	0.0781556	60.3534	0.0781556	0.000141608	0.123976	0.000141608	0.066	0.283351	0.716649	0	0
69	1	28.4886	0.0128638	28.4886	0.0128638	6.72454e-05	0.0936099	50.7503	6.72454e-05	0.0936099	6.72454e-05	0.000148585	0.127424	50.4572	60.3469	0.0796273	60.3469	0.0796273	0.000148585	0.127424	0.000148585	0.066	0.286854	0.713146	0	0
70	1	28.4876	0.0133956	28.4876	0.0133956	7.15702e-05	0.0976497	50.7492	7.15702e-05	0.0976497	7.15702e-05	0.000155775	0.130901	50.4472	60.3404	0.0811017	60.3404	0.0811017	0.000155775	0.130901	0.000155775	0.066	0.290339	0.709661	0	0
71	1	28.4866	0.0139411	28.4866	0.0139411	7.60961e-05	0.101792	50.748	7.60961e-05	0.101792	7.60961e-05	0.00016318	0.134406	50.4371	60.3338	0.0825787	60.3338	0.0825787	0.00016318	0.134406	0.00016318	0.066	0.293808	0.706192	0	0
72	1	28.4855	0.0145006	28.4855	0.0145006	8.0829e-05	0.106036	50.7468	8.0829e-05	0.106036	8.0829e-05	0.000170803	0.137938	50.4268	60.3271	0.084058	60.3271	0.084058	0.000170803	0.137938	0.000170803	0.066	0.297259	0.702741	0	0
73	1	28.4844	0.015074	28.4844	0.015074	8.57748e-05	0.110385	50.7456	8.57748e-05	0.110385	8.57748e-05	0.000178645	0.141496	50.4164	60.3203	0.0855397	60.3203	0.0855397	0.000178645	0.141496	0.000178645	0.066	0.300694	0.699306	0	0
74	1	28.4833	0.0156615	28.4833	0.0156615	9.09395e-05	0.114837	50.7443	9.09395e-05	0.114837	9.09395e-05	0.000186709	0.145081	50.4058	60.3135	0.0870236	60.3135	0.0870236	0.000186709	0.145081	0.000186709	0.066	0.304112	0.695888	0	0
75	1	28.4821	0.0162632	28.4821	0.0162632	9.63289e-05	0.119393	50.7431	9.63289e-05	0.119393	9.63289e-05	0.000194996	0.14869	50.3951	60.3066	0.0885097	60.3066	0.0885097	0.000194996	0.14869	0.000194996	0.066	0.307513	0.692487	0	0
76	1	28.481	0.0168791	28.481	0.0168791	0.000101949	0.124054	50.7418	0.000101949	0.124054	0.000101949	0.000203508	0.152324	50.3843	60.2997	0.0899978	60.2997	0.0899978	0.000203508	0.152324	0.000203508	0.066	0.310898	0.689102	0	0
77	1	28.4798	0.0175094	28.4798	0.0175094	0.000107806	0.128821	50.7405	0.000107806	0.128821	0.000107806	0.000212248	0.155982	50.3734	60.2926	0.0914879	60.2926	0.0914879	0.000212248	0.155982	0.000212248	0.066	0.314266	0.685734	0	0
78	1	28.4786	0.0181541	28.4786	0.0181541	0.000113907	0.133693	50.7391	0.000113907	0.133693	0.000113907	0.000221216	0.159663	50.3623	60.2855	0.0929798	60.2855	0.0929798	0.000221216	0.159663	0.000221216	0.066	0.317617	0.682383	0	0
79	1	28.4774	0.0188133	28.4774	0.0188133	0.000120257	0.138671	50.7378	0.000120257	0.138671	0.000120257	0.000230415	0.163366	50.3511	60.2783	0.0944735	60.2783	0.0944735	0.000230415	0.163366	0.000230415	0.066	0.320952	0.679048	0	0
80	1	28.4761	0.0194872	28.4761	0.0194872	0.000126863	0.143757	50.7364	0.000126863	0.143757	0.000126863	0.000239847	0.167092	50.3398	60.2711	0.0959689	60.2711	0.0959689	0.000239847	0.167092	0.000239847	0.066	0.324271	0.675729	0	0
81	1	28.4748	0.0201758	28.4748	0.0201758	0.000133731	0.148949	50.735	0.000133731	0.148949	0.000133731	0.000249512	0.170838	50.3284	60.2638	0.0974659	60.2638	0.0974659	0.000249512	0.170838	0.000249512	0.066	0.327574	0.672426	0	0
82	1	28.4735	0.0208791	28.4735	0.0208791	0.000140868	0.154248	50.7336	0.000140868	0.154248	0.000140868	0.000259413	0.174606	50.3168	60.2564	0.0989644	60.2564	0.0989644	0.000259413	0.174606	0.000259413	0.066	0.33086	0.66914	0	0
83	1	28.4722	0.0215973	28.4722	0.0215973	0.00014828	0.159655	50.7321	0.00014828	0.159655	0.00014828	0.000269551	0.178394	50.3051	60.249	0.100464	60.249	0.100464	0.000269551	0.178394	0.000269551	0.066	0.334131	0.665869	0	0
84	1	28.4709	0.0223303	28.4709	0.0223303	0.000155973	0.16517	50.7307	0.000155973	0.16517	0.000155973	0.000279928	0.182201	50.2933	60.2414	0.101966	60.2414	0.101966	0.000279928	0.182201	0.000279928	0.066	0.337385	0.662615	0	0
