Time	[d]	[ad]	[e]	[r]	[rs]	[x]	[ip3]	[kg]	[gstar]	[ro]	[ip3con]	[dcon]	[atp]	[y]	[delta]	[ca]
84	0.113312	0.41	2.18431	0.328781	0.961795	0.604081	0.013	8.82353	0.00135417	6.46511e-17	0.549834	0	1.61628e-15	500	0.0119647	0.0159835
85	0.113446	0.41	2.14116	0.359374	0.984945	0.687803	0.013	8.82353	0.00135417	3.75364e-18	0.549834	0	9.38411e-17	500	0.0119647	0.0159835
86	0.115442	0.41	2.0624	0.395602	1.01197	0.795571	0.013	8.82353	0.00135417	-6.37667e-18	0.549834	0	-1.59417e-16	500	0.0119647	0.0159835
87	0.11953	0.41	1.94343	0.43855	1.04252	0.944902	0.013	8.82353	0.00135417	2.63104e-18	0.549834	0	6.57759e-17	500	0.0119647	0.0159835
88	0.126318	0.41	1.77565	0.490047	1.07625	1.17737	0.013	8.82353	0.00135417	-9.56644e-18	0.549834	0	-2.39161e-16	500	0.0119647	0.0159835
89	0.137175	0.41	1.53971	0.553258	1.113	1.61774	0.013	8.82353	0.00135417	-2.86397e-19	0.549834	0	-7.15993e-18	500	0.0119647	0.0159835
90	0.155565	0.41	1.18265	0.633512	1.15308	2.81862	0.013	8.82353	0.00135417	5.99109e-18	0.549834	0	1.49777e-16	500	0.0119647	0.0159835
91	0.192981	0.41	0.542846	0.734175	1.19866	9.61015	0.013	8.82353	0.00135417	-5.6249e-20	0.549834	0	-1.40622e-18	500	0.0119647	0.0159835
92	0.272178	0.41	0.0616077	0.824472	1.24983	20.5905	0.013	8.82353	0.00135417	-8.0429e-22	0.549834	0	-2.01072e-20	500	0.0119647	0.0159835
93	0.36293	0.41	0.0674435	0.875266	1.27735	11.9891	0.013	8.82353	0.00135417	1.53297e-12	0.549834	1.2424e-12	3.83243e-11	500	0.0119647	0.0159835
94	0.447005	0.41	0.109128	0.898625	1.28007	6.33306	0.0130322	8.82353	0.00135777	3.18496e-05	0.551429	2.49421e-05	0.000796265	500	0.0119647	0.0159835
95	0.565054	0.694006	0.176477	0.900656	1.2649	3.15557	0.943973	8.82353	0.0983305	0.950275	1	0.999998	477.761	478.187	0.0119647	0.299989
96	0.675289	0.694006	0.27572	0.878507	1.2344	1.48697	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
97	0.744354	0.694006	0.408153	0.825285	1.19694	0.686545	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
98	0.763075	0.694006	0.568063	0.741061	1.15599	0.343045	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
99	0.732339	0.694006	0.745959	0.639131	1.1128	0.215043	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
100	0.663927	0.694006	0.932658	0.536919	1.06875	0.179953	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
