Time	[b_Met]	[b_Ser]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[Folate]	[H2O2]	[CO2]	[Formaldehyde]	[c_THF]	[m_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathione]	[Homocysteine]	[c_Serine]	[S-adenosylhomocysteine]	[S-adenosylmethionine]	[c_Methionine]	[c_formate]	[m_Serine]	[m_Glycine]	[m_Formate]	[Sarcosine]	[Dimethylglycine]
41	7.5	37.5	10	50	50	20	20.1	0.01	0	500	3.49696	21.1152	6.26108	0.399616	0.229203	2.98293	0.0302152	1.64701	1.53848	15.8993	117.877	54.0609	173.315	0.465621	12.441	0.948233	3027.79	166.242	10.1125	678.596	58.9073	6079.06	25.6324	1.17258	312.314	13.4836	43.6942	28.155	14.6195	1446.08	1735.72	59.9672	8.13263	0.805851
42	97.5	487.5	10	50	50	20	20.1	0.01	0	500	1.86705	21.1038	8.60511	0.287251	0.17259	2.44647	0.0215309	1.59787	1.51058	15.9877	105.71	52.2903	172.764	0.463368	12.4014	0.956108	2912.83	158.801	10.5253	567.582	58.6169	6011.75	12.5853	0.953579	271.127	8.40897	24.2264	28.0169	21.0789	978.102	1413.19	78.2315	6.16069	0.699892
43	97.5	487.5	10	50	50	20	20.1	0.01	0	500	5.33614	21.3803	3.6766	0.535837	0.291625	3.51886	0.0409399	1.63781	1.53247	15.6494	758.869	73.7903	205.829	0.462931	12.4198	0.941442	3475.35	207.461	9.96212	1177.64	58.5711	6044.74	33.2389	1.08965	694.768	21.0135	114.347	113.704	12.3145	1736.97	2044.14	53.5106	9.81594	0.63015
44	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.02069	21.7193	1.70514	0.600059	0.318875	3.70916	0.0460818	1.61441	1.51814	15.3481	1235.05	81.0631	207.132	0.467871	12.5059	0.939191	3895.25	214.723	10.1934	1452.73	59.2084	6197.23	56.8125	1.36763	771.038	47.5273	233.434	79.1438	10.8791	2655.21	2754.21	49.1713	12.4964	0.565102
45	97.5	487.5	10	50	50	20	20.1	0.01	0	500	7.53002	21.9397	1.14134	0.614963	0.324993	3.7414	0.0472823	1.59322	1.5053	15.1618	1682.89	87.3059	208.743	0.475005	12.6088	0.93882	4240.14	215.218	10.4626	1576.31	60.1227	6397.25	70.6147	1.48318	822.676	74.4249	341.007	54.7972	10.515	3402.48	3153.69	47.9777	12.2627	0.453959
46	7.5	37.5	10	50	50	20	20.1	0.01	0	500	7.62149	22.1618	1.50029	0.523074	0.285901	3.42932	0.0399288	1.56981	1.49104	14.9774	534.429	67.6196	176.7	0.480738	12.6652	0.942495	3879.37	163.536	8.86681	1522.3	60.8476	6514.47	62.5659	1.95026	426.113	82.4566	225.044	15.7605	10.3423	2972.17	3267.47	47.3111	11.0688	0.718782
47	7.5	37.5	10	50	50	20	20.1	0.01	0	500	6.51729	21.861	2.61408	0.520203	0.284654	3.42407	0.0397001	1.59734	1.50791	15.2337	187	63.5135	176.871	0.482181	12.6746	0.942567	3620.83	162.782	9.22158	1110.64	61.0281	6534.58	50.2389	1.76089	377.731	51.0332	135.45	21.8916	10.9938	2374.89	2779.89	49.327	10.4474	0.859862
48	7.5	37.5	10	50	50	20	20.1	0.01	0	500	4.93116	21.317	4.39453	0.478129	0.265916	3.2939	0.0363714	1.64433	1.53634	15.7023	134.068	60.2367	176.82	0.482053	12.6686	0.944166	3411.61	162.782	10.0096	792.094	61.0097	6521.16	35.9689	1.43763	332.378	23.1249	72.0752	26.9893	12.4814	1750.43	2047.99	53.8719	9.771	0.888724
49	7.5	37.5	10	50	50	20	20.1	0.01	0	500	2.87993	21.1902	7.1357	0.357599	0.208607	2.79121	0.0269505	1.62552	1.52611	15.8582	114.1	57.6996	176.531	0.480731	12.6472	0.950915	3248.8	157.893	10.6261	625.034	60.8385	6474.5	20.1505	1.08944	289.136	11.0965	35.0103	28.4754	16.0691	1192.8	1583	63.964	7.36028	0.768649
50	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.65967	21.2612	8.93514	0.270361	0.163618	2.35097	0.0202382	1.56853	1.49311	15.8771	104.667	55.815	175.987	0.47817	12.6096	0.957642	3128.5	152.561	11.0294	537.391	60.509	6395.52	10.1484	0.930341	254.12	7.88976	22.0185	27.9634	22.8491	832.481	1320.29	83.2081	5.87546	0.684007
