Time	[CRP]	[PC]	[PC/CRP]	[C4]	[C4a]	[C4b]	[C2]	[C1]	[PC/CRP/C1]	[C2a]	[C2b]	[C4b/C2a]	[C3]	[C3a]	[C3b]	[dC3b]	[MASP]	[dC4b/C2a]	[GlcNac]	[GlcNac/LF]	[LF]	[GlcNac/LF/MASP]	[PC/CRP/LF]	[PC/CRP/LF/MASP]	[GlcNac/LF/CRP]	[GlcNac/LF/CRP/C1]	[C4BP]	[C4BP/PC/CRP]	[C4BP/GlcNac/LF/CRP]	[iC4b/C2a]	[C4BP/C4b]	[C4b/C2a/C4BP]	[dC4b/C2a/C4BP]	[PC/CRP/LF/C1]	[C4BP/PC/CRP/LF]	[GlcNac/LF/CRP/MASP]	[PC/CRP/LF/C1/MASP]	[GlcNac/LF/C1/MASP]	[GlcNac/HF]	[HF]	[GlcNac/HF/MASP]	[X]
41	1.97071	0.00348818	8.664e-06	769.985	0.0145999	9.53404e-05	309.986	2470	0.000597844	0.0138895	0.0138904	3.01811e-09	4650	6.64965e-08	1.29661e-08	4.85692e-09	6.8	1.6399e-10	0	0	20	0	6.01825e-09	9.55979e-10	0	0	256.334	0.0286844	0	3.81331e-07	0.0145037	4.36894e-07	2.32666e-08	1.53829e-07	0	0	3.1187e-07	0	8.57523e-28	5.31111e-27	-1.98777e-26	0.0005
42	1.97052	0.00330363	8.67357e-06	769.985	0.015338	0.00010008	309.985	2470	0.000613022	0.0145915	0.0145924	3.33328e-09	4650	7.52206e-08	1.44e-08	5.40745e-09	6.8	1.8504e-10	0	0	20	0	6.02711e-09	9.62128e-10	0	0	256.245	0.0288538	0	4.31235e-07	0.015237	4.8346e-07	2.63142e-08	1.57353e-07	0	0	3.20589e-07	0	-1.28728e-27	5.25369e-27	-3.18561e-26	0.0005
43	1.97035	0.00312885	8.68258e-06	769.984	0.0160947	0.000104937	309.985	2470	0.000628202	0.0153111	0.0153121	3.67279e-09	4650	8.48443e-08	1.59516e-08	6.0043e-09	6.8	2.08215e-10	0	0	20	0	6.03559e-09	9.68232e-10	0	0	256.157	0.0290134	0	4.86266e-07	0.0159887	5.33688e-07	2.96753e-08	1.60879e-07	0	0	3.29318e-07	0	-3.59679e-27	5.07106e-27	-4.38763e-26	0.0005
44	1.97018	0.00296335	8.69107e-06	769.983	0.0168699	0.000109913	309.984	2470	0.00064338	0.0160482	0.0160494	4.03788e-09	4650	9.5436e-08	1.76273e-08	6.65008e-09	6.8	2.33673e-10	0	0	20	0	6.0437e-09	9.74294e-10	0	0	256.068	0.0291637	0	5.46812e-07	0.0167588	5.87769e-07	3.33736e-08	1.64407e-07	0	0	3.38059e-07	0	-6.40068e-27	4.75643e-27	-5.31061e-26	0.0005
45	1.97003	0.00280661	8.69906e-06	769.982	0.0176636	0.000115008	309.983	2470	0.000658557	0.016803	0.0168043	4.42983e-09	4650	1.07068e-07	1.94337e-08	7.34745e-09	6.8	2.61581e-10	0	0	20	0	6.05145e-09	9.80314e-10	0	0	255.98	0.0293052	0	6.13282e-07	0.0175473	6.45897e-07	3.74342e-08	1.67937e-07	0	0	3.46809e-07	0	-9.33043e-27	4.32636e-27	-5.92646e-26	0.0005
46	1.96988	0.00265818	8.70657e-06	769.982	0.0184758	0.000120221	309.982	2470	0.000673731	0.0175753	0.0175767	4.84994e-09	4650	1.19816e-07	2.13776e-08	8.09915e-09	6.8	2.92115e-10	0	0	20	0	6.05888e-09	9.86296e-10	0	0	255.891	0.0294384	0	6.86102e-07	0.0183541	7.08271e-07	4.18833e-08	1.71469e-07	0	0	3.55569e-07	0	-1.18926e-26	3.75912e-27	-5.99333e-26	0.0005
47	1.96974	0.00251762	8.71364e-06	769.981	0.0193065	0.000125553	309.982	2470	0.000688902	0.0183652	0.0183668	5.29956e-09	4650	1.33759e-07	2.3466e-08	8.90801e-09	6.8	3.25456e-10	0	0	20	0	6.06599e-09	9.92241e-10	0	0	255.803	0.0295638	0	7.65721e-07	0.0191794	7.75095e-07	4.67483e-08	1.75003e-07	0	0	3.64338e-07	0	-1.41941e-26	3.08251e-27	-5.95473e-26	0.0005
48	1.9696	0.0023845	8.72028e-06	769.98	0.0201557	0.000131004	309.981	2470	0.000704069	0.0191727	0.0191745	5.78006e-09	4650	1.4898e-07	2.57059e-08	9.77692e-09	6.8	3.61796e-10	0	0	20	0	6.0728e-09	9.98151e-10	0	0	255.714	0.0296818	0	8.52609e-07	0.020023	8.46578e-07	5.2058e-08	1.78539e-07	0	0	3.73115e-07	0	-1.6002e-26	2.32349e-27	-6.36603e-26	0.0005
49	1.96948	0.00225843	8.72651e-06	769.979	0.0210234	0.000136574	309.98	2470	0.000719231	0.0199978	0.0199997	6.29284e-09	4650	1.65565e-07	2.81048e-08	1.07088e-08	6.8	4.01336e-10	0	0	20	0	6.07933e-09	1.00403e-09	0	0	255.626	0.0297926	0	9.47255e-07	0.0208849	9.22935e-07	5.78425e-08	1.82076e-07	0	0	3.819e-07	0	-1.75709e-26	1.47318e-27	-6.94882e-26	0.0005
50	1.96936	0.00213904	8.73237e-06	769.978	0.0219097	0.000142263	309.979	2470	0.000734387	0.0208404	0.0208425	6.83933e-09	4650	1.83607e-07	3.06701e-08	1.17068e-08	6.8	4.44284e-10	0	0	20	0	6.0856e-09	1.00987e-09	0	0	255.537	0.0298969	0	1.05017e-06	0.0217653	1.00438e-06	6.41332e-08	1.85614e-07	0	0	3.90693e-07	0	-1.9457e-26	5.26588e-28	-7.45652e-26	0.0005
51	1.96925	0.00202598	8.73786e-06	769.977	0.0228143	0.000148071	309.978	2470	0.000749537	0.0217006	0.0217029	7.42101e-09	4650	2.03198e-07	3.34095e-08	1.27739e-08	6.8	4.90859e-10	0	0	20	0	6.09161e-09	1.01569e-09	0	0	255.449	0.0299948	0	1.16189e-06	0.0226639	1.09115e-06	7.09628e-08	1.89154e-07	0	0	3.99493e-07	0	-2.13934e-26	-5.12934e-28	-7.95937e-26	0.0005
52	1.96914	0.0019189	8.74301e-06	769.976	0.0237375	0.000153998	309.977	2470	0.00076468	0.0225783	0.0225808	8.03938e-09	4650	2.24439e-07	3.63308e-08	1.39134e-08	6.8	5.41287e-10	0	0	20	0	6.09738e-09	1.02148e-09	0	0	255.36	0.0300867	0	1.28298e-06	0.023581	1.18345e-06	7.83654e-08	1.92694e-07	0	0	4.08299e-07	0	-2.2825e-26	-1.65236e-27	-8.36636e-26	0.0005
