Time	[PFKL]	[FBPase]	[F6P]	[PEP]	[Isocitrate]	[2-oxoglutarate]	[Malate]	[Citrate]	[sa4_degraded]	[ALDO]	[pPFKL]	[sa8_degraded]	[sa7_degraded]	[sa5_degraded]	[sa6_degraded]	[sa9_degraded]	[sa3_degraded]	[sa10_degraded]	[IR_complex]	[pro_IR_complex]	[p1IR_complex]	[p2IR_complex]	[p1p2IRcomplex]	[AKT]	[pAKT]	[mTOR]	[pmTOR]	[S6K]	[pS6K]	[X]	[pX]	[sa28_degraded]	[sa27_degraded]	[sa26_degraded]	[F6P_proxy]
77	1.23557	1	13.4138	157.768	2.93665	40.8974	126.194	42.9211	71.7577	1	1.12526	-57.3152	-15.7088	-49.6732	-1.14178	-0.295201	0.663663	-25.1735	20.069	46.2223	103.409	76.2879	35.856	4.33812	0.477035	0.0959164	0.0598326	2.77699	0.00594423	14.9913	0.113175	606.173	0.139823	104.484	13.4138
78	1.23557	1	13.4842	157.466	2.96832	41.2669	126.697	43.2278	72.3243	1	1.12412	-57.818	-16.0784	-49.3715	-1.17345	-0.292146	0.593275	-25.4801	19.8667	46.2223	102.328	75.1665	35.3227	4.33812	0.472584	0.0959164	0.0596185	2.77699	0.00587738	14.9913	0.113945	609.55	0.140582	105.299	13.4842
79	1.23557	1	13.5545	157.164	3	41.6365	127.2	43.5344	72.87	1	1.12298	-58.3208	-16.4479	-49.0699	-1.20513	-0.28909	0.522888	-25.7868	19.6688	46.2223	101.271	74.0716	34.8021	4.33812	0.468224	0.0959164	0.0594061	2.77699	0.00581202	14.9913	0.114711	612.877	0.14133	106.106	13.5545
80	1.23557	1	13.6249	156.863	3.03167	42.006	127.702	43.8411	73.3944	1	1.12184	-58.8235	-16.8174	-48.7682	-1.2368	-0.286034	0.452501	-26.0935	19.4753	46.2223	100.238	73.0028	34.2938	4.33812	0.463952	0.0959164	0.0591954	2.77699	0.00574809	14.9913	0.115472	616.155	0.142068	106.905	13.6249
81	1.23557	1	13.6953	156.561	3.06335	42.3755	128.205	44.1478	73.8974	1	1.1207	-59.3263	-17.187	-48.4665	-1.26848	-0.282979	0.382114	-26.4002	19.2862	46.2223	99.2273	71.9594	33.7976	4.33812	0.459766	0.0959164	0.0589865	2.77699	0.00568555	14.9913	0.116229	619.386	0.142795	107.695	13.6953
82	1.23557	1	13.7657	156.259	3.09502	42.745	128.708	44.4545	74.3786	1	1.11956	-59.8291	-17.5565	-48.1649	-1.30015	-0.279923	0.311727	-26.7069	19.1012	46.2223	98.2397	70.9407	33.3132	4.33812	0.455665	0.0959164	0.0587794	2.77699	0.00562437	14.9913	0.116982	622.57	0.143511	108.478	13.7657
83	1.23557	1	13.8361	155.958	3.1267	43.1146	129.211	44.7612	74.8378	1	1.11842	-60.3318	-17.926	-47.8632	-1.33182	-0.276867	0.24134	-27.0136	18.9204	46.2223	97.2743	69.9462	32.8403	4.33812	0.451648	0.0959164	0.0585741	2.77699	0.00556451	14.9913	0.11773	625.709	0.144217	109.253	13.8361
84	1.23557	1	13.9065	155.656	3.15837	43.4841	129.713	45.0679	75.2747	1	1.11729	-60.8346	-18.2956	-47.5616	-1.3635	-0.273812	0.170953	-27.3203	18.7436	46.2223	96.3304	68.9753	32.3786	4.33812	0.447712	0.0959164	0.0583707	2.77699	0.00550592	14.9913	0.118474	628.803	0.144914	110.02	13.9065
85	1.23557	1	13.9769	155.354	3.19004	43.8536	130.216	45.3746	75.6892	1	1.11616	-61.3374	-18.6651	-47.2599	-1.39517	-0.270756	0.100566	-27.627	18.5708	46.2223	95.4077	68.0274	31.9278	4.33812	0.443857	0.0959164	0.0581691	2.77699	0.00544857	14.9913	0.119214	631.855	0.145601	110.78	13.9769
86	1.23557	1	14.0472	155.053	3.22172	44.2232	130.719	45.6813	76.0809	1	1.11503	-61.8401	-19.0346	-46.9582	-1.42685	-0.267701	0.0301787	-27.9336	18.4017	46.2223	94.5057	67.102	31.4878	4.33812	0.440081	0.0959164	0.0579694	2.77699	0.00539244	14.9913	0.119949	634.863	0.146278	111.533	14.0472
87	1.23557	1	14.1176	154.751	3.25339	44.5927	131.222	45.9879	76.4497	1	1.11391	-62.3429	-19.4042	-46.6566	-1.45852	-0.264645	-0.0402084	-28.2403	18.2365	46.2223	93.6238	66.1985	31.0582	4.33812	0.436382	0.0959164	0.0577716	2.77699	0.00533747	14.9913	0.12068	637.831	0.146947	112.279	14.1176
88	1.23557	1	14.188	154.449	3.28507	44.9622	131.724	46.2946	76.7953	1	1.11278	-62.8456	-19.7737	-46.3549	-1.4902	-0.261589	-0.110596	-28.547	18.0749	46.2223	92.7617	65.3165	30.6388	4.33812	0.43276	0.0959164	0.0575757	2.77699	0.00528365	14.9913	0.121407	640.758	0.147606	113.017	14.188
89	1.23557	1	14.2584	154.148	3.31674	45.3318	132.227	46.6013	77.1176	1	1.11166	-63.3484	-20.1432	-46.0533	-1.52187	-0.258534	-0.180983	-28.8537	17.9169	46.2223	91.9189	64.4554	30.2293	4.33812	0.429211	0.0959164	0.0573817	2.77699	0.00523094	14.9913	0.12213	643.646	0.148257	113.749	14.2584
90	1.23557	1	14.3288	153.846	3.34842	45.7013	132.73	46.908	77.4163	1	1.11054	-63.8512	-20.5128	-45.7516	-1.55354	-0.255478	-0.25137	-29.1604	17.7625	46.2223	91.0949	63.6146	29.8295	4.33812	0.425736	0.0959164	0.0571898	2.77699	0.00517932	14.9913	0.122849	646.496	0.148899	114.475	14.3288
91	1.23557	1	14.3992	153.544	3.38009	46.0708	133.233	47.2147	77.6912	1	1.10942	-64.3539	-20.8823	-45.45	-1.58522	-0.252422	-0.321757	-29.4671	17.6114	46.2223	90.2893	62.7938	29.4392	4.33812	0.422333	0.0959164	0.0569998	2.77699	0.00512874	14.9913	0.123563	649.308	0.149533	115.194	14.3992
92	1.23557	1	14.4696	153.243	3.41176	46.4404	133.736	47.5214	77.9421	1	1.10831	-64.8567	-21.2518	-45.1483	-1.61689	-0.249367	-0.392144	-29.7738	17.4638	46.2223	89.5018	61.9924	29.0581	4.33812	0.419	0.0959164	0.0568118	2.77699	0.0050792	14.9913	0.124274	652.084	0.150158	115.906	14.4696
93	1.23557	1	14.54	152.941	3.44344	46.8099	134.238	47.8281	78.169	1	1.1072	-65.3595	-21.6214	-44.8466	-1.64857	-0.246311	-0.462531	-30.0804	17.3194	46.2223	88.7319	61.21	28.6861	4.33812	0.415736	0.0959164	0.0566257	2.77699	0.00503065	14.9913	0.12498	654.823	0.150776	116.613	14.54
94	1.23557	1	14.6103	152.639	3.47511	47.1794	134.741	48.1347	78.3716	1	1.10609	-65.8622	-21.9909	-44.545	-1.68024	-0.243256	-0.532918	-30.3871	17.1782	46.2223	87.9792	60.4461	28.3229	4.33812	0.41254	0.0959164	0.0564418	2.77699	0.00498308	14.9913	0.125683	657.528	0.151386	117.313	14.6103
95	1.23557	1	14.6807	152.338	3.50679	47.549	135.244	48.4414	78.5497	1	1.10498	-66.365	-22.3604	-44.2433	-1.71191	-0.2402	-0.603305	-30.6938	17.0402	46.2223	87.2433	59.7003	27.9683	4.33812	0.40941	0.0959164	0.0562598	2.77699	0.00493645	14.9913	0.126382	660.199	0.151988	118.007	14.6807
96	1.23557	1	14.7511	152.036	3.53846	47.9185	135.747	48.7481	78.7032	1	1.10388	-66.8678	-22.73	-43.9417	-1.74359	-0.237144	-0.673692	-31.0005	16.9052	46.2223	86.5239	58.9721	27.622	4.33812	0.406346	0.0959164	0.0560799	2.77699	0.00489076	14.9913	0.127076	662.837	0.152583	118.696	14.7511
97	1.23557	1	14.8215	151.735	3.57013	48.288	136.249	49.0548	78.8321	1	1.10278	-67.3705	-23.0995	-43.64	-1.77526	-0.234089	-0.744079	-31.3072	16.7732	46.2223	85.8206	58.2611	27.284	4.33812	0.403345	0.0959164	0.055902	2.77699	0.00484596	14.9913	0.127767	665.442	0.153171	119.379	14.8215
98	1.23557	1	14.8919	151.433	3.60181	48.6576	136.752	49.3615	78.9363	1	1.10169	-67.8733	-23.469	-43.3383	-1.80694	-0.231033	-0.814467	-31.6139	16.6442	46.2223	85.133	57.5669	26.9539	4.33812	0.400407	0.0959164	0.0557262	2.77699	0.00480205	14.9913	0.128454	668.015	0.153752	120.057	14.8919
99	1.23557	1	14.9623	151.131	3.63348	49.0271	137.255	49.6682	79.0156	1	1.10059	-68.3761	-23.8386	-43.0367	-1.83861	-0.227977	-0.884854	-31.9206	16.518	46.2223	84.4608	56.8892	26.6316	4.33812	0.39753	0.0959164	0.0555525	2.77699	0.004759	14.9913	0.129138	670.558	0.154326	120.729	14.9623
100	1.23557	1	15.0327	150.83	3.66516	49.3966	137.758	49.9749	79.0703	1	1.0995	-68.8788	-24.2081	-42.735	-1.87029	-0.224922	-0.955241	-32.2273	16.3947	46.2223	83.8036	56.2274	26.317	4.33812	0.394714	0.0959164	0.0553808	2.77699	0.00471678	14.9913	0.129817	673.07	0.154893	121.396	15.0327
