Time	[IkBat]	[IkBa]	[IkBan]	[IkBaIKK]	[IkBaNFkB]	[IkBaNFkBn]	[IkBaIKKNFkB]	[NFkB]	[IKK]	[NFkBn]	[IkBbIKK]	[IkBbIKKNFkB]	[IkBbNFkBn]	[IkBbNFkB]	[IkBbn]	[IkBb]	[IkBbt]	[IkBet]	[IkBe]	[IkBen]	[IkBeNFkB]	[IkBeNFkBn]	[IkBeIKKNFkB]	[IkBeIKK]
49	0.00782141	0.0118956	0.000602081	3.09603e-05	0.0533259	0.000143139	0.000457308	3.97297e-05	0.000335034	0.00677432	1.37523e-06	0.000125995	3.37382e-05	0.0293168	7.22063e-05	0.00163929	0.00142648	0.00101777	0.00116605	5.13549e-05	0.00971109	2.39921e-05	4.80019e-05	1.32498e-06
50	0.00796491	0.012161	0.000614399	3.1778e-05	0.05329	0.000146941	0.00045671	3.96542e-05	0.000334849	0.00680683	1.40123e-06	0.000125926	3.44316e-05	0.0293143	7.31754e-05	0.00166432	0.00144508	0.00103104	0.00118391	5.20469e-05	0.00971274	2.44867e-05	4.79848e-05	1.35018e-06
51	0.00810684	0.0124247	0.000626768	3.25913e-05	0.0532577	0.000150695	0.00045613	3.95772e-05	0.000334654	0.00683525	1.42675e-06	0.000125855	3.51061e-05	0.0293121	7.41413e-05	0.00168894	0.00146337	0.00104409	0.00120148	5.27365e-05	0.00971461	2.49677e-05	4.79674e-05	1.37492e-06
52	0.00824711	0.0126864	0.000639193	3.33998e-05	0.053229	0.000154399	0.000455568	3.94987e-05	0.000334449	0.00685964	1.45179e-06	0.000125782	3.57617e-05	0.0293102	7.51049e-05	0.00171315	0.00148135	0.00105692	0.00121875	5.34244e-05	0.0097167	2.54354e-05	4.79496e-05	1.39919e-06
53	0.00838565	0.0129462	0.000651675	3.42032e-05	0.0532038	0.00015805	0.000455024	3.9419e-05	0.000334236	0.00688008	1.47637e-06	0.000125706	3.63984e-05	0.0293087	7.60673e-05	0.00173695	0.00149904	0.00106954	0.00123573	5.41114e-05	0.009719	2.58895e-05	4.79315e-05	1.423e-06
54	0.00852238	0.0132037	0.000664218	3.50008e-05	0.0531821	0.000161644	0.000454498	3.93379e-05	0.000334014	0.00689664	1.50048e-06	0.000125628	3.7016e-05	0.0293074	7.70292e-05	0.00176037	0.00151643	0.00108194	0.00125244	5.4798e-05	0.0097215	2.63301e-05	4.79131e-05	1.44636e-06
55	0.00865722	0.013459	0.000676823	3.57923e-05	0.0531637	0.000165179	0.00045399	3.92558e-05	0.000333783	0.0069094	1.52413e-06	0.000125547	3.76147e-05	0.0293064	7.79915e-05	0.00178339	0.00153353	0.00109414	0.00126887	5.54848e-05	0.0097242	2.67572e-05	4.78944e-05	1.46927e-06
56	0.00879012	0.0137117	0.000689493	3.65773e-05	0.0531487	0.000168653	0.000453499	3.91726e-05	0.000333545	0.00691843	1.54733e-06	0.000125464	3.81945e-05	0.0293057	7.8955e-05	0.00180604	0.00155034	0.00110614	0.00128502	5.61724e-05	0.0097271	2.71707e-05	4.78755e-05	1.49172e-06
57	0.008921	0.0139619	0.000702228	3.73553e-05	0.0531369	0.000172062	0.000453027	3.90884e-05	0.000333299	0.00692382	1.57007e-06	0.000125379	3.87552e-05	0.0293053	7.99204e-05	0.00182831	0.00156688	0.00111794	0.00130091	5.68613e-05	0.00973019	2.75708e-05	4.78563e-05	1.51374e-06
58	0.00904979	0.0142094	0.00071503	3.81259e-05	0.0531284	0.000175403	0.000452572	3.90033e-05	0.000333045	0.00692565	1.59236e-06	0.000125293	3.92971e-05	0.0293052	8.08883e-05	0.00185021	0.00158314	0.00112954	0.00131654	5.75521e-05	0.00973345	2.79574e-05	4.78369e-05	1.53532e-06
